,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,22200,22223.93,22300,543200,22500,22100,0,0,26.44,3437.51
1,29/08/2019,22100,22130.44,22300,636300,22400,22000,1007000,1089400,26.44,3437.51
2,28/08/2019,22200,22323.86,22400,512600,22500,22200,977400,1058600,26.44,3437.51
3,27/08/2019,22500,22466.62,22400,1015300,22600,22300,1574900,1706800,26.44,3437.51
4,26/08/2019,22500,22267.43,22500,1014800,22500,22100,2087200,1516700,26.44,3437.51
5,23/08/2019,22600,22529.44,22700,814500,22800,22400,1079100,1519100,26.44,3437.51
6,22/08/2019,22700,22628.27,22500,1652200,22800,22400,2533500,2457900,26.44,3437.51
7,21/08/2019,22300,22294.95,22200,2790500,22400,22100,4228700,3639000,26.44,3437.51
8,20/08/2019,22200,22164.72,22100,1318100,22300,22100,2021100,2212100,26.44,3437.51
9,19/08/2019,22000,22047.22,22000,1209500,22300,21900,2086100,2002500,26.44,3437.51
10,16/08/2019,21900,21837.67,21900,1535600,22100,21500,2936900,2059200,26.44,3437.51
11,15/08/2019,21700,21451.48,21700,1470000,21700,21300,2622600,1841000,26.44,3437.51
12,14/08/2019,21700,21905.9,22000,906100,22200,21700,1105100,1707000,26.44,3437.51
13,13/08/2019,21900,21800.47,21900,574000,22000,21600,888300,1091100,26.44,3437.51
14,12/08/2019,22000,21874.49,22000,577900,22000,21800,1088300,1007000,26.44,3437.51
15,09/08/2019,21900,22072.09,21400,725100,22300,21400,1042200,1448300,26.44,3437.51
16,08/08/2019,22000,21833.85,20600,1065900,22000,20000,1626600,1404500,26.44,3437.51
17,07/08/2019,21600,21720.02,21800,1030900,22000,21600,1280800,1569600,26.44,3437.51
18,06/08/2019,21700,21598.89,20500,1819600,21900,20500,3356500,2885700,26.44,3437.51
19,05/08/2019,22000,21998.96,22300,2536900,22300,21800,3938900,2932300,26.44,3437.51
20,02/08/2019,22300,22189.6,22500,1773800,22600,22000,2664500,2126900,26.44,3437.51
21,01/08/2019,22500,22571.44,22700,1901700,23000,22400,2575000,2362000,26.44,3437.51
22,31/07/2019,22800,22782.26,23100,893000,23100,22700,1342100,1232600,26.44,3437.51
23,30/07/2019,22900,23038.56,22800,1098800,23300,22800,1953400,1648200,26.44,3437.51
24,29/07/2019,23000,23093.36,23200,1257500,23400,22900,1945700,1695700,26.44,3437.51
25,26/07/2019,23400,23521.89,23800,1051400,23800,23300,1894100,1802400,26.44,3437.51
26,25/07/2019,23700,23882.22,23800,2096400,24100,23700,2370500,3180100,26.44,3437.51
27,24/07/2019,30700,30638.49,30800,3958600,31100,30300,5570000,5334500,26.44,3437.51
28,23/07/2019,30800,30846.13,31000,1949600,31100,30700,3014900,3335100,26.44,3437.51
29,22/07/2019,31000,31039.43,34300,1901300,34300,30700,3064100,3313300,26.44,3437.51
30,19/07/2019,31200,31237.9,32000,2875600,32000,30800,3215300,4875300,26.44,3437.51
31,18/07/2019,30800,30656.62,30400,1599900,30800,30200,2443900,2365800,26.44,3437.51
32,17/07/2019,30700,30651.93,30200,2506700,30900,30200,3128000,3708100,26.44,3437.51
33,16/07/2019,30200,30213.82,30000,1194700,30400,30000,2107600,1967100,26.44,3437.51
34,15/07/2019,30000,30049.16,30100,932200,30200,29900,1331700,1363000,26.44,3437.51
35,12/07/2019,30100,30207.6,30300,886300,30400,30000,1155700,2123900,26.44,3437.51
36,11/07/2019,30200,30148.3,29600,2080100,30400,29600,3001900,2865800,26.44,3437.51
37,10/07/2019,29600,29731.67,29800,1120000,30000,29600,1582300,2332300,26.44,3437.51
38,09/07/2019,29800,29606.6,29000,2777100,29800,29000,4134900,3845700,26.44,3437.51
39,08/07/2019,29000,29060.08,29200,428100,29400,28900,757600,843700,26.44,3437.51
40,05/07/2019,29200,29297.81,29300,798700,29400,29100,1078600,1497300,26.44,3437.51
41,04/07/2019,29200,29131.68,28900,924600,29300,28900,1255000,1446200,26.44,3437.51
42,03/07/2019,28800,28839.19,29000,643100,29100,28700,1648100,1054200,26.44,3437.51
43,02/07/2019,28900,29012.84,29200,387800,29200,28900,623600,947900,26.44,3437.51
44,01/07/2019,29200,29183.64,29400,640100,29400,29000,1114600,1195000,26.44,3437.51
45,28/06/2019,28900,28630.6,28600,670300,28900,28500,1482600,1146600,26.44,3437.51
46,27/06/2019,28600,28748.41,29000,873100,29100,28600,1059800,1237600,26.44,3437.51
47,26/06/2019,29000,29077.12,29000,389000,29200,29000,633400,790200,26.44,3437.51
48,25/06/2019,29200,29173.79,29500,1330600,29600,29000,1955400,2046700,26.44,3437.51
49,24/06/2019,29500,29501.25,29500,1420600,29700,29400,1831200,1880300,26.44,3437.51
50,21/06/2019,29500,29713.16,29600,825500,30000,29400,1071100,2182700,26.44,3437.51
51,20/06/2019,29600,29266.96,28900,1434700,29600,28800,2630500,1983500,26.44,3437.51
52,19/06/2019,28900,28969.58,28900,505600,29100,28800,653100,1082800,26.44,3437.51
53,18/06/2019,28900,28804.82,28700,768400,29000,28700,2144900,1208400,26.44,3437.51
54,17/06/2019,28700,28730.76,28700,896000,28900,28600,1721500,1405900,26.44,3437.51
55,14/06/2019,28700,28837.94,28600,1047000,29000,28600,2440800,1608000,26.44,3437.51
56,13/06/2019,28600,28588.35,28500,846100,28700,28500,1492800,1321400,26.44,3437.51
57,12/06/2019,28500,28595.37,28600,557000,28700,28500,1196200,963500,26.44,3437.51
58,11/06/2019,28600,28606.52,28600,563300,28700,28600,1420000,1082000,26.44,3437.51
59,10/06/2019,28600,28739.15,28700,462600,28900,28600,867600,1111900,26.44,3437.51
60,07/06/2019,28700,28633.7,28500,281600,28800,28500,641800,826100,26.44,3437.51
61,06/06/2019,28500,28537.0,28900,911400,28900,28400,1702000,1419900,26.44,3437.51
62,05/06/2019,28900,28780.3,28600,1056300,28900,28600,1452700,1668500,26.44,3437.51
63,04/06/2019,28600,28723.59,28700,869100,29000,28600,1469300,1500800,26.44,3437.51
64,03/06/2019,28700,28820.81,28700,1149800,29000,28600,1444000,1703700,26.44,3437.51
65,31/05/2019,29000,28901.83,29000,1025000,29100,28700,1629800,1417000,26.44,3437.51
66,30/05/2019,29100,29082.89,29100,724600,29200,29000,1226700,1226000,26.44,3437.51
67,29/05/2019,29200,28880.08,28900,1082900,29200,28700,2754900,1314500,26.44,3437.51
68,28/05/2019,28900,28972.83,29000,940400,29200,28900,2251600,1304600,26.44,3437.51
69,27/05/2019,29000,29022.93,29100,911000,29200,29000,1908200,1580800,26.44,3437.51
