,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,24650,24483.88,24250,251880,24700,24250,0,0,44.02,6012.54
1,29/08/2019,24250,24324.61,24450,284280,24600,24200,385730,549530,44.02,6012.54
2,28/08/2019,24450,24552.82,24550,190080,24800,24450,242990,433630,44.02,6012.54
3,27/08/2019,24550,24693.07,24700,251690,25000,24550,317080,579450,44.02,6012.54
4,26/08/2019,24650,24659.17,24700,302200,25000,24550,441300,538080,44.02,6012.54
5,23/08/2019,24800,24886.09,24900,248010,25050,24800,496480,481720,44.02,6012.54
6,22/08/2019,24950,24833.12,24900,407480,25300,24600,687220,740750,44.02,6012.54
7,21/08/2019,24900,25198.01,25400,537860,25500,24900,672870,921850,44.02,6012.54
8,20/08/2019,25300,25261.43,25100,475270,25400,24950,968580,728770,44.02,6012.54
9,19/08/2019,24900,24792.18,24600,334420,25000,24500,598280,691080,44.02,6012.54
10,16/08/2019,24500,24601.18,24700,337870,24800,24450,480510,658070,44.02,6012.54
11,15/08/2019,24700,24536.78,24550,347030,24700,24450,535450,571160,44.02,6012.54
12,14/08/2019,25000,24903.29,24850,266270,25300,24800,421250,541730,44.02,6012.54
13,13/08/2019,24800,24814.13,24900,500360,25000,24700,731680,701110,44.02,6012.54
14,12/08/2019,24900,25305.61,25400,295310,25700,24900,422180,629840,44.02,6012.54
15,09/08/2019,25400,25524.0,25400,287690,25800,25400,391800,641290,44.02,6012.54
16,08/08/2019,25400,25336.16,25500,395640,25500,25200,559570,675380,44.02,6012.54
17,07/08/2019,25200,24814.85,24400,577920,25250,24250,1024130,738480,44.02,6012.54
18,06/08/2019,24200,24649.83,25400,737490,25500,24200,1008790,1220820,44.02,6012.54
19,05/08/2019,25800,25950.46,26200,697560,26250,25700,846370,1107590,44.02,6012.54
20,02/08/2019,26200,26128.34,26000,590470,26300,25800,979130,822410,44.02,6012.54
21,01/08/2019,26200,26221.95,26150,475060,26400,26000,647050,699350,44.02,6012.54
22,31/07/2019,26150,26201.86,26300,579310,26350,26100,778450,917350,44.02,6012.54
23,30/07/2019,26200,26403.02,26650,770480,26800,26000,1169130,1162670,44.02,6012.54
24,29/07/2019,26650,26603.41,26800,620710,26900,26500,834690,968510,44.02,6012.54
25,26/07/2019,26800,26809.2,26800,436380,27100,26700,569310,865450,44.02,6012.54
26,25/07/2019,26800,26769.4,26650,650220,27100,26400,1162500,1040910,44.02,6012.54
27,24/07/2019,26650,26754.76,27000,637980,27000,26650,892370,959340,44.02,6012.54
28,23/07/2019,26950,26977.34,26950,601060,27100,26850,817540,956530,44.02,6012.54
29,22/07/2019,26950,26954.1,27300,695590,27300,26800,999400,1201800,44.02,6012.54
30,19/07/2019,27500,27668.97,27850,692870,27950,27500,848050,1131380,44.02,6012.54
31,18/07/2019,27850,27896.14,28050,630840,28050,27700,1007830,1070500,44.02,6012.54
32,17/07/2019,28050,28044.52,28000,1227370,28250,27900,1735080,2084980,44.02,6012.54
33,16/07/2019,27500,27202.34,27250,833090,27500,26750,1275880,1155800,44.02,6012.54
34,15/07/2019,27250,27179.6,27050,485180,27300,26950,759300,828740,44.02,6012.54
35,12/07/2019,26950,26757.61,26650,490440,27050,26500,692280,770360,44.02,6012.54
36,11/07/2019,26500,26525.98,26600,511310,26700,26400,728130,740110,44.02,6012.54
37,10/07/2019,26400,26577.48,26800,717600,26900,26400,947960,1224870,44.02,6012.54
38,09/07/2019,26750,26916.9,27100,516850,27100,26750,728000,1010800,44.02,6012.54
39,08/07/2019,27100,27099.5,27400,424030,27400,27000,612530,777330,44.02,6012.54
40,05/07/2019,27400,27123.92,27000,516850,27450,26700,1207520,907670,44.02,6012.54
41,04/07/2019,26700,26830.92,26900,530880,27300,26600,731350,903880,44.02,6012.54
42,03/07/2019,26900,27051.2,27100,678750,27300,26800,975130,1080670,44.02,6012.54
43,02/07/2019,27100,27230.33,27600,589710,27700,27000,848860,1060150,44.02,6012.54
44,01/07/2019,27600,27597.77,27900,453370,27900,27400,726880,842320,44.02,6012.54
45,28/06/2019,27500,27486.27,27700,482350,27700,27200,695050,715780,44.02,6012.54
46,27/06/2019,27500,27711.9,27700,698220,27950,27350,976070,1407730,44.02,6012.54
47,26/06/2019,27700,27203.23,26400,905260,27900,26250,1793190,1721470,44.02,6012.54
48,25/06/2019,26450,26454.38,26250,391920,26700,26250,636790,743770,44.02,6012.54
49,24/06/2019,26250,26482.38,26800,506450,26800,26250,678200,746160,44.02,6012.54
50,21/06/2019,26800,26945.95,27100,491020,27300,26600,648650,992650,44.02,6012.54
51,20/06/2019,27150,27100.42,26800,486450,27250,26800,712960,766390,44.02,6012.54
52,19/06/2019,26800,26687.74,26700,433420,26800,26450,686660,667520,44.02,6012.54
53,18/06/2019,26350,26475.25,26600,523810,26700,26300,708780,926290,44.02,6012.54
54,17/06/2019,26550,26783.02,26950,550610,27250,26400,862460,969190,44.02,6012.54
55,14/06/2019,27100,27144.65,27200,405310,27350,27000,565980,684820,44.02,6012.54
56,13/06/2019,27100,27211.75,27150,383180,27400,27000,653060,782450,44.02,6012.54
57,12/06/2019,27100,27167.49,27000,455250,27400,27000,713830,760080,44.02,6012.54
58,11/06/2019,27200,27094.24,26900,582670,27700,26350,1409130,986070,44.02,6012.54
59,10/06/2019,26900,27363.14,28450,1733390,28500,26900,2622770,2784700,44.02,6012.54
60,07/06/2019,28500,28217.41,27900,555260,28500,27850,1674930,871790,44.02,6012.54
61,06/06/2019,27750,28116.93,28300,661950,28600,27650,1003090,1076580,44.02,6012.54
62,05/06/2019,28300,28703.27,29000,638220,29200,28150,1373960,976600,44.02,6012.54
63,04/06/2019,28500,28590.23,28400,554560,29000,28400,1021740,1005120,44.02,6012.54
64,03/06/2019,28200,28746.44,29500,1124000,29500,28200,1987640,2465590,44.02,6012.54
65,31/05/2019,29950,30778.09,32200,1441090,32500,29950,1952030,2340220,44.02,6012.54
66,30/05/2019,32200,31697.17,31600,951410,32400,31050,1587560,1569060,44.02,6012.54
67,29/05/2019,31800,32309.79,32800,835010,32800,31800,1120560,1276780,44.02,6012.54
68,28/05/2019,32900,32287.17,32600,1030750,32900,31700,1937010,1790650,44.02,6012.54
69,27/05/2019,32600,32291.36,31800,718830,32600,31800,1497280,1059840,44.02,6012.54
70,24/05/2019,31800,32226.47,32000,993500,32600,31700,1763210,1557360,44.02,6012.54
71,23/05/2019,31850,30995.21,30000,1213510,31850,29900,2185210,1429810,44.02,6012.54
72,22/05/2019,29800,29519.65,29600,529410,29900,29050,1291500,1087030,44.02,6012.54
73,21/05/2019,29550,30124.67,30800,865470,30850,29550,1470980,1335460,44.02,6012.54
74,20/05/2019,30550,30308.78,29950,759450,30650,29600,1507100,1170290,44.02,6012.54
75,17/05/2019,30000,30790.81,31050,1044370,31400,30000,1514110,1768850,44.02,6012.54
76,16/05/2019,31050,31077.13,30500,1114260,31450,30450,2354960,1625240,44.02,6012.54
77,15/05/2019,30450,30345.12,30500,689040,30600,30150,1404510,982700,44.02,6012.54
78,14/05/2019,30300,29996.99,29900,830350,30700,29500,2561620,1153690,44.02,6012.54
79,13/05/2019,30100,30322.17,30200,986440,30850,29700,2025000,1563020,44.02,6012.54
80,10/05/2019,30000,29043.46,28200,1140670,30000,28050,2063950,1457900,44.02,6012.54
81,09/05/2019,28200,28467.69,28500,636230,28700,28200,973980,1089700,44.02,6012.54
82,08/05/2019,28400,28024.53,27800,464700,28400,27600,1027090,845090,44.02,6012.54
83,07/05/2019,28150,28117.95,28100,478840,28350,27800,1246590,1082410,44.02,6012.54
84,06/05/2019,28000,27476.78,26700,1258590,28000,26300,2695020,1876680,44.02,6012.54
85,03/05/2019,26950,26831.52,26300,1181260,27200,26300,1682250,1666550,44.02,6012.54
86,02/05/2019,26300,26334.42,26600,412540,26600,26050,613240,960630,44.02,6012.54
87,26/04/2019,26300,25657.75,25600,541240,26300,25200,1187540,901460,44.02,6012.54
88,25/04/2019,25700,26013.28,26150,376500,26400,25700,475330,716610,44.02,6012.54
89,24/04/2019,26200,26193.43,26350,354440,26600,25950,629370,857600,44.02,6012.54
90,23/04/2019,26350,26440.26,26400,234680,26600,26300,476590,617350,44.02,6012.54
91,22/04/2019,26400,26621.15,26650,294390,26900,26400,471400,766230,44.02,6012.54
92,19/04/2019,26600,26886.26,26700,928690,27300,26600,1632750,1814640,44.02,6012.54
93,18/04/2019,26250,26253.43,26250,371380,26450,25950,601650,856060,44.02,6012.54
94,17/04/2019,26250,26410.94,26600,345160,26800,26200,509810,872370,44.02,6012.54
95,16/04/2019,26600,26646.37,26900,456460,26950,26100,805080,961250,44.02,6012.54
96,12/04/2019,27000,26740.66,26600,482000,27000,26100,1284600,782530,44.02,6012.54
97,11/04/2019,26600,26917.09,26700,411040,27300,26600,782880,876110,44.02,6012.54
98,10/04/2019,27800,27545.23,26850,834010,28150,26700,1099490,1482950,44.02,6012.54
99,09/04/2019,27150,26923.55,26650,651920,27300,26450,1053050,1141910,44.02,6012.54
100,08/04/2019,26450,26562.55,26900,325270,26900,26300,487380,724570,44.02,6012.54
101,05/04/2019,26700,26557.58,26400,286020,26700,26400,604570,531280,44.02,6012.54
102,04/04/2019,26400,25869.79,25200,341750,26400,25200,722630,456360,44.02,6012.54
103,03/04/2019,25200,25241.66,25600,365190,25650,24900,644830,716080,44.02,6012.54
104,02/04/2019,25700,25821.28,25900,208820,26000,25650,342520,440430,44.02,6012.54
105,01/04/2019,25900,25852.96,26250,280200,26300,25550,492200,541290,44.02,6012.54
106,29/03/2019,26200,26180.34,25850,270050,26500,25850,536580,526620,44.02,6012.54
107,28/03/2019,25850,25751.53,25650,207910,25900,25600,458650,410760,44.02,6012.54
108,27/03/2019,25900,25771.93,25700,269130,26000,25600,455690,445290,44.02,6012.54
109,26/03/2019,25600,25653.65,25700,203090,26000,25500,330020,395320,44.02,6012.54
110,25/03/2019,25700,25631.74,26100,295610,26100,25500,450820,511840,44.02,6012.54
111,22/03/2019,26350,26345.21,26250,205730,26700,26200,371580,411460,44.02,6012.54
112,21/03/2019,26250,26639.73,26750,222750,26900,26250,360220,453460,44.02,6012.54
113,20/03/2019,26750,26524.46,26800,235330,26800,26300,498460,513170,44.02,6012.54
114,19/03/2019,26900,27113.51,27700,260940,27750,26750,491410,581030,44.02,6012.54
115,18/03/2019,27700,27128.57,26300,409900,27700,26300,950250,565480,44.02,6012.54
116,15/03/2019,26100,26477.52,27150,483920,27150,25900,891570,1019340,44.02,6012.54
117,14/03/2019,27150,27278.09,27700,542120,27800,27000,940230,910170,44.02,6012.54
118,13/03/2019,27650,27681.12,27800,298290,27900,27500,584340,565350,44.02,6012.54
119,12/03/2019,27800,27910.35,28200,385950,28200,27800,636610,647900,44.02,6012.54
120,11/03/2019,28050,28033.78,28200,342230,28300,27900,671920,594890,44.02,6012.54
121,08/03/2019,28200,28384.63,28650,350260,28800,28150,703230,979310,44.02,6012.54
122,07/03/2019,28950,28985.71,29000,420000,29100,28850,783240,942740,44.02,6012.54
123,06/03/2019,28950,28869.47,28900,301010,29150,28600,620450,799560,44.02,6012.54
124,05/03/2019,28700,28969.12,29000,657010,29200,28700,1149370,1447570,44.02,6012.54
125,04/03/2019,29050,28465.64,28000,834550,29150,27800,1629960,1290700,44.02,6012.54
126,01/03/2019,28050,27941.18,27750,204680,28200,27750,435400,444170,44.02,6012.54
127,28/02/2019,27700,28191.85,28700,423030,28700,27700,592630,894840,44.02,6012.54
128,27/02/2019,28700,28660.26,28500,229970,28800,28500,588650,713410,44.02,6012.54
129,26/02/2019,28500,28510.25,28400,453030,28700,28250,630560,930280,44.02,6012.54
130,25/02/2019,28400,27868.42,28000,338340,28400,27400,688650,695490,44.02,6012.54
131,22/02/2019,27950,28169.48,28550,546620,28700,27950,724800,1139270,44.02,6012.54
