,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,10100,10106.61,10100,291900,10200,10000,0,0,24.09,1638.07
1,29/08/2019,10100,10107.76,10100,491000,10200,10000,1002800,1405900,24.09,1638.07
2,28/08/2019,10100,10023.21,10000,320600,10100,10000,931100,1306800,24.09,1638.07
3,27/08/2019,10000,10066.99,10100,376200,10200,10000,864300,1742900,24.09,1638.07
4,26/08/2019,10200,10104.66,10200,618500,10200,10000,1423500,1819600,24.09,1638.07
5,23/08/2019,10200,10200.15,10200,194000,10300,10200,913400,1304000,24.09,1638.07
6,22/08/2019,10200,10195.75,10200,317400,10300,10100,1545900,1574000,24.09,1638.07
7,21/08/2019,10300,10202.64,10300,781700,10300,10100,2106000,1999200,24.09,1638.07
8,20/08/2019,10300,10313.35,10400,289200,10400,10200,1195300,1465400,24.09,1638.07
9,19/08/2019,10400,10364.29,10400,292900,10400,10200,829300,1402400,24.09,1638.07
10,16/08/2019,10400,10302.57,10200,510700,10400,10200,927900,1432000,24.09,1638.07
11,15/08/2019,10200,10195.95,10300,995800,10300,10100,1859600,2130300,24.09,1638.07
12,14/08/2019,10300,10339.49,10300,867300,10500,10200,1628400,1799600,24.09,1638.07
13,13/08/2019,10300,10507.73,10600,752500,10700,10300,1409600,1996700,24.09,1638.07
14,12/08/2019,10600,10493.21,10400,1566000,10600,10300,2674000,2505800,24.09,1638.07
15,09/08/2019,10400,10395.48,10300,888700,10500,10300,1421400,1790800,24.09,1638.07
16,08/08/2019,10400,10269.59,10200,1081400,10400,10100,1605800,1671500,24.09,1638.07
17,07/08/2019,10200,10200.36,10200,925000,10300,10100,1274800,2040700,24.09,1638.07
18,06/08/2019,10100,10163.92,10200,1352200,10300,10000,1761200,2546800,24.09,1638.07
19,05/08/2019,10200,10173.65,10300,936500,10300,10100,2118200,2901700,24.09,1638.07
20,02/08/2019,10200,10278.79,10400,530000,10400,10200,951700,2076900,24.09,1638.07
21,01/08/2019,10300,10381.65,10500,980300,10500,10200,1744400,2445700,24.09,1638.07
22,31/07/2019,10400,10407.61,10200,3738900,10600,10200,5260600,5708900,24.09,1638.07
23,30/07/2019,10200,10236.23,10300,2075900,10300,10100,4116800,3639100,24.09,1638.07
24,29/07/2019,10200,10300.77,10500,1246700,10500,10200,2226600,3179900,24.09,1638.07
25,26/07/2019,10500,10377.31,10500,2211200,10500,10200,3144600,3206000,24.09,1638.07
26,25/07/2019,10500,10402.7,10500,1681000,10500,10300,2914300,2633000,24.09,1638.07
27,24/07/2019,10500,10497.62,10500,903000,10600,10400,3448500,2019600,24.09,1638.07
28,23/07/2019,10500,10727.97,10900,1655800,11000,10500,1941700,3253100,24.09,1638.07
29,22/07/2019,10900,10721.22,10900,1681400,11000,10500,2574000,2477500,24.09,1638.07
30,19/07/2019,10900,10929.75,11000,1149800,11000,10700,1845600,2184100,24.09,1638.07
31,18/07/2019,11000,11063.39,11000,1253100,11200,10900,2418800,2037500,24.09,1638.07
32,17/07/2019,11000,10959.0,11000,866000,11100,10900,2405600,1706400,24.09,1638.07
33,16/07/2019,11000,10871.44,10700,1496700,11000,10700,3172300,2313000,24.09,1638.07
34,15/07/2019,10600,10609.55,10700,624100,10700,10500,1452300,1258000,24.09,1638.07
35,12/07/2019,10700,10655.75,10400,795100,10700,10400,1391700,1488100,24.09,1638.07
36,11/07/2019,10400,10393.69,10400,510700,10500,10300,851800,1074800,24.09,1638.07
37,10/07/2019,10400,10400.55,10200,675600,10600,10200,1019000,1173000,24.09,1638.07
38,09/07/2019,10100,10175.87,10100,276800,10200,10100,525700,458200,24.09,1638.07
39,08/07/2019,10100,10102.3,10100,230300,10200,10100,932300,490500,24.09,1638.07
40,05/07/2019,10100,10122.3,10300,250700,10300,10100,464300,576800,24.09,1638.07
41,04/07/2019,10300,10328.42,10500,399300,11000,10100,547000,660100,24.09,1638.07
42,03/07/2019,11200,11338.87,11300,209700,11400,11200,324700,737900,24.09,1638.07
43,02/07/2019,11300,11305.47,11300,374800,11400,11200,594000,622600,24.09,1638.07
44,01/07/2019,11300,11283.28,11300,243400,11400,11100,457900,498200,24.09,1638.07
45,28/06/2019,11200,11147.5,11200,167800,11200,11100,371400,422000,24.09,1638.07
46,27/06/2019,11200,11099.75,11200,326500,11300,11000,453400,655600,24.09,1638.07
47,26/06/2019,11200,11263.56,11300,256300,11400,11200,390200,680700,24.09,1638.07
48,25/06/2019,11300,11282.82,11200,360200,11500,11200,577600,655400,24.09,1638.07
49,24/06/2019,11200,11326.05,11500,342800,11500,11200,479800,845000,24.09,1638.07
50,21/06/2019,11500,11451.31,11600,240100,11700,11300,348100,754700,24.09,1638.07
51,20/06/2019,11600,11620.35,11600,142000,11700,11600,250700,499400,24.09,1638.07
52,19/06/2019,11600,11601.17,11600,231000,11800,11500,381200,686500,24.09,1638.07
53,18/06/2019,11500,11470.3,11600,135700,11600,11400,229200,333700,24.09,1638.07
54,17/06/2019,11500,11520.87,11600,403900,11700,11500,632800,628700,24.09,1638.07
55,14/06/2019,11700,11756.96,11800,143600,11800,11700,254200,487600,24.09,1638.07
56,13/06/2019,11900,11904.49,12000,356000,12000,11800,639000,789700,24.09,1638.07
57,12/06/2019,11900,11902.39,11400,693800,12200,11400,1070100,1178000,24.09,1638.07
58,11/06/2019,11400,11518.03,11400,298400,11700,11300,434300,521000,24.09,1638.07
59,10/06/2019,11400,11390.44,11400,79500,11400,11300,242500,275500,24.09,1638.07
60,07/06/2019,11400,11232.62,11200,159100,11400,11100,468400,396000,24.09,1638.07
61,06/06/2019,11100,11211.4,11400,596500,11400,11100,730200,859700,24.09,1638.07
62,05/06/2019,11300,11427.19,11400,182400,11600,11300,287100,384500,24.09,1638.07
63,04/06/2019,11400,11492.09,11600,328800,11600,11400,596900,611400,24.09,1638.07
64,03/06/2019,11500,11557.39,11600,204900,11700,11500,502800,436000,24.09,1638.07
65,31/05/2019,11500,11619.31,11700,217000,11800,11500,279100,561800,24.09,1638.07
66,30/05/2019,11800,11775.04,11800,122600,11800,11700,273000,526800,24.09,1638.07
67,29/05/2019,11800,11800.94,11800,138500,11900,11800,682000,478600,24.09,1638.07
68,28/05/2019,11900,11883.11,11900,166400,11900,11800,427100,478400,24.09,1638.07
69,27/05/2019,11900,11886.69,11900,27800,12000,11800,159600,396400,24.09,1638.07
70,24/05/2019,11900,11953.12,11800,519600,12100,11700,969700,996100,24.09,1638.07
71,23/05/2019,11800,11803.46,11800,92400,11900,11800,330400,359400,24.09,1638.07
72,22/05/2019,11900,11852.67,11900,191000,11900,11800,457900,432500,24.09,1638.07
73,21/05/2019,11800,11899.35,11900,214400,12000,11800,314900,567600,24.09,1638.07
74,20/05/2019,11900,11982.82,11900,218900,12100,11900,399700,588800,24.09,1638.07
75,17/05/2019,12000,12008.14,12100,235900,12100,12000,524000,670100,24.09,1638.07
76,16/05/2019,12200,12111.09,12200,156900,12400,12000,400400,701600,24.09,1638.07
77,15/05/2019,12100,12072.46,12000,223300,12200,12000,460000,624500,24.09,1638.07
78,14/05/2019,12000,11847.84,11800,90100,12000,11800,281800,266900,24.09,1638.07
79,13/05/2019,11800,11910.02,11800,280500,12000,11800,409600,769500,24.09,1638.07
80,10/05/2019,11700,11687.32,11700,138000,11800,11600,244200,385700,24.09,1638.07
81,09/05/2019,11800,11785.47,11900,103900,11900,11700,246400,319000,24.09,1638.07
82,08/05/2019,11800,11799.89,11700,89900,11900,11700,259100,301900,24.09,1638.07
83,07/05/2019,11800,11804.94,11900,267300,11900,11700,523900,563500,24.09,1638.07
84,06/05/2019,11800,11827.06,12000,293100,12000,11800,436600,518200,24.09,1638.07
85,03/05/2019,11900,11994.39,12000,164000,12100,11900,331600,397400,24.09,1638.07
86,02/05/2019,12000,12012.07,12200,61300,12200,11900,181500,351800,24.09,1638.07
87,26/04/2019,12100,11988.94,11800,283100,12200,11800,467100,596800,24.09,1638.07
88,25/04/2019,11800,11826.95,12000,146200,12000,11800,258500,487100,24.09,1638.07
89,24/04/2019,12000,11879.77,11800,216000,12000,11700,482400,312700,24.09,1638.07
90,23/04/2019,11700,11650.0,11500,187400,11800,11500,384500,371400,24.09,1638.07
91,22/04/2019,11600,11604.06,11600,428700,11700,11500,600900,582600,24.09,1638.07
92,19/04/2019,11600,11622.23,11500,221300,11700,11500,471400,472600,24.09,1638.07
93,18/04/2019,11600,11608.22,11700,458700,11800,11500,616600,724300,24.09,1638.07
94,17/04/2019,11800,11916.22,12000,236800,12100,11800,301200,499300,24.09,1638.07
95,16/04/2019,12000,11927.1,12000,525900,12100,11700,714800,758600,24.09,1638.07
96,12/04/2019,12000,12041.06,11900,327100,12100,11900,528500,601500,24.09,1638.07
97,11/04/2019,11900,11961.9,12100,394500,12100,11800,702300,737700,24.09,1638.07
98,10/04/2019,12100,12099.75,12200,320200,12200,12000,571400,569300,24.09,1638.07
99,09/04/2019,12300,12260.74,12400,295200,12400,12100,527100,704000,24.09,1638.07
100,08/04/2019,12400,12350.47,12400,117500,12400,12300,435100,505100,24.09,1638.07
101,05/04/2019,12400,12356.16,12300,298100,12500,12200,783800,641100,24.09,1638.07
102,04/04/2019,12200,12213.87,12100,242200,12300,12000,783400,436600,24.09,1638.07
103,03/04/2019,12000,12092.46,12200,417800,12200,12000,925500,779100,24.09,1638.07
104,02/04/2019,12200,12275.41,12500,688400,12500,12100,1076100,1123800,24.09,1638.07
105,01/04/2019,12400,12372.74,12400,150400,12400,12300,381700,458600,24.09,1638.07
106,29/03/2019,12400,12427.55,12500,159000,12500,12300,398400,440300,24.09,1638.07
107,28/03/2019,12500,12400.89,12400,246900,12500,12300,516900,499200,24.09,1638.07
108,27/03/2019,12400,12412.17,12500,83000,12500,12400,388100,296400,24.09,1638.07
109,26/03/2019,12300,12325.87,12200,441800,12500,12200,1056500,705400,24.09,1638.07
110,25/03/2019,12200,12362.88,12500,703300,12600,12200,1113700,1134700,24.09,1638.07
111,22/03/2019,12600,12608.92,12600,386900,12700,12500,701200,654200,24.09,1638.07
