,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,10400,10174.57,10300,390680,10850,10100,0,0,6.3,673.26
1,29/08/2019,10850,10863.56,11500,419660,11600,10850,419790,841400,6.3,673.26
2,28/08/2019,11650,11350.39,11050,597160,11750,10800,1062020,707510,6.3,673.26
3,27/08/2019,11000,10713.95,11000,953430,11450,10550,1249880,1247500,6.3,673.26
4,26/08/2019,11300,11211.61,11200,1983480,11550,11200,2150020,2679800,6.3,673.26
5,23/08/2019,12000,12000.0,12000,1064260,12000,12000,1064260,2611090,6.3,673.26
6,22/08/2019,12900,12900.0,12900,537980,12900,12900,537980,2055470,6.3,673.26
7,21/08/2019,13850,13859.28,13850,234500,14500,13850,234500,1413500,6.3,673.26
8,20/08/2019,14850,14670.6,14950,1092730,15500,13850,1609770,1425440,6.3,673.26
9,19/08/2019,14850,14345.79,14150,1493330,14850,13900,2701070,1541690,6.3,673.26
10,16/08/2019,13900,13476.26,13050,1793970,13900,13000,3119950,1821850,6.3,673.26
11,15/08/2019,13000,12957.53,13000,241790,13100,12750,391210,391150,6.3,673.26
12,14/08/2019,13050,13030.65,12950,308350,13150,12850,400370,397690,6.3,673.26
13,13/08/2019,12900,12759.53,12800,105960,12950,12700,159800,157160,6.3,673.26
14,12/08/2019,12900,12882.18,12950,323470,13000,12850,384280,435250,6.3,673.26
15,09/08/2019,12950,12938.77,12900,219650,13100,12800,301590,318510,6.3,673.26
16,08/08/2019,13050,13067.65,13200,192460,13200,12950,251230,281060,6.3,673.26
17,07/08/2019,13150,12996.38,12900,356330,13250,12750,519520,423320,6.3,673.26
18,06/08/2019,12850,12843.35,12900,145990,13000,12700,208480,214120,6.3,673.26
19,05/08/2019,12950,12922.75,12900,132170,13000,12800,182350,218490,6.3,673.26
20,02/08/2019,13000,12948.79,13000,399960,13000,12700,507570,526990,6.3,673.26
21,01/08/2019,12950,13164.51,13200,345930,13400,12950,383420,487610,6.3,673.26
22,31/07/2019,13150,12994.41,12900,205550,13150,12750,326380,271050,6.3,673.26
23,30/07/2019,12950,12895.72,12800,244810,13100,12650,366600,354580,6.3,673.26
24,29/07/2019,12700,12760.08,12800,202820,12900,12700,247860,292740,6.3,673.26
25,26/07/2019,12850,12785.78,13000,198580,13000,12600,307060,309710,6.3,673.26
26,25/07/2019,12900,12820.27,12700,315750,13000,12600,474610,383130,6.3,673.26
27,24/07/2019,12650,12575.62,13000,295890,13500,12400,344550,434700,6.3,673.26
28,23/07/2019,13300,12943.53,12600,335380,13300,12600,581740,419920,6.3,673.26
