,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,49000,48993.54,49000,54150,49500,48650,0,0,16.44,2937.95
1,29/08/2019,49000,49119.46,49000,89150,49750,48600,312840,614530,16.44,2937.95
2,28/08/2019,49000,48954.3,49300,116190,49500,48300,344070,742000,16.44,2937.95
3,27/08/2019,49300,49731.62,47050,551460,50300,47050,949780,1121700,16.44,2937.95
4,26/08/2019,47050,46723.69,46500,1056830,47050,45900,1606620,1607600,16.44,2937.95
5,23/08/2019,44000,43756.64,43000,94180,44000,43000,218460,134680,16.44,2937.95
6,22/08/2019,43000,42989.01,43000,22750,43200,42900,49680,115220,16.44,2937.95
7,21/08/2019,43200,43209.1,42350,15830,43400,42350,76510,110280,16.44,2937.95
8,20/08/2019,43350,43537.14,43500,48740,43800,43150,101220,176310,16.44,2937.95
9,19/08/2019,43300,43290.16,43000,36290,43400,43000,84840,108320,16.44,2937.95
10,16/08/2019,43150,43007.57,43100,30390,43300,42950,65830,125790,16.44,2937.95
11,15/08/2019,43100,43047.54,43000,117800,43500,42800,242010,202130,16.44,2937.95
12,14/08/2019,43500,43297.25,43700,12010,43700,43100,68190,154740,16.44,2937.95
13,13/08/2019,43700,43648.5,43000,121310,44500,43000,245220,277340,16.44,2937.95
14,12/08/2019,43200,43026.13,43400,36350,43400,43000,93090,116670,16.44,2937.95
15,09/08/2019,43000,42955.56,42700,29030,43000,42250,89780,100510,16.44,2937.95
16,08/08/2019,42900,42430.51,42150,33820,43000,42150,72900,105030,16.44,2937.95
17,07/08/2019,43250,42857.14,43250,630,43250,42700,32340,57200,16.44,2937.95
18,06/08/2019,43150,42828.69,42200,10040,43150,42200,43760,70670,16.44,2937.95
19,05/08/2019,43300,42930.35,43300,42930,43450,42000,77750,118780,16.44,2937.95
20,02/08/2019,43300,43108.41,42050,59130,43300,42000,121990,125700,16.44,2937.95
21,01/08/2019,43100,42946.51,43000,31970,43100,42500,100020,119860,16.44,2937.95
22,31/07/2019,42700,42600.0,42500,5920,42700,42500,40840,67930,16.44,2937.95
23,30/07/2019,42700,42377.76,42000,20860,43000,42000,70660,113910,16.44,2937.95
24,29/07/2019,42700,42492.01,42300,3130,42700,42200,42910,56710,16.44,2937.95
25,26/07/2019,42950,42577.17,42600,20410,42950,42500,52630,74200,16.44,2937.95
26,25/07/2019,42950,42406.11,42350,115290,43000,41900,224830,232860,16.44,2937.95
27,24/07/2019,42300,42500.0,42700,14000,42900,42300,74210,84900,16.44,2937.95
28,23/07/2019,42900,43004.82,43000,14510,43100,42850,74940,93140,16.44,2937.95
29,22/07/2019,43100,43035.54,43000,20820,43500,43000,104860,99190,16.44,2937.95
30,19/07/2019,43400,43021.47,43050,13040,43500,43000,39230,118070,16.44,2937.95
