,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,13700,13599.83,13450,426770,13700,13450,0,0,5.03,990.27
1,29/08/2019,13450,13355.85,13250,242740,13450,13250,697810,343540,5.03,990.27
2,28/08/2019,13250,13332.51,13450,650140,13500,13200,1140320,1048370,5.03,990.27
3,27/08/2019,13450,13519.7,13700,537660,13700,13450,841360,921930,5.03,990.27
4,26/08/2019,13600,13589.78,13750,692800,13800,13500,1015950,973230,5.03,990.27
5,23/08/2019,13850,13747.3,13650,352360,13900,13650,823420,559960,5.03,990.27
6,22/08/2019,13650,13661.64,13650,487350,13900,13550,739740,829540,5.03,990.27
7,21/08/2019,13650,13698.7,13750,375510,13800,13650,603700,624230,5.03,990.27
8,20/08/2019,13750,13774.5,13800,392900,13900,13700,679780,651390,5.03,990.27
9,19/08/2019,13750,13841.43,14000,316080,14100,13750,517020,721230,5.03,990.27
10,16/08/2019,13800,13785.3,13850,432780,14000,13700,804140,768020,5.03,990.27
11,15/08/2019,13850,13814.56,13800,374460,13900,13750,682970,602600,5.03,990.27
12,14/08/2019,13850,14015.32,14250,545760,14250,13850,825870,997130,5.03,990.27
13,13/08/2019,14000,14130.08,14400,679260,14400,14000,990330,1096920,5.03,990.27
14,12/08/2019,14400,14173.38,14000,359900,14400,13950,985830,458430,5.03,990.27
15,09/08/2019,14050,14062.73,13900,539440,14250,13750,1141890,789250,5.03,990.27
16,08/08/2019,13750,13599.57,13550,560900,13800,13450,1049270,754860,5.03,990.27
17,07/08/2019,13550,13594.45,13650,253780,13700,13550,553530,464660,5.03,990.27
18,06/08/2019,13650,13597.12,13500,264100,13750,13400,578550,452380,5.03,990.27
19,05/08/2019,13650,13731.51,14000,576630,14000,13600,821440,1042530,5.03,990.27
20,02/08/2019,14000,14073.19,14300,511540,14300,13950,847250,841260,5.03,990.27
21,01/08/2019,14350,14431.38,14500,261860,14600,14350,809180,424640,5.03,990.27
22,31/07/2019,14400,14342.22,14600,270530,14600,14200,632190,530630,5.03,990.27
23,30/07/2019,14500,14636.03,14900,400860,14900,14500,580890,708050,5.03,990.27
24,29/07/2019,14900,14947.05,14800,297450,15050,14800,594580,578900,5.03,990.27
25,26/07/2019,14700,14756.3,14900,319660,15000,14700,780270,772960,5.03,990.27
26,25/07/2019,14900,14972.04,15000,144870,15100,14900,274680,281470,5.03,990.27
27,24/07/2019,15000,15018.6,15100,284980,15200,14950,602190,530630,5.03,990.27
28,23/07/2019,15100,15142.68,15150,315400,15250,15100,605650,495030,5.03,990.27
29,22/07/2019,15150,15167.64,15150,212360,15300,15100,568170,468400,5.03,990.27
30,19/07/2019,15150,15211.42,15250,407720,15300,15150,831790,855350,5.03,990.27
31,18/07/2019,15200,15205.33,15300,151460,15300,15150,516130,354370,5.03,990.27
32,17/07/2019,15300,15348.56,15350,307260,15450,15250,677180,745840,5.03,990.27
33,16/07/2019,15350,15378.78,15400,290140,15500,15300,817150,780340,5.03,990.27
34,15/07/2019,15350,15405.87,15450,495720,15450,15350,1152370,1003170,5.03,990.27
35,12/07/2019,15450,15507.74,15500,451710,15600,15450,982410,1002570,5.03,990.27
36,11/07/2019,15500,15606.06,15750,369600,15750,15500,668690,1093700,5.03,990.27
37,10/07/2019,15650,15625.08,15500,385470,15750,15500,1239550,929750,5.03,990.27
38,09/07/2019,15500,15476.04,15450,461940,15600,15400,1125530,962880,5.03,990.27
39,08/07/2019,15450,15408.43,15500,658990,15500,15300,1405390,993560,5.03,990.27
40,05/07/2019,15450,15511.16,15600,487520,15650,15400,1094660,1150930,5.03,990.27
41,04/07/2019,15600,15461.22,15250,469950,15600,15250,1169450,942430,5.03,990.27
42,03/07/2019,15250,15342.06,15500,381370,15500,15250,1335360,1244050,5.03,990.27
43,02/07/2019,15550,15575.34,15700,536810,15700,15450,1443700,1477280,5.03,990.27
44,01/07/2019,15800,15547.51,15250,626660,15800,15200,2045280,1010240,5.03,990.27
45,28/06/2019,15150,14922.91,15000,961810,15200,14700,2769450,1376560,5.03,990.27
46,27/06/2019,15000,15079.53,15650,2126990,15700,14650,3609070,3650150,5.03,990.27
47,26/06/2019,15650,15796.64,16000,1411060,16050,15650,1885040,2161000,5.03,990.27
48,25/06/2019,16100,16104.21,16200,532780,16200,16050,1066910,974650,5.03,990.27
49,24/06/2019,16300,16189.74,16300,399080,16400,16050,2088340,582260,5.03,990.27
50,21/06/2019,16000,16026.97,16300,6145890,16300,15950,12017750,6542170,5.03,990.27
51,20/06/2019,16300,16283.34,16400,1328720,16400,16200,2048270,1751730,5.03,990.27
52,19/06/2019,16250,16396.25,16600,432050,16600,16250,632980,1733660,5.03,990.27
53,18/06/2019,16550,16519.48,16500,115500,16650,16450,400740,4243410,5.03,990.27
54,17/06/2019,16500,16648.3,17100,471760,17100,16450,893330,912100,5.03,990.27
55,14/06/2019,17150,17167.76,17400,285710,17500,17000,418470,564540,5.03,990.27
56,13/06/2019,17350,17345.02,17600,944940,17600,17200,1450930,1336430,5.03,990.27
57,12/06/2019,17700,17648.61,17800,798250,18050,17450,1059690,1198020,5.03,990.27
58,11/06/2019,17800,17922.19,18200,169120,18200,17800,350750,481180,5.03,990.27
59,10/06/2019,18200,18158.42,18200,283670,18300,17900,378430,669520,5.03,990.27
60,07/06/2019,18050,18024.75,18100,124440,18150,17900,410070,314580,5.03,990.27
61,06/06/2019,18000,17987.6,18200,191910,18300,17700,430320,497210,5.03,990.27
62,05/06/2019,18200,18161.06,18300,380980,18300,18000,755110,807000,5.03,990.27
63,04/06/2019,17850,17850.18,18000,338540,18200,17600,808120,529500,5.03,990.27
64,03/06/2019,18000,17949.09,17850,696080,18250,17600,1227590,1089550,5.03,990.27
65,31/05/2019,17850,18122.12,18350,607600,18550,17850,781410,1046940,5.03,990.27
66,30/05/2019,18250,18377.82,18600,241650,18600,18250,477570,473320,5.03,990.27
67,29/05/2019,18550,18418.81,18400,293070,18650,18200,665230,487930,5.03,990.27
68,28/05/2019,18250,18329.54,18500,426470,18650,18100,734000,887400,5.03,990.27
69,27/05/2019,18600,18542.94,18550,180500,18650,18400,400170,506590,5.03,990.27
70,24/05/2019,18550,18532.5,18500,720410,18750,18200,1212460,1315990,5.03,990.27
71,23/05/2019,18550,18111.19,17550,779960,18550,17500,1431800,1049130,5.03,990.27
72,22/05/2019,17550,17625.81,17650,119030,17750,17550,283200,448290,5.03,990.27
73,21/05/2019,17650,17749.78,17700,201580,17850,17650,358310,504190,5.03,990.27
74,20/05/2019,17550,17603.95,17550,216940,17700,17550,445730,459140,5.03,990.27
75,17/05/2019,17550,17709.4,17800,254780,17900,17550,555450,599080,5.03,990.27
76,16/05/2019,17850,17858.18,17800,138200,18000,17800,375030,420320,5.03,990.27
77,15/05/2019,17900,17769.08,17650,135460,17900,17650,437700,293820,5.03,990.27
78,14/05/2019,17650,17591.03,17700,271900,17950,17500,533730,529040,5.03,990.27
79,13/05/2019,17700,17707.3,17500,121080,17900,17500,393980,335930,5.03,990.27
80,10/05/2019,17900,17821.24,17950,127320,17950,17700,382900,402150,5.03,990.27
81,09/05/2019,17600,17731.43,17550,98300,17900,17550,262840,422180,5.03,990.27
82,08/05/2019,17500,17731.65,18000,189830,18000,17500,406460,424290,5.03,990.27
83,07/05/2019,18000,17837.12,17700,367380,18050,17400,560330,678710,5.03,990.27
84,06/05/2019,17700,17816.43,18000,136840,18000,17700,266670,394310,5.03,990.27
85,03/05/2019,18150,18107.68,18100,283250,18150,18000,560050,516670,5.03,990.27
86,02/05/2019,18050,18031.63,18100,268140,18150,17800,611030,561930,5.03,990.27
87,26/04/2019,18000,17898.13,17900,139400,18000,17800,267240,345610,5.03,990.27
88,25/04/2019,18050,17989.08,18000,78770,18100,17800,468350,249880,5.03,990.27
89,24/04/2019,18000,17980.12,17700,216350,18100,17700,790530,495950,5.03,990.27
90,23/04/2019,17700,17466.38,17050,473710,17850,17050,1465620,742500,5.03,990.27
91,22/04/2019,17050,17222.92,17600,237300,17600,17050,396680,570260,5.03,990.27
92,19/04/2019,17550,17479.02,17550,286000,17550,17350,825370,468830,5.03,990.27
93,18/04/2019,17550,17761.0,17950,360340,18050,17550,492240,737910,5.03,990.27
94,17/04/2019,18050,18127.48,18200,138850,18200,18000,365110,417330,5.03,990.27
95,16/04/2019,18100,18057.96,18300,416160,18300,17900,667790,705990,5.03,990.27
96,12/04/2019,18300,18228.46,18350,214390,18350,18150,488740,421030,5.03,990.27
97,11/04/2019,18200,18224.54,18400,138330,18500,18150,396050,396820,5.03,990.27
98,10/04/2019,18200,18359.89,18600,350220,18600,18200,538040,805360,5.03,990.27
99,09/04/2019,18600,18758.91,19000,210460,19000,18600,354490,524690,5.03,990.27
100,08/04/2019,18950,18966.73,18600,184270,19100,18600,493850,436240,5.03,990.27
101,05/04/2019,18600,18613.13,18800,312790,18800,18500,973840,533030,5.03,990.27
102,04/04/2019,18800,18905.16,19200,540170,19200,18700,985430,840530,5.03,990.27
103,03/04/2019,19200,19207.34,19200,159210,19300,19150,397610,417320,5.03,990.27
104,02/04/2019,19250,19391.81,19550,110820,19550,19200,251210,355980,5.03,990.27
105,01/04/2019,19550,19452.66,19500,185990,19600,19250,341980,459300,5.03,990.27
106,29/03/2019,19600,19348.75,19250,529750,19600,19200,876430,858730,5.03,990.27
107,28/03/2019,19250,19472.41,19850,543230,19850,19100,855300,1130970,5.03,990.27
108,27/03/2019,19800,19821.16,19850,114070,19900,19750,266000,513660,5.03,990.27
109,26/03/2019,19850,19764.26,19800,226520,19850,19700,499280,503330,5.03,990.27
110,25/03/2019,19800,19730.64,19600,599930,19950,19600,901150,1240870,5.03,990.27
111,22/03/2019,20000,20000.88,20000,228440,20200,19900,417630,798240,5.03,990.27
112,21/03/2019,20000,20026.61,20300,323220,20300,19800,529490,660620,5.03,990.27
113,20/03/2019,20200,20066.37,20050,268210,20200,19950,675870,632390,5.03,990.27
114,19/03/2019,20050,20167.37,20300,517420,20350,19950,912850,917180,5.03,990.27
115,18/03/2019,20450,20337.24,20200,437670,20500,20200,934100,893490,5.03,990.27
116,15/03/2019,20150,20318.76,20500,471830,20550,20150,869240,894720,5.03,990.27
117,14/03/2019,20400,20476.56,20500,325250,20600,20400,520000,714510,5.03,990.27
118,13/03/2019,20500,20729.99,20800,405210,20900,20500,547990,898180,5.03,990.27
119,12/03/2019,20750,20601.77,20400,334680,20750,20400,648680,721090,5.03,990.27
120,11/03/2019,20400,20424.54,20500,249210,20550,20350,427950,1026390,5.03,990.27
121,08/03/2019,20400,20405.83,20400,271050,20600,20300,704730,765950,5.03,990.27
122,07/03/2019,20600,20666.55,20900,410470,20950,20500,603210,1001480,5.03,990.27
123,06/03/2019,20900,20779.96,20900,122570,20900,20650,399110,426790,5.03,990.27
124,05/03/2019,20800,20652.58,20450,533880,20800,20400,1165210,887530,5.03,990.27
125,04/03/2019,20450,20459.26,20500,458130,20600,20300,929820,996120,5.03,990.27
126,01/03/2019,20450,20436.32,20800,169600,20800,20350,342030,560330,5.03,990.27
127,28/02/2019,20400,20559.64,20400,496750,20850,20400,851430,854030,5.03,990.27
128,27/02/2019,20400,20489.03,20650,622870,20650,20350,1077510,1086220,5.03,990.27
129,26/02/2019,20850,20895.27,21200,581280,21200,20700,1045110,1317140,5.03,990.27
130,25/02/2019,21000,21176.29,20900,510760,21600,20900,871540,873010,5.03,990.27
131,22/02/2019,20900,21012.09,21900,1910900,21900,20750,3114130,2919820,5.03,990.27
132,21/02/2019,21900,22053.92,22800,1295960,22900,21400,1757630,2390680,5.03,990.27
133,20/02/2019,22900,22882.73,22800,591800,23000,22750,922910,1150700,5.03,990.27
134,19/02/2019,22900,23058.3,22700,1193410,23300,22700,1910450,2089260,5.03,990.27
135,18/02/2019,22700,22785.48,22900,770710,23000,22650,1151350,1558400,5.03,990.27
136,15/02/2019,23000,23021.68,23300,1027640,23300,22900,1507750,1942490,5.03,990.27
137,14/02/2019,23300,23454.91,23500,656110,23700,23300,823830,1552130,5.03,990.27
138,13/02/2019,23450,23328.9,23000,1422570,23600,22700,2235190,2547940,5.03,990.27
139,12/02/2019,22600,22492.03,22550,753200,22600,22400,1098990,1184890,5.03,990.27
140,11/02/2019,22550,22462.53,22500,368970,22600,22300,581480,843020,5.03,990.27
141,01/02/2019,22400,22458.17,22500,357420,22700,22300,512290,932790,5.03,990.27
142,31/01/2019,22700,22811.23,22700,695140,23000,22600,848310,1366820,5.03,990.27
143,30/01/2019,22700,22660.81,22900,138830,22900,22500,211710,591060,5.03,990.27
144,29/01/2019,22900,22235.68,22200,610910,22900,21750,889560,944580,5.03,990.27
145,28/01/2019,22200,22057.85,21800,257550,22400,21700,506530,534490,5.03,990.27
146,25/01/2019,21900,22028.33,22550,553560,22550,21900,712170,1377150,5.03,990.27
147,24/01/2019,22550,22598.03,22850,549340,22850,22350,735540,1165110,5.03,990.27
148,23/01/2019,22850,22854.16,22800,468580,22950,22600,699610,1164190,5.03,990.27
149,22/01/2019,22800,22737.99,22550,687000,23100,22350,1252690,1776750,5.03,990.27
150,21/01/2019,22550,22746.25,23000,443150,23000,22550,742720,1103710,5.03,990.27
151,18/01/2019,23200,22846.01,22700,757200,23200,22500,1110700,1384080,5.03,990.27
152,17/01/2019,22750,22588.55,22100,1264490,22950,22100,1942960,2004140,5.03,990.27
153,16/01/2019,22100,22046.92,22200,291560,22300,21900,487390,808770,5.03,990.27
154,15/01/2019,22000,21574.7,21400,743000,22000,21200,1086100,1056670,5.03,990.27
155,14/01/2019,21300,21253.94,21200,241320,21450,21150,381710,623800,5.03,990.27
156,11/01/2019,21350,21405.19,21550,311560,21550,21100,498490,734410,5.03,990.27
157,10/01/2019,21550,21413.47,21000,614940,21700,21000,860800,1124630,5.03,990.27
158,09/01/2019,21400,21486.06,21500,257190,21600,21350,445390,606610,5.03,990.27
159,08/01/2019,21350,21411.22,21800,156460,21800,21200,274960,532620,5.03,990.27
160,07/01/2019,21800,21749.42,21400,228190,21900,21400,360400,650100,5.03,990.27
161,04/01/2019,21600,21231.58,20900,683510,21600,20500,1171330,1221650,5.03,990.27
162,03/01/2019,21000,21498.46,21900,738890,22200,21000,982470,1436570,5.03,990.27
163,02/01/2019,22000,22024.29,22100,432250,22450,21700,681830,871450,5.03,990.27
164,28/12/2018,22300,22410.28,22550,343280,22600,22250,525170,902970,5.03,990.27
165,27/12/2018,22600,22654.52,22800,419210,22950,22500,698920,1342350,5.03,990.27
166,26/12/2018,22700,22760.43,22500,445510,23000,22500,727500,1338620,5.03,990.27
167,25/12/2018,22750,22097.4,21700,964050,22750,21600,1526240,1496650,5.03,990.27
168,24/12/2018,22000,21992.65,21600,1146110,22150,21600,1550750,1835550,5.03,990.27
169,21/12/2018,21500,21577.79,21500,492080,21800,21350,1361250,1091260,5.03,990.27
170,20/12/2018,21750,21327.31,20750,542450,21800,20750,1042540,906500,5.03,990.27
171,19/12/2018,21000,20943.03,20950,292460,21100,20700,594500,602130,5.03,990.27
172,18/12/2018,20950,20909.38,20950,383560,21100,20600,1016630,958090,5.03,990.27
173,17/12/2018,20950,21108.99,21400,183050,21400,20950,304610,575530,5.03,990.27
174,14/12/2018,21400,21299.4,20850,745420,21700,20800,1659530,1748670,5.03,990.27
175,13/12/2018,20850,20911.49,21200,254310,21200,20650,526640,857900,5.03,990.27
176,12/12/2018,21000,21102.67,20900,334460,21300,20900,624840,876730,5.03,990.27
177,11/12/2018,21000,20968.51,20800,271550,21300,20800,668220,627920,5.03,990.27
178,10/12/2018,20800,21052.37,20600,612710,21500,20600,979020,1193080,5.03,990.27
179,07/12/2018,21000,21459.3,21800,441720,21800,21000,789140,1031260,5.03,990.27
