,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,22400,22280.68,22150,262290,22450,22000,0,0,10.02,1275.37
1,29/08/2019,22000,22045.73,22200,114580,22200,21700,290960,368790,10.02,1275.37
2,28/08/2019,22150,21633.73,21600,399700,22200,21250,881570,601820,10.02,1275.37
3,27/08/2019,21700,22000.81,22100,421530,22450,21700,662860,782720,10.02,1275.37
4,26/08/2019,22200,22093.08,22200,378580,22550,21900,686510,643890,10.02,1275.37
5,23/08/2019,22400,22587.14,23150,729840,23300,22300,1277880,1323940,10.02,1275.37
6,22/08/2019,23000,22772.3,22400,755040,23050,22200,1485940,1277230,10.02,1275.37
7,21/08/2019,22300,22378.65,22000,594540,22600,21900,1320890,1146160,10.02,1275.37
8,20/08/2019,22000,22149.62,21800,752970,22500,21800,1744310,1386970,10.02,1275.37
9,19/08/2019,21500,21765.11,21600,321340,22150,21500,597990,761700,10.02,1275.37
10,16/08/2019,21600,21764.73,22000,691210,22300,21350,2939500,1212700,10.02,1275.37
11,15/08/2019,21600,21624.17,20900,964060,22200,20500,2134430,1852570,10.02,1275.37
12,14/08/2019,20950,21109.55,20600,1033750,21400,20400,1480500,1740780,10.02,1275.37
13,13/08/2019,20600,20389.6,20300,239730,20600,20200,465440,430430,10.02,1275.37
14,12/08/2019,20600,20511.05,20600,290380,20600,20350,547180,666650,10.02,1275.37
15,09/08/2019,20450,20156.01,19500,679450,20600,19500,1149470,1066320,10.02,1275.37
16,08/08/2019,19500,19426.84,19300,145160,19600,19200,298840,341570,10.02,1275.37
17,07/08/2019,19400,19428.38,19200,306150,19650,19200,522980,630750,10.02,1275.37
18,06/08/2019,19200,19207.93,19400,143170,19400,19100,314770,352640,10.02,1275.37
19,05/08/2019,19550,19538.58,19500,76720,19700,19400,227180,251120,10.02,1275.37
20,02/08/2019,19500,19474.56,19500,78410,19800,19250,424580,302350,10.02,1275.37
21,01/08/2019,19300,19484.24,19850,62820,19850,19300,142430,324310,10.02,1275.37
22,31/07/2019,19850,19695.33,19650,101750,19850,19500,240450,369950,10.02,1275.37
23,30/07/2019,19700,19589.46,19200,231400,19900,19100,561770,402430,10.02,1275.37
24,29/07/2019,19000,19112.92,19300,118140,19350,19000,199490,232550,10.02,1275.37
25,26/07/2019,19350,19400.66,19500,57730,19600,19300,228280,179860,10.02,1275.37
26,25/07/2019,19350,19431.72,19750,172450,19750,19350,303370,324730,10.02,1275.37
27,24/07/2019,19750,19655.66,19700,163210,19850,19600,395580,357360,10.02,1275.37
28,23/07/2019,19850,19885.18,20000,81870,20000,19800,182470,255710,10.02,1275.37
29,22/07/2019,20000,19948.98,19900,152890,20150,19800,395530,443770,10.02,1275.37
30,19/07/2019,19850,20017.16,19600,373030,20200,19600,732330,815730,10.02,1275.37
31,18/07/2019,19600,19792.76,19750,408230,20000,19600,814670,883380,10.02,1275.37
32,17/07/2019,19600,19494.86,19000,517880,19650,19000,853550,871250,10.02,1275.37
33,16/07/2019,18950,19084.92,19100,112340,19200,18900,191330,334360,10.02,1275.37
34,15/07/2019,19100,19148.02,19050,115730,19350,19050,256350,314160,10.02,1275.37
35,12/07/2019,19250,19433.35,19400,165180,19600,19250,257400,387680,10.02,1275.37
36,11/07/2019,19400,19202.11,19100,201280,19400,18950,373210,414940,10.02,1275.37
37,10/07/2019,19100,19155.3,19200,120280,19300,19050,231130,382400,10.02,1275.37
38,09/07/2019,19100,19037.45,18800,276350,19300,18600,636030,572070,10.02,1275.37
39,08/07/2019,18600,18696.28,18900,41880,18900,18600,261990,216850,10.02,1275.37
40,05/07/2019,18900,18872.25,19000,139570,19000,18800,319620,400970,10.02,1275.37
41,04/07/2019,18950,18881.44,18500,346160,19200,18450,846260,694940,10.02,1275.37
42,03/07/2019,18500,18532.65,18500,70740,18650,18450,259280,220050,10.02,1275.37
43,02/07/2019,18600,18488.13,18700,193800,18700,18350,536510,348320,10.02,1275.37
44,01/07/2019,18550,18551.39,18400,168990,18700,18350,345710,386610,10.02,1275.37
45,28/06/2019,18400,18264.35,18200,64990,18400,18200,249060,156990,10.02,1275.37
46,27/06/2019,18300,18448.99,18600,182720,18700,18300,285130,376930,10.02,1275.37
47,26/06/2019,18650,18556.7,18400,168780,18700,18300,404920,289010,10.02,1275.37
48,25/06/2019,18300,18181.82,18200,142890,18300,18050,402430,259160,10.02,1275.37
49,24/06/2019,18100,18153.34,18500,274550,18500,18000,438500,391340,10.02,1275.37
50,21/06/2019,18500,18537.84,18500,128440,18800,18400,258500,313320,10.02,1275.37
51,20/06/2019,18550,18166.05,18100,345920,18800,17950,906660,474860,10.02,1275.37
52,19/06/2019,18200,18279.05,18250,478690,18450,18150,657590,648720,10.02,1275.37
53,18/06/2019,18250,18506.32,18900,333940,18900,18200,482010,642180,10.02,1275.37
54,17/06/2019,18850,18937.46,19350,269730,19350,18800,490820,548520,10.02,1275.37
55,14/06/2019,19250,19273.47,19250,152230,19400,19100,343000,358120,10.02,1275.37
56,13/06/2019,19250,19316.3,19300,180780,19500,19200,385040,388210,10.02,1275.37
57,12/06/2019,19250,19364.9,19700,121870,19700,19200,372330,287420,10.02,1275.37
