,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,53100,53158.0,53000,708360,53400,52900,0,0,24.23,4318.87
1,29/08/2019,52700,52292.02,52200,972940,52800,51900,1907220,1805470,24.23,4318.87
2,28/08/2019,52100,52510.63,53000,1537860,53200,52100,3033410,2575080,24.23,4318.87
3,27/08/2019,52800,53528.22,54000,1566370,54300,52800,2594150,3065760,24.23,4318.87
4,26/08/2019,53700,53889.17,53500,1756160,54200,53500,3290290,3024420,24.23,4318.87
5,23/08/2019,54400,53198.27,53100,1868200,54400,52600,4073660,3093620,24.23,4318.87
6,22/08/2019,53000,53597.09,53600,1892640,54300,52900,3228780,3770890,24.23,4318.87
7,21/08/2019,53600,53820.75,54100,1808020,54500,53400,3755670,3785830,24.23,4318.87
8,20/08/2019,54000,53317.97,52400,2277750,54000,52400,4283210,3354660,24.23,4318.87
9,19/08/2019,52400,51901.2,52000,2849780,52700,51200,6457760,4621520,24.23,4318.87
10,16/08/2019,52000,53711.53,53000,4531020,55100,52000,6107020,6785690,24.23,4318.87
11,15/08/2019,53000,52211.0,51900,2223880,53000,51400,4201730,3351260,24.23,4318.87
12,14/08/2019,53200,53328.47,53000,2205370,53700,52800,3612860,3903340,24.23,4318.87
13,13/08/2019,52500,52290.46,52100,2237980,53200,51700,3828450,3472630,24.23,4318.87
14,12/08/2019,52300,51758.6,51100,1817920,52600,50700,3519980,2869130,24.23,4318.87
15,09/08/2019,51100,50957.94,50300,1751680,51400,50000,3234990,2858900,24.23,4318.87
16,08/08/2019,50300,50216.49,49850,2085510,50600,49850,3230440,3310660,24.23,4318.87
17,07/08/2019,49750,49320.05,49000,1246410,49750,48950,2670950,2096100,24.23,4318.87
18,06/08/2019,48950,48739.43,48200,1304570,49300,48200,2595250,2181390,24.23,4318.87
19,05/08/2019,49000,49248.96,49000,2322100,49800,48800,3615040,3823540,24.23,4318.87
20,02/08/2019,48800,48324.26,48050,1451900,49000,47850,2916430,2198760,24.23,4318.87
21,01/08/2019,48350,48422.9,48400,965060,48600,48200,1439580,1907000,24.23,4318.87
22,31/07/2019,48400,47850.49,47800,1111880,48400,47500,2077000,1837560,24.23,4318.87
23,30/07/2019,47800,48149.81,48600,2092220,48600,47700,2770700,3387140,24.23,4318.87
24,29/07/2019,48600,48455.92,48800,1130450,48800,48200,2457530,2330840,24.23,4318.87
25,26/07/2019,48800,48530.23,48500,1043020,48800,48350,2439160,1743910,24.23,4318.87
26,25/07/2019,48650,48661.31,48600,1157100,48950,48500,2075930,2321480,24.23,4318.87
27,24/07/2019,48600,48909.5,49350,1952770,49400,48600,2810740,3793570,24.23,4318.87
28,23/07/2019,48800,48518.26,48500,948550,48800,48100,2255860,1826070,24.23,4318.87
29,22/07/2019,48350,48331.23,48200,1755780,48650,47950,3291320,3063790,24.23,4318.87
30,19/07/2019,48200,47734.0,46950,2811560,48300,46900,5150120,3869740,24.23,4318.87
31,18/07/2019,46800,46907.59,47000,1035440,47100,46800,1736810,2072390,24.23,4318.87
32,17/07/2019,47050,47153.48,47300,1292630,47500,47000,2091670,2539270,24.23,4318.87
33,16/07/2019,47300,47474.14,47350,1160000,47800,47250,1920540,2570290,24.23,4318.87
34,15/07/2019,47300,47219.53,46950,1176060,47550,46850,2440830,2577680,24.23,4318.87
35,12/07/2019,47000,47109.83,47100,1241970,47450,46800,2134820,2574500,24.23,4318.87
36,11/07/2019,47000,47020.39,47150,854140,47250,46800,1433800,2151820,24.23,4318.87
37,10/07/2019,47050,47201.98,46950,1281980,47450,46800,1975980,2766120,24.23,4318.87
38,09/07/2019,46750,46521.66,46300,992570,46850,46100,2106550,2640520,24.23,4318.87
39,08/07/2019,46300,46437.21,46500,1303050,46900,46050,2812990,2708220,24.23,4318.87
40,05/07/2019,46600,46723.85,46800,1137770,47000,46400,1961760,2903410,24.23,4318.87
41,04/07/2019,46950,46970.53,47000,1275800,47200,46800,2080550,2885400,24.23,4318.87
42,03/07/2019,46800,46712.81,46700,1275860,46900,46550,2990020,3398210,24.23,4318.87
43,02/07/2019,46900,47033.64,47000,1600280,47500,46650,2985530,4053960,24.23,4318.87
44,01/07/2019,47100,46627.18,46000,2551280,47100,45900,3942980,3618700,24.23,4318.87
45,28/06/2019,45500,45258.59,45400,2479220,46000,44900,4265230,3778860,24.23,4318.87
46,27/06/2019,45400,45711.46,46050,1221860,46100,45300,1925540,2414830,24.23,4318.87
47,26/06/2019,46150,46274.41,46500,1014470,46500,46100,1668570,2259040,24.23,4318.87
48,25/06/2019,46500,45823.0,45000,3269450,46550,44800,6413580,4237930,24.23,4318.87
49,24/06/2019,45150,45305.44,45400,726160,45450,45150,1092220,1794550,24.23,4318.87
