,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,15900,15685.87,15000,1443720,15950,15000,0,0,13.69,2718.71
1,29/08/2019,15000,14819.77,14800,590630,15050,14600,1003220,940120,13.69,2718.71
2,28/08/2019,14900,15089.43,15300,207430,15500,14900,325460,728510,13.69,2718.71
3,27/08/2019,15300,15147.8,15300,554470,15500,14950,823120,1236690,13.69,2718.71
4,26/08/2019,15300,15460.45,15350,437180,15750,15300,744570,1079170,13.69,2718.71
5,23/08/2019,15400,15318.01,15300,545110,15450,15150,789360,1135280,13.69,2718.71
6,22/08/2019,15300,15309.45,15500,171920,15500,15250,293490,658270,13.69,2718.71
7,21/08/2019,15350,15171.08,15200,625730,15350,15050,1104500,1244200,13.69,2718.71
8,20/08/2019,15100,15305.2,15050,763270,15550,15050,1295150,1581800,13.69,2718.71
9,19/08/2019,14900,14924.11,15100,117930,15150,14800,245940,480260,13.69,2718.71
10,16/08/2019,15100,14966.33,15000,874630,15300,14650,1281740,1519070,13.69,2718.71
11,15/08/2019,15050,14724.7,14500,533050,15050,14150,1199200,953050,13.69,2718.71
12,14/08/2019,14700,14867.05,15100,475750,15300,14600,661160,1103960,13.69,2718.71
13,13/08/2019,15100,14999.89,15150,475870,15200,14800,736340,1075010,13.69,2718.71
14,12/08/2019,15400,14872.13,14800,383200,15400,14450,892780,756680,13.69,2718.71
15,09/08/2019,14800,15306.17,15150,656990,15600,14800,1053540,2015980,13.69,2718.71
16,08/08/2019,15050,14882.69,14400,1975180,15050,14200,2949620,2336360,13.69,2718.71
17,07/08/2019,14100,14098.44,13650,603400,14400,13550,1172090,1371650,13.69,2718.71
18,06/08/2019,13550,13472.91,13500,213020,13700,13250,633860,556440,13.69,2718.71
19,05/08/2019,13600,13625.95,13500,283650,13800,13400,559980,605810,13.69,2718.71
20,02/08/2019,13350,13428.5,13000,502960,13750,13000,1238660,821480,13.69,2718.71
21,01/08/2019,13100,13053.26,13050,151150,13200,13000,413980,452330,13.69,2718.71
22,31/07/2019,13050,13183.58,13050,162930,13400,13050,531720,484520,13.69,2718.71
23,30/07/2019,13300,13441.83,13550,478060,13650,13300,628780,847810,13.69,2718.71
24,29/07/2019,13600,13541.46,13500,152790,13600,13400,270200,441140,13.69,2718.71
25,26/07/2019,13600,13682.39,13750,387140,13800,13550,556880,1044580,13.69,2718.71
26,25/07/2019,13700,13663.8,13700,117610,13750,13600,262790,1200360,13.69,2718.71
27,24/07/2019,13700,13433.59,13300,753410,13750,13200,1072620,1224290,13.69,2718.71
28,23/07/2019,13350,13125.72,12950,514410,13400,12700,791140,892720,13.69,2718.71
29,22/07/2019,13000,12868.22,13000,109650,13000,12800,244670,394850,13.69,2718.71
30,19/07/2019,13000,12989.96,13000,154350,13150,12800,276200,529030,13.69,2718.71
31,18/07/2019,13000,12842.27,13050,243960,13150,12750,408590,392070,13.69,2718.71
32,17/07/2019,13050,13151.97,13200,164310,13250,13050,267070,481580,13.69,2718.71
33,16/07/2019,13250,13127.1,13400,330690,13450,12800,511480,688730,13.69,2718.71
34,15/07/2019,13200,13260.58,12900,468230,13450,12900,942580,879530,13.69,2718.71
35,12/07/2019,13000,13002.2,12800,200120,13200,12800,445550,629900,13.69,2718.71
36,11/07/2019,12800,13137.05,12950,347110,13350,12800,709360,1002930,13.69,2718.71
37,10/07/2019,12800,12482.38,12000,1064300,12800,11800,1716580,1308720,13.69,2718.71
38,09/07/2019,12000,11981.21,11900,127700,12000,11750,196120,239750,13.69,2718.71
39,08/07/2019,11900,11791.49,11850,63690,12000,11700,137690,221230,13.69,2718.71
40,05/07/2019,11900,11863.01,11950,108910,11950,11850,234590,402420,13.69,2718.71
41,04/07/2019,11900,11819.37,11950,436910,11950,11750,745460,826520,13.69,2718.71
42,03/07/2019,11850,11842.11,11950,173280,12000,11800,291170,437050,13.69,2718.71
43,02/07/2019,11950,11967.02,12000,49720,12000,11950,122050,343050,13.69,2718.71
44,01/07/2019,12000,11991.95,11900,79470,12150,11900,232610,334930,13.69,2718.71
45,28/06/2019,11850,11873.54,11850,68640,12000,11800,240520,263350,13.69,2718.71
46,27/06/2019,11850,11877.88,12000,149690,12000,11800,214310,386100,13.69,2718.71
47,26/06/2019,12000,11953.09,11950,145820,12000,11950,258810,536640,13.69,2718.71
48,25/06/2019,11950,12032.09,12200,108460,12200,11950,191860,346510,13.69,2718.71
49,24/06/2019,12200,12178.3,12100,530780,12400,11900,1046300,884330,13.69,2718.71
50,21/06/2019,12050,11965.62,12000,89590,12050,11900,333420,401710,13.69,2718.71
51,20/06/2019,11900,12027.05,12100,156730,12200,11850,346290,658660,13.69,2718.71
52,19/06/2019,12100,12015.24,12000,333410,12200,11950,715120,604010,13.69,2718.71
53,18/06/2019,11900,11963.07,11900,149460,12100,11900,358000,539840,13.69,2718.71
54,17/06/2019,11900,11876.28,12000,127060,12000,11800,276300,401900,13.69,2718.71
55,14/06/2019,11900,11940.86,12000,184660,12200,11900,291070,413520,13.69,2718.71
56,13/06/2019,12000,11996.32,12100,130290,12200,11950,216670,296250,13.69,2718.71
57,12/06/2019,12100,12200.7,12400,235970,12400,12100,449980,624810,13.69,2718.71
58,11/06/2019,12400,12320.97,12400,54460,12400,12250,129860,244550,13.69,2718.71
59,10/06/2019,12400,12370.51,12450,82050,12450,12250,245530,330310,13.69,2718.71
60,07/06/2019,12450,12433.3,12450,56220,12450,12400,144950,334800,13.69,2718.71
61,06/06/2019,12400,12356.14,12200,191160,12450,12150,367440,455080,13.69,2718.71
62,05/06/2019,12150,12213.74,12250,30130,12250,12150,113920,206140,13.69,2718.71
63,04/06/2019,12150,12206.95,12100,125830,12400,12100,301280,506390,13.69,2718.71
64,03/06/2019,13800,13784.87,13800,196810,13850,13700,313230,447390,13.69,2718.71
65,31/05/2019,13800,13838.52,13950,191350,13950,13800,361060,698870,13.69,2718.71
66,30/05/2019,13800,13891.64,13950,565880,13950,13800,717700,938100,13.69,2718.71
67,29/05/2019,13850,13868.49,13800,295490,13950,13750,449200,657240,13.69,2718.71
68,28/05/2019,13800,13703.38,13750,135660,13800,13600,385320,279060,13.69,2718.71
69,27/05/2019,13600,13682.28,13800,87120,13800,13600,244830,298620,13.69,2718.71
70,24/05/2019,13750,13755.52,13800,330340,13900,13600,732740,550630,13.69,2718.71
71,23/05/2019,13750,13794.34,13850,363410,13850,13700,497360,600430,13.69,2718.71
72,22/05/2019,13800,13792.1,13600,586350,13900,13600,815970,1212670,13.69,2718.71
73,21/05/2019,13550,13439.9,13400,240850,13550,13300,521060,448430,13.69,2718.71
74,20/05/2019,13400,13366.47,13350,76460,13400,13300,225030,259980,13.69,2718.71
75,17/05/2019,13400,13392.62,13550,74220,13550,13350,256730,431960,13.69,2718.71
76,16/05/2019,13500,13385.09,13300,297570,13600,13200,594830,678210,13.69,2718.71
77,15/05/2019,13150,13127.83,13250,46390,13300,13050,260800,157600,13.69,2718.71
78,14/05/2019,13000,12992.03,13000,165640,13100,12950,387010,262030,13.69,2718.71
79,13/05/2019,13100,13013.91,13200,64700,13200,13000,209770,177740,13.69,2718.71
80,10/05/2019,13000,12982.74,13250,100210,13250,12950,355480,218310,13.69,2718.71
81,09/05/2019,13000,12968.91,13400,155680,13400,12900,260130,341100,13.69,2718.71
82,08/05/2019,13100,13028.78,13000,109450,13150,12950,220590,284700,13.69,2718.71
83,07/05/2019,13050,13046.82,13100,130300,13150,13000,424350,233750,13.69,2718.71
84,06/05/2019,12900,13073.2,13300,225270,13350,12900,376220,416390,13.69,2718.71
85,03/05/2019,13350,13385.57,13450,93160,13450,13300,204310,417270,13.69,2718.71
86,02/05/2019,13450,13441.5,13200,67180,13550,13200,140930,345760,13.69,2718.71
87,26/04/2019,13550,13429.86,13350,255550,13550,13300,533150,518420,13.69,2718.71
88,25/04/2019,13400,13443.78,13500,147280,13500,13350,292330,432080,13.69,2718.71
89,24/04/2019,13500,13443.2,13300,135310,13500,13300,288720,354820,13.69,2718.71
90,23/04/2019,13450,13348.91,13250,346770,13500,13200,1169320,536540,13.69,2718.71
91,22/04/2019,13250,13290.28,13550,168770,13550,13200,272140,434390,13.69,2718.71
92,19/04/2019,13550,13481.29,13500,78850,13600,13350,392050,293570,13.69,2718.71
93,18/04/2019,13500,13343.4,13250,629450,13700,13150,2465740,1007120,13.69,2718.71
94,17/04/2019,13250,13351.91,13500,322950,13500,13200,783720,596580,13.69,2718.71
95,16/04/2019,13500,13419.64,13650,319010,13650,13250,548840,604520,13.69,2718.71
96,12/04/2019,13650,13664.2,13750,475110,13800,13600,1122890,1065700,13.69,2718.71
97,11/04/2019,13850,13800.14,13800,259780,14000,13650,592270,604670,13.69,2718.71
98,10/04/2019,13900,14010.74,14150,283140,14250,13850,807890,838220,13.69,2718.71
99,09/04/2019,14150,14084.27,13850,1717590,14350,13850,4743680,2887450,13.69,2718.71
100,08/04/2019,13950,13948.5,13900,419830,14200,13850,976250,848630,13.69,2718.71
101,05/04/2019,13600,13711.84,13750,578770,14000,13600,1525910,1074140,13.69,2718.71
102,04/04/2019,13600,13569.57,13450,395370,13750,13450,641160,575710,13.69,2718.71
103,03/04/2019,13500,13485.09,13500,80830,13550,13450,195680,290590,13.69,2718.71
104,02/04/2019,13500,13575.04,13650,180110,13700,13500,310930,338080,13.69,2718.71
105,01/04/2019,13550,13534.72,13550,221800,13800,13500,417800,393470,13.69,2718.71
106,29/03/2019,13500,13567.4,13550,226720,13700,13500,512370,341010,13.69,2718.71
107,28/03/2019,13450,13371.63,13400,250680,13550,13250,487820,592950,13.69,2718.71
108,27/03/2019,13450,13501.42,13700,303820,13700,13400,497430,554230,13.69,2718.71
109,26/03/2019,13600,13564.9,13550,148840,13750,13300,363640,234850,13.69,2718.71
110,25/03/2019,13650,13571.47,13700,159010,13700,13400,346560,329260,13.69,2718.71
111,22/03/2019,13750,13873.14,14000,315790,14200,13750,377730,695040,13.69,2718.71
112,21/03/2019,14000,14182.51,14200,341900,14400,14000,486030,681800,13.69,2718.71
113,20/03/2019,14200,14229.96,14300,128110,14400,14100,381410,386430,13.69,2718.71
114,19/03/2019,14300,14371.68,14250,536750,14550,14200,1039050,935230,13.69,2718.71
115,18/03/2019,14150,14017.65,14000,268590,14200,13800,596010,532890,13.69,2718.71
116,15/03/2019,14000,13974.92,14200,376460,14200,13800,561830,762300,13.69,2718.71
117,14/03/2019,14150,14290.83,14200,334900,14500,14150,719060,914360,13.69,2718.71
118,13/03/2019,14300,14279.31,13900,513050,14500,13900,963600,929850,13.69,2718.71
119,12/03/2019,14000,14170.96,13950,499190,14350,13900,725140,888310,13.69,2718.71
120,11/03/2019,13950,13837.22,13550,886450,14200,13500,1520370,1358090,13.69,2718.71
121,08/03/2019,13500,13524.71,13150,342780,13900,13150,1324950,755420,13.69,2718.71
122,07/03/2019,13150,13327.31,13450,221500,13500,13150,543610,419060,13.69,2718.71
123,06/03/2019,13450,13416.29,13400,433950,13600,13300,1159470,716600,13.69,2718.71
124,05/03/2019,13250,13241.7,13200,445260,13500,13100,932210,720210,13.69,2718.71
125,04/03/2019,13200,13110.58,13100,270850,13300,13000,735980,402430,13.69,2718.71
126,01/03/2019,13000,12919.2,12900,151480,13150,12850,403500,242180,13.69,2718.71
127,28/02/2019,12900,12972.03,13150,212380,13300,12800,289480,357860,13.69,2718.71
128,27/02/2019,13150,13136.89,13150,48870,13300,13050,138730,112640,13.69,2718.71
129,26/02/2019,13150,13128.7,13300,119890,13300,13050,197820,233830,13.69,2718.71
130,25/02/2019,13300,13352.36,13500,154130,13500,13250,263650,284860,13.69,2718.71
131,22/02/2019,13400,13524.79,13650,301890,13650,13400,487800,497040,13.69,2718.71
132,21/02/2019,13550,13531.89,13400,325010,13650,13400,631230,446240,13.69,2718.71
133,20/02/2019,13400,13436.55,13500,280950,13700,13300,672920,495870,13.69,2718.71
134,19/02/2019,13300,13426.2,13600,132800,13600,13300,201980,285720,13.69,2718.71
135,18/02/2019,13500,13532.29,13700,228860,13700,13500,361760,381280,13.69,2718.71
136,15/02/2019,13700,13743.44,13900,120130,13900,13600,241070,306040,13.69,2718.71
137,14/02/2019,13950,13730.78,13450,289350,13950,13450,588230,360960,13.69,2718.71
138,13/02/2019,13450,13347.66,13200,134930,13550,13200,326520,188440,13.69,2718.71
