,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,13500,13580.81,13600,660270,13700,13500,0,0,16.22,2210.78
1,29/08/2019,13600,13566.55,13650,992220,13700,13500,1808110,2350140,16.22,2210.78
2,28/08/2019,13700,13668.77,13750,726620,13750,13600,1177440,1734350,16.22,2210.78
3,27/08/2019,13750,13768.94,13800,1075900,13850,13700,1792350,2781260,16.22,2210.78
4,26/08/2019,13750,13660.59,13750,1747070,13750,13550,2987960,3195400,16.22,2210.78
5,23/08/2019,13850,13827.75,13900,1364430,13950,13750,2047650,3825940,16.22,2210.78
6,22/08/2019,13900,13971.77,13900,1292750,14050,13900,2139260,3828650,16.22,2210.78
7,21/08/2019,14000,13954.35,13700,1977950,14100,13700,3538830,5077330,16.22,2210.78
8,20/08/2019,13700,13580.84,13500,1828900,13800,13400,3026520,4330120,16.22,2210.78
9,19/08/2019,13500,13593.53,13700,888290,13700,13500,1310240,2304710,16.22,2210.78
10,16/08/2019,13600,13607.13,13700,943770,13700,13500,1739320,2563420,16.22,2210.78
11,15/08/2019,13700,13552.08,13400,1415650,13700,13350,2593630,2581440,16.22,2210.78
12,14/08/2019,13750,13729.06,13950,1305770,13950,13600,1935510,3503810,16.22,2210.78
13,13/08/2019,13850,13776.1,13800,2176450,13950,13650,2855710,4222020,16.22,2210.78
14,12/08/2019,13950,13996.2,14000,2069990,14100,13850,3142430,4757810,16.22,2210.78
15,09/08/2019,14000,13939.42,13900,1456660,14000,13850,2580250,3708940,16.22,2210.78
16,08/08/2019,14000,13740.41,13750,1685030,14000,13500,3012380,3384130,16.22,2210.78
17,07/08/2019,13750,13688.48,13900,2328600,13900,13450,3453030,4471170,16.22,2210.78
18,06/08/2019,13800,13901.64,13900,2222040,14100,13700,4095140,6107400,16.22,2210.78
19,05/08/2019,14250,14123.33,14050,3342200,14400,13850,5304870,6549460,16.22,2210.78
20,02/08/2019,13950,13837.55,13600,4645330,14200,13350,7622430,8831470,16.22,2210.78
21,01/08/2019,13800,13455.55,13700,5127550,13800,12900,7761450,8031030,16.22,2210.78
22,31/07/2019,13800,13755.05,13850,2366040,13850,13600,4003110,4407420,16.22,2210.78
23,30/07/2019,13650,13829.96,14050,2622640,14200,13650,3699020,4817800,16.22,2210.78
24,29/07/2019,14050,14162.77,14350,2385480,14350,14050,5602420,4112190,16.22,2210.78
25,26/07/2019,14350,14437.17,14400,1285640,14600,14350,2485530,3025000,16.22,2210.78
26,25/07/2019,14600,14600.47,14350,2523070,14700,14350,4939460,4894710,16.22,2210.78
27,24/07/2019,14250,14209.9,14150,3736760,14450,13950,8848150,5933040,16.22,2210.78
28,23/07/2019,14100,14310.29,14500,3557370,14600,14100,9149250,8435670,16.22,2210.78
29,22/07/2019,14600,14660.73,14750,1623930,14850,14550,2324720,3555340,16.22,2210.78
30,19/07/2019,14700,14824.31,14950,1794890,15000,14700,2744160,4119410,16.22,2210.78
31,18/07/2019,14950,14980.48,14800,2018760,15200,14700,3368560,5032180,16.22,2210.78
32,17/07/2019,14800,14724.24,14850,2627300,14900,14600,9397740,5212780,16.22,2210.78
