,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,20950,20858.07,20300,828600,21100,20300,0,0,11.08,1296.55
1,29/08/2019,20200,20244.62,20350,514260,20400,20100,1102020,992090,11.08,1296.55
2,28/08/2019,20100,20344.96,20500,708480,20550,20100,1354050,1211540,11.08,1296.55
3,27/08/2019,20450,20791.99,21000,933340,21300,20400,1568300,1912650,11.08,1296.55
4,26/08/2019,20800,20805.62,20850,1243510,21000,20650,1891750,1949910,11.08,1296.55
5,23/08/2019,21300,21405.2,21550,681610,21850,21200,1317180,1493710,11.08,1296.55
6,22/08/2019,21750,21813.01,22000,1533030,22150,21550,2340400,2666640,11.08,1296.55
7,21/08/2019,21450,21329.62,21000,1681980,21700,20900,2977540,2535610,11.08,1296.55
8,20/08/2019,21050,21328.43,21400,983570,21600,21050,1654650,2089640,11.08,1296.55
9,19/08/2019,21250,21395.25,21500,1455370,21700,21150,2454840,2652540,11.08,1296.55
10,16/08/2019,20900,20589.69,19600,2859490,20900,19600,5398830,3437700,11.08,1296.55
11,15/08/2019,19550,19400.3,19150,621640,19650,19150,1580340,1173120,11.08,1296.55
12,14/08/2019,19800,19794.41,19800,565210,19950,19600,1167720,1359400,11.08,1296.55
13,13/08/2019,19600,19625.41,19850,914070,19900,19500,1523820,1813230,11.08,1296.55
14,12/08/2019,20100,19979.97,20200,549250,20400,19700,1011220,1466380,11.08,1296.55
15,09/08/2019,20200,20455.97,20450,938650,20750,20200,1437130,2079680,11.08,1296.55
16,08/08/2019,20250,19836.35,19500,1206220,20400,19350,2492810,2013190,11.08,1296.55
17,07/08/2019,19600,19792.55,20200,951570,20500,19400,1774960,1764440,11.08,1296.55
18,06/08/2019,20000,19938.25,20000,1331160,20100,19600,2183540,1992310,11.08,1296.55
19,05/08/2019,20450,20606.16,21050,818930,21050,20350,1399930,1462150,11.08,1296.55
20,02/08/2019,21050,20939.58,21200,793330,21200,20800,1368620,1583980,11.08,1296.55
21,01/08/2019,21300,21414.76,21350,393140,21600,21200,723430,931090,11.08,1296.55
22,31/07/2019,21350,21142.79,21300,561610,21500,21000,1134300,1037470,11.08,1296.55
23,30/07/2019,21300,21561.87,21450,441010,21950,21300,864940,924980,11.08,1296.55
24,29/07/2019,21350,21464.6,21650,374710,21750,21300,782380,779330,11.08,1296.55
25,26/07/2019,21750,21937.2,22250,970680,22400,21600,1564340,2113120,11.08,1296.55
26,25/07/2019,22250,22306.1,22300,768310,22600,22150,1109730,1565550,11.08,1296.55
27,24/07/2019,22350,22642.38,23000,975560,23050,22300,1387790,1674050,11.08,1296.55
28,23/07/2019,23000,22908.36,22800,614710,23100,22800,1165280,1035630,11.08,1296.55
29,22/07/2019,22850,22993.28,23300,1320690,23350,22700,2072300,2544910,11.08,1296.55
30,19/07/2019,23550,23702.45,23650,875690,23900,23550,1927460,1741610,11.08,1296.55
31,18/07/2019,23650,23717.66,23900,428710,23950,23550,742280,1142750,11.08,1296.55
32,17/07/2019,23900,23771.68,23300,1272270,24100,23300,2803550,2301690,11.08,1296.55
33,16/07/2019,23250,23460.01,23500,1543350,23700,23200,2522400,2471030,11.08,1296.55
34,15/07/2019,23850,23940.52,23850,372590,24100,23750,586090,1060190,11.08,1296.55
35,12/07/2019,23850,24119.38,24000,713700,24400,23850,1131810,1324500,11.08,1296.55
36,11/07/2019,23850,23969.36,23900,629220,24100,23800,1105830,998850,11.08,1296.55
37,10/07/2019,23700,23879.3,24000,665430,24300,23600,1120960,1437340,11.08,1296.55
38,09/07/2019,24050,24050.46,24250,573170,24250,23900,970210,1061140,11.08,1296.55
39,08/07/2019,24250,24358.91,24500,383720,24700,23900,794140,1046110,11.08,1296.55
40,05/07/2019,24600,24773.0,24750,584790,25000,24600,992590,1300810,11.08,1296.55
41,04/07/2019,24400,24194.37,23750,937160,24450,23700,1450240,1582600,11.08,1296.55
42,03/07/2019,23700,23711.61,23750,306390,23950,23500,405790,711770,11.08,1296.55
43,02/07/2019,23750,23846.36,24000,262430,24000,23700,429190,628270,11.08,1296.55
44,01/07/2019,23800,23775.84,23800,257320,23850,23650,495560,646590,11.08,1296.55
45,28/06/2019,23350,23168.63,23100,260870,23400,22950,538790,388140,11.08,1296.55
46,27/06/2019,23100,23290.49,23500,242760,23550,23100,435700,432990,11.08,1296.55
47,26/06/2019,23500,23734.54,23850,183530,23900,23500,268530,593110,11.08,1296.55
48,25/06/2019,23800,23878.24,24000,246710,24000,23750,364540,671920,11.08,1296.55
49,24/06/2019,24100,24238.74,24000,484720,24500,23800,722000,1008510,11.08,1296.55
50,21/06/2019,24000,24133.65,23800,531540,24400,23700,817710,1131630,11.08,1296.55
