,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,26000,26045.09,26150,1027180,26350,25800,0,0,20.26,2988.62
1,29/08/2019,26250,25857.39,26350,2307000,26400,25450,3543270,4231030,20.26,2988.62
2,28/08/2019,26400,26354.77,26500,720970,26500,26250,1289700,2269950,20.26,2988.62
3,27/08/2019,26500,26398.16,26300,2423010,26500,26250,3350440,4027100,20.26,2988.62
4,26/08/2019,26300,26008.66,26300,1276690,26300,25800,1989710,2609160,20.26,2988.62
5,23/08/2019,26400,26327.28,26400,893370,26400,26250,1186200,2091160,20.26,2988.62
6,22/08/2019,26450,26365.98,26400,914360,26450,26300,1285010,2236930,20.26,2988.62
7,21/08/2019,26500,26289.25,26250,1292810,26500,26100,1879070,2469910,20.26,2988.62
8,20/08/2019,26300,26224.83,26300,995850,26350,26050,1257800,2080440,20.26,2988.62
9,19/08/2019,26350,26357.99,26400,623530,26500,26200,1025600,1754690,20.26,2988.62
10,16/08/2019,26400,26388.42,26300,1822580,26500,26150,2596280,3515110,20.26,2988.62
11,15/08/2019,26350,26032.76,25750,1724750,26350,25700,2574890,2573190,20.26,2988.62
12,14/08/2019,26300,25979.41,26050,1459040,26300,25700,2568570,2272150,20.26,2988.62
13,13/08/2019,26050,25833.53,26050,1066250,26100,25600,1695640,1960690,20.26,2988.62
14,12/08/2019,26150,26033.59,26450,1252920,26500,25800,2025030,2733460,20.26,2988.62
15,09/08/2019,26300,25792.92,25000,3855360,26300,24950,5810090,4735090,20.26,2988.62
16,08/08/2019,25000,24831.33,25000,1542970,25000,24600,2642090,2450920,20.26,2988.62
17,07/08/2019,25000,24783.85,25000,1645830,25000,24500,2518250,2577620,20.26,2988.62
18,06/08/2019,25000,24865.83,25600,2045940,25600,24450,2929860,3235260,20.26,2988.62
19,05/08/2019,25600,25754.44,26000,1080940,26050,25550,1918540,2329660,20.26,2988.62
20,02/08/2019,26050,25897.87,25900,1994450,26050,25700,2917220,2948320,20.26,2988.62
21,01/08/2019,26000,25925.82,26000,1079040,26000,25850,1691020,2040160,20.26,2988.62
22,31/07/2019,25950,25924.38,26100,1225140,26100,25800,1799080,2435890,20.26,2988.62
23,30/07/2019,26000,25951.96,26050,1082500,26050,25850,1663840,2033060,20.26,2988.62
24,29/07/2019,26000,25961.54,26000,924560,26100,25900,1809810,1902600,20.26,2988.62
25,26/07/2019,26050,25972.0,26100,1269290,26200,25800,2000310,2509940,20.26,2988.62
26,25/07/2019,26150,25983.16,26100,1259970,26250,25800,2013970,2460560,20.26,2988.62
27,24/07/2019,26100,26105.96,26200,507930,26300,25950,914600,1587990,20.26,2988.62
28,23/07/2019,26150,26010.58,26100,892560,26150,25900,1437620,1737660,20.26,2988.62
29,22/07/2019,26100,26238.73,26400,775190,26500,25950,1399740,1821920,20.26,2988.62
30,19/07/2019,26400,26319.03,26350,910900,26450,26200,1668350,1938000,20.26,2988.62
31,18/07/2019,26350,26186.84,26450,1073860,26500,26000,2606370,2115080,20.26,2988.62
32,17/07/2019,26400,26240.97,26100,1838690,26400,26000,3326290,2766080,20.26,2988.62
33,16/07/2019,26050,26079.92,26050,1018830,26200,26000,1944690,2637140,20.26,2988.62
34,15/07/2019,26100,26002.41,26150,971410,26250,25850,2248050,2078980,20.26,2988.62
35,12/07/2019,26150,26055.38,26100,1058860,26200,25900,2076240,1883560,20.26,2988.62
36,11/07/2019,26100,26088.48,25950,1058820,26250,25950,2014170,1966640,20.26,2988.62
37,10/07/2019,25950,25939.72,26100,1818100,26100,25750,2779310,2906740,20.26,2988.62
38,09/07/2019,26150,25865.84,26000,1465910,26150,25650,2407870,3280460,20.26,2988.62
39,08/07/2019,26000,25987.25,26200,1276780,26200,25850,2162790,3125830,20.26,2988.62
40,05/07/2019,26250,26391.9,26500,1051800,26650,26250,1560990,2604490,20.26,2988.62
41,04/07/2019,26500,26322.84,26500,1596370,26500,26200,1993890,2521560,20.26,2988.62
42,03/07/2019,26300,26338.47,26400,1192780,26600,26150,2365000,3683780,20.26,2988.62
43,02/07/2019,26500,26492.97,26850,1672670,26850,26250,2590430,3112490,20.26,2988.62
44,01/07/2019,26900,26961.45,27500,1206760,27500,26700,1644990,2393090,20.26,2988.62
45,28/06/2019,27500,26574.16,26550,1728220,27500,25900,3048910,2050010,20.26,2988.62
46,27/06/2019,26550,26569.02,26600,720990,26800,26450,1263960,1447270,20.26,2988.62
47,26/06/2019,26600,26625.88,26700,1348500,26800,26450,1845800,1970560,20.26,2988.62
48,25/06/2019,26700,26659.91,26600,641150,26800,26550,1141790,1273730,20.26,2988.62
49,24/06/2019,26650,26651.63,26700,846740,26800,26550,1440210,1709820,20.26,2988.62
50,21/06/2019,26600,26780.38,26900,1912930,27050,26500,2618140,3316890,20.26,2988.62
51,20/06/2019,26900,26790.94,26500,1786910,26950,26400,2968090,2888270,20.26,2988.62
52,19/06/2019,26250,25967.81,26000,1856260,26400,25000,3046760,2739970,20.26,2988.62
53,18/06/2019,26000,26148.72,26550,1248130,26700,25750,1713900,3461870,20.26,2988.62
54,17/06/2019,26500,26499.41,26700,1006060,26800,26350,1585520,2623700,20.26,2988.62
55,14/06/2019,26600,26570.12,26750,1780120,26900,26400,2281280,2475850,20.26,2988.62
56,13/06/2019,26600,26642.3,26700,1028590,26850,26500,1469280,1655030,20.26,2988.62
57,12/06/2019,26800,26731.95,26800,1192730,26900,26550,1778410,1617210,20.26,2988.62
58,11/06/2019,26750,26712.73,26600,865430,26900,26550,1469480,1508930,20.26,2988.62
59,10/06/2019,26800,26798.06,26900,1287780,27000,26450,1805220,2429150,20.26,2988.62
60,07/06/2019,26900,26771.43,26750,941190,26900,26500,1599570,1335880,20.26,2988.62
61,06/06/2019,26800,26838.06,26700,779490,27000,26700,1383700,1592490,20.26,2988.62
62,05/06/2019,26900,26742.31,26650,1688710,26950,26600,2436850,2192600,20.26,2988.62
63,04/06/2019,26600,26533.16,26600,1348200,26800,26300,2104520,2198200,20.26,2988.62
64,03/06/2019,26750,26758.96,27250,1491650,27250,26450,2293530,2505090,20.26,2988.62
65,31/05/2019,27300,27195.7,27250,1768000,27400,26900,2323000,2735430,20.26,2988.62
66,30/05/2019,27350,27118.85,26900,2254410,27400,26800,3399560,3192390,20.26,2988.62
67,29/05/2019,26950,26782.93,26800,1761010,27050,26500,2352730,2676180,20.26,2988.62
68,28/05/2019,26900,26690.44,26900,1003730,27000,26400,1490680,2077530,20.26,2988.62
69,27/05/2019,26950,26753.33,26500,961600,27000,26450,1692890,1414240,20.26,2988.62
70,24/05/2019,26500,26491.6,26400,883450,26700,26250,1582960,1760600,20.26,2988.62
71,23/05/2019,26500,26483.52,27000,1685350,27050,26200,2856950,2943770,20.26,2988.62
72,22/05/2019,27000,26993.39,27100,665200,27200,26850,1256170,1667090,20.26,2988.62
73,21/05/2019,27100,27023.13,27150,1555260,27250,26850,2236460,2490040,20.26,2988.62
74,20/05/2019,27150,27034.91,27150,1315780,27200,26850,1872220,2135230,20.26,2988.62
75,17/05/2019,27000,26918.18,27250,1413840,27250,26750,2170270,2304940,20.26,2988.62
76,16/05/2019,27300,27202.28,27400,2217020,27650,26800,3062870,3099420,20.26,2988.62
77,15/05/2019,27600,27202.87,27000,2499810,27650,26700,3627160,3264380,20.26,2988.62
78,14/05/2019,27200,27199.57,27400,1545870,27600,26800,2357950,2675620,20.26,2988.62
79,13/05/2019,27600,27080.51,27200,3370690,27600,26700,4073200,4679350,20.26,2988.62
80,10/05/2019,27200,27070.82,26800,1642950,27500,26550,2634730,2578720,20.26,2988.62
81,09/05/2019,26750,26321.06,26300,1578090,26750,26050,2571370,2015850,20.26,2988.62
82,08/05/2019,26300,25885.51,26000,2118830,26300,25600,3192320,2668680,20.26,2988.62
83,07/05/2019,26100,26602.04,27300,1855910,27450,26100,3107730,2941810,20.26,2988.62
84,06/05/2019,27300,27452.4,27850,992700,27850,27200,1488550,1895570,20.26,2988.62
85,03/05/2019,28000,27817.61,28050,1351590,28100,27600,1835540,1987010,20.26,2988.62
86,02/05/2019,28050,27952.6,28200,1303850,28200,27800,1864080,1901100,20.26,2988.62
87,26/04/2019,28100,28119.28,28250,944690,28300,28000,1350410,1671810,20.26,2988.62
88,25/04/2019,28100,28049.67,28400,1239480,28400,27750,1585160,1900840,20.26,2988.62
89,24/04/2019,28350,28285.27,28300,1127760,28400,28150,1475310,1934770,20.26,2988.62
90,23/04/2019,28250,28177.05,28200,1394220,28400,27950,1822310,2276540,20.26,2988.62
91,22/04/2019,28100,27995.34,28200,1243600,28200,27700,1772440,2035900,20.26,2988.62
92,19/04/2019,28100,28006.69,28100,938990,28150,27850,1182520,1484230,20.26,2988.62
93,18/04/2019,28100,28098.84,28300,1155030,28400,27900,1609440,1788860,20.26,2988.62
94,17/04/2019,28500,28628.89,28700,1064030,28850,28500,1412840,2122040,20.26,2988.62
95,16/04/2019,28600,28083.94,27650,1465250,28600,27500,2917400,2029870,20.26,2988.62
96,12/04/2019,27700,27744.36,27950,1429660,28050,27500,1807860,2150020,20.26,2988.62
97,11/04/2019,27950,28088.24,28200,1056670,28300,27950,1569570,1632940,20.26,2988.62
98,10/04/2019,28100,28196.14,28550,1714100,28600,28000,2671000,3125800,20.26,2988.62
99,09/04/2019,28750,28805.56,28900,1880540,29250,28450,2463410,3006400,20.26,2988.62
100,08/04/2019,28900,28906.34,29100,1065960,29150,28750,1523780,1706360,20.26,2988.62
101,05/04/2019,29250,29051.92,29100,1364970,29250,28900,2135730,1755210,20.26,2988.62
102,04/04/2019,29200,28977.27,28500,1613920,29250,28500,2948180,2465800,20.26,2988.62
103,03/04/2019,28250,28259.95,28500,1140200,28550,28150,2466780,1673470,20.26,2988.62
104,02/04/2019,28800,29204.66,29600,1518730,29700,28500,2324500,2552680,20.26,2988.62
105,01/04/2019,29550,29717.93,30000,1097250,30050,29500,1870930,2144590,20.26,2988.62
106,29/03/2019,30000,29965.4,30000,1153030,30200,29750,2038040,2160430,20.26,2988.62
107,28/03/2019,30150,30231.96,30200,1479130,30700,30000,2103220,2472960,20.26,2988.62
108,27/03/2019,30350,30229.83,30350,1492830,30550,30050,2167820,2121280,20.26,2988.62
109,26/03/2019,30300,30415.08,30300,1421400,30650,30200,1945970,1932680,20.26,2988.62
110,25/03/2019,30300,30382.08,30300,1271210,30700,30050,2328820,1864200,20.26,2988.62
111,22/03/2019,31000,31053.29,31000,1239450,31400,30800,1471790,1893250,20.26,2988.62
112,21/03/2019,31000,31586.25,31750,972860,31950,30950,1208600,1716200,20.26,2988.62
113,20/03/2019,31750,31378.02,31800,931480,31900,31000,1574340,1725170,20.26,2988.62
114,19/03/2019,31900,31967.88,31800,1696390,32350,31800,1978870,2719860,20.26,2988.62
115,18/03/2019,31800,31894.92,31900,1392510,32300,31650,1740610,2645990,20.26,2988.62
116,15/03/2019,31800,31415.22,30900,3064820,31950,30850,4042620,4319410,20.26,2988.62
117,14/03/2019,30900,30880.05,31000,1310490,31050,30700,1711410,2244050,20.26,2988.62
118,13/03/2019,31000,31070.14,30900,2043280,31250,30900,2663870,3163320,20.26,2988.62
119,12/03/2019,30900,30650.74,30400,1505510,31000,30300,1834920,2054920,20.26,2988.62
120,11/03/2019,30400,30211.61,30500,626150,30500,30100,928010,1096900,20.26,2988.62
121,08/03/2019,30400,30273.92,30450,1212760,30600,30000,1623450,2086840,20.26,2988.62
122,07/03/2019,30700,30609.74,30700,1620040,30850,30400,1941940,2377510,20.26,2988.62
123,06/03/2019,30700,30741.34,30750,1108670,31000,30500,1343510,1965920,20.26,2988.62
124,05/03/2019,30700,30639.29,30400,1303000,30850,30300,1719720,2246260,20.26,2988.62
125,04/03/2019,30400,30423.4,30400,1085020,30600,30200,1587240,1817990,20.26,2988.62
126,01/03/2019,30400,30177.5,30000,963400,30450,30000,1264130,1795080,20.26,2988.62
127,28/02/2019,30000,30349.1,30600,1478660,30600,30000,1725230,2373750,20.26,2988.62
128,27/02/2019,30600,30661.71,30650,951480,30750,30500,1173590,1505020,20.26,2988.62
129,26/02/2019,30650,30745.93,31000,1122230,31050,30450,1429370,2260910,20.26,2988.62
130,25/02/2019,31000,30677.44,30200,1776680,31100,30200,2477110,2568070,20.26,2988.62
