,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,20450,20990.97,21950,2101380,22400,20450,0,0,12.76,1709.46
1,29/08/2019,21950,22018.02,21600,1018030,22500,21600,1817980,1729400,12.76,1709.46
2,28/08/2019,21800,22229.38,22600,822560,23000,21800,1206140,1653030,12.76,1709.46
3,27/08/2019,22600,22854.3,23000,1214520,23250,22400,1744930,2131940,12.76,1709.46
4,26/08/2019,22500,22343.24,22000,982400,22500,21800,1812730,1443530,12.76,1709.46
5,23/08/2019,21900,21814.25,21550,684140,22000,21400,1048090,1427370,12.76,1709.46
6,22/08/2019,21550,21442.59,20700,820470,21700,20700,1276050,1565050,12.76,1709.46
7,21/08/2019,20850,20810.5,20900,527330,21000,20500,1099380,1076700,12.76,1709.46
8,20/08/2019,20900,20871.94,21000,1089980,21100,20550,1750270,1923520,12.76,1709.46
9,19/08/2019,20550,20348.22,19350,1433000,20550,19350,2378870,1762170,12.76,1709.46
10,16/08/2019,19250,19492.3,19100,470750,19750,19100,888430,1041050,12.76,1709.46
11,15/08/2019,19100,18885.91,18850,619880,19100,18650,1422850,930440,12.76,1709.46
12,14/08/2019,19050,19295.72,19500,577330,20000,19000,900860,2759230,12.76,1709.46
13,13/08/2019,19500,19544.62,19700,834910,20400,19050,1422820,2998080,12.76,1709.46
14,12/08/2019,19700,19416.11,18800,788160,19700,18700,1361830,1095450,12.76,1709.46
15,09/08/2019,18650,18905.89,19050,887660,19100,18650,1436760,1542750,12.76,1709.46
16,08/08/2019,19050,18962.74,18300,1475420,19300,18300,2378860,2304950,12.76,1709.46
17,07/08/2019,18300,17844.64,17300,1311430,18300,17300,2367770,1901890,12.76,1709.46
18,06/08/2019,17400,17185.4,16600,1136430,17450,16600,2005060,1757700,12.76,1709.46
19,05/08/2019,16900,16876.05,16250,1091310,17300,16250,1943100,1831020,12.76,1709.46
20,02/08/2019,16400,16456.85,16450,852350,16600,16200,1520690,1358770,12.76,1709.46
21,01/08/2019,16450,16235.91,15800,922400,16450,15800,1735260,1201460,12.76,1709.46
22,31/07/2019,15950,15808.07,15700,254680,15950,15600,736210,473490,12.76,1709.46
23,30/07/2019,15800,16037.75,16250,542470,16450,15800,682710,1010060,12.76,1709.46
24,29/07/2019,16300,16441.2,16000,1055580,16700,16000,1689270,2030700,12.76,1709.46
25,26/07/2019,16150,16067.45,16350,413320,16350,15900,798250,975720,12.76,1709.46
26,25/07/2019,16250,16195.26,16200,282490,16300,16050,439300,660590,12.76,1709.46
27,24/07/2019,16200,16190.16,15800,661760,16500,15650,1225120,1294190,12.76,1709.46
28,23/07/2019,15700,15558.34,15100,727520,15850,15050,1387040,1645310,12.76,1709.46
29,22/07/2019,15000,15006.05,15000,173530,15100,14950,434120,311920,12.76,1709.46
30,19/07/2019,15100,15219.72,15150,167940,15400,15100,408050,656960,12.76,1709.46
31,18/07/2019,15200,15284.94,15200,174420,15400,15150,462320,504720,12.76,1709.46
