,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,17000,17230.68,17300,402770,17450,17000,0,0,0,-1179.35
1,29/08/2019,17300,17227.14,17100,685140,17450,16900,1288690,1878790,0,-1179.35
2,28/08/2019,17600,16905.42,16700,825830,17600,16500,1579030,1218700,0,-1179.35
3,27/08/2019,16700,16787.39,17000,476310,17250,16700,935020,1170740,0,-1179.35
4,26/08/2019,17000,16835.57,16800,1219620,17050,16500,2409120,2213090,0,-1179.35
5,23/08/2019,17150,17242.21,17600,995580,17600,17100,1555130,2609230,0,-1179.35
6,22/08/2019,17550,17633.14,17600,549590,17800,17550,1682930,1960350,0,-1179.35
7,21/08/2019,17900,17897.41,18000,369830,18000,17800,811600,1712520,0,-1179.35
8,20/08/2019,18100,17884.24,18000,775040,18500,17500,3823880,2097020,0,-1179.35
9,19/08/2019,18000,17842.95,18400,3494210,18400,17200,5666720,5423120,0,-1179.35
10,16/08/2019,18450,18470.25,18500,623110,18600,18350,1070150,1660770,0,-1179.35
11,15/08/2019,18400,18416.96,18400,456970,18600,18300,844500,1618880,0,-1179.35
12,14/08/2019,18600,18562.28,18000,5266270,18900,18000,8419580,7976670,0,-1179.35
13,13/08/2019,18000,18049.32,18000,574980,18250,17850,840560,2011760,0,-1179.35
14,12/08/2019,18250,18157.57,18450,442460,18450,17950,901320,2013900,0,-1179.35
15,09/08/2019,18250,18351.61,18400,783310,18500,18250,1301340,3007480,0,-1179.35
16,08/08/2019,18350,18340.44,18150,1243700,18700,18050,1743700,2952910,0,-1179.35
17,07/08/2019,18250,18188.7,18250,436040,18300,18050,646670,1625150,0,-1179.35
18,06/08/2019,18250,18009.27,17600,1086940,18500,17250,3264870,1810360,0,-1179.35
19,05/08/2019,17700,17200.5,17500,1481120,17700,16950,2056560,2317050,0,-1179.35
20,02/08/2019,17500,17498.31,17700,1166170,17750,17350,2035830,2614110,0,-1179.35
21,01/08/2019,17900,17835.97,17950,1082700,17950,17650,1569150,1883010,0,-1179.35
22,31/07/2019,17950,17802.62,17500,1518260,18000,17450,3590830,2702520,0,-1179.35
23,30/07/2019,17850,17992.58,17700,1785180,18300,17700,2278870,2899490,0,-1179.35
24,29/07/2019,17900,17765.47,17700,622950,17900,17600,1060740,1291610,0,-1179.35
25,26/07/2019,17900,17971.37,18150,822920,18200,17900,2134630,1847810,0,-1179.35
26,25/07/2019,18150,18019.25,17800,651470,18200,17800,1655120,1275110,0,-1179.35
27,24/07/2019,18000,18111.42,18350,653400,18350,18000,1029080,1444500,0,-1179.35
