,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,22200,22181.87,22150,3329430,22450,22050,0,0,19.87,2898.21
1,29/08/2019,22150,22068.78,22250,4942140,22250,22000,8295020,7405360,19.87,2898.21
2,28/08/2019,22250,22267.79,22400,4335410,22500,22100,8025310,6824760,19.87,2898.21
3,27/08/2019,22400,22575.83,23000,8995460,23050,22400,12274050,14389310,19.87,2898.21
4,26/08/2019,22800,22897.16,23100,5677560,23150,22700,8468530,10010610,19.87,2898.21
5,23/08/2019,23400,23257.29,23250,5386570,23450,23100,9362150,9948180,19.87,2898.21
6,22/08/2019,23050,23122.04,23300,3314500,23350,23000,5140790,7995780,19.87,2898.21
7,21/08/2019,23200,22977.73,22900,4819580,23250,22800,9159670,7178920,19.87,2898.21
8,20/08/2019,22900,22962.62,23050,4790700,23300,22750,8382250,7863760,19.87,2898.21
9,19/08/2019,23050,23101.66,23000,2540900,23300,22950,5251270,4955940,19.87,2898.21
10,16/08/2019,23050,23017.01,23250,8856190,23350,22900,13052890,11717920,19.87,2898.21
11,15/08/2019,23250,23054.25,23000,6880640,23250,22800,12218170,10084200,19.87,2898.21
12,14/08/2019,23450,23538.51,23800,3871400,23800,23400,6135220,7961620,19.87,2898.21
13,13/08/2019,23450,23548.5,23300,6419220,23900,23300,11931210,11489750,19.87,2898.21
14,12/08/2019,23600,23584.04,23100,8127360,23850,23100,14365650,12781540,19.87,2898.21
15,09/08/2019,23100,23140.48,23400,3683200,23500,23000,7764890,7479150,19.87,2898.21
16,08/08/2019,23300,22884.4,22150,11123430,23300,22150,18134750,16364420,19.87,2898.21
17,07/08/2019,22100,21929.86,21900,3485020,22150,21800,8955730,5668490,19.87,2898.21
18,06/08/2019,21750,21782.18,21550,5651180,22000,21550,8878510,8339270,19.87,2898.21
19,05/08/2019,22150,22205.49,22350,6163970,22500,22000,7562010,9298190,19.87,2898.21
20,02/08/2019,22450,22377.4,22200,7142250,22550,22100,10065090,12580020,19.87,2898.21
21,01/08/2019,22600,22586.04,22500,5949030,22750,22250,8880780,11765180,19.87,2898.21
22,31/07/2019,22550,22112.34,21400,6538340,22550,21300,12862760,11765400,19.87,2898.21
23,30/07/2019,21500,21884.4,22100,6111110,22200,21500,8988660,12587100,19.87,2898.21
24,29/07/2019,22100,22094.21,22550,6954310,22550,21750,11436680,11848870,19.87,2898.21
25,26/07/2019,22550,22695.58,22600,9789570,23050,22450,13319770,18267700,19.87,2898.21
