,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,23100,23266.77,23350,3983320,23450,23100,0,0,22.31,3350.31
1,29/08/2019,23350,23263.03,23400,4840040,23450,23000,12197130,11327730,22.31,3350.31
2,28/08/2019,23350,23248.93,23300,4764090,23400,23050,12503190,13009520,22.31,3350.31
3,27/08/2019,23300,23513.69,23500,11416330,23750,23150,18760840,27073460,22.31,3350.31
4,26/08/2019,23300,22913.6,22450,14681280,23300,22350,25298610,21487130,22.31,3350.31
5,23/08/2019,22650,22628.02,22700,2872280,22800,22500,5963260,8017180,22.31,3350.31
6,22/08/2019,22550,22705.87,22700,4777090,22900,22550,11119140,14110460,22.31,3350.31
7,21/08/2019,22500,22525.34,22300,6149430,22700,22200,11262500,13504340,22.31,3350.31
8,20/08/2019,22150,22192.98,22100,2713290,22350,22050,6162600,8673640,22.31,3350.31
9,19/08/2019,22050,22250.99,22450,2745720,22600,22050,3800870,7320300,22.31,3350.31
10,16/08/2019,22400,22452.56,22300,4197650,22600,22250,7675060,9561050,22.31,3350.31
11,15/08/2019,22300,22095.83,22000,3102350,22300,21850,7749600,5962860,22.31,3350.31
12,14/08/2019,22300,22452.89,22500,3081920,22600,22300,7386440,7608330,22.31,3350.31
13,13/08/2019,22200,21966.14,21800,4397540,22300,21700,9590420,7147730,22.31,3350.31
14,12/08/2019,21900,21727.92,21600,4088380,21950,21500,10581760,6774180,22.31,3350.31
15,09/08/2019,21450,21608.93,21700,1671670,21750,21450,2605100,3913600,22.31,3350.31
16,08/08/2019,21600,21494.44,21450,3137090,21750,21300,5699780,5667470,22.31,3350.31
17,07/08/2019,21300,21397.27,21400,1722650,21550,21250,5229320,3972000,22.31,3350.31
18,06/08/2019,21350,21455.34,21500,3904110,21600,21300,6943380,6318590,22.31,3350.31
19,05/08/2019,21800,21778.69,21900,3202810,21950,21650,5523260,5276290,22.31,3350.31
20,02/08/2019,21950,21858.23,21650,3510760,22100,21650,8442820,5856710,22.31,3350.31
21,01/08/2019,22000,22042.88,22100,1936680,22150,21900,3282020,4150580,22.31,3350.31
22,31/07/2019,22200,21921.46,21850,3870500,22200,21800,7414870,6222770,22.31,3350.31
23,30/07/2019,21850,22241.86,22450,4153160,22600,21850,5937120,8730400,22.31,3350.31
24,29/07/2019,22450,22377.23,22400,4606870,22500,22300,7257660,7886240,22.31,3350.31
25,26/07/2019,22350,22318.77,22400,4449350,22450,22200,8550340,8576300,22.31,3350.31
26,25/07/2019,22400,22582.82,22500,5063140,22800,22350,8081540,11373170,22.31,3350.31
27,24/07/2019,22600,22770.66,22800,5461810,23000,22600,7542790,11848630,22.31,3350.31
28,23/07/2019,22700,22503.24,22300,7265310,22750,22150,12405840,10709890,22.31,3350.31
29,22/07/2019,22200,22324.02,22300,5785830,22600,22150,8526480,11494590,22.31,3350.31
30,19/07/2019,22200,22325.22,22400,4650480,22450,22200,8036310,9248690,22.31,3350.31
31,18/07/2019,22200,22105.15,21900,5142150,22200,21900,11868310,10354880,22.31,3350.31
32,17/07/2019,22100,21991.38,21800,8006500,22200,21700,11831390,12483570,22.31,3350.31
33,16/07/2019,21750,21770.75,21550,4957340,21950,21550,8902140,9884240,22.31,3350.31
34,15/07/2019,21450,21377.71,21450,2869250,21500,21250,7425940,6398680,22.31,3350.31
35,12/07/2019,21350,21582.41,21450,5292040,21750,21350,9860140,9845270,22.31,3350.31
36,11/07/2019,21400,21299.54,21200,2732500,21450,21100,7960520,5955010,22.31,3350.31
37,10/07/2019,21100,21284.3,21300,2550800,21450,21100,4227210,7215530,22.31,3350.31
38,09/07/2019,21200,21126.16,21100,1687150,21250,21000,6155600,5452700,22.31,3350.31
39,08/07/2019,21100,21173.84,21250,2397440,21400,21000,3941960,5021960,22.31,3350.31
40,05/07/2019,21300,21301.3,21200,2644580,21400,21200,7225280,6249180,22.31,3350.31
41,04/07/2019,21150,21171.17,21150,2990860,21300,21050,5173860,5495830,22.31,3350.31
42,03/07/2019,21000,21035.58,21100,1836080,21150,20900,5906140,5734970,22.31,3350.31
43,02/07/2019,21150,21137.13,21150,2059740,21300,21000,3540600,6122230,22.31,3350.31
44,01/07/2019,21150,21091.15,21000,2287500,21200,20950,3914990,5182630,22.31,3350.31
45,28/06/2019,20900,20626.13,20700,2436860,20900,20400,4132850,3527640,22.31,3350.31
46,27/06/2019,20600,20691.32,20850,2134180,21000,20600,4035910,4043550,22.31,3350.31
47,26/06/2019,20850,21040.07,21050,2787110,21200,20850,5022290,4559690,22.31,3350.31
48,25/06/2019,21100,21185.84,21250,1327160,21300,21050,3000320,2790320,22.31,3350.31
49,24/06/2019,21300,21297.04,21300,1509130,21350,21200,3233860,3217320,22.31,3350.31
50,21/06/2019,21300,21324.33,21300,2152330,21450,21200,4329310,4787310,22.31,3350.31
51,20/06/2019,21300,21003.04,20650,2947050,21300,20650,7173140,5187050,22.31,3350.31
52,19/06/2019,20650,20690.9,20700,1271670,20800,20600,2685270,2678110,22.31,3350.31
53,18/06/2019,20600,20643.04,20700,736810,20750,20600,1853970,1535530,22.31,3350.31
54,17/06/2019,20700,20736.75,20800,1361110,20850,20650,3111910,4098670,22.31,3350.31
55,14/06/2019,20700,20776.07,20600,1524350,20950,20550,4224760,3161370,22.31,3350.31
56,13/06/2019,20600,20571.88,20500,866620,20650,20400,1675930,2100640,22.31,3350.31
57,12/06/2019,20600,20666.81,20650,875510,20750,20600,2022120,1901650,22.31,3350.31
58,11/06/2019,20700,20687.39,20600,1066350,20750,20600,2694000,2315890,22.31,3350.31
59,10/06/2019,20600,20677.98,20800,1591790,20850,20500,3805800,3571260,22.31,3350.31
60,07/06/2019,20550,20434.75,20350,1054870,20550,20350,2464620,2184720,22.31,3350.31
61,06/06/2019,20200,20242.09,20250,1801840,20500,20100,4527060,3552200,22.31,3350.31
62,05/06/2019,20250,20464.25,20500,1775340,20600,20250,5170280,4115670,22.31,3350.31
63,04/06/2019,20350,20371.59,20450,1469890,20500,20300,4359240,3303310,22.31,3350.31
64,03/06/2019,20350,20574.51,20700,2176820,20800,20350,4309730,4157580,22.31,3350.31
65,31/05/2019,20850,21005.34,21100,2357400,21200,20850,3619950,5041260,22.31,3350.31
66,30/05/2019,21150,21210.64,21100,1292040,21350,21100,4033930,3015840,22.31,3350.31
67,29/05/2019,21200,21223.23,21350,1497840,21350,21150,3667010,3444690,22.31,3350.31
68,28/05/2019,21350,21298.01,21300,1653300,21400,21200,4144840,3827070,22.31,3350.31
69,27/05/2019,21300,21332.43,21350,1485860,21400,21250,3028010,3547150,22.31,3350.31
70,24/05/2019,21350,21521.8,21650,2667900,21700,21350,3954980,6839670,22.31,3350.31
71,23/05/2019,21650,21635.02,21500,1844140,21750,21500,5670060,5746940,22.31,3350.31
72,22/05/2019,21550,21654.09,21300,4816550,21850,21250,13903440,10135710,22.31,3350.31
73,21/05/2019,21300,21316.46,21200,2361180,21400,21150,5123310,5755240,22.31,3350.31
74,20/05/2019,21150,21229.06,21050,2578400,21350,21050,4328310,5962010,22.31,3350.31
75,17/05/2019,21200,21236.63,21300,1490020,21400,21100,3830150,3370670,22.31,3350.31
76,16/05/2019,21300,21380.87,21500,1557280,21500,21300,5771570,3874640,22.31,3350.31
77,15/05/2019,21450,21425.84,21250,2589070,21600,21250,5945780,4798260,22.31,3350.31
78,14/05/2019,21300,21112.68,21000,1522450,21300,21000,4938620,3116820,22.31,3350.31
79,13/05/2019,21250,21173.09,20950,2834730,21350,20850,8662080,6160800,22.31,3350.31
80,10/05/2019,20900,20954.7,21000,3157000,21200,20800,6033890,6867500,22.31,3350.31
81,09/05/2019,21000,21109.58,21300,4125520,21450,20800,7934150,9484040,22.31,3350.31
82,08/05/2019,21300,21311.9,21100,2565890,21450,21100,5200240,4636020,22.31,3350.31
83,07/05/2019,21450,21515.38,21650,1289310,21700,21450,4214920,4063370,22.31,3350.31
84,06/05/2019,21500,21591.95,21750,3476990,21800,21350,7353880,6766710,22.31,3350.31
85,03/05/2019,22100,22040.48,21900,3621700,22150,21700,7572720,7885090,22.31,3350.31
86,02/05/2019,21900,21982.24,21850,2927500,22100,21800,4632650,7741460,22.31,3350.31
87,26/04/2019,21800,21658.28,21500,2171040,21800,21400,7991910,4620200,22.31,3350.31
88,25/04/2019,21500,21469.34,21500,1119690,21600,21400,2852010,3709020,22.31,3350.31
89,24/04/2019,21500,21427.66,21350,1572500,21500,21300,3455110,3076550,22.31,3350.31
90,23/04/2019,21300,21338.97,21300,2007220,21450,21200,3567650,4136530,22.31,3350.31
91,22/04/2019,21400,21371.88,21650,2986120,21650,21150,4862460,6410280,22.31,3350.31
92,19/04/2019,21600,21541.47,21600,1796860,21700,21450,3228730,4347450,22.31,3350.31
93,18/04/2019,21550,21611.25,21500,3913100,21850,21400,7462170,7087290,22.31,3350.31
94,17/04/2019,21500,21617.95,21650,2736060,21750,21500,5104990,5435100,22.31,3350.31
95,16/04/2019,21500,21557.16,21350,2831820,21700,21350,5962560,6442310,22.31,3350.31
96,12/04/2019,21900,21921.12,22100,1062400,22100,21850,2838310,4213360,22.31,3350.31
