,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,75400,75133.68,75000,181410,75800,74900,0,0,15.14,3222.74
1,29/08/2019,75000,74998.72,74800,194630,75500,74800,342810,433610,15.14,3222.74
2,28/08/2019,74800,75043.84,75000,267990,75800,74600,495090,434760,15.14,3222.74
3,27/08/2019,75000,75668.31,76000,363230,76500,75000,933290,544030,15.14,3222.74
4,26/08/2019,76000,75813.17,76000,408280,76500,75200,691270,754900,15.14,3222.74
5,23/08/2019,77000,77559.08,78300,134130,78300,77000,258650,430350,15.14,3222.74
6,22/08/2019,78000,77450.17,77000,398850,78000,76500,645160,633120,15.14,3222.74
7,21/08/2019,77000,76768.84,75600,398000,77300,75600,788890,678180,15.14,3222.74
8,20/08/2019,76200,76355.97,77000,258670,77000,76000,424080,529100,15.14,3222.74
9,19/08/2019,77100,77115.47,77000,291070,77500,76800,391140,657750,15.14,3222.74
10,16/08/2019,77000,76846.44,75200,405510,77500,75200,890380,910880,15.14,3222.74
11,15/08/2019,76100,75528.68,75100,487060,76100,74600,751770,758970,15.14,3222.74
12,14/08/2019,75600,75931.91,76500,432980,76500,75600,858200,710690,15.14,3222.74
13,13/08/2019,75600,75350.43,76000,352420,76000,74900,643310,636930,15.14,3222.74
14,12/08/2019,76000,76009.12,76000,258890,76500,75500,429430,571230,15.14,3222.74
15,09/08/2019,76100,75966.48,74900,459400,76400,74900,802540,798210,15.14,3222.74
16,08/08/2019,74800,73751.48,73600,800350,74800,72800,1744310,983430,15.14,3222.74
17,07/08/2019,74800,74788.0,75000,890330,76400,73600,1323980,1425650,15.14,3222.74
18,06/08/2019,75000,75220.96,76500,1021670,76600,74700,1288330,1392140,15.14,3222.74
19,05/08/2019,76800,77483.52,78200,794840,79000,76800,1235480,1103950,15.14,3222.74
20,02/08/2019,79000,79430.9,79000,328940,80000,79000,617610,539070,15.14,3222.74
21,01/08/2019,80100,80217.0,80000,367740,80700,79900,523000,628730,15.14,3222.74
22,31/07/2019,80000,79247.36,79000,691960,80000,78600,1242480,933460,15.14,3222.74
23,30/07/2019,79900,80284.02,81000,345050,81100,79900,504570,683140,15.14,3222.74
24,29/07/2019,81000,80549.12,80700,354020,81000,80100,741100,567860,15.14,3222.74
25,26/07/2019,80900,80256.55,80800,342240,80900,79900,621210,587210,15.14,3222.74
26,25/07/2019,80800,80695.33,80300,322150,81300,79900,581100,636260,15.14,3222.74
27,24/07/2019,80700,80289.04,79900,523110,80900,79600,882950,807140,15.14,3222.74
28,23/07/2019,79600,79057.04,78200,756340,79700,78000,1407950,1171550,15.14,3222.74
29,22/07/2019,79200,78841.24,77700,473610,79900,77700,872200,668800,15.14,3222.74
30,19/07/2019,77700,76918.12,76000,512090,77800,75800,989770,771910,15.14,3222.74
31,18/07/2019,75800,76683.85,78900,1683640,80000,75000,2895530,3057330,15.14,3222.74
32,17/07/2019,79800,79968.73,80700,543700,80700,79500,797990,976120,15.14,3222.74
33,16/07/2019,80400,80478.51,80000,275440,80900,80000,508590,765090,15.14,3222.74
34,15/07/2019,79900,80200.21,81500,679300,81500,79400,1289820,1058420,15.14,3222.74
35,12/07/2019,81500,82089.35,82500,447220,83800,81500,646890,643860,15.14,3222.74
36,11/07/2019,82500,83068.2,84200,585230,84500,82500,916940,819310,15.14,3222.74
37,10/07/2019,84200,84092.5,84200,271130,84600,83800,413840,486690,15.14,3222.74
38,09/07/2019,84200,84154.66,84000,195010,84500,83900,408790,1103620,15.14,3222.74
39,08/07/2019,84500,83858.08,84100,395430,84700,83500,825630,718380,15.14,3222.74
40,05/07/2019,85000,84792.96,84900,96600,85200,84200,347820,941460,15.14,3222.74
41,04/07/2019,85200,84924.11,84500,305720,85200,84300,387500,502130,15.14,3222.74
42,03/07/2019,84500,83980.1,84600,391950,84900,83200,953130,1880580,15.14,3222.74
43,02/07/2019,84600,84866.18,85600,143850,85600,84600,479570,453770,15.14,3222.74
44,01/07/2019,85600,84508.07,84000,329720,85600,83900,709940,416890,15.14,3222.74
45,28/06/2019,83000,82137.92,83000,513210,83000,81500,674680,731840,15.14,3222.74
46,27/06/2019,82000,83485.56,84700,598870,85600,82000,1006500,763840,15.14,3222.74
47,26/06/2019,85500,85024.12,83800,273640,85500,83800,627360,404720,15.14,3222.74
48,25/06/2019,84000,84393.51,84000,246500,84700,84000,500970,440180,15.14,3222.74
49,24/06/2019,84100,83934.93,84000,292000,85500,78200,937650,623610,15.14,3222.74
50,21/06/2019,84000,83690.41,82500,739810,84000,82400,934210,1129460,15.14,3222.74
51,20/06/2019,82500,83070.64,82500,313420,84500,82300,500710,425710,15.14,3222.74
52,19/06/2019,82800,82459.22,82000,267320,83400,82000,356960,403000,15.14,3222.74
53,18/06/2019,82000,82692.84,83400,471770,83700,81600,595280,2034670,15.14,3222.74
54,17/06/2019,83500,83453.04,83300,334140,84800,83000,499460,1433320,15.14,3222.74
55,14/06/2019,84200,84315.46,85000,248270,85000,83600,393240,390360,15.14,3222.74
56,13/06/2019,84500,84642.99,85000,111480,86200,84300,193970,371460,15.14,3222.74
57,12/06/2019,85000,85526.25,86500,209690,86500,85000,247030,578860,15.14,3222.74
58,11/06/2019,86000,86344.0,86700,226860,86800,86000,269430,532400,15.14,3222.74
59,10/06/2019,86700,86403.11,87000,435320,87000,85600,837810,1020890,15.14,3222.74
60,07/06/2019,86000,85908.81,85500,293020,86900,85000,466730,456170,15.14,3222.74
61,06/06/2019,85200,84945.6,84600,254610,85500,84600,464030,570180,15.14,3222.74
62,05/06/2019,85000,85510.36,85900,214360,85900,85000,299260,395310,15.14,3222.74
63,04/06/2019,85000,84420.36,85000,326580,85600,83500,581730,965540,15.14,3222.74
64,03/06/2019,85000,85450.45,85800,381730,86400,85000,510120,712480,15.14,3222.74
65,31/05/2019,85800,86172.97,85600,463440,86800,85600,775560,785570,15.14,3222.74
66,30/05/2019,85500,86888.32,87300,309190,87800,85500,674800,481510,15.14,3222.74
67,29/05/2019,87300,86970.24,86600,313820,87700,86500,525150,609760,15.14,3222.74
68,28/05/2019,87000,86995.98,88000,642340,88500,86500,1157300,929500,15.14,3222.74
69,27/05/2019,88400,88237.62,87100,353840,88800,87100,563810,596410,15.14,3222.74
70,24/05/2019,87200,88831.03,90000,687440,90500,87200,833970,1190350,15.14,3222.74
71,23/05/2019,90000,90054.95,89800,254800,90800,89000,429610,478450,15.14,3222.74
