,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,30200,30235.06,30400,445840,30400,30100,0,0,17.57,3541.96
1,29/08/2019,30200,30214.25,30350,566620,30400,30050,1683980,1262030,17.57,3541.96
2,28/08/2019,30350,30210.41,30050,656330,30500,29900,1805750,1220290,17.57,3541.96
3,27/08/2019,30000,30165.72,30500,581720,30750,29800,1141120,1275630,17.57,3541.96
4,26/08/2019,30200,30462.43,30500,816120,31050,30050,1264830,1612190,17.57,3541.96
5,23/08/2019,30850,30884.18,31050,402860,31250,30800,958490,1218010,17.57,3541.96
6,22/08/2019,31050,31132.63,31600,513320,31600,31000,1009050,1973000,17.57,3541.96
7,21/08/2019,31550,31366.16,31500,779630,31750,30900,3329050,1570270,17.57,3541.96
8,20/08/2019,31500,31344.17,31250,738670,31700,31100,1337080,1134480,17.57,3541.96
9,19/08/2019,31250,30955.64,30750,994100,31300,30700,1826030,1247570,17.57,3541.96
10,16/08/2019,30800,31082.25,31250,1527560,31450,30800,2142710,2136330,17.57,3541.96
11,15/08/2019,31200,31196.61,31300,1013700,31500,31000,1511680,1745540,17.57,3541.96
12,14/08/2019,31600,31993.56,32150,1566190,32400,31600,3205040,2563850,17.57,3541.96
13,13/08/2019,32100,31867.66,31500,1309980,32350,31300,2955630,2556520,17.57,3541.96
14,12/08/2019,31700,31605.67,31650,563380,31750,31450,1334090,1099790,17.57,3541.96
15,09/08/2019,31600,31412.62,30600,2562410,32200,30550,4695460,3894520,17.57,3541.96
16,08/08/2019,30600,30510.43,30500,657480,30650,30350,1319590,1245180,17.57,3541.96
17,07/08/2019,30500,30372.73,30450,914340,30550,30100,1730360,1405490,17.57,3541.96
18,06/08/2019,30400,30306.6,30000,1603710,30550,30000,2364130,2302210,17.57,3541.96
19,05/08/2019,30700,30794.97,31000,842930,31000,30600,1294090,1724940,17.57,3541.96
20,02/08/2019,31000,30922.38,30700,974440,31200,30600,1600600,1737640,17.57,3541.96
21,01/08/2019,31000,30728.47,30350,2064600,31050,30250,3243510,3151270,17.57,3541.96
22,31/07/2019,30350,30307.94,30400,679360,30450,30000,1141720,1366830,17.57,3541.96
23,30/07/2019,30400,30378.68,30050,1588680,30600,29900,2332140,2689840,17.57,3541.96
24,29/07/2019,30050,29958.07,29850,958740,30150,29750,1695510,1662710,17.57,3541.96
25,26/07/2019,29850,29979.02,30200,572000,30200,29850,920100,1298430,17.57,3541.96
26,25/07/2019,30200,30114.43,29900,1798540,30400,29650,2663450,2828680,17.57,3541.96
27,24/07/2019,29900,29833.7,29450,1618740,30100,29450,2623310,2681390,17.57,3541.96
28,23/07/2019,29400,29387.51,29350,269230,29500,29250,630640,810150,17.57,3541.96
29,22/07/2019,29350,29476.5,29400,560650,29600,29300,935610,1197190,17.57,3541.96
30,19/07/2019,29400,29387.72,29200,902860,29550,29150,1509800,1336970,17.57,3541.96
31,18/07/2019,29000,29276.33,29250,527730,29500,29000,672650,1328240,17.57,3541.96
32,17/07/2019,29250,29201.12,29050,569670,29500,28950,1108380,1113570,17.57,3541.96
33,16/07/2019,29100,29397.18,29400,512090,29600,29100,933350,1169960,17.57,3541.96
34,15/07/2019,29350,29553.96,29700,451750,29700,29350,846600,1259600,17.57,3541.96
35,12/07/2019,29700,29667.18,29600,498160,29800,29400,1279300,1394690,17.57,3541.96
36,11/07/2019,29800,29587.61,29500,601130,29800,29450,1474730,1170630,17.57,3541.96
37,10/07/2019,29400,29327.45,29400,473720,29450,29200,1055160,1155710,17.57,3541.96
38,09/07/2019,29350,29065.49,28850,911390,29350,28700,2003640,1212610,17.57,3541.96
39,08/07/2019,28850,28912.15,28900,569380,29050,28700,1319880,1228210,17.57,3541.96
40,05/07/2019,28900,28890.42,28900,377980,29000,28700,1215990,1058420,17.57,3541.96
41,04/07/2019,28900,28964.42,29000,764110,29050,28800,1232010,1441300,17.57,3541.96
42,03/07/2019,29000,28864.75,28800,410570,29000,28650,983330,1220990,17.57,3541.96
43,02/07/2019,28950,28888.8,29100,509540,29100,28600,1291500,884050,17.57,3541.96
44,01/07/2019,29150,29098.62,29100,497790,29250,28900,1116160,910940,17.57,3541.96
45,28/06/2019,29100,28752.39,28600,652850,29100,28550,1336830,1517690,17.57,3541.96
46,27/06/2019,28800,28889.3,29250,651210,29400,28450,1188260,1353220,17.57,3541.96
47,26/06/2019,29250,29340.44,29500,1576970,29500,29250,2090210,2616920,17.57,3541.96
48,25/06/2019,29500,29492.07,29500,1357280,29750,29300,1933350,2498950,17.57,3541.96
49,24/06/2019,29600,29823.32,29900,1644250,30200,29450,2085440,3268870,17.57,3541.96
50,21/06/2019,30150,30053.35,29800,1831310,30400,29700,2617530,3541830,17.57,3541.96
51,20/06/2019,29850,29738.12,29650,1613720,29900,29450,2570490,2906990,17.57,3541.96
52,19/06/2019,29650,29623.98,29600,858190,29800,29500,1307490,2020090,17.57,3541.96
53,18/06/2019,29600,29618.91,29700,815290,29750,29500,1015480,2063480,17.57,3541.96
54,17/06/2019,29700,29579.74,29700,1060050,29800,29350,1445620,2414680,17.57,3541.96
55,14/06/2019,29600,29549.52,29450,1185840,29800,29400,2126080,2284840,17.57,3541.96
56,13/06/2019,29450,29455.48,29350,1161380,29650,29150,2116600,2023870,17.57,3541.96
57,12/06/2019,29350,29372.94,29250,1604470,29500,29100,2572670,2876310,17.57,3541.96
58,11/06/2019,29250,29492.89,29700,918730,29900,29250,1231290,1479780,17.57,3541.96
59,10/06/2019,29700,29821.37,29800,1137540,30000,29600,2155980,2171830,17.57,3541.96
60,07/06/2019,29900,29011.31,28500,1167200,29900,28500,2440490,1409580,17.57,3541.96
61,06/06/2019,28650,28505.97,28800,460500,28850,28200,1333370,680410,17.57,3541.96
62,05/06/2019,28650,28777.12,29000,1247380,29450,28200,1701740,2058110,17.57,3541.96
63,04/06/2019,28850,29016.51,28900,907380,29400,28800,1571540,1525140,17.57,3541.96
64,03/06/2019,29000,29281.72,29350,1091910,29650,28900,1566630,1914210,17.57,3541.96
65,31/05/2019,29550,29987.36,30450,514150,30500,29550,1045320,1005270,17.57,3541.96
66,30/05/2019,30450,29821.2,30050,1288010,30450,29300,2244840,1933770,17.57,3541.96
67,29/05/2019,30050,30437.01,30750,1249170,30950,30050,2052430,2198320,17.57,3541.96
68,28/05/2019,30750,30764.11,30850,751720,30900,30600,1732230,1433450,17.57,3541.96
69,27/05/2019,30850,30912.2,30850,601510,31100,30800,1154910,1234530,17.57,3541.96
70,24/05/2019,30850,31056.04,31200,782070,31250,30850,1381520,1681110,17.57,3541.96
71,23/05/2019,31200,30931.53,30750,1336080,31200,30500,2831550,1830120,17.57,3541.96
72,22/05/2019,30700,30558.49,30800,747910,30900,30350,1178640,1630870,17.57,3541.96
73,21/05/2019,30800,30813.11,31000,666210,31200,30600,1066530,1736470,17.57,3541.96
74,20/05/2019,30900,30582.96,30400,794560,30900,30300,1547370,1394920,17.57,3541.96
75,17/05/2019,30450,30796.32,30850,783600,31300,30350,1098590,1779850,17.57,3541.96
76,16/05/2019,30850,30990.3,31100,1214380,31250,30700,1562970,2213610,17.57,3541.96
77,15/05/2019,30900,30647.55,30300,1703660,31000,30100,2947540,2633560,17.57,3541.96
78,14/05/2019,30300,30161.31,30000,683160,30400,29800,1210950,1194080,17.57,3541.96
79,13/05/2019,30200,29908.09,29500,1435130,30200,29500,2422690,1994500,17.57,3541.96
80,10/05/2019,29500,29313.4,29100,693130,29700,29000,1213010,1088680,17.57,3541.96
81,09/05/2019,29000,29007.25,29200,417930,29400,28800,585520,973440,17.57,3541.96
82,08/05/2019,29000,28933.93,29000,430740,29300,28800,895840,817720,17.57,3541.96
83,07/05/2019,29300,29291.83,29500,577260,29600,29000,943620,969510,17.57,3541.96
84,06/05/2019,29400,29076.05,29200,922890,29700,28800,1138230,1418690,17.57,3541.96
85,03/05/2019,29700,29699.64,29800,549670,30000,29550,992060,1225450,17.57,3541.96
86,02/05/2019,29800,29629.49,29550,789720,29800,29450,1411440,1234230,17.57,3541.96
87,26/04/2019,29550,29531.28,29700,304660,29700,29300,691850,674150,17.57,3541.96
88,25/04/2019,29500,29638.48,29700,585860,29900,29400,1078890,1387430,17.57,3541.96
89,24/04/2019,29750,29366.7,28450,2055900,29750,28350,3212360,3616870,17.57,3541.96
90,23/04/2019,28450,28465.92,28300,337140,28600,28300,614470,940900,17.57,3541.96
91,22/04/2019,28300,28447.21,28600,686570,28650,28300,928420,1507250,17.57,3541.96
92,19/04/2019,28400,28494.69,28450,314620,28800,28350,500740,866770,17.57,3541.96
93,18/04/2019,28400,28597.65,28700,686490,28950,28350,1039050,1318350,17.57,3541.96
94,17/04/2019,28700,28935.46,28600,1825960,29200,28500,2485000,2910040,17.57,3541.96
95,16/04/2019,28600,28501.65,28700,423800,28700,28300,762520,765730,17.57,3541.96
96,12/04/2019,28800,28711.66,28700,589830,28900,28400,948510,1077020,17.57,3541.96
97,11/04/2019,28700,28317.69,28250,890680,28800,28000,1525470,1186260,17.57,3541.96
98,10/04/2019,28300,28210.79,28400,579530,28450,28100,994170,998010,17.57,3541.96
99,09/04/2019,28500,28647.59,28900,872220,29050,28300,1431710,1808590,17.57,3541.96
100,08/04/2019,28900,29050.1,28800,1695450,29300,28700,2423280,2832270,17.57,3541.96
101,05/04/2019,28700,28065.97,27650,1560680,28700,27400,2858260,2011360,17.57,3541.96
102,04/04/2019,27650,27448.99,27300,678240,27700,27200,1202580,1028230,17.57,3541.96
103,03/04/2019,27300,27132.03,27200,463290,27500,26950,797790,697460,17.57,3541.96
104,02/04/2019,27300,27449.72,27400,449950,27800,27250,703190,829990,17.57,3541.96
105,01/04/2019,27400,27433.39,27400,442490,27700,27300,754390,672490,17.57,3541.96
106,29/03/2019,27500,27245.3,27200,483900,27700,27000,849820,804180,17.57,3541.96
107,28/03/2019,27200,26970.81,26400,723560,27400,26400,1294370,977440,17.57,3541.96
108,27/03/2019,26500,26599.4,26500,372640,26900,26450,567780,650200,17.57,3541.96
109,26/03/2019,26600,26341.72,26100,338930,26600,26100,576520,565600,17.57,3541.96
110,25/03/2019,26100,26370.37,26600,422330,26900,26000,660260,889010,17.57,3541.96
111,22/03/2019,27100,27026.95,26800,355830,27500,26750,732840,750820,17.57,3541.96
112,21/03/2019,26800,27327.68,27600,610480,27700,26800,821360,1105010,17.57,3541.96
113,20/03/2019,27650,27465.34,27700,659340,27700,27200,1074580,1041880,17.57,3541.96
114,19/03/2019,27700,27759.98,28000,524280,28100,27400,765600,1149360,17.57,3541.96
115,18/03/2019,28000,28027.75,28000,662950,28300,27900,968180,1243410,17.57,3541.96
116,15/03/2019,28000,27940.1,27750,874800,28250,27550,1483950,1528330,17.57,3541.96
117,14/03/2019,27750,27308.29,26900,1342120,27850,26800,2401570,1938720,17.57,3541.96
118,13/03/2019,26900,27095.57,27200,359210,27350,26900,552040,1021160,17.57,3541.96
119,12/03/2019,27200,26942.37,26700,462580,27200,26700,810240,874070,17.57,3541.96
120,11/03/2019,26800,26536.39,26500,345940,26900,26300,768760,562560,17.57,3541.96
