,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,24650,24640.9,24800,382900,24900,24400,0,0,21.23,3383.46
1,29/08/2019,24600,24735.72,25350,448380,25350,24100,904590,879000,21.23,3383.46
2,28/08/2019,25050,24923.03,24800,571640,25400,24600,1213700,950830,21.23,3383.46
3,27/08/2019,24800,25104.92,25500,1096040,25700,24800,1485570,1780280,21.23,3383.46
4,26/08/2019,25500,25635.94,25800,615620,26000,25400,1225630,1176100,21.23,3383.46
5,23/08/2019,26000,26104.67,26450,1198100,26450,25800,2128900,1869380,21.23,3383.46
6,22/08/2019,26450,26501.55,26500,360960,26700,26400,718200,1044000,21.23,3383.46
7,21/08/2019,26500,26725.35,26450,554380,27050,26450,1100520,1631590,21.23,3383.46
8,20/08/2019,26450,26543.68,26350,556140,26900,26250,1295440,1341550,21.23,3383.46
9,19/08/2019,26350,26383.94,26200,269520,26550,26200,868000,639380,21.23,3383.46
10,16/08/2019,26250,26391.18,26650,430750,26750,26250,1002790,910210,21.23,3383.46
11,15/08/2019,26600,26295.27,26300,920660,26600,26100,2218580,1301010,21.23,3383.46
12,14/08/2019,26650,26815.14,27100,378070,27200,26600,994310,1171110,21.23,3383.46
13,13/08/2019,26800,26758.0,26700,818260,27400,26300,1984100,1580200,21.23,3383.46
14,12/08/2019,26850,26727.42,26800,527810,27000,26550,1639640,952370,21.23,3383.46
15,09/08/2019,26900,27029.47,27500,818070,27500,26800,1371900,1744790,21.23,3383.46
16,08/08/2019,27500,27104.96,26600,2220110,27800,26300,3332830,3522780,21.23,3383.46
17,07/08/2019,26300,26202.09,25800,1217460,26600,25800,2106210,2457580,21.23,3383.46
18,06/08/2019,25800,25520.6,25200,1352280,26200,24800,2762780,2139560,21.23,3383.46
19,05/08/2019,25800,25973.36,26150,563770,26300,25400,1172240,1413140,21.23,3383.46
20,02/08/2019,25900,25690.29,25600,496530,25900,25350,1129130,980100,21.23,3383.46
21,01/08/2019,25600,26129.15,25300,2477310,26800,25300,3612050,4057730,21.23,3383.46
22,31/07/2019,25350,25223.99,25400,109380,25400,25000,284260,483340,21.23,3383.46
23,30/07/2019,25400,24883.84,25200,634910,25500,24200,1332310,993390,21.23,3383.46
24,29/07/2019,25200,25295.77,25400,188490,25450,25200,303450,481310,21.23,3383.46
25,26/07/2019,25400,25425.2,25200,184620,25500,25200,512400,468540,21.23,3383.46
26,25/07/2019,25400,25514.87,25600,371940,25800,25300,651920,956630,21.23,3383.46
27,24/07/2019,25700,26158.99,26600,1004970,26600,25700,1431880,2518400,21.23,3383.46
28,23/07/2019,25500,25618.59,25600,259460,25850,25500,499580,597860,21.23,3383.46
29,22/07/2019,25300,25078.44,25100,889210,25500,24600,1909240,1277510,21.23,3383.46
30,19/07/2019,25000,25452.63,25900,1023470,25900,25000,1298020,1695310,21.23,3383.46
31,18/07/2019,25800,25688.65,25600,304220,25900,25500,696670,731360,21.23,3383.46
32,17/07/2019,25600,25488.46,25600,441690,25650,25350,932470,820240,21.23,3383.46
33,16/07/2019,25600,25665.56,26000,754630,26000,25450,1190650,1754720,21.23,3383.46
34,15/07/2019,25750,25627.84,25350,657410,25950,25200,1557750,1227050,21.23,3383.46
35,12/07/2019,25350,25542.19,25400,739130,25900,25200,1469390,1480270,21.23,3383.46
36,11/07/2019,25400,25612.12,25700,537480,26200,25200,940030,1406620,21.23,3383.46
37,10/07/2019,25700,25760.67,25200,675060,26500,25150,1369370,1408280,21.23,3383.46
38,09/07/2019,25150,25143.28,25000,298370,25250,24900,600730,915310,21.23,3383.46
39,08/07/2019,24900,25041.46,24800,566820,25300,24800,988130,1758800,21.23,3383.46
40,05/07/2019,25000,25056.15,25300,235990,25350,24900,491670,847750,21.23,3383.46
41,04/07/2019,25250,25309.57,25200,534620,25500,25050,881670,1943090,21.23,3383.46
42,03/07/2019,25150,25009.14,24800,410450,25400,24650,809970,951580,21.23,3383.46
43,02/07/2019,24900,24936.6,25000,678240,25250,24700,1073820,1324400,21.23,3383.46
44,01/07/2019,25100,24762.42,23950,1352170,25100,23950,2272640,4122700,21.23,3383.46
45,28/06/2019,23650,23531.9,23300,425380,23650,23300,1008270,763440,21.23,3383.46
46,27/06/2019,23300,23260.84,23400,485580,23600,22900,695840,870890,21.23,3383.46
47,26/06/2019,23400,23500.38,23700,182380,23700,23300,377480,687730,21.23,3383.46
48,25/06/2019,23450,23565.93,23500,288340,23900,23250,683750,1119890,21.23,3383.46
49,24/06/2019,23500,23649.09,23600,167110,23900,23500,369480,483600,21.23,3383.46
50,21/06/2019,23650,23647.79,23700,369210,24000,23300,700470,1061890,21.23,3383.46
51,20/06/2019,23850,24016.4,23900,595010,24300,23650,1014660,1137780,21.23,3383.46
52,19/06/2019,23650,23660.74,23600,313980,23900,23500,669710,847450,21.23,3383.46
53,18/06/2019,23600,22977.83,22400,867880,23600,22350,1600800,1422920,21.23,3383.46
54,17/06/2019,22400,22377.07,22450,138490,22700,22200,387410,365960,21.23,3383.46
55,14/06/2019,22400,22581.54,22850,144410,22900,22400,332240,594080,21.23,3383.46
56,13/06/2019,22450,22236.85,21700,379910,22600,21700,696930,574250,21.23,3383.46
57,12/06/2019,21700,22152.58,22900,406860,22900,21700,542770,591590,21.23,3383.46
58,11/06/2019,22450,22631.51,22600,367850,22950,22450,645400,679540,21.23,3383.46
