,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,69000,69891.47,70900,330770,71000,69000,0,0,0,4213.1
1,29/08/2019,70100,70835.59,71900,258740,71900,70100,422530,457390,0,4213.1
2,28/08/2019,71400,71474.52,71700,195860,72000,70600,388410,416400,0,4213.1
3,27/08/2019,71000,71053.62,70800,427860,72000,70800,582110,644620,0,4213.1
4,26/08/2019,70800,71351.57,72200,710580,72200,70800,1151580,994930,0,4213.1
5,23/08/2019,72200,72721.29,73100,228090,74000,72200,389820,432830,0,4213.1
6,22/08/2019,73100,72949.94,73100,411940,73700,72300,744170,648580,0,4213.1
7,21/08/2019,73100,73912.88,74300,519950,75000,73000,863040,999080,0,4213.1
8,20/08/2019,74100,73395.69,73000,615840,74300,72300,1217090,1073270,0,4213.1
9,19/08/2019,71800,71795.45,72000,176390,72400,71500,319150,377360,0,4213.1
10,16/08/2019,71600,72470.73,72700,256200,73000,71600,412650,613010,0,4213.1
11,15/08/2019,72000,69126.4,68300,965550,72000,67500,1644930,1193390,0,4213.1
12,14/08/2019,69200,69505.9,70100,515280,71700,68500,928650,853700,0,4213.1
13,13/08/2019,70000,70669.16,72500,786510,72500,69700,1250770,1041570,0,4213.1
14,12/08/2019,72500,73982.89,75300,660450,75300,72500,874200,946040,0,4213.1
15,09/08/2019,75300,75965.56,75300,334520,76700,75300,509260,589040,0,4213.1
16,08/08/2019,75200,75733.68,75600,232050,76300,75200,431610,467420,0,4213.1
17,07/08/2019,75600,74637.1,74600,590390,75900,73500,1018520,931550,0,4213.1
18,06/08/2019,75300,75507.71,74700,719900,76600,74200,1146560,1066080,0,4213.1
19,05/08/2019,75600,73935.43,75000,584510,75800,72600,1152010,977600,0,4213.1
20,02/08/2019,74000,73483.33,72000,794670,74100,72000,1296730,1110850,0,4213.1
21,01/08/2019,72200,71811.53,70000,892670,72500,70000,1605080,1278660,0,4213.1
22,31/07/2019,69600,68153.36,67100,440800,69600,66800,1044630,611810,0,4213.1
23,30/07/2019,67500,68349.35,68600,532880,69600,67500,749960,952940,0,4213.1
24,29/07/2019,68600,68744.84,68500,363620,69400,68200,655680,775610,0,4213.1
25,26/07/2019,69000,69049.79,68300,657120,69600,68300,1027250,1035390,0,4213.1
26,25/07/2019,68800,69487.22,70500,731890,70800,68800,1070190,1201800,0,4213.1
27,24/07/2019,70500,69554.26,69900,992290,71500,68500,1558320,1392280,0,4213.1
28,23/07/2019,69800,68973.66,68300,1185960,69900,68200,1699510,1503510,0,4213.1
29,22/07/2019,67500,66949.72,65000,944470,67500,65000,1491640,1304360,0,4213.1
30,19/07/2019,65000,66410.76,66000,775010,67600,65000,1121650,1232620,0,4213.1
31,18/07/2019,64400,63271.06,61400,1006890,64500,61300,1512560,1531930,0,4213.1
32,17/07/2019,61500,61574.35,62000,285070,62000,61200,576670,553920,0,4213.1
33,16/07/2019,61900,61818.99,61000,451350,62300,61000,815580,807040,0,4213.1
34,15/07/2019,60800,60608.66,59700,477440,61200,59700,861330,782870,0,4213.1
35,12/07/2019,59700,59913.24,60000,281240,60300,59600,536930,650050,0,4213.1
36,11/07/2019,59800,59999.6,60000,503470,60800,59400,829260,1063810,0,4213.1
37,10/07/2019,59800,60098.6,60000,430010,61200,59600,806460,892140,0,4213.1
38,09/07/2019,59600,59019.42,58500,1111380,59600,58100,2253650,1391730,0,4213.1
39,08/07/2019,58600,58729.11,58500,607450,59500,58200,1173140,962470,0,4213.1
40,05/07/2019,60600,60943.63,61100,555300,61500,60600,833740,997820,0,4213.1
41,04/07/2019,61000,60442.32,59200,922400,61400,59200,1358640,1476440,0,4213.1
42,03/07/2019,59500,59674.83,59500,404710,60200,58900,752660,811540,0,4213.1
43,02/07/2019,59500,59430.72,59300,468310,60400,59100,632860,1012060,0,4213.1
44,01/07/2019,59300,59452.81,59500,308850,59800,59000,706910,1008500,0,4213.1
45,28/06/2019,61200,59063.47,57500,395930,61200,57100,559320,497810,0,4213.1
46,27/06/2019,57600,58071.79,58300,283890,58600,57600,400530,504800,0,4213.1
47,26/06/2019,57900,57718.86,58000,182540,58000,57300,328530,338380,0,4213.1
48,25/06/2019,57400,57292.71,57000,140140,57800,56700,453090,328520,0,4213.1
49,24/06/2019,57000,57460.36,58800,573230,58900,56900,872030,898000,0,4213.1
50,21/06/2019,58900,58667.02,58700,416810,59000,58200,557330,665620,0,4213.1
51,20/06/2019,58800,58979.95,58700,389590,59300,58700,652970,812860,0,4213.1
52,19/06/2019,58600,57748.42,56200,399630,58600,56200,802970,670580,0,4213.1
53,18/06/2019,56000,55947.02,56000,153270,56300,55700,418620,297400,0,4213.1
54,17/06/2019,55800,55477.44,56000,429580,56500,55000,792920,592100,0,4213.1
55,14/06/2019,56000,56546.63,57800,396540,57800,56000,604470,752720,0,4213.1
56,13/06/2019,57500,57589.57,57500,190920,58200,57100,521820,378380,0,4213.1
57,12/06/2019,56800,57367.34,56500,302280,58200,56500,669450,541410,0,4213.1
58,11/06/2019,56900,58008.51,58900,439470,59200,56900,758800,809200,0,4213.1
59,10/06/2019,58500,58646.78,58900,269580,59100,58100,499000,571370,0,4213.1
60,07/06/2019,58000,57552.12,57200,297400,58100,56800,635620,543360,0,4213.1
61,06/06/2019,56500,56694.18,57000,718310,57500,56100,1075710,1113780,0,4213.1
62,05/06/2019,56600,56471.14,55900,913440,56900,55500,1306060,1234820,0,4213.1
63,04/06/2019,55000,54694.4,54000,362560,55500,54000,747790,554890,0,4213.1
64,03/06/2019,54000,54924.2,55900,864810,56000,54000,1249970,1273080,0,4213.1
65,31/05/2019,55900,57025.02,58400,715300,59000,55700,1205970,1201080,0,4213.1
66,30/05/2019,58100,58253.88,58000,609350,59200,56500,1353490,1160180,0,4213.1
67,29/05/2019,58000,59821.14,61000,1367560,61800,58000,1931460,2090620,0,4213.1
68,28/05/2019,62000,62300.97,61600,618000,63000,61500,1004990,1159970,0,4213.1
69,27/05/2019,61600,60621.24,59200,800660,61600,59200,1184620,1060590,0,4213.1
70,24/05/2019,59200,59878.47,60000,557880,61000,59200,904930,929400,0,4213.1
71,23/05/2019,60000,58721.82,57200,550000,60000,56800,1232530,872430,0,4213.1
72,22/05/2019,57600,58433.2,58800,338780,59300,57600,516940,720600,0,4213.1
73,21/05/2019,58800,59296.66,60000,305970,60000,58600,483240,796990,0,4213.1
74,20/05/2019,59400,58123.39,55700,829580,59500,55700,1580660,1054810,0,4213.1
75,17/05/2019,55700,56272.39,56000,759200,57400,55600,1175460,1314350,0,4213.1
76,16/05/2019,55700,55451.45,55000,496290,56300,54500,951030,840330,0,4213.1
77,15/05/2019,55400,55706.72,55500,391030,56300,55300,608310,842370,0,4213.1
78,14/05/2019,55500,55541.04,54200,474460,56300,54000,885220,823750,0,4213.1
79,13/05/2019,54100,52681.68,51100,1188060,54100,51000,2047600,1470120,0,4213.1
80,10/05/2019,51100,51152.97,51200,175200,51500,49600,396490,338970,0,4213.1
81,09/05/2019,51500,51401.68,51800,145540,51800,51000,330950,370010,0,4213.1
82,08/05/2019,51700,51499.27,51400,95380,51900,51200,225690,280330,0,4213.1
83,07/05/2019,51900,51771.4,50800,335610,53000,50600,678630,723930,0,4213.1
84,06/05/2019,50600,49721.98,49600,868630,50600,49200,1225270,965680,0,4213.1
85,03/05/2019,50600,50853.27,51600,277170,51700,50400,399660,536070,0,4213.1
86,02/05/2019,51600,51875.88,52000,360630,52100,51500,555950,641870,0,4213.1
87,26/04/2019,52000,50808.66,50000,291840,52000,50000,595770,405850,0,4213.1
88,25/04/2019,50300,50212.55,50600,279930,50900,50000,392100,558780,0,4213.1
89,24/04/2019,50700,50059.36,49000,269540,50700,49000,632250,411920,0,4213.1
90,23/04/2019,49000,48623.85,49300,250700,49300,48000,588450,355470,0,4213.1
91,22/04/2019,48500,48564.11,50000,324190,50000,47700,580680,581500,0,4213.1
92,19/04/2019,50000,49916.37,50000,113590,50500,49700,215810,284090,0,4213.1
93,18/04/2019,50000,50089.86,50500,222580,50700,49800,441480,540350,0,4213.1
94,17/04/2019,50500,50313.1,50600,480670,50900,49500,768510,1023650,0,4213.1
95,16/04/2019,50500,50620.09,50600,361240,51000,50200,805840,616570,0,4213.1
96,12/04/2019,51300,50803.18,50600,209790,51300,50300,515150,354010,0,4213.1
97,11/04/2019,51300,51157.41,51500,112320,51500,50400,315700,264930,0,4213.1
98,10/04/2019,51500,51068.43,50500,249900,51500,50100,494440,431020,0,4213.1
99,09/04/2019,50900,50788.26,52000,1224850,52100,50000,1653200,1677580,0,4213.1
100,08/04/2019,52300,52474.82,53300,322650,53300,52000,473800,689330,0,4213.1
101,05/04/2019,52900,52798.18,53500,189230,53600,52500,375910,578190,0,4213.1
102,04/04/2019,53300,53131.73,52300,338950,53800,52300,570590,790270,0,4213.1
103,03/04/2019,52500,52308.95,52000,417290,52600,51200,737900,682490,0,4213.1
104,02/04/2019,52200,52694.54,53100,269990,53100,52100,419070,818360,0,4213.1
105,01/04/2019,52500,52108.17,52900,753260,52900,51800,1181060,1171620,0,4213.1
106,29/03/2019,52600,52654.46,52000,524400,53400,52000,738670,1064880,0,4213.1
107,28/03/2019,52000,50901.41,49900,350560,52000,49200,820920,563560,0,4213.1
108,27/03/2019,50400,48995.78,48900,645280,50400,47900,1236470,1016810,0,4213.1
109,26/03/2019,47900,47883.06,50000,944050,50500,46100,1576110,1766910,0,4213.1
110,25/03/2019,49500,50849.52,50800,1251890,54400,49500,1634980,2062480,0,4213.1
111,22/03/2019,53200,54340.29,56200,1888930,58500,52400,3093950,3468460,0,4213.1
112,21/03/2019,56200,55678.26,54000,950820,56900,54000,1788930,1771650,0,4213.1
113,20/03/2019,54000,53250.2,52500,866100,54000,52400,1650970,1215620,0,4213.1
114,19/03/2019,53000,52389.51,51600,945590,53500,51300,1535080,1319380,0,4213.1
115,18/03/2019,51300,50279.55,49300,1114290,51300,49000,1837800,1388320,0,4213.1
116,15/03/2019,49200,48977.04,49200,640790,49300,48500,1135370,1104980,0,4213.1
117,14/03/2019,49000,49905.81,50000,854690,50900,49000,1094710,1668900,0,4213.1
118,13/03/2019,49900,49270.63,48500,688950,50100,48450,1359680,1345920,0,4213.1
119,12/03/2019,49150,49031.05,49100,385470,49300,48700,719090,898710,0,4213.1
120,11/03/2019,49000,48754.11,48200,784180,49500,47400,1349400,1371100,0,4213.1
121,08/03/2019,47400,45822.63,44750,906910,47400,44000,1703500,1385510,0,4213.1
122,07/03/2019,44750,45044.03,45700,718830,45700,44750,1101190,1061090,0,4213.1
123,06/03/2019,45700,45103.81,45600,892940,45700,43700,1823300,1361340,0,4213.1
124,05/03/2019,45700,45804.26,46000,538880,46500,45500,795980,826010,0,4213.1
125,04/03/2019,46000,45855.18,45500,543450,46300,45400,932150,874380,0,4213.1
126,01/03/2019,45400,44981.54,44500,579660,46000,44400,1181320,850400,0,4213.1
127,28/02/2019,44000,44348.4,45000,638580,45100,44000,1030440,954010,0,4213.1
128,27/02/2019,45000,44067.7,43900,509330,45000,43500,1109770,753490,0,4213.1
129,26/02/2019,43900,43288.51,42900,630560,43900,42600,1049910,1069610,0,4213.1
130,25/02/2019,43000,41955.56,41000,660270,43000,40500,1309570,928730,0,4213.1
131,22/02/2019,40500,39437.3,39600,867960,40500,38800,1641130,1199230,0,4213.1
132,21/02/2019,39700,39472.5,39900,487580,40000,38800,819490,905490,0,4213.1
133,20/02/2019,39900,39769.62,40000,307320,40300,39350,652450,625280,0,4213.1
134,19/02/2019,39800,39835.76,39700,651500,40200,39500,959430,1200140,0,4213.1
135,18/02/2019,39500,39085.39,38200,970030,40000,38200,1810630,1399250,0,4213.1
136,15/02/2019,38200,37945.58,37400,412380,38350,37300,791230,630020,0,4213.1
137,14/02/2019,37600,37469.84,37950,294290,37950,37300,509230,696340,0,4213.1
138,13/02/2019,37950,37803.49,37650,446890,38200,37550,680860,872030,0,4213.1
139,12/02/2019,37600,37294.71,36600,655160,37800,36500,1173800,910470,0,4213.1
