,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,61500,61472.67,61200,266590,61800,61100,0,0,0,3392.73
1,29/08/2019,61000,60933.26,61200,401390,61200,60700,494750,764640,0,3392.73
2,28/08/2019,61000,60990.9,61600,279140,61600,60800,457020,523740,0,3392.73
3,27/08/2019,61200,60980.36,61000,569790,61300,60500,940500,1159220,0,3392.73
4,26/08/2019,60800,60988.73,61400,594700,61500,60500,857340,1076530,0,3392.73
5,23/08/2019,62000,62305.02,62900,192970,62900,61800,303590,652800,0,3392.73
6,22/08/2019,62600,62593.95,62800,125060,62800,62500,305420,405340,0,3392.73
7,21/08/2019,62600,62704.85,62500,562620,63200,62400,974810,1061690,0,3392.73
8,20/08/2019,62500,62474.44,62600,689610,62700,62300,1137540,1052240,0,3392.73
9,19/08/2019,62600,62592.27,62400,150370,63000,62400,405670,492380,0,3392.73
10,16/08/2019,62400,62162.3,61500,399760,62400,61500,709070,663800,0,3392.73
11,15/08/2019,61500,61329.0,61100,462000,61900,61000,850610,766190,0,3392.73
12,14/08/2019,62400,62964.9,63300,267530,63600,62400,406390,739840,0,3392.73
13,13/08/2019,63200,62639.94,62400,691380,63500,62000,1115700,1151400,0,3392.73
14,12/08/2019,62400,62177.72,62200,383980,62500,61800,792270,672090,0,3392.73
15,09/08/2019,62200,62306.96,62200,347730,62500,62000,675570,687610,0,3392.73
16,08/08/2019,62200,62021.28,61500,457730,62600,61400,1798760,843470,0,3392.73
17,07/08/2019,62000,61582.76,61300,797090,62400,61200,2218920,1257230,0,3392.73
18,06/08/2019,61300,61667.75,61500,1304750,62400,61200,2176900,2023540,0,3392.73
19,05/08/2019,63100,63712.72,65000,1319140,65000,63100,1692770,2165820,0,3392.73
20,02/08/2019,65000,64452.15,64100,960480,65300,63500,1720780,1432160,0,3392.73
21,01/08/2019,65000,65146.53,65200,525830,65500,64800,1111920,1073470,0,3392.73
22,31/07/2019,65500,65074.69,64600,1004830,65500,64600,2697970,1684830,0,3392.73
23,30/07/2019,64600,64750.33,64700,878760,65400,64400,1877260,1496830,0,3392.73
24,29/07/2019,64700,64721.85,65700,1297120,65700,64200,3933150,2066930,0,3392.73
25,26/07/2019,65800,65877.12,65700,859570,66400,65500,1820940,1384650,0,3392.73
26,25/07/2019,65700,65743.77,66500,1070900,66500,65400,1881880,1928440,0,3392.73
27,24/07/2019,66000,65776.33,64500,2628590,66200,64500,4149550,3576770,0,3392.73
28,23/07/2019,64200,64237.9,64200,1450530,64500,64100,2095940,2018880,0,3392.73
29,22/07/2019,64200,64064.95,64000,1367300,64500,63800,2516630,1853970,0,3392.73
30,19/07/2019,64100,64151.6,64200,1465170,64400,64100,1688550,1921720,0,3392.73
31,18/07/2019,64200,64250.04,64300,2228450,64400,64100,2545540,2710190,0,3392.73
32,17/07/2019,64300,64302.76,64400,2686790,64600,64100,3107080,3286000,0,3392.73
33,16/07/2019,64300,64298.33,64500,2151300,64600,64100,2832660,2812280,0,3392.73
34,15/07/2019,64600,64624.83,64800,446330,64900,64500,971910,1646050,0,3392.73
