,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,28000,27333.29,27200,12967190,28650,26800,0,0,3,310.97
1,29/08/2019,28000,27050.98,26300,13984780,28000,26300,34557240,14598830,3,310.97
2,28/08/2019,27500,26694.9,26800,14969190,27500,25800,35595800,16006850,3,310.97
3,27/08/2019,27000,26448.3,26400,8748880,27000,25500,27463730,10386970,3,310.97
4,26/08/2019,26800,26124.14,25600,12575000,26800,25200,26253690,14208350,3,310.97
5,23/08/2019,26600,25779.19,25600,13186800,26600,25000,28125830,14796410,3,310.97
6,22/08/2019,25950,25526.68,25000,13844380,25950,24850,29275200,16159960,3,310.97
7,21/08/2019,25400,25210.9,25600,12560680,25600,25000,25255570,16965100,3,310.97
8,20/08/2019,25600,25354.52,25500,11214410,25700,25000,26971620,16116870,3,310.97
9,19/08/2019,25700,25606.65,25800,12600670,26100,25500,23396190,20460970,3,310.97
10,16/08/2019,26200,25990.0,25800,14910620,26300,25700,27964350,20113790,3,310.97
11,15/08/2019,26400,26239.83,26700,10489930,26700,25950,22486160,16398550,3,310.97
12,14/08/2019,26700,26390.55,26450,13200370,26800,26150,25330290,18277090,3,310.97
13,13/08/2019,27000,26709.06,27000,16509640,27050,26300,27584150,19060920,3,310.97
14,12/08/2019,27400,26850.87,26600,12619850,27400,26300,28238860,13932170,3,310.97
15,09/08/2019,27100,26771.6,26900,13755620,27100,26350,28037290,15957970,3,310.97
16,08/08/2019,27200,26841.82,26700,15332010,27200,26500,33714370,18211500,3,310.97
17,07/08/2019,27500,27254.57,27350,12387170,27500,26900,27583450,14896250,3,310.97
18,06/08/2019,28500,27533.72,27000,12306510,28500,26500,23750840,13341740,3,310.97
19,05/08/2019,28100,27235.11,27000,12800610,28100,26350,24586510,13577650,3,310.97
20,02/08/2019,27500,26909.27,26550,14557510,27500,26250,26182070,16181340,3,310.97
21,01/08/2019,27200,26815.19,26950,10733470,27200,26350,24842600,13464190,3,310.97
22,31/07/2019,27150,27066.37,27300,9500720,27300,26950,23264200,15605160,3,310.97
23,30/07/2019,27300,27158.11,27400,11048300,27400,26950,24377580,15034400,3,310.97
24,29/07/2019,27400,27353.04,27300,4596600,27500,26950,15208230,8224760,3,310.97
25,26/07/2019,27450,27146.39,27050,10986800,27500,26900,28720040,14553620,3,310.97
26,25/07/2019,27800,27411.99,28000,12544330,28000,27000,29457950,14752260,3,310.97
27,24/07/2019,28000,27502.57,27200,11188810,28000,26900,22481990,13040960,3,310.97
28,23/07/2019,28000,27417.89,27000,9770810,28000,26500,20165600,11535650,3,310.97
29,22/07/2019,27500,27269.57,27700,11474070,27700,27000,18802670,15368600,3,310.97
30,19/07/2019,27700,27369.71,27400,11365300,27700,27000,20608550,14372230,3,310.97
31,18/07/2019,27500,27399.31,27050,4230910,27700,27000,14653960,9579700,3,310.97
32,17/07/2019,27400,27421.29,27700,10792090,27950,27350,21151800,16803500,3,310.97
33,16/07/2019,28600,27983.36,27800,9409450,28600,27000,16955960,11139830,3,310.97
34,15/07/2019,28000,27898.24,28450,9620930,28500,27550,18076040,13560860,3,310.97
35,12/07/2019,28500,28677.01,29200,13888930,29200,28350,21801560,20084030,3,310.97
36,11/07/2019,29200,29082.99,29200,7787920,29200,28850,16893710,12164950,3,310.97
37,10/07/2019,29200,29076.96,28950,11892130,29250,28850,21275280,16763760,3,310.97
38,09/07/2019,29250,29138.66,29100,11391980,29400,29000,20696300,16817910,3,310.97
39,08/07/2019,29400,29225.99,29400,8653600,29500,29050,19259930,12313470,3,310.97
40,05/07/2019,29350,29341.97,29450,11111900,29700,29300,24407920,15558320,3,310.97
