,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,16500,16097.52,16000,1291690,16500,15850,0,0,5.2,618.48
1,29/08/2019,15900,15821.6,15900,1526900,15900,15650,1850970,2043130,5.2,618.48
2,28/08/2019,15900,15809.62,15900,1497190,15900,15650,1946480,2039150,5.2,618.48
3,27/08/2019,15900,15858.02,16000,1813530,16000,15700,2377710,2458470,5.2,618.48
4,26/08/2019,16000,15966.45,16150,1490500,16150,15850,1944370,2066520,5.2,618.48
5,23/08/2019,16150,16074.56,16150,1379820,16150,16000,1995430,1724940,5.2,618.48
6,22/08/2019,16150,16077.94,16000,1600640,16150,15950,2228310,2014510,5.2,618.48
7,21/08/2019,16200,16121.04,16200,1052910,16200,16000,1948620,1502600,5.2,618.48
8,20/08/2019,16200,16033.85,16000,1179380,16200,15900,1809880,1493820,5.2,618.48
9,19/08/2019,16100,15952.2,16000,1312170,16100,15800,1816770,1573010,5.2,618.48
10,16/08/2019,16000,15952.27,15850,1282200,16000,15800,2035990,1906050,5.2,618.48
11,15/08/2019,16100,15720.41,15550,1186610,16100,15400,1748010,1289940,5.2,618.48
12,14/08/2019,15800,15865.61,15750,1239410,16200,15750,2164990,2112800,5.2,618.48
13,13/08/2019,16000,15877.22,15850,1580440,16000,15650,2060650,2145910,5.2,618.48
14,12/08/2019,16000,15899.9,16000,1441770,16000,15750,2050390,1837870,5.2,618.48
15,09/08/2019,16000,15980.21,16200,1322010,16200,15850,2013220,2105980,5.2,618.48
16,08/08/2019,16200,16105.78,16300,1238810,16300,16000,1914190,2065760,5.2,618.48
17,07/08/2019,16300,16288.15,16300,1118850,16500,16200,1640840,2218390,5.2,618.48
18,06/08/2019,16550,16477.06,16500,1093520,16700,16400,1587670,1966060,5.2,618.48
19,05/08/2019,16700,16654.48,16650,1285120,16800,16550,1616940,2445290,5.2,618.48
20,02/08/2019,16800,16662.72,16700,1265700,16800,16500,2081390,1919580,5.2,618.48
21,01/08/2019,16750,16581.01,16600,1558530,16750,16500,2641790,2147630,5.2,618.48
22,31/07/2019,16650,16460.47,16550,1583430,16650,16300,2735850,2335960,5.2,618.48
23,30/07/2019,16550,16452.95,16450,1534740,16550,16300,2240060,2144530,5.2,618.48
24,29/07/2019,16450,16440.91,16400,2198540,16700,16250,3061730,3349250,5.2,618.48
25,26/07/2019,16250,16151.41,16300,1934940,16300,16000,2514650,2887880,5.2,618.48
26,25/07/2019,16350,16288.39,16250,1442500,16450,16150,1765100,2635440,5.2,618.48
27,24/07/2019,16450,16388.54,16500,1579030,16500,16300,1990030,3350310,5.2,618.48
28,23/07/2019,16550,16494.14,16450,1288700,16550,16400,1825410,2033090,5.2,618.48
29,22/07/2019,16600,16521.91,16400,1258450,16700,16400,1752340,2437180,5.2,618.48
30,19/07/2019,16700,16690.07,16650,1210420,16850,16600,1533580,2772280,5.2,618.48
31,18/07/2019,16800,16775.6,16900,1346420,16900,16700,1789250,3358770,5.2,618.48
32,17/07/2019,16900,16853.37,16850,1389040,16900,16800,2009000,3341600,5.2,618.48
33,16/07/2019,17000,16923.65,16900,2030650,17000,16800,2629340,3176770,5.2,618.48
34,15/07/2019,17000,16906.52,16800,1686450,17000,16800,2323730,2842900,5.2,618.48
35,12/07/2019,17000,16954.4,17000,1463750,17100,16900,2304470,2359270,5.2,618.48
36,11/07/2019,17050,16996.62,16800,1497180,17100,16800,2264840,2166770,5.2,618.48
37,10/07/2019,17000,16923.45,17000,2062050,17000,16800,2815850,2650910,5.2,618.48
38,09/07/2019,17000,16907.87,16950,1141480,17000,16800,1645480,2248290,5.2,618.48
39,08/07/2019,17150,17048.19,17150,1507550,17150,16950,2109280,2250800,5.2,618.48
40,05/07/2019,17150,17073.21,17000,1800950,17150,16950,2354760,2493500,5.2,618.48
41,04/07/2019,17150,17061.63,17000,1698900,17150,16950,2221160,2633130,5.2,618.48
42,03/07/2019,17150,17071.67,17100,1286400,17150,16950,1731300,2544390,5.2,618.48
43,02/07/2019,17200,17129.02,17250,1619240,17250,17000,2246240,2290880,5.2,618.48
44,01/07/2019,17250,17122.81,17200,2128740,17250,16950,2701070,2689460,5.2,618.48
45,28/06/2019,17200,17057.88,16800,1303620,17200,16800,2018950,1885970,5.2,618.48
46,27/06/2019,17100,17053.03,17150,1212160,17150,16950,1523570,1970730,5.2,618.48
47,26/06/2019,17150,17089.05,17150,1191640,17150,17000,1766810,1820550,5.2,618.48
48,25/06/2019,17150,17072.8,17150,1188850,17150,16950,1638460,2101010,5.2,618.48
49,24/06/2019,17150,17127.91,16950,1854050,17200,16950,2624160,2999070,5.2,618.48
50,21/06/2019,17100,17055.03,17000,2979590,17100,16900,3976380,4309920,5.2,618.48
51,20/06/2019,17150,17027.83,16950,2072490,17150,16950,2667670,3173880,5.2,618.48
52,19/06/2019,17200,17031.62,17000,2109840,17200,16900,2783600,3091470,5.2,618.48
53,18/06/2019,17200,17048.91,17000,1336860,17200,16900,1678770,2202760,5.2,618.48
54,17/06/2019,17200,17088.62,17200,1185760,17200,16950,1439760,2242430,5.2,618.48
55,14/06/2019,17200,17153.36,17200,1093780,17200,17000,1362250,1920200,5.2,618.48
56,13/06/2019,17150,17098.05,17200,866590,17250,16950,1279830,1853960,5.2,618.48
57,12/06/2019,17200,16923.01,17200,1435560,17200,16500,1962620,2517910,5.2,618.48
58,11/06/2019,16700,17436.24,17750,955080,17800,16700,1352830,2569480,5.2,618.48
59,10/06/2019,17750,17687.72,17700,1448180,17800,17550,1893560,2873270,5.2,618.48
60,07/06/2019,17800,17692.16,17750,1021300,17800,17550,1465470,2104060,5.2,618.48
61,06/06/2019,17800,17649.93,17650,1043460,17800,17450,1464220,3049760,5.2,618.48
62,05/06/2019,17850,17803.19,17900,1153220,17950,17600,2299530,2414780,5.2,618.48
63,04/06/2019,17800,17797.09,17800,926500,17900,17650,1166820,2121960,5.2,618.48
64,03/06/2019,17800,17834.26,17800,1000490,17950,17750,1274190,2293700,5.2,618.48
65,31/05/2019,18050,17952.79,17800,1284090,18050,17800,1734760,1895630,5.2,618.48
66,30/05/2019,18000,17782.28,17800,1160200,18000,17600,1580720,1828850,5.2,618.48
67,29/05/2019,17800,17829.97,17900,1205330,17950,17800,1754450,2066760,5.2,618.48
68,28/05/2019,18000,17915.6,18050,1373440,18050,17800,2083300,2178230,5.2,618.48
69,27/05/2019,18050,17858.79,17700,1192130,18050,17700,2048230,1711100,5.2,618.48
70,24/05/2019,17900,17848.55,18000,1538500,18000,17700,2998280,2487350,5.2,618.48
71,23/05/2019,18000,18019.61,18200,1118670,18200,17900,1977690,2714490,5.2,618.48
72,22/05/2019,18200,18130.39,18250,959880,18250,18000,1542470,2049500,5.2,618.48
73,21/05/2019,18250,18271.75,18300,1307100,18350,18200,2197960,2802810,5.2,618.48
74,20/05/2019,18300,17958.42,17850,1403910,18300,17750,2785510,1913450,5.2,618.48
75,17/05/2019,17850,17713.92,17550,1377730,17850,17550,2339230,2058660,5.2,618.48
76,16/05/2019,17650,17588.93,17600,1340730,17650,17500,2070440,1983660,5.2,618.48
77,15/05/2019,17600,17606.72,17600,1534130,17700,17550,2902540,2557780,5.2,618.48
78,14/05/2019,17650,17590.64,17650,1428430,17650,17500,2034200,2313430,5.2,618.48
79,13/05/2019,17650,17572.75,17600,1565890,17650,17350,2289120,2077520,5.2,618.48
