,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,21800,22053.66,22450,467360,22450,21800,0,0,0,1004.7
1,29/08/2019,22300,22571.12,22900,419740,23200,22000,818520,844530,0,1004.7
2,28/08/2019,23000,23200.71,23100,369730,23500,23000,675390,673430,0,1004.7
3,27/08/2019,23300,23765.07,24300,561370,24500,23300,787360,1073790,0,1004.7
4,26/08/2019,24000,24404.22,24600,413740,24750,24000,602460,1035670,0,1004.7
5,23/08/2019,24200,24423.52,24450,290990,24800,24100,521460,718130,0,1004.7
6,22/08/2019,24450,24655.71,24500,270850,24900,24450,548310,670580,0,1004.7
7,21/08/2019,24500,24966.88,25150,483160,25500,24500,865750,1202470,0,1004.7
8,20/08/2019,25100,24501.04,23800,1063710,25100,23700,1873940,1614600,0,1004.7
9,19/08/2019,23800,23692.65,23600,230620,24100,23500,435750,684790,0,1004.7
10,16/08/2019,23600,23826.68,23900,424650,24100,23600,662230,896290,0,1004.7
11,15/08/2019,24250,23665.36,23500,473350,24300,22800,1021270,818950,0,1004.7
12,14/08/2019,23900,24106.85,23900,213010,24700,23800,542230,413350,0,1004.7
13,13/08/2019,23900,24098.38,25200,1116880,25500,23550,1666240,1671380,0,1004.7
14,12/08/2019,25300,25427.49,25300,445620,25900,25050,825330,775150,0,1004.7
15,09/08/2019,25300,25290.61,25200,307110,25600,25050,774610,638190,0,1004.7
16,08/08/2019,25200,25265.27,25500,632370,25950,24900,1116890,1044270,0,1004.7
17,07/08/2019,25500,26021.38,26450,694890,27200,25100,1102360,1352300,0,1004.7
18,06/08/2019,26450,26349.79,25000,976630,27700,25000,1656820,1520530,0,1004.7
19,05/08/2019,25950,25188.45,24900,705760,25950,24350,1227860,1002430,0,1004.7
20,02/08/2019,24900,24944.18,24800,747950,25100,24500,1024320,1301080,0,1004.7
21,01/08/2019,24350,24101.51,22600,1236520,24350,22600,1843600,1508500,0,1004.7
22,31/07/2019,22800,22794.69,22700,204960,23000,22600,396110,574190,0,1004.7
23,30/07/2019,22500,22851.53,23000,402380,23300,22500,551150,926700,0,1004.7
24,29/07/2019,23000,22904.78,22650,583590,23200,22550,821010,1362110,0,1004.7
25,26/07/2019,22450,22440.11,21950,336050,23000,21800,865680,739140,0,1004.7
26,25/07/2019,22000,22176.54,22350,228620,22500,21600,508450,480740,0,1004.7
27,24/07/2019,22350,22378.05,23000,486280,23200,21900,687260,939350,0,1004.7
28,23/07/2019,22900,23293.16,23000,451420,23700,22850,839360,946910,0,1004.7
29,22/07/2019,22850,22633.1,22400,280430,23000,21800,624180,548990,0,1004.7
30,19/07/2019,22000,22090.81,21500,279030,22450,21400,622260,526320,0,1004.7
31,18/07/2019,21900,21654.62,21250,178530,22000,21250,535690,389650,0,1004.7
32,17/07/2019,21650,21772.37,21700,185740,22100,21300,333910,385290,0,1004.7
33,16/07/2019,21700,22352.72,22600,378030,22950,21700,531490,729840,0,1004.7
34,15/07/2019,22500,22843.76,22600,454610,23300,22500,783670,903080,0,1004.7
35,12/07/2019,22500,22848.1,22800,344230,23550,22200,689780,697140,0,1004.7
36,11/07/2019,22500,22624.61,23000,382990,23100,22100,642490,878670,0,1004.7
37,10/07/2019,22550,22035.78,21300,649580,22550,21300,1096610,878960,0,1004.7
38,09/07/2019,21100,20805.37,20900,323330,21100,20650,515730,530720,0,1004.7
39,08/07/2019,21000,21018.24,21000,390280,21350,20800,643120,646640,0,1004.7
40,05/07/2019,21000,20859.14,21000,741210,21100,20550,1185590,1142680,0,1004.7
41,04/07/2019,20450,20260.46,19150,701070,20450,19150,1319530,873760,0,1004.7
42,03/07/2019,19150,19138.61,19150,127700,19300,18950,283590,253580,0,1004.7
43,02/07/2019,19150,19152.96,19400,238240,19450,18950,552080,470220,0,1004.7
44,01/07/2019,19200,18988.18,18700,181060,19400,18500,443500,356760,0,1004.7
45,28/06/2019,18300,18393.57,18600,182890,18650,18100,407690,347370,0,1004.7
46,27/06/2019,18600,18606.32,18700,111790,18900,18450,261380,198750,0,1004.7
47,26/06/2019,18600,18490.35,19000,516810,19000,18300,858770,764930,0,1004.7
48,25/06/2019,19000,19408.82,19700,245610,19850,19000,315750,565330,0,1004.7
49,24/06/2019,19600,19724.1,19500,165280,19900,19500,254060,385440,0,1004.7
50,21/06/2019,19650,19802.36,19800,154830,20100,19650,278900,304860,0,1004.7
51,20/06/2019,19800,20135.68,20300,255020,20400,19800,333580,479400,0,1004.7
52,19/06/2019,20300,19939.41,19800,161740,20300,19700,321920,281440,0,1004.7
53,18/06/2019,19800,19693.49,19200,230990,19900,19200,584030,441800,0,1004.7
54,17/06/2019,19300,19341.31,19300,197970,19800,19150,488590,470800,0,1004.7
55,14/06/2019,19300,19881.25,20550,372210,20550,19300,547300,649710,0,1004.7
56,13/06/2019,20200,20219.02,19950,287650,20700,19900,708940,448450,0,1004.7
57,12/06/2019,19800,20481.52,20800,356370,20900,19800,612200,566840,0,1004.7
58,11/06/2019,20800,20963.77,21200,328710,21500,20500,687660,611740,0,1004.7
59,10/06/2019,20950,20867.08,20900,346910,21400,20400,680480,719490,0,1004.7
60,07/06/2019,20500,20158.2,19250,1007580,20500,19250,1568360,1382170,0,1004.7
61,06/06/2019,19200,19295.87,18850,243990,19500,18850,552980,684180,0,1004.7
62,05/06/2019,18850,19332.45,19100,293910,19800,18850,560950,735890,0,1004.7
63,04/06/2019,18800,18565.19,18650,160300,18800,18300,353200,308240,0,1004.7
64,03/06/2019,18200,18216.59,18200,175170,18900,18000,505650,349790,0,1004.7
65,31/05/2019,18200,18822.89,18700,369550,19400,18200,626960,699920,0,1004.7
66,30/05/2019,18800,18987.58,19100,365660,19300,18700,598480,698610,0,1004.7
67,29/05/2019,19350,19366.66,19600,272840,19600,19150,597580,669660,0,1004.7
68,28/05/2019,19750,19692.47,19400,504660,20000,19200,888730,962220,0,1004.7
69,27/05/2019,19200,18938.36,18300,308580,19200,18300,650040,634660,0,1004.7
70,24/05/2019,18300,18103.97,17550,623620,18700,17500,1210880,1123850,0,1004.7
71,23/05/2019,17600,17691.2,17600,395790,17950,17550,577460,684420,0,1004.7
72,22/05/2019,17900,18066.39,17800,375670,18300,17800,569420,573690,0,1004.7
73,21/05/2019,17800,17996.89,17600,373120,18400,17600,695080,894410,0,1004.7
74,20/05/2019,17600,17227.44,16300,883300,17600,16300,1547060,1090680,0,1004.7
75,17/05/2019,16450,16527.88,16500,220960,16850,16350,356070,498780,0,1004.7
76,16/05/2019,16700,17051.88,16700,410160,17500,16600,614320,909730,0,1004.7
77,15/05/2019,16700,16638.29,16500,193830,16950,16300,394260,602450,0,1004.7
78,14/05/2019,16750,16425.83,15950,521800,16850,15450,1124920,1000130,0,1004.7
79,13/05/2019,15950,15330.77,15050,187140,16000,14800,354480,393800,0,1004.7
80,10/05/2019,15050,14899.57,14650,121480,15100,14650,286170,343830,0,1004.7
81,09/05/2019,15000,15086.21,15400,34800,15400,15000,66260,276640,0,1004.7
82,08/05/2019,15400,15245.62,15250,17710,15400,15100,60810,237820,0,1004.7
83,07/05/2019,15400,15212.77,15000,84600,15400,14950,184080,283390,0,1004.7
84,06/05/2019,15200,15186.5,15400,56300,15400,14800,201340,192530,0,1004.7
85,03/05/2019,15400,15509.01,15800,75440,15800,15100,148030,392170,0,1004.7
86,02/05/2019,15550,15546.8,15150,109090,15900,15000,270460,413040,0,1004.7
87,26/04/2019,15150,15279.67,15400,7330,15600,15000,78290,148810,0,1004.7
88,25/04/2019,15000,15291.22,14650,174610,15650,14650,330010,241670,0,1004.7
89,24/04/2019,14650,14671.5,14600,74430,15000,14600,170460,135460,0,1004.7
90,23/04/2019,14600,14609.29,14550,70640,14900,14550,155270,123910,0,1004.7
91,22/04/2019,14600,14574.84,14500,71150,15000,14500,256570,167000,0,1004.7
92,19/04/2019,14900,14756.01,14900,42830,15000,14500,248800,109450,0,1004.7
93,18/04/2019,14600,14666.42,15000,109570,15000,14600,221280,259580,0,1004.7
94,17/04/2019,15000,15128.03,15050,131610,15400,15000,247040,298250,0,1004.7
95,16/04/2019,15250,15170.73,15700,20500,15800,15000,200690,162110,0,1004.7
96,12/04/2019,15600,15376.13,15350,99700,15900,15100,254730,361140,0,1004.7
97,11/04/2019,15550,15663.41,15600,31730,16000,15500,187880,208730,0,1004.7
98,10/04/2019,16000,15628.38,16100,55540,16200,15350,176400,143390,0,1004.7
99,09/04/2019,15750,15973.52,16100,80070,16200,15750,149130,217930,0,1004.7
