,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,10350,10427.18,10550,305260,10600,10350,0,0,0.91,100.13
1,29/08/2019,10550,10490.86,10400,492810,10550,10350,660570,643660,0.91,100.13
2,28/08/2019,10400,10356.56,10350,273450,10400,10300,344950,319220,0.91,100.13
3,27/08/2019,10350,10316.93,10250,253370,10400,10250,383560,303690,0.91,100.13
4,26/08/2019,10250,10155.88,10150,907750,10250,10150,980050,937650,0.91,100.13
5,23/08/2019,10150,10123.11,10150,281040,10200,10100,397380,360150,0.91,100.13
6,22/08/2019,10150,10117.57,10150,161600,10200,10050,293510,285240,0.91,100.13
7,21/08/2019,10150,10230.0,10250,129130,10350,10050,179870,189280,0.91,100.13
8,20/08/2019,10300,10241.48,10350,209540,10350,10150,315080,262240,0.91,100.13
9,19/08/2019,10350,10273.25,10350,152240,10350,10200,209640,186170,0.91,100.13
10,16/08/2019,10350,10357.26,10350,507760,10450,10300,629840,611880,0.91,100.13
11,15/08/2019,10350,10270.94,10200,322950,10350,10150,443420,378840,0.91,100.13
12,14/08/2019,10200,10146.19,10200,195640,10200,10100,297000,327830,0.91,100.13
13,13/08/2019,10200,10119.1,10200,230060,10200,10050,325150,358680,0.91,100.13
14,12/08/2019,10250,10170.81,10200,217780,10250,10100,312510,326780,0.91,100.13
15,09/08/2019,10200,10179.61,10250,209340,10250,10100,295400,316470,0.91,100.13
16,08/08/2019,10250,10243.41,10200,236640,10250,10150,331380,341360,0.91,100.13
17,07/08/2019,10200,10127.41,10300,183660,10350,9990,252330,337460,0.91,100.13
18,06/08/2019,10300,10561.03,10850,239560,10900,10200,265720,427420,0.91,100.13
19,05/08/2019,10850,10842.78,11000,182610,11000,10700,256350,318790,0.91,100.13
20,02/08/2019,11000,10971.85,10950,191490,11150,10900,255570,323920,0.91,100.13
21,01/08/2019,11150,11153.23,11200,150360,11250,11050,212720,299320,0.91,100.13
22,31/07/2019,11200,11075.96,10850,335050,11300,10850,471060,434710,0.91,100.13
23,30/07/2019,10850,10842.96,10850,176520,10900,10800,258710,317100,0.91,100.13
24,29/07/2019,10850,10858.3,10900,148550,11000,10750,216430,400140,0.91,100.13
25,26/07/2019,11000,11192.7,11200,275090,11400,11000,359760,556650,0.91,100.13
