,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,26400,26345.56,26400,245600,26400,26200,0,0,0,1414.5
1,29/08/2019,26400,26290.81,26200,509400,26400,26000,915900,875900,0,1414.5
2,28/08/2019,26400,26295.1,25600,412100,26400,25600,532600,817600,0,1414.5
3,27/08/2019,26400,26363.85,26300,498200,26500,26200,1466400,710700,0,1414.5
4,26/08/2019,26400,26264.72,26200,434000,26400,26100,1244400,685400,0,1414.5
5,23/08/2019,26200,26465.86,26500,290000,26600,26200,1165600,766100,0,1414.5
6,22/08/2019,26700,26710.54,26600,443200,27000,26500,1559300,951100,0,1414.5
7,21/08/2019,26600,26238.91,26300,738800,26700,26000,1628300,950400,0,1414.5
8,20/08/2019,26300,26534.92,26600,394300,26700,26300,2040300,919600,0,1414.5
9,19/08/2019,26700,26602.0,26800,315300,26800,26500,1787300,646800,0,1414.5
10,16/08/2019,26800,26625.65,26100,677300,27000,26000,1952700,1077100,0,1414.5
11,15/08/2019,26200,26131.85,26200,215100,26300,26000,476800,392800,0,1414.5
12,14/08/2019,26400,26354.18,26200,198400,26400,26200,281500,476700,0,1414.5
13,13/08/2019,26400,26371.27,26500,195600,26500,26200,364900,376100,0,1414.5
14,12/08/2019,26500,26357.76,26400,245500,26500,26200,380700,445700,0,1414.5
15,09/08/2019,26500,26368.39,26500,356500,26600,26100,491600,944900,0,1414.5
16,08/08/2019,26500,26488.12,26500,98500,26600,26400,307400,295500,0,1414.5
17,07/08/2019,26500,26468.93,26500,268100,26600,26200,554700,475700,0,1414.5
18,06/08/2019,26200,26479.74,26500,412700,26800,26200,550000,650000,0,1414.5
19,05/08/2019,26700,26830.37,27000,405600,27100,26600,732100,824200,0,1414.5
20,02/08/2019,27000,26556.53,26200,405600,27000,26000,716100,611600,0,1414.5
21,01/08/2019,26300,26231.95,26200,389000,26300,26000,516900,657100,0,1414.5
22,31/07/2019,26200,25911.29,26000,511200,26200,25600,590300,722400,0,1414.5
23,30/07/2019,25900,26022.32,26300,308700,26400,25900,654000,695300,0,1414.5
24,29/07/2019,26100,26008.85,25900,313000,26100,25800,467100,490600,0,1414.5
25,26/07/2019,26100,26043.45,26100,347100,26300,25800,529100,653700,0,1414.5
26,25/07/2019,26300,25949.57,26100,842800,26300,25500,1301100,1151300,0,1414.5
27,24/07/2019,26300,26166.9,26500,257400,26500,26100,362300,570500,0,1414.5
28,23/07/2019,26400,26305.53,26500,170000,26500,26200,387100,451600,0,1414.5
29,22/07/2019,26500,26349.74,26300,176100,26500,26100,323300,373900,0,1414.5
30,19/07/2019,26400,26456.79,26600,249700,26600,26400,383200,534200,0,1414.5
