,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,87800,87639.26,86800,436220,88000,86800,0,0,34.97,4770.41
1,29/08/2019,86800,86072.5,86800,344570,87000,85300,511510,645000,34.97,4770.41
2,28/08/2019,86800,86937.22,86000,297410,87500,86000,422690,621700,34.97,4770.41
3,27/08/2019,86600,86861.41,85900,871250,87900,85900,1176620,1372020,34.97,4770.41
4,26/08/2019,85900,85536.52,85000,375290,86200,85000,680250,798210,34.97,4770.41
5,23/08/2019,87000,87684.09,88000,582580,88000,87000,861170,1049050,34.97,4770.41
6,22/08/2019,87900,87660.72,87500,380330,87900,86800,572230,958970,34.97,4770.41
7,21/08/2019,87300,87394.41,86600,548090,88000,86400,901150,1229240,34.97,4770.41
8,20/08/2019,86700,85742.31,84200,642320,86800,84200,1222120,1034910,34.97,4770.41
9,19/08/2019,84200,83928.88,84000,341980,84300,83500,686370,677720,34.97,4770.41
10,16/08/2019,83500,84627.78,83600,589570,85200,83500,886870,1155160,34.97,4770.41
11,15/08/2019,84000,83362.7,82000,368870,84000,81000,853870,830850,34.97,4770.41
12,14/08/2019,83000,83598.05,83500,487320,84400,83000,875610,950820,34.97,4770.41
13,13/08/2019,82900,82889.5,84000,723240,84000,82100,1066330,1165290,34.97,4770.41
14,12/08/2019,84200,83935.59,83400,229140,84300,83300,622670,489570,34.97,4770.41
15,09/08/2019,84000,84336.53,85000,352540,85000,83600,544710,786570,34.97,4770.41
16,08/08/2019,84500,84105.46,84000,556040,85500,82700,1153400,887340,34.97,4770.41
17,07/08/2019,84000,84004.58,85000,724520,85300,83300,1103610,1069380,34.97,4770.41
18,06/08/2019,83500,83826.48,84500,960830,84700,82900,1418320,1379730,34.97,4770.41
19,05/08/2019,85200,87042.17,89000,902620,90000,85200,1393110,1519700,34.97,4770.41
20,02/08/2019,90200,89285.6,88600,627380,90200,88100,1183170,1294920,34.97,4770.41
21,01/08/2019,90500,89659.7,89000,913610,90800,88000,1419370,1607250,34.97,4770.41
22,31/07/2019,88200,87216.15,85000,991720,89200,85000,2539540,1591000,34.97,4770.41
23,30/07/2019,84000,88564.57,89400,987720,89400,84000,1293680,2013610,34.97,4770.41
24,29/07/2019,87800,87294.05,87500,423030,88000,86800,718890,938750,34.97,4770.41
25,26/07/2019,87500,87400.3,87500,473900,87900,86600,758350,1129560,34.97,4770.41
26,25/07/2019,87500,87352.23,85800,1379690,88900,85500,2296680,2179980,34.97,4770.41
27,24/07/2019,85800,85951.86,86000,542990,86700,85200,868680,1366070,34.97,4770.41
28,23/07/2019,85800,85641.66,84600,826210,86000,84300,1342980,1811540,34.97,4770.41
29,22/07/2019,84600,84210.97,84500,471720,84600,83800,686470,949640,34.97,4770.41
30,19/07/2019,84500,84504.58,84000,1028110,85300,83400,1571760,2222040,34.97,4770.41
31,18/07/2019,84000,83414.81,83000,513470,84000,83000,932130,1254580,34.97,4770.41
32,17/07/2019,84000,84699.89,83900,816530,85500,83900,1128820,1755690,34.97,4770.41
33,16/07/2019,83900,83166.74,82000,833350,84000,82000,1389850,1723290,34.97,4770.41
34,15/07/2019,82000,82061.57,83000,713050,83000,81300,1178300,1663570,34.97,4770.41
35,12/07/2019,83100,83054.15,83100,626820,83700,82400,906080,1059320,34.97,4770.41
36,11/07/2019,83100,83345.65,83700,392510,83900,83100,622330,785390,34.97,4770.41
37,10/07/2019,83400,83354.61,83100,321230,83800,83100,536180,858130,34.97,4770.41
38,09/07/2019,83100,83272.94,83000,579540,83800,82500,1033140,1734810,34.97,4770.41
39,08/07/2019,83000,84207.68,85000,666020,85200,83000,1183510,2394800,34.97,4770.41
40,05/07/2019,86000,84698.2,84200,1234430,86000,83500,1700640,2443830,34.97,4770.41
41,04/07/2019,85000,83474.9,82000,2075630,85000,81900,2407040,3264300,34.97,4770.41
42,03/07/2019,82000,81354.85,80600,1517660,82000,80100,2525770,2858560,34.97,4770.41
43,02/07/2019,81100,80729.66,81000,1087630,81200,80000,1536300,1923560,34.97,4770.41
44,01/07/2019,81000,80397.41,79500,1090570,81000,79300,1465830,1622450,34.97,4770.41
45,28/06/2019,79300,78339.61,76600,928700,79500,76500,1586120,1539110,34.97,4770.41
46,27/06/2019,77500,77978.43,79000,815110,79000,77500,1129360,1399730,34.97,4770.41
47,26/06/2019,79000,79044.63,79300,1174210,79600,78700,1698160,1779340,34.97,4770.41
48,25/06/2019,79500,79783.96,79800,866490,80100,79500,1322470,1577340,34.97,4770.41
49,24/06/2019,79500,79488.66,78600,1452270,80400,78600,2124920,2215480,34.97,4770.41
50,21/06/2019,78500,78634.23,78600,3742200,79300,78500,4309440,5257920,34.97,4770.41
51,20/06/2019,78400,78510.17,78400,1561250,78900,78000,2038290,2210610,34.97,4770.41
52,19/06/2019,78100,78014.45,78000,729570,78300,77800,1114580,1189810,34.97,4770.41
53,18/06/2019,78000,77175.7,77800,1640620,78000,76300,2994580,2428610,34.97,4770.41
54,17/06/2019,78000,78349.19,79900,458320,79900,77600,805920,1700210,34.97,4770.41
55,14/06/2019,79900,79329.77,78800,482820,79900,78600,870760,1077380,34.97,4770.41
56,13/06/2019,80000,78154.14,79500,2022580,80000,76600,2732280,2802790,34.97,4770.41
57,12/06/2019,80000,80205.39,81500,893930,81500,79500,1225000,1668520,34.97,4770.41
58,11/06/2019,81900,81644.78,82000,375370,82000,81300,614050,774940,34.97,4770.41
59,10/06/2019,82000,82294.25,83000,596360,83000,81400,846880,1379200,34.97,4770.41
60,07/06/2019,82200,81454.63,80500,572380,83000,79900,945470,970110,34.97,4770.41
61,06/06/2019,80300,79858.93,80500,582690,80800,78900,1026870,1189490,34.97,4770.41
62,05/06/2019,80600,80809.93,81200,452630,81500,80300,859520,819360,34.97,4770.41
63,04/06/2019,80600,79888.51,80500,557890,81000,78900,921760,1050390,34.97,4770.41
64,03/06/2019,80600,80457.87,82000,527220,82000,79600,862320,872180,34.97,4770.41
65,31/05/2019,82000,81881.74,83200,720930,83200,81000,1181600,1101610,34.97,4770.41
66,30/05/2019,82600,83086.99,83600,930290,83800,82500,1263220,1423720,34.97,4770.41
67,29/05/2019,83600,83821.12,84000,921510,84200,83400,1195690,1295870,34.97,4770.41
68,28/05/2019,83500,83756.79,84400,1436600,84600,83500,1990730,1813890,34.97,4770.41
69,27/05/2019,84400,84578.31,84500,487560,84900,84400,662080,801510,34.97,4770.41
70,24/05/2019,84500,85327.59,86700,854870,86700,84500,1175030,1458370,34.97,4770.41
71,23/05/2019,86500,86454.74,86600,377180,86600,86100,532590,764080,34.97,4770.41
72,22/05/2019,86500,86959.62,86200,702510,87900,86200,1007710,1416530,34.97,4770.41
73,21/05/2019,86700,87331.31,87900,1056700,88100,86700,1622120,1905140,34.97,4770.41
74,20/05/2019,86800,86419.46,86500,638340,86800,85800,1006730,1117390,34.97,4770.41
75,17/05/2019,86700,86587.35,87000,791790,87000,86300,974680,1236690,34.97,4770.41
76,16/05/2019,87000,86417.09,86000,953330,87100,85700,1538630,1442240,34.97,4770.41
77,15/05/2019,86000,85702.2,85200,1134300,86500,85200,1650470,1617020,34.97,4770.41
78,14/05/2019,85000,84770.74,84000,1322520,86000,84000,1700750,1705770,34.97,4770.41
79,13/05/2019,85000,84358.15,83800,691670,85200,83800,1042290,942600,34.97,4770.41
80,10/05/2019,84000,84253.16,85600,980260,86000,83800,1320020,1538570,34.97,4770.41
81,09/05/2019,84500,84493.35,85000,983320,85600,83600,1459170,1740030,34.97,4770.41
82,08/05/2019,85600,86233.0,87000,894240,87300,85400,1233110,1426910,34.97,4770.41
83,07/05/2019,87900,88382.59,89800,576290,89800,87700,833340,938810,34.97,4770.41
84,06/05/2019,89000,89189.55,90000,522550,90000,88600,786180,845060,34.97,4770.41
85,03/05/2019,90400,90702.73,91800,621150,91800,90400,916380,897490,34.97,4770.41
86,02/05/2019,91400,91441.07,92000,452510,92300,90900,610770,752340,34.97,4770.41
87,26/04/2019,92000,91428.04,90200,1070350,92000,89900,1313020,1598760,34.97,4770.41
88,25/04/2019,90200,89932.07,89500,680080,90200,89400,821340,894500,34.97,4770.41
89,24/04/2019,89700,89932.0,89700,629420,90200,89700,993530,900680,34.97,4770.41
90,23/04/2019,89000,89497.08,89700,494910,90000,88900,652050,890160,34.97,4770.41
91,22/04/2019,90000,89542.58,89700,211620,90000,88600,331710,535840,34.97,4770.41
92,19/04/2019,89000,89392.18,89000,258960,90400,89000,440850,569290,34.97,4770.41
93,18/04/2019,89000,89118.88,89900,609680,90500,88100,1013950,912330,34.97,4770.41
94,17/04/2019,89800,90302.75,91000,761350,91900,89700,1058800,1234020,34.97,4770.41
95,16/04/2019,91000,89901.4,90000,913790,91900,87800,1846750,1488950,34.97,4770.41
96,12/04/2019,93300,92933.68,93400,299590,93600,92000,663590,654650,34.97,4770.41
97,11/04/2019,93500,92552.28,92800,233360,93800,92200,442870,437850,34.97,4770.41
98,10/04/2019,92500,92707.06,93800,328400,93800,92300,616240,997810,34.97,4770.41
99,09/04/2019,93800,95044.24,95000,973210,96000,93000,1423280,1837230,34.97,4770.41
100,08/04/2019,94600,93663.66,93000,657320,94600,92700,1060290,1052700,34.97,4770.41
101,05/04/2019,92600,92590.15,92500,454260,93200,92100,806560,828500,34.97,4770.41
102,04/04/2019,92000,92104.99,92700,489550,92800,91300,680470,1030700,34.97,4770.41
103,03/04/2019,92000,91739.83,92200,281350,92200,91100,663560,457880,34.97,4770.41
104,02/04/2019,92200,92877.2,93400,359690,93700,92000,586860,912830,34.97,4770.41
105,01/04/2019,92400,92406.12,92400,334480,93800,91800,602470,1036590,34.97,4770.41
106,29/03/2019,91500,93445.34,94000,1054060,94300,91500,1405440,2170030,34.97,4770.41
107,28/03/2019,93100,91959.0,90300,894540,93300,90000,1376410,1623860,34.97,4770.41
108,27/03/2019,90100,90267.44,91000,389620,91000,89900,606900,700390,34.97,4770.41
109,26/03/2019,89900,90038.51,90000,617980,90700,89500,945140,1059890,34.97,4770.41
110,25/03/2019,89000,88262.07,89500,793070,89500,87500,1261090,1221990,34.97,4770.41
111,22/03/2019,91100,89669.62,89000,957080,91200,88000,1804010,1371170,34.97,4770.41
112,21/03/2019,88200,90611.23,93000,1009930,93000,88200,1494220,1528070,34.97,4770.41
113,20/03/2019,92200,92167.24,93100,1061950,93400,91000,1770670,1741710,34.97,4770.41
114,19/03/2019,94000,94355.53,95000,1100900,95200,93500,1436650,1863870,34.97,4770.41
115,18/03/2019,94300,94399.8,94000,1056390,94900,94000,1391120,1984550,34.97,4770.41
116,15/03/2019,93300,93214.41,94000,2496760,94000,92500,5166090,3259810,34.97,4770.41
117,14/03/2019,94000,93655.66,94300,708190,94600,92800,1303470,1507230,34.97,4770.41
118,13/03/2019,94000,94455.69,92600,1654850,96000,92500,2428540,3522980,34.97,4770.41
119,12/03/2019,92300,91963.64,91200,864570,92600,90900,1359280,1491510,34.97,4770.41
120,11/03/2019,90000,90821.37,91000,533740,92300,90000,811100,971910,34.97,4770.41
121,08/03/2019,91500,92022.58,92000,699850,92900,91400,1172290,1347920,34.97,4770.41
122,07/03/2019,92000,93459.68,92000,1306970,95300,91900,1778170,2438860,34.97,4770.41
123,06/03/2019,91800,91330.33,91000,592410,91900,90800,995100,946470,34.97,4770.41
124,05/03/2019,91000,91827.53,92200,1152650,92900,90500,1749220,1911560,34.97,4770.41
125,04/03/2019,93200,91861.59,92000,910620,93500,89600,1613560,1471210,34.97,4770.41
126,01/03/2019,91000,89590.0,88500,806340,91400,87500,1450000,1329000,34.97,4770.41
127,28/02/2019,87500,89298.45,92100,1270190,92300,87500,2001250,2237660,34.97,4770.41
128,27/02/2019,92700,92443.04,93000,896260,93300,91500,1433270,1297660,34.97,4770.41
129,26/02/2019,92000,91588.42,92000,1103360,93000,90000,1918550,1715950,34.97,4770.41
130,25/02/2019,92000,93409.62,94500,838040,95100,91300,1434730,1593160,34.97,4770.41
131,22/02/2019,93100,94488.67,95000,950950,96500,92700,1520920,1754100,34.97,4770.41
132,21/02/2019,96700,92049.56,90500,1209870,96700,89200,1816460,1588450,34.97,4770.41
133,20/02/2019,90400,89685.87,87000,815580,90800,87000,1482610,1382260,34.97,4770.41
134,19/02/2019,87000,86027.49,82500,1244300,87700,82500,2236140,1888680,34.97,4770.41
135,18/02/2019,82000,81281.71,81500,607000,82000,80800,832290,896040,34.97,4770.41
136,15/02/2019,81200,81477.8,82000,422250,82000,81100,657580,866240,34.97,4770.41
137,14/02/2019,81900,81819.68,80400,971710,82600,80100,1325120,1531450,34.97,4770.41
138,13/02/2019,80000,79933.27,80100,506510,80800,79300,748690,1005740,34.97,4770.41
139,12/02/2019,80000,79947.67,80400,531210,80400,79500,738370,852520,34.97,4770.41
140,11/02/2019,79900,79873.13,81000,353110,81000,79600,431500,718660,34.97,4770.41
141,01/02/2019,80000,79973.12,80000,974540,80000,79600,1116890,1657010,34.97,4770.41
142,31/01/2019,80000,80093.4,82000,773010,82000,79600,964480,1370130,34.97,4770.41
143,30/01/2019,82000,81420.59,80400,246940,82000,80400,526670,717010,34.97,4770.41
