,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,20300,20363.76,20500,1126020,20500,20250,0,0,20.58,2981.7
1,29/08/2019,20400,20237.25,20300,1040260,20400,20100,1675310,2040210,20.58,2981.7
2,28/08/2019,20300,20312.01,20400,933290,20500,20200,1517520,2259370,20.58,2981.7
3,27/08/2019,20400,20520.42,20100,3137460,20750,20100,4422880,5478390,20.58,2981.7
4,26/08/2019,20100,19918.56,19700,3580730,20150,19600,5546670,5833700,20.58,2981.7
5,23/08/2019,19800,19658.73,19900,1582910,19900,19550,2842560,2603100,20.58,2981.7
6,22/08/2019,19800,19778.54,19750,1529840,19900,19600,2563690,3036570,20.58,2981.7
7,21/08/2019,19750,19663.85,19500,2071110,19750,19400,4008310,3954900,20.58,2981.7
8,20/08/2019,19500,19480.36,19500,812870,19550,19400,1688840,1798740,20.58,2981.7
9,19/08/2019,19450,19453.92,19500,1049300,19650,19350,2111100,2617610,20.58,2981.7
10,16/08/2019,19450,19420.28,19300,3323690,19700,19150,4700850,5772850,20.58,2981.7
11,15/08/2019,19300,19140.75,18900,1327430,19300,18900,2396210,2295930,20.58,2981.7
12,14/08/2019,19250,19255.19,19300,1094770,19350,19150,1886250,2900930,20.58,2981.7
13,13/08/2019,19100,19147.37,19050,3018430,19400,18900,4476780,5597500,20.58,2981.7
14,12/08/2019,19000,18990.45,19000,851270,19100,18800,1767910,2343750,20.58,2981.7
15,09/08/2019,19000,18851.54,18700,1900110,19100,18500,3478870,3576710,20.58,2981.7
16,08/08/2019,18700,18630.17,18600,1241320,18800,18500,3101390,2185740,20.58,2981.7
17,07/08/2019,18750,18630.95,18800,1287750,18800,18550,2426350,2196910,20.58,2981.7
18,06/08/2019,18800,18654.19,18600,2079640,18800,18450,3260060,3989390,20.58,2981.7
19,05/08/2019,18950,19135.6,19050,3066850,19400,18950,4671340,5840780,20.58,2981.7
20,02/08/2019,19050,18865.99,18600,3841410,19400,18400,6039100,6487640,20.58,2981.7
21,01/08/2019,18500,18437.68,18550,800860,18600,18300,1399570,1480510,20.58,2981.7
22,31/07/2019,18550,18593.76,18700,1469310,18700,18450,2223180,2465820,20.58,2981.7
23,30/07/2019,18650,18676.36,18750,897070,18850,18550,1428020,2272630,20.58,2981.7
24,29/07/2019,18750,18725.19,18750,922180,18850,18600,2136480,2242360,20.58,2981.7
25,26/07/2019,18750,18743.11,18750,861490,18900,18600,1531910,2535830,20.58,2981.7
26,25/07/2019,18800,18913.93,19100,1462890,19100,18800,2497840,3929370,20.58,2981.7
27,24/07/2019,19100,19038.17,19150,761050,19150,18900,1387570,2075370,20.58,2981.7
28,23/07/2019,19100,19024.19,19100,1211300,19200,18950,2130190,3178780,20.58,2981.7
29,22/07/2019,19100,19191.29,19200,1046360,19400,19000,2346400,2940910,20.58,2981.7
30,19/07/2019,19400,19314.01,19300,2494510,19450,19150,4292000,4291540,20.58,2981.7
31,18/07/2019,19300,19273.61,19300,1995060,19400,19150,4054480,3785690,20.58,2981.7
32,17/07/2019,19400,19475.57,19650,2774810,19750,19300,4004530,6190250,20.58,2981.7
33,16/07/2019,19700,19667.27,19600,1034460,19750,19600,2640620,3757730,20.58,2981.7
34,15/07/2019,19600,19536.5,19600,1860210,19700,19400,4384460,4877660,20.58,2981.7
35,12/07/2019,19500,19638.16,19700,2054520,19800,19500,3287310,3886790,20.58,2981.7
36,11/07/2019,19650,19529.69,19500,2589340,19650,19400,4367450,4739220,20.58,2981.7
37,10/07/2019,19400,19397.23,19300,1315600,19500,19250,2077460,3444440,20.58,2981.7
38,09/07/2019,19300,19242.63,19350,1034110,19350,19100,2473570,4500190,20.58,2981.7
39,08/07/2019,19350,19204.08,19200,1308420,19400,19000,2722990,3917720,20.58,2981.7
40,05/07/2019,19400,19485.13,19450,1625650,19700,19350,3358860,7176060,20.58,2981.7
41,04/07/2019,19350,19367.83,19200,1308820,19450,19200,2950440,3553060,20.58,2981.7
42,03/07/2019,19200,19151.41,19300,1335150,19300,19000,3561820,5596930,20.58,2981.7
43,02/07/2019,19300,19413.99,19350,1620120,19600,19250,2629380,4761960,20.58,2981.7
44,01/07/2019,19400,19186.0,18900,1679610,19400,18850,2826860,2944170,20.58,2981.7
45,28/06/2019,18900,18682.31,18700,1963890,18950,18450,2863950,3636240,20.58,2981.7
46,27/06/2019,18850,18907.33,19050,2671610,19200,18750,3759350,4511850,20.58,2981.7
47,26/06/2019,19200,19289.17,19300,1206480,19400,19200,1841730,3100880,20.58,2981.7
