,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,16400,16175.09,15900,2733710,16400,15900,0,0,15.23,2570.94
1,29/08/2019,15800,15976.97,16050,2051390,16150,15800,3252460,4038680,15.23,2570.94
2,28/08/2019,16050,16163.97,16250,1701810,16400,16050,2761140,4255790,15.23,2570.94
3,27/08/2019,16250,16379.3,16550,2401690,16650,16200,4057610,5184790,15.23,2570.94
4,26/08/2019,16500,16577.87,16850,2466420,16900,16300,3647220,5348270,15.23,2570.94
5,23/08/2019,16950,16916.94,16900,904360,17050,16800,1967590,2805260,15.23,2570.94
6,22/08/2019,16900,16990.78,16950,1181170,17100,16900,2536840,3745240,15.23,2570.94
7,21/08/2019,16900,16907.63,16850,2408380,17050,16700,3984130,4585010,15.23,2570.94
8,20/08/2019,16850,16952.04,16950,1504480,17150,16850,2697210,4043890,15.23,2570.94
9,19/08/2019,16950,17077.31,17050,977320,17300,16950,1604020,3350980,15.23,2570.94
10,16/08/2019,17050,17142.6,17200,1329320,17300,17050,2464850,3952070,15.23,2570.94
11,15/08/2019,17200,16950.39,16800,1520850,17200,16800,2968020,3797750,15.23,2570.94
12,14/08/2019,17200,17215.73,17100,1610620,17400,17100,2870250,3753340,15.23,2570.94
13,13/08/2019,17400,17400.24,17350,1718080,17500,17300,2869020,3469280,15.23,2570.94
14,12/08/2019,17400,17496.13,17600,1513420,17700,17350,2749310,4358160,15.23,2570.94
15,09/08/2019,17600,17622.17,17500,1858000,17750,17500,4573960,4899410,15.23,2570.94
16,08/08/2019,17500,17444.61,17500,2482830,17650,17250,5555720,4747020,15.23,2570.94
17,07/08/2019,17450,17521.6,17450,2395900,17650,17450,4358210,4448890,15.23,2570.94
18,06/08/2019,17400,17282.37,17400,4775270,17600,17100,9200490,8798890,15.23,2570.94
19,05/08/2019,17550,17705.79,17850,3949330,17900,17500,5538390,9098390,15.23,2570.94
20,02/08/2019,17850,17876.56,17900,3410500,18050,17750,6417110,8044460,15.23,2570.94
21,01/08/2019,17950,17899.37,17900,3177710,18150,17700,5997470,4649570,15.23,2570.94
22,31/07/2019,17900,17949.54,18300,4942800,18350,17750,7033230,7259530,15.23,2570.94
23,30/07/2019,18250,18428.01,18450,5973840,18650,18250,8281490,8360500,15.23,2570.94
24,29/07/2019,18350,18431.08,18700,3458940,18750,18250,5087320,5961730,15.23,2570.94
25,26/07/2019,18700,18897.97,19000,3428040,19050,18700,4706500,6676920,15.23,2570.94
26,25/07/2019,18950,18846.68,18700,4074830,19000,18700,7198930,6938980,15.23,2570.94
27,24/07/2019,18700,18713.06,18800,1937150,18850,18650,3664160,4331400,15.23,2570.94
28,23/07/2019,18700,18658.82,18600,4085790,18850,18500,6735640,6496790,15.23,2570.94
29,22/07/2019,18600,18690.34,18850,3457990,18900,18600,4950540,5867850,15.23,2570.94
30,19/07/2019,18800,18711.48,18600,3109160,18850,18600,5412140,4795790,15.23,2570.94
31,18/07/2019,18600,18606.81,18550,3427670,18750,18450,5601450,5727870,15.23,2570.94
32,17/07/2019,18500,18811.5,18850,5570050,19050,18500,7545720,9057150,15.23,2570.94
33,16/07/2019,18850,18984.46,18850,2892050,19150,18850,5434040,5910680,15.23,2570.94
34,15/07/2019,18850,18858.96,18800,2186070,19000,18750,3862810,3737360,15.23,2570.94
35,12/07/2019,18800,18905.51,18850,3409430,19050,18750,5545970,5853620,15.23,2570.94
36,11/07/2019,18700,18792.53,19000,4733210,19000,18600,7834480,8028190,15.23,2570.94
37,10/07/2019,18900,19184.3,19250,6069130,19350,18900,7678710,10237730,15.23,2570.94
38,09/07/2019,19250,19244.1,19150,4623340,19400,19100,7532980,8154320,15.23,2570.94
39,08/07/2019,19150,19110.68,19050,4396390,19300,18950,6761920,8776440,15.23,2570.94
40,05/07/2019,19050,18871.41,18650,5769840,19150,18600,10112930,8478010,15.23,2570.94
41,04/07/2019,18650,18737.41,18700,2249190,18850,18600,3854660,5237510,15.23,2570.94
42,03/07/2019,18650,18704.54,18600,2908920,18850,18500,5815720,6032830,15.23,2570.94
43,02/07/2019,18600,18661.05,18800,1991260,18800,18550,4050380,6496040,15.23,2570.94
44,01/07/2019,18750,18708.12,18550,3974530,18900,18500,7889570,8324030,15.23,2570.94
45,28/06/2019,18350,18147.43,18000,2918320,18400,17900,5792620,7291120,15.23,2570.94
46,27/06/2019,18000,18190.34,18400,2751900,18450,18000,4544790,7163510,15.23,2570.94
47,26/06/2019,18350,18372.32,18350,1842990,18500,18300,3116470,4292870,15.23,2570.94
48,25/06/2019,18350,18392.25,18400,1946690,18500,18300,3065010,4473480,15.23,2570.94
49,24/06/2019,18400,18531.41,18400,2462630,18700,18350,3992970,5923580,15.23,2570.94
50,21/06/2019,18400,18453.99,18600,2977350,18700,18300,5377230,6593570,15.23,2570.94
51,20/06/2019,18550,18554.95,18450,2842800,18700,18350,8631860,6406010,15.23,2570.94
52,19/06/2019,18350,18597.79,18750,3284530,18950,18300,6599800,8064420,15.23,2570.94
53,18/06/2019,18600,18402.34,18100,5365840,18700,18000,11276850,9829500,15.23,2570.94
54,17/06/2019,18050,18100.41,18100,1755540,18250,18000,3838980,5179940,15.23,2570.94
55,14/06/2019,18100,18260.75,18000,5398190,18450,18000,9170460,11146940,15.23,2570.94
56,13/06/2019,17850,17719.63,17550,2995040,18000,17500,5658680,4897710,15.23,2570.94
57,12/06/2019,17550,17724.49,17800,2052640,17900,17550,3631590,4068770,15.23,2570.94
58,11/06/2019,17800,18033.27,18000,3215890,18200,17800,4912750,7755520,15.23,2570.94
