,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,26100,26301.25,26450,141210,26500,26050,0,0,0,1514.94
1,29/08/2019,26100,26157.15,26350,265740,26600,26000,428740,365990,0,1514.94
2,28/08/2019,26350,26455.17,26400,152560,26600,26300,257860,248110,0,1514.94
3,27/08/2019,26650,26602.37,26950,306890,26950,26350,490290,485950,0,1514.94
4,26/08/2019,26650,26859.29,27200,322570,27300,26600,608420,458550,0,1514.94
5,23/08/2019,27450,27446.04,27550,182540,27700,27200,461900,346420,0,1514.94
6,22/08/2019,27700,27720.29,28150,163310,28150,27600,367060,459300,0,1514.94
7,21/08/2019,27800,28181.6,28000,333480,28700,27800,598920,659060,0,1514.94
8,20/08/2019,28000,27825.24,27100,899040,28250,27100,1441290,1318610,0,1514.94
9,19/08/2019,27100,27095.8,27200,132050,27500,26900,311100,434570,0,1514.94
10,16/08/2019,27000,27430.28,27000,670500,28200,26550,1012710,1286320,0,1514.94
11,15/08/2019,26850,26452.73,26300,172950,26850,26250,411740,280650,0,1514.94
12,14/08/2019,26900,27241.51,27000,232990,27700,26900,352230,482680,0,1514.94
13,13/08/2019,27000,26369.47,26300,140200,27000,26050,365540,208900,0,1514.94
14,12/08/2019,26500,26896.42,27000,209210,27200,26500,299270,359890,0,1514.94
15,09/08/2019,27150,27343.52,27700,242690,27800,26950,442300,587670,0,1514.94
16,08/08/2019,27200,27311.48,26200,525420,28000,26100,842940,889760,0,1514.94
17,07/08/2019,26200,26343.14,26450,204000,26650,26000,445790,370000,0,1514.94
18,06/08/2019,26200,26042.87,25500,207120,26450,25500,597360,306490,0,1514.94
19,05/08/2019,26200,26633.99,26750,261170,27100,26000,518200,544730,0,1514.94
20,02/08/2019,26650,26237.95,25950,215680,26900,25700,492000,415230,0,1514.94
21,01/08/2019,25950,26055.64,26300,70810,26300,25900,185860,214140,0,1514.94
22,31/07/2019,26000,25922.1,26300,309620,26400,25600,530270,561880,0,1514.94
23,30/07/2019,26400,26584.71,26450,218810,27200,26300,385720,453030,0,1514.94
24,29/07/2019,26450,26353.45,26700,138350,26800,26100,326480,296150,0,1514.94
25,26/07/2019,26700,26736.92,26950,107230,26950,26700,237010,307650,0,1514.94
26,25/07/2019,26750,26978.53,26800,232370,27250,26750,375780,419450,0,1514.94
27,24/07/2019,27200,27014.3,26950,331380,27200,26800,582590,608530,0,1514.94
28,23/07/2019,26800,26968.17,26800,417900,27400,26500,723750,745980,0,1514.94
