,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,21050,21060.17,21500,963240,21500,20800,0,0,4.55,457.65
1,29/08/2019,20750,20526.96,19600,683540,21100,19600,1510490,1215670,4.55,457.65
2,28/08/2019,20000,19950.03,20000,320200,20100,19900,430790,782190,4.55,457.65
3,27/08/2019,20050,20039.14,20300,204400,20300,19950,323030,712980,4.55,457.65
4,26/08/2019,20300,20126.49,20400,295680,20400,19850,507440,1100750,4.55,457.65
5,23/08/2019,20500,20475.39,20400,416500,20550,20400,584650,1079100,4.55,457.65
6,22/08/2019,20500,20534.52,20600,427670,20950,20350,659310,1582650,4.55,457.65
7,21/08/2019,20800,20799.46,20850,223900,20900,20750,484730,1482860,4.55,457.65
8,20/08/2019,20850,20843.62,20800,433610,21000,20650,653080,1715290,4.55,457.65
9,19/08/2019,20850,21025.74,21000,207460,21200,20850,528770,1138680,4.55,457.65
10,16/08/2019,21000,20991.21,21000,406170,21050,20900,649140,854740,4.55,457.65
11,15/08/2019,21000,20996.49,21050,208130,21150,20800,474900,933540,4.55,457.65
12,14/08/2019,21050,20833.33,20250,661200,21250,20250,1354600,1457830,4.55,457.65
13,13/08/2019,21150,21075.49,20900,264810,21200,20850,411300,1000560,4.55,457.65
14,12/08/2019,21300,21126.1,21100,551640,21450,20950,893050,1456800,4.55,457.65
15,09/08/2019,21050,21287.05,21700,528960,21700,21050,909500,1512820,4.55,457.65
16,08/08/2019,21700,21346.56,20900,1221930,21750,20800,1656990,1793130,4.55,457.65
17,07/08/2019,21000,21001.11,21200,305460,21200,20950,543150,1168750,4.55,457.65
18,06/08/2019,21500,21223.3,21500,656260,21600,20900,1226200,1497960,4.55,457.65
19,05/08/2019,22000,21778.96,21800,553470,22000,21350,973690,1056520,4.55,457.65
20,02/08/2019,21800,21790.66,21600,982990,21850,21500,2022670,1247600,4.55,457.65
21,01/08/2019,21800,21560.4,21700,846320,21900,21150,1377420,1329190,4.55,457.65
22,31/07/2019,21900,21846.01,21700,331960,21900,21600,508300,547720,4.55,457.65
23,30/07/2019,21900,21830.19,21850,204350,21900,21650,358520,634400,4.55,457.65
24,29/07/2019,21900,21911.94,21800,184420,22000,21800,418560,507140,4.55,457.65
25,26/07/2019,21950,21912.52,22000,168260,22000,21800,424760,588810,4.55,457.65
26,25/07/2019,22000,21952.82,21800,152190,22050,21800,387550,658290,4.55,457.65
27,24/07/2019,22000,21981.14,21950,194030,22200,21850,370050,811880,4.55,457.65
28,23/07/2019,22000,22076.24,22000,588370,22250,21850,1010330,1195820,4.55,457.65
29,22/07/2019,22000,22106.06,22000,711660,22450,21600,1660640,1308190,4.55,457.65
30,19/07/2019,22000,21774.54,21650,442030,22000,21500,721130,864520,4.55,457.65
31,18/07/2019,21650,21712.68,21700,189060,21900,21650,373120,742850,4.55,457.65
32,17/07/2019,22000,21940.33,21850,644840,22000,21750,943420,1350700,4.55,457.65
33,16/07/2019,22000,22059.4,22100,435370,22150,21950,803420,1112590,4.55,457.65
34,15/07/2019,22100,21990.59,22050,301720,22200,21850,631860,945760,4.55,457.65
35,12/07/2019,22000,22172.49,22400,174270,22400,22000,366140,762970,4.55,457.65
36,11/07/2019,22400,22336.36,22200,353370,22500,22000,732410,1040010,4.55,457.65
37,10/07/2019,22300,21947.43,21750,631190,22300,21500,887160,991150,4.55,457.65
38,09/07/2019,21750,21616.65,21800,608790,21900,21400,969380,1533430,4.55,457.65
39,08/07/2019,22000,21908.68,21850,528010,22200,21800,847910,1300930,4.55,457.65
40,05/07/2019,22400,22192.67,22200,387200,22400,21800,681340,1044290,4.55,457.65
41,04/07/2019,21900,22074.89,22300,534680,22300,21900,900710,1129350,4.55,457.65
42,03/07/2019,22300,22121.27,22500,155190,22500,22000,597690,1158810,4.55,457.65
43,02/07/2019,22500,22349.8,21600,299600,22500,21600,534880,839020,4.55,457.65
44,01/07/2019,21700,22154.68,22000,1102160,22550,21700,1230950,1766580,4.55,457.65
45,28/06/2019,22500,22222.22,22400,400500,22500,21800,671240,813490,4.55,457.65
46,27/06/2019,22150,22326.09,22200,385110,22700,22150,906530,922220,4.55,457.65
47,26/06/2019,22450,22356.25,22200,209740,22500,22200,489070,630540,4.55,457.65
48,25/06/2019,22500,22444.35,22550,163070,22550,22250,462740,542300,4.55,457.65
49,24/06/2019,22550,22361.17,22600,323060,22800,22100,471800,756640,4.55,457.65
50,21/06/2019,22600,22466.83,22350,395650,22600,22200,841410,776000,4.55,457.65
51,20/06/2019,22600,22580.53,22300,283430,22800,22250,568800,642250,4.55,457.65
52,19/06/2019,22450,22464.16,23000,205750,23000,22300,480600,796880,4.55,457.65
53,18/06/2019,23000,22634.66,22650,424040,23000,22100,652710,649290,4.55,457.65
54,17/06/2019,22450,22693.15,22900,1726160,22900,22450,2224530,2326340,4.55,457.65
55,14/06/2019,22850,22775.5,22650,107440,22900,22600,305010,385350,4.55,457.65
56,13/06/2019,22800,22787.96,22900,241180,22900,22700,582470,596290,4.55,457.65
57,12/06/2019,22800,22875.51,22950,105790,22950,22800,309390,354990,4.55,457.65
58,11/06/2019,23000,22974.46,23050,191430,23050,22850,381270,631270,4.55,457.65
59,10/06/2019,23000,22968.93,22750,745790,23050,22750,1362990,1159280,4.55,457.65
60,07/06/2019,22850,22774.39,22700,168830,22900,22600,441780,523050,4.55,457.65
61,06/06/2019,22700,22748.04,22700,91920,22900,22650,270320,535900,4.55,457.65
62,05/06/2019,22900,22822.0,22500,148760,22900,22500,383030,658420,4.55,457.65
63,04/06/2019,22900,22732.29,22850,751530,22900,22100,998080,1291230,4.55,457.65
64,03/06/2019,22750,22669.65,23000,353380,23000,22000,395550,1197100,4.55,457.65
65,31/05/2019,23050,22992.47,23200,234990,23200,22850,456170,684290,4.55,457.65
66,30/05/2019,23200,23040.98,23150,410920,23200,22850,616560,794510,4.55,457.65
67,29/05/2019,23000,23075.27,23350,232500,23350,23000,350230,740450,4.55,457.65
68,28/05/2019,23300,23328.7,23350,287800,23400,23200,589610,702930,4.55,457.65
69,27/05/2019,23350,23342.87,23300,657160,23450,23050,1265760,1095570,4.55,457.65
70,24/05/2019,23300,23232.26,23000,502620,23350,23000,1127160,852370,4.55,457.65
71,23/05/2019,23050,23084.27,23100,220020,23300,23050,511380,672680,4.55,457.65
72,22/05/2019,23050,23263.08,23450,333060,23500,23050,572540,901870,4.55,457.65
73,21/05/2019,23450,23298.77,23150,433070,23450,23150,681820,734600,4.55,457.65
74,20/05/2019,23150,23183.25,23150,261180,23300,23150,540840,688520,4.55,457.65
75,17/05/2019,23150,23332.66,23100,1038630,23450,23100,1610660,1692960,4.55,457.65
76,16/05/2019,23400,23226.33,23100,495300,23400,23000,712320,889600,4.55,457.65
77,15/05/2019,23200,23063.09,23000,222390,23200,22950,480440,690800,4.55,457.65
78,14/05/2019,23000,23000.35,23200,260170,23200,22950,456100,814850,4.55,457.65
79,13/05/2019,23250,23040.49,23000,548990,23300,22900,767310,942000,4.55,457.65
80,10/05/2019,23300,23180.94,23300,525820,23400,22950,806960,943590,4.55,457.65
81,09/05/2019,23300,23195.18,23300,318730,23400,22950,457130,754240,4.55,457.65
82,08/05/2019,23150,23188.57,23500,262500,23500,22950,478910,660160,4.55,457.65
83,07/05/2019,23500,23249.47,23650,333470,23650,22900,510410,759220,4.55,457.65
84,06/05/2019,23500,23147.51,23200,547100,23500,22850,806140,957160,4.55,457.65
85,03/05/2019,23000,23283.64,23250,149590,23500,23000,292220,450190,4.55,457.65
86,02/05/2019,23700,23545.76,23000,262680,23700,22950,520460,354690,4.55,457.65
87,26/04/2019,22900,23045.43,23100,346880,23500,22900,574430,852960,4.55,457.65
88,25/04/2019,23500,23380.74,23600,104060,23600,23200,246700,301810,4.55,457.65
89,24/04/2019,23600,23495.87,23800,117510,23800,23400,249470,301650,4.55,457.65
