,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,25150,25072.44,25100,227780,25200,25000,0,0,24.35,4545.19
1,29/08/2019,25250,25073.0,25200,178080,25250,25000,324460,344480,24.35,4545.19
2,28/08/2019,25250,25279.57,25500,296880,25550,25000,504350,474850,24.35,4545.19
3,27/08/2019,25400,25016.45,24950,440790,25400,24750,848620,559010,24.35,4545.19
4,26/08/2019,24900,24867.8,24850,143720,25000,24800,324560,280600,24.35,4545.19
5,23/08/2019,25000,24900.64,24900,173610,25000,24800,454710,303120,24.35,4545.19
6,22/08/2019,24950,24981.29,25000,146950,25150,24900,263330,295720,24.35,4545.19
7,21/08/2019,25000,24922.94,24800,269270,25000,24800,397000,338640,24.35,4545.19
8,20/08/2019,24900,24849.09,24950,160690,25000,24800,250460,226570,24.35,4545.19
9,19/08/2019,24900,24876.65,25000,208750,25100,24750,294750,355690,24.35,4545.19
10,16/08/2019,25000,24915.38,24950,209750,25000,24800,330170,315570,24.35,4545.19
11,15/08/2019,24950,24857.86,24750,182920,25050,24750,298760,339130,24.35,4545.19
12,14/08/2019,25050,24999.06,24900,265370,25200,24900,442010,377540,24.35,4545.19
13,13/08/2019,24950,24838.51,24700,229120,24950,24650,441110,348130,24.35,4545.19
14,12/08/2019,24650,24743.35,24800,199690,24900,24650,281210,277700,24.35,4545.19
15,09/08/2019,24800,24729.44,24700,253180,24800,24650,492710,429610,24.35,4545.19
16,08/08/2019,24800,24790.41,24900,219480,25000,24700,351880,379360,24.35,4545.19
17,07/08/2019,24900,24806.37,24750,234980,25000,24600,347430,357340,24.35,4545.19
18,06/08/2019,24800,24954.81,25000,177040,25150,24750,417170,425240,24.35,4545.19
19,05/08/2019,25150,25053.35,25050,206200,25200,25000,444530,359470,24.35,4545.19
20,02/08/2019,25100,25075.45,25050,222010,25150,25000,344520,399090,24.35,4545.19
21,01/08/2019,25200,25045.1,25100,321540,25200,24900,595590,491870,24.35,4545.19
22,31/07/2019,25200,25076.42,25150,274800,25200,24950,457500,413180,24.35,4545.19
23,30/07/2019,25100,25172.97,25200,215350,25400,25050,374330,388920,24.35,4545.19
24,29/07/2019,25150,25187.5,25300,208000,25450,25100,436130,316700,24.35,4545.19
25,26/07/2019,25300,25352.92,25400,192680,25600,25200,344350,298410,24.35,4545.19
26,25/07/2019,25500,25510.02,25450,270090,25700,25400,411160,429380,24.35,4545.19
27,24/07/2019,25550,25322.09,25250,339190,25550,25150,718320,907880,24.35,4545.19
28,23/07/2019,25200,25066.88,25000,272870,25200,24800,548940,353290,24.35,4545.19
29,22/07/2019,25050,24978.14,25100,217310,25200,24750,478260,334770,24.35,4545.19
30,19/07/2019,25000,24792.86,24600,517770,25000,24600,857890,594930,24.35,4545.19
31,18/07/2019,24550,24558.0,24750,200790,24750,24450,344130,284970,24.35,4545.19
32,17/07/2019,24700,24852.02,25050,342950,25100,24700,507830,494740,24.35,4545.19
33,16/07/2019,25000,24950.02,24850,180080,25100,24850,403000,304260,24.35,4545.19
34,15/07/2019,24850,24914.91,24950,249730,25000,24800,375090,383700,24.35,4545.19
35,12/07/2019,24950,24926.67,25000,255710,25050,24850,392760,570690,24.35,4545.19
36,11/07/2019,24950,24912.97,24950,212580,24950,24900,273280,489960,24.35,4545.19
37,10/07/2019,24900,24923.06,25000,178710,25200,24850,210710,454720,24.35,4545.19
38,09/07/2019,24950,24900.79,24900,199070,25100,24800,254860,342910,24.35,4545.19
39,08/07/2019,25000,24944.66,25000,216840,25000,24900,266960,339750,24.35,4545.19
40,05/07/2019,25000,24963.92,25200,291020,25200,24850,395450,624420,24.35,4545.19
41,04/07/2019,25250,25304.65,25400,213360,25450,25200,275030,400060,24.35,4545.19
42,03/07/2019,25400,25306.89,25500,228910,25500,25150,332440,377170,24.35,4545.19
43,02/07/2019,25400,25216.27,25300,279740,25400,25100,379930,369100,24.35,4545.19
44,01/07/2019,25300,25313.7,25700,294070,25700,24900,368250,459360,24.35,4545.19
45,28/06/2019,25900,25205.95,24700,446720,25900,24600,630110,519990,24.35,4545.19
46,27/06/2019,24700,24632.44,24600,243500,24700,24600,330200,378240,24.35,4545.19
47,26/06/2019,24600,24527.89,24450,278010,24600,24400,362690,381500,24.35,4545.19
48,25/06/2019,24450,24356.96,24400,274090,24450,24300,345760,415610,24.35,4545.19
49,24/06/2019,24350,24446.13,24600,289780,24600,24350,332420,527510,24.35,4545.19
50,21/06/2019,24550,24383.52,24400,250210,24550,24250,338380,328690,24.35,4545.19
51,20/06/2019,24350,24377.8,24450,194070,24450,24300,236940,315650,24.35,4545.19
52,19/06/2019,24400,24448.06,24500,215150,24600,24300,284330,433950,24.35,4545.19
53,18/06/2019,24600,24591.81,24700,209460,24700,24500,258030,368680,24.35,4545.19
54,17/06/2019,24700,24787.3,24850,263280,25000,24650,313080,447560,24.35,4545.19
55,14/06/2019,24900,24812.87,24750,358040,24900,24750,456630,472130,24.35,4545.19
56,13/06/2019,24800,24777.71,24800,228310,24900,24700,311610,363210,24.35,4545.19
57,12/06/2019,24800,24918.67,25100,301260,25150,24800,383910,485370,24.35,4545.19
58,11/06/2019,25000,24969.86,24850,688350,25100,24850,1048000,840170,24.35,4545.19
