,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,20200,20263.87,20200,1443900,20350,20200,0,0,7.85,1471.56
1,29/08/2019,20200,20190.92,20300,972120,20300,20100,2467410,2493020,7.85,1471.56
2,28/08/2019,20250,20268.99,20300,910800,20350,20200,2582590,2096430,7.85,1471.56
3,27/08/2019,20300,20347.71,20450,1948770,20500,20200,3429980,4007010,7.85,1471.56
4,26/08/2019,20300,20235.06,20250,3443430,20400,20150,5937980,6062420,7.85,1471.56
5,23/08/2019,20500,20549.85,20600,1872130,20700,20500,3993990,4161050,7.85,1471.56
6,22/08/2019,20600,20735.01,20950,1977380,20950,20600,3319910,5022820,7.85,1471.56
7,21/08/2019,20750,20723.29,20600,4601730,20950,20500,7655200,8514050,7.85,1471.56
8,20/08/2019,20600,20546.1,20500,2188250,20650,20450,3229850,4456280,7.85,1471.56
9,19/08/2019,20500,20659.39,20600,1255700,20800,20500,3322340,3922120,7.85,1471.56
10,16/08/2019,20500,20586.46,20550,3255150,20800,20300,6839020,6575440,7.85,1471.56
11,15/08/2019,20400,20234.18,20100,2300810,20400,20100,4937610,4613850,7.85,1471.56
12,14/08/2019,20500,20680.17,20800,2708730,20850,20500,6993180,6473960,7.85,1471.56
13,13/08/2019,20600,20438.43,20200,2312360,20600,20150,6754300,5014590,7.85,1471.56
14,12/08/2019,20350,20351.02,20500,2294430,20550,20250,4359250,5500000,7.85,1471.56
15,09/08/2019,20500,20494.9,20450,2169710,20700,20350,8562690,5078280,7.85,1471.56
16,08/08/2019,20450,20251.89,20300,2257320,20450,20100,6131430,3915840,7.85,1471.56
17,07/08/2019,20200,20224.73,20200,1426570,20400,20050,4596510,3277120,7.85,1471.56
18,06/08/2019,20200,20082.33,19950,3546800,20300,19950,7481720,6293100,7.85,1471.56
19,05/08/2019,20350,20358.34,20450,2811330,20450,20250,4873450,4878020,7.85,1471.56
20,02/08/2019,20350,20332.62,20200,3314870,20700,20150,8264140,4862660,7.85,1471.56
21,01/08/2019,20400,20509.49,20800,2806750,20800,20300,4141630,5094120,7.85,1471.56
22,31/07/2019,20750,20711.7,20700,2200930,20850,20650,4868570,3754790,7.85,1471.56
23,30/07/2019,20700,20885.8,21100,2545270,21150,20700,4307700,5880840,7.85,1471.56
24,29/07/2019,20900,20978.98,21200,2591880,21250,20800,5143360,5503390,7.85,1471.56
25,26/07/2019,21200,21266.36,21350,2030860,21400,21200,3869060,4202290,7.85,1471.56
26,25/07/2019,21250,21310.08,21250,2757240,21450,21200,4710260,5398100,7.85,1471.56
27,24/07/2019,21250,21461.27,21750,3844740,21800,21250,5531210,8093110,7.85,1471.56
28,23/07/2019,21650,21633.46,21600,2923250,21750,21550,5051090,5218250,7.85,1471.56
29,22/07/2019,21600,21779.48,21850,3295120,22050,21550,4770560,7769850,7.85,1471.56
30,19/07/2019,21850,21972.83,21950,6736500,22150,21800,11665460,13388660,7.85,1471.56
31,18/07/2019,21650,21748.51,21700,2817020,21900,21650,5125160,7848200,7.85,1471.56
32,17/07/2019,21900,21812.71,21800,4406650,22000,21650,7378330,8765080,7.85,1471.56
33,16/07/2019,21700,21638.62,21500,5202320,21750,21500,9374450,9935410,7.85,1471.56
34,15/07/2019,21500,21457.73,21450,1998860,21600,21350,3732080,4740960,7.85,1471.56
35,12/07/2019,21450,21585.94,21600,3416020,21750,21350,7904400,9968050,7.85,1471.56
36,11/07/2019,21550,21407.39,21100,5419950,21650,21100,13843020,10178480,7.85,1471.56
37,10/07/2019,21000,21161.7,21000,2666090,21300,21000,6873500,6283290,7.85,1471.56
38,09/07/2019,20950,20961.65,20900,2437260,21100,20850,6408530,6657980,7.85,1471.56
39,08/07/2019,20900,20924.31,21150,3247610,21150,20750,5668720,5923470,7.85,1471.56
40,05/07/2019,21150,21287.27,21150,3183640,21450,21000,7207650,7995700,7.85,1471.56
41,04/07/2019,21150,21121.91,21150,2421940,21250,20950,4888950,6313020,7.85,1471.56
42,03/07/2019,21050,20929.62,20700,4071120,21150,20650,11467940,8580270,7.85,1471.56
43,02/07/2019,20800,20958.45,21000,2581680,21150,20750,4076670,7393610,7.85,1471.56
44,01/07/2019,20850,20648.53,20450,3636530,20850,20300,10813670,5590130,7.85,1471.56
45,28/06/2019,19500,20192.31,20700,4143360,20750,19500,5309800,6647120,7.85,1471.56
46,27/06/2019,20650,20760.17,20850,4239030,20900,20600,7003000,7004070,7.85,1471.56
47,26/06/2019,20900,21091.37,20950,3109850,21350,20900,5388420,7206020,7.85,1471.56
48,25/06/2019,21050,21212.74,21150,3629470,21400,21050,8639160,7427410,7.85,1471.56
49,24/06/2019,21400,21375.08,21350,3859260,21500,21150,7642380,7928210,7.85,1471.56
50,21/06/2019,21400,21154.8,21200,4663670,21400,20950,12509880,8546890,7.85,1471.56
51,20/06/2019,21000,20681.65,20250,5390770,21000,20200,16797390,8211400,7.85,1471.56
52,19/06/2019,20250,20331.47,20400,1428770,20500,20250,2570430,3219470,7.85,1471.56
53,18/06/2019,20250,20351.95,20500,1778110,20600,20250,3393770,4321230,7.85,1471.56
54,17/06/2019,20450,20462.07,20400,2429080,20600,20350,4469190,5255640,7.85,1471.56
55,14/06/2019,20300,20392.52,20250,2793720,20600,20150,5502470,5197590,7.85,1471.56
56,13/06/2019,20150,20214.93,20200,1334410,20350,20150,3567500,2648770,7.85,1471.56
57,12/06/2019,20250,20382.08,20450,1213370,20500,20250,2232940,3821720,7.85,1471.56
58,11/06/2019,20500,20493.27,20500,1143400,20550,20450,2778430,4026190,7.85,1471.56
