,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,23700,23146.96,23000,641380,23700,22900,0,0,8.45,1927.06
1,29/08/2019,23000,23016.7,23450,645010,23450,22900,1038860,841700,8.45,1927.06
2,28/08/2019,23450,23595.51,23700,815240,24050,23300,1073280,1101210,8.45,1927.06
3,27/08/2019,23900,23898.2,23900,757170,24300,23750,1163650,1053350,8.45,1927.06
4,26/08/2019,23900,23312.41,23000,662780,23900,22700,1096010,887180,8.45,1927.06
5,23/08/2019,23050,23122.07,23500,841620,23500,22900,1163050,1075650,8.45,1927.06
6,22/08/2019,23500,23457.46,23800,815050,23850,23250,1254580,1144090,8.45,1927.06
7,21/08/2019,23850,23901.28,24100,977730,24300,23750,1424100,1441800,8.45,1927.06
8,20/08/2019,24200,24182.41,23900,1253680,24500,23750,1803040,1579940,8.45,1927.06
9,19/08/2019,24000,23537.03,23700,493860,24000,23200,888340,613720,8.45,1927.06
10,16/08/2019,23700,23118.59,22900,1094660,24000,22700,1585110,1306100,8.45,1927.06
11,15/08/2019,22950,22728.51,22800,439140,22950,22600,600710,531480,8.45,1927.06
12,14/08/2019,22950,22897.03,22950,345940,22950,22800,523300,459380,8.45,1927.06
13,13/08/2019,22950,22829.17,22800,454550,23000,22700,702410,571020,8.45,1927.06
14,12/08/2019,22800,22772.31,22800,554050,23000,22600,779430,665020,8.45,1927.06
15,09/08/2019,23000,22738.01,23100,689770,23100,22500,945240,811110,8.45,1927.06
16,08/08/2019,23100,22864.15,23000,468900,23100,22650,732280,597110,8.45,1927.06
17,07/08/2019,23000,22757.76,23100,399600,23200,22500,606690,662320,8.45,1927.06
18,06/08/2019,23100,22942.45,23000,446770,23100,22800,597090,610730,8.45,1927.06
19,05/08/2019,23150,23013.85,23150,718350,23200,22900,948910,942830,8.45,1927.06
20,02/08/2019,23150,22823.53,23100,642670,23150,22650,1112560,844740,8.45,1927.06
21,01/08/2019,23150,22866.25,22900,542590,23150,22700,892250,798850,8.45,1927.06
22,31/07/2019,23000,22857.41,23000,526700,23000,22700,608760,781180,8.45,1927.06
23,30/07/2019,23100,23050.71,23000,672040,23300,22700,836330,1060360,8.45,1927.06
24,29/07/2019,23100,22977.87,22900,576990,23100,22800,730490,826260,8.45,1927.06
25,26/07/2019,22900,22799.07,22500,764110,23000,22400,1054240,966140,8.45,1927.06
26,25/07/2019,22500,22484.03,22750,438400,22750,22300,504400,681040,8.45,1927.06
27,24/07/2019,22800,22739.9,23000,446220,23000,22600,589830,988820,8.45,1927.06
28,23/07/2019,23000,22931.41,23400,478950,23400,22800,652840,867590,8.45,1927.06
29,22/07/2019,23400,23220.82,23150,295080,23400,23000,424660,452600,8.45,1927.06
30,19/07/2019,23150,23109.4,22900,468900,23400,22900,696470,577280,8.45,1927.06
31,18/07/2019,22900,22825.11,23000,300590,23000,22700,417510,430450,8.45,1927.06
32,17/07/2019,23000,23015.55,23100,421150,23200,22850,741560,833760,8.45,1927.06
33,16/07/2019,23200,23253.81,23400,406170,23400,23150,601530,574790,8.45,1927.06
34,15/07/2019,23400,23254.01,23250,386170,23400,23200,561640,607900,8.45,1927.06
35,12/07/2019,23250,23392.17,23500,346740,23500,23250,448980,518260,8.45,1927.06
36,11/07/2019,23500,23381.61,23500,283770,23500,23300,512660,490560,8.45,1927.06
37,10/07/2019,23500,23199.15,23000,633730,23600,22750,986780,896830,8.45,1927.06
38,09/07/2019,23000,22951.8,23000,267430,23000,22850,478010,421510,8.45,1927.06
39,08/07/2019,23000,23027.66,23000,396610,23200,22900,572430,592760,8.45,1927.06
40,05/07/2019,23000,22991.76,23000,194200,23100,22850,316460,339700,8.45,1927.06
41,04/07/2019,23000,23117.03,23300,437340,23350,23000,711600,653400,8.45,1927.06
42,03/07/2019,23100,23198.48,23200,225920,23300,23100,539760,335810,8.45,1927.06
