,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,20600,20431.01,20200,95590,20600,20200,0,0,28.17,4393.86
1,29/08/2019,20200,20090.27,20200,190540,20300,19950,443190,308370,28.17,4393.86
2,28/08/2019,20200,20431.55,20650,283630,20650,20100,455600,414580,28.17,4393.86
3,27/08/2019,20800,21026.67,21350,194610,21400,20800,393470,340370,28.17,4393.86
4,26/08/2019,21300,21090.23,21000,288380,21400,20900,666820,435930,28.17,4393.86
5,23/08/2019,21400,21416.2,21800,167490,21800,21200,361240,349390,28.17,4393.86
6,22/08/2019,21650,21617.69,21900,213020,21900,21450,377760,495310,28.17,4393.86
7,21/08/2019,21700,21347.22,21100,617270,21700,20850,1086770,792660,28.17,4393.86
8,20/08/2019,21000,20957.62,21100,309100,21200,20650,753520,528370,28.17,4393.86
9,19/08/2019,21100,20997.13,21100,257940,21300,20850,436580,474240,28.17,4393.86
10,16/08/2019,21100,20865.77,20200,637120,21200,20150,1002180,893410,28.17,4393.86
11,15/08/2019,20300,20244.64,20300,218280,20400,19800,417030,383600,28.17,4393.86
12,14/08/2019,20300,20281.51,20200,350960,20400,20200,541620,542920,28.17,4393.86
13,13/08/2019,19800,19657.31,19150,243370,19900,19150,424850,378730,28.17,4393.86
14,12/08/2019,19300,19187.66,19150,82970,19350,19100,157330,158870,28.17,4393.86
15,09/08/2019,19150,19228.12,19200,43530,19400,19150,111020,138580,28.17,4393.86
16,08/08/2019,19000,18932.84,19050,102890,19050,18750,186840,205870,28.17,4393.86
17,07/08/2019,19050,19119.58,19200,159470,19200,19050,186580,271560,28.17,4393.86
18,06/08/2019,19100,19203.59,19300,209440,19300,19000,410800,346970,28.17,4393.86
19,05/08/2019,19300,19321.56,19300,107600,19400,19250,190720,245080,28.17,4393.86
20,02/08/2019,19400,19372.67,19600,72370,19600,19250,235660,160820,28.17,4393.86
21,01/08/2019,19300,19370.6,19200,102320,19600,19200,251350,177360,28.17,4393.86
22,31/07/2019,19600,19317.32,19300,131540,19600,19150,321860,192230,28.17,4393.86
23,30/07/2019,19300,19395.47,20200,111160,20200,19150,157160,226350,28.17,4393.86
24,29/07/2019,19700,19691.27,19700,103650,19850,19600,172710,205190,28.17,4393.86
25,26/07/2019,19850,19971.29,20250,153270,20250,19800,208750,301420,28.17,4393.86
26,25/07/2019,20150,20195.69,20250,105270,20350,20000,214440,292310,28.17,4393.86
27,24/07/2019,20150,20239.68,20150,97630,20500,20150,155410,271680,28.17,4393.86
28,23/07/2019,20400,20235.9,20000,140740,20500,20000,237520,228510,28.17,4393.86
29,22/07/2019,20000,20102.44,20000,415870,20450,19900,707140,641470,28.17,4393.86
30,19/07/2019,20450,20492.91,20900,311620,20900,20400,700640,484380,28.17,4393.86
31,18/07/2019,20900,20707.32,20700,218570,20900,20400,528010,409270,28.17,4393.86
32,17/07/2019,20850,20779.43,21000,61840,21000,20700,173400,243280,28.17,4393.86
33,16/07/2019,21000,20810.59,20900,258330,21000,20650,410520,367150,28.17,4393.86
34,15/07/2019,20650,20505.63,20550,235350,20650,20250,440290,368330,28.17,4393.86
35,12/07/2019,20350,20460.41,20350,197650,20800,20250,372590,431080,28.17,4393.86
36,11/07/2019,20350,20410.77,20600,140710,20600,20300,367180,281730,28.17,4393.86
37,10/07/2019,20650,20413.99,19800,385030,20900,19800,691780,608230,28.17,4393.86
38,09/07/2019,19800,19632.85,19250,207000,19850,19200,483050,344720,28.17,4393.86
39,08/07/2019,19300,19228.74,19450,132770,19450,19100,350880,258780,28.17,4393.86
40,05/07/2019,19450,19552.31,19850,153230,19900,19400,277730,345610,28.17,4393.86
41,04/07/2019,19750,19616.2,19350,206360,19750,19350,485500,414920,28.17,4393.86
42,03/07/2019,19250,19155.4,18500,365380,19400,18500,686850,539700,28.17,4393.86
43,02/07/2019,18550,18620.1,18600,70730,18750,18550,168350,182530,28.17,4393.86
44,01/07/2019,18650,18599.47,18600,71830,18700,18500,150700,166560,28.17,4393.86
45,28/06/2019,18400,18543.82,18700,68810,18700,18400,134640,160600,28.17,4393.86
46,27/06/2019,18650,18706.51,18800,48860,19000,18500,148320,171230,28.17,4393.86
47,26/06/2019,18800,18627.31,18100,202230,19100,18100,643880,297830,28.17,4393.86
48,25/06/2019,18100,18114.2,18300,145190,18300,18000,214880,252460,28.17,4393.86
49,24/06/2019,18200,18187.34,18200,49430,18350,18100,141560,140120,28.17,4393.86
50,21/06/2019,18200,18354.8,18300,34160,18600,18200,74870,121030,28.17,4393.86
51,20/06/2019,18300,18172.36,18050,57670,18300,18000,132920,122740,28.17,4393.86
52,19/06/2019,18000,18082.87,18100,85440,18300,17950,157930,211680,28.17,4393.86
53,18/06/2019,18050,17981.07,18050,57060,18200,17700,113040,96080,28.17,4393.86
54,17/06/2019,18050,18173.51,18300,164140,18550,18000,214960,268770,28.17,4393.86
55,14/06/2019,18400,18397.92,18400,30710,18400,18350,84550,116280,28.17,4393.86
56,13/06/2019,18400,18383.14,18300,46510,18500,18300,124240,107300,28.17,4393.86
57,12/06/2019,18300,18388.95,18700,68030,18700,18300,132540,255910,28.17,4393.86
58,11/06/2019,18700,18557.98,18800,56310,18800,18450,108770,177340,28.17,4393.86
59,10/06/2019,18700,18749.45,18900,114510,19000,18400,194320,218410,28.17,4393.86
60,07/06/2019,18800,18718.85,18700,54170,18950,18500,160080,160100,28.17,4393.86
61,06/06/2019,18600,18513.6,18700,15070,18850,18400,58580,86890,28.17,4393.86
62,05/06/2019,18700,18758.29,18500,37690,19000,18500,119200,125290,28.17,4393.86
63,04/06/2019,18500,18409.17,18200,57580,18500,18200,173380,109320,28.17,4393.86
64,03/06/2019,18200,18440.85,18700,187410,18800,18200,340910,352360,28.17,4393.86
65,31/05/2019,19000,19118.38,19100,59890,19350,19000,118220,151770,28.17,4393.86
66,30/05/2019,19100,19192.63,19400,28240,19400,19100,165750,117690,28.17,4393.86
67,29/05/2019,19100,19388.32,19300,181140,19600,19100,299430,294050,28.17,4393.86
68,28/05/2019,19300,19436.28,19800,74860,19800,19200,186600,187230,28.17,4393.86
69,27/05/2019,19800,19602.63,19950,71470,20000,19200,181120,157970,28.17,4393.86
70,24/05/2019,19950,19887.02,20000,104440,20050,19750,224820,195800,28.17,4393.86
71,23/05/2019,20100,20004.18,20100,47890,20200,19800,159050,131890,28.17,4393.86
72,22/05/2019,20100,20141.08,20300,79390,20400,19900,177870,203540,28.17,4393.86
73,21/05/2019,20300,20241.17,19950,178300,20500,19700,325830,316980,28.17,4393.86
74,20/05/2019,19950,20032.85,20300,249640,20400,19700,400410,644340,28.17,4393.86
75,17/05/2019,20400,20500.94,20650,79850,20700,20350,150910,234610,28.17,4393.86
76,16/05/2019,20650,20786.09,20800,117290,20950,20650,256440,243990,28.17,4393.86
77,15/05/2019,20800,20755.86,20700,131770,20950,20650,240150,343560,28.17,4393.86
78,14/05/2019,20900,20896.24,20800,82790,21100,20800,206900,203590,28.17,4393.86
79,13/05/2019,21000,21163.16,21600,208570,21700,20650,373160,514960,28.17,4393.86
80,10/05/2019,23700,23812.03,23950,304510,24000,23600,379110,660000,28.17,4393.86
81,09/05/2019,23900,23900.74,24000,123720,24000,23850,227930,355390,28.17,4393.86
82,08/05/2019,24000,23925.58,23950,130070,24000,23800,187780,256050,28.17,4393.86
83,07/05/2019,24000,23989.22,24100,81620,24100,23900,235910,208460,28.17,4393.86
84,06/05/2019,23950,23832.46,23800,247100,24000,23400,419830,484290,28.17,4393.86
85,03/05/2019,24000,24055.47,23700,245890,24250,23700,390500,432790,28.17,4393.86
86,02/05/2019,23450,23246.39,23050,118470,23500,23050,312080,170890,28.17,4393.86
87,26/04/2019,23050,23023.52,22900,51860,23100,22900,191200,140050,28.17,4393.86
88,25/04/2019,22900,22821.41,22800,176720,23000,22600,380410,340810,28.17,4393.86
89,24/04/2019,23000,22797.48,22500,209760,23000,22400,539930,279260,28.17,4393.86
90,23/04/2019,22250,22069.55,21900,142640,22400,21750,507290,279160,28.17,4393.86
91,22/04/2019,21950,21996.33,21950,697480,22950,21950,765560,1230640,28.17,4393.86
92,19/04/2019,23600,23676.31,23550,73280,24000,23550,194050,190300,28.17,4393.86
93,18/04/2019,23550,23562.14,23750,122230,23950,23400,248670,231040,28.17,4393.86
94,17/04/2019,23900,24025.51,24100,111340,24400,23900,203620,187990,28.17,4393.86
95,16/04/2019,24050,23922.43,23800,108810,24300,23700,310610,185060,28.17,4393.86
96,12/04/2019,24050,24070.01,24100,141130,24200,24000,236400,253560,28.17,4393.86
97,11/04/2019,24100,24189.34,24100,118730,24550,24100,293090,248330,28.17,4393.86
98,10/04/2019,24100,24319.84,24900,259130,24900,24100,366230,432660,28.17,4393.86
99,09/04/2019,24900,24929.37,25100,60170,25100,24800,131960,274660,28.17,4393.86
100,08/04/2019,24900,24913.8,24950,168220,25050,24800,252380,301830,28.17,4393.86
101,05/04/2019,24950,25023.74,24900,115850,25300,24700,259640,312390,28.17,4393.86
102,04/04/2019,24900,24894.35,25000,151440,25000,24850,249010,332640,28.17,4393.86
103,03/04/2019,25000,24887.12,24900,183830,25000,24700,354970,293610,28.17,4393.86
104,02/04/2019,24900,24962.91,25100,148300,25300,24750,261580,417850,28.17,4393.86
105,01/04/2019,25050,25019.19,24900,182340,25300,24800,388790,375710,28.17,4393.86
106,29/03/2019,24650,24625.4,24700,96770,24750,24500,272420,258790,28.17,4393.86
107,28/03/2019,24500,24446.96,24400,97190,24500,24100,335590,206930,28.17,4393.86
108,27/03/2019,24200,24216.42,23900,110710,24500,23900,305550,208910,28.17,4393.86
109,26/03/2019,23850,23868.68,23750,112700,24000,23750,298470,228370,28.17,4393.86
110,25/03/2019,23750,23811.94,23800,216950,24000,23700,423550,328650,28.17,4393.86
111,22/03/2019,24400,24429.44,24500,279990,24750,24000,546910,502460,28.17,4393.86
112,21/03/2019,24600,25115.45,25500,320480,25550,24600,379230,576940,28.17,4393.86
113,20/03/2019,25600,25435.98,25500,318250,25700,25250,518000,533420,28.17,4393.86
114,19/03/2019,25850,25768.18,25950,345620,25950,25650,532460,653340,28.17,4393.86
115,18/03/2019,25700,25651.9,25300,360870,25850,25300,629910,592490,28.17,4393.86
116,15/03/2019,25200,24921.88,24700,243200,25300,24700,454490,380750,28.17,4393.86
117,14/03/2019,24750,24748.85,24700,183160,24900,24600,358260,424560,28.17,4393.86
118,13/03/2019,24900,24833.54,25000,202750,25000,24750,349900,452220,28.17,4393.86
119,12/03/2019,24750,24828.64,24800,176530,25000,24700,367930,384560,28.17,4393.86
120,11/03/2019,24700,24361.79,24300,214270,24700,24150,421090,383890,28.17,4393.86
121,08/03/2019,24250,24556.38,24650,544950,25000,24250,730150,974180,28.17,4393.86
122,07/03/2019,25100,25230.96,25000,361540,25400,25000,659940,672360,28.17,4393.86
