,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,23400,23407.64,23250,420760,23600,23200,0,0,16.17,3048.29
1,29/08/2019,23200,23157.49,22900,578560,23400,22750,918640,803500,16.17,3048.29
2,28/08/2019,22800,23043.37,23300,628120,23450,22800,807820,879590,16.17,3048.29
3,27/08/2019,23300,23581.87,23800,417100,23900,23300,589830,617980,16.17,3048.29
4,26/08/2019,23700,23824.64,24000,573440,24200,23600,761130,904960,16.17,3048.29
5,23/08/2019,24200,24220.98,24450,539780,24450,24000,811430,955650,16.17,3048.29
6,22/08/2019,24400,24266.88,24200,735900,24500,24000,1131620,1124060,16.17,3048.29
7,21/08/2019,24250,24392.41,24350,674800,24550,24200,1046880,1416990,16.17,3048.29
8,20/08/2019,24500,23588.15,23300,995500,24500,23100,1518430,1137620,16.17,3048.29
9,19/08/2019,23300,23133.21,23200,542510,23300,22950,784020,666890,16.17,3048.29
10,16/08/2019,23150,23230.41,23300,1034420,23400,23000,1371570,1272580,16.17,3048.29
11,15/08/2019,23350,23264.34,23250,813090,23500,22850,1197210,991180,16.17,3048.29
12,14/08/2019,23600,23630.56,23700,692070,23900,23500,886310,1004140,16.17,3048.29
13,13/08/2019,23500,23346.92,23700,804560,23700,23100,964090,1175230,16.17,3048.29
14,12/08/2019,23500,22920.88,22650,880900,23500,22600,1641910,1193300,16.17,3048.29
15,09/08/2019,22600,22554.13,22450,631370,22750,22300,977820,916860,16.17,3048.29
16,08/08/2019,22400,22079.64,21850,816680,22400,21700,1218830,942730,16.17,3048.29
17,07/08/2019,21800,21739.49,21700,715840,22150,21500,940420,945460,16.17,3048.29
18,06/08/2019,21700,21869.37,22100,493750,22100,21500,611410,710720,16.17,3048.29
19,05/08/2019,22350,22534.74,22750,448330,22800,22250,574240,714260,16.17,3048.29
20,02/08/2019,22650,22628.24,22750,436490,22850,22450,599060,662150,16.17,3048.29
21,01/08/2019,22850,22599.18,22450,422980,22900,22300,791300,592520,16.17,3048.29
22,31/07/2019,22400,22281.31,22500,470080,22500,22150,598040,622280,16.17,3048.29
23,30/07/2019,22500,22673.38,22950,554130,23100,22300,762570,1017100,16.17,3048.29
24,29/07/2019,22950,23005.45,23250,525180,23300,22750,709480,1172770,16.17,3048.29
25,26/07/2019,23200,23462.72,23650,593580,23650,23200,785040,884590,16.17,3048.29
26,25/07/2019,23600,23537.41,23600,544410,23750,23400,716320,766720,16.17,3048.29
27,24/07/2019,23600,23602.47,23650,416270,23800,23450,647540,741570,16.17,3048.29
28,23/07/2019,23650,23260.08,23100,692990,23700,23050,1072550,846140,16.17,3048.29
29,22/07/2019,23100,23214.29,23400,422800,23550,22900,616100,668920,16.17,3048.29
30,19/07/2019,23500,23376.58,23600,989580,23750,23000,1329950,1430950,16.17,3048.29
31,18/07/2019,23600,23642.57,23700,556750,23750,23500,692880,814110,16.17,3048.29
32,17/07/2019,23700,23647.96,23450,866840,23850,23350,1156730,1106680,16.17,3048.29
33,16/07/2019,23500,23571.0,23550,676170,23750,23400,856310,922900,16.17,3048.29
34,15/07/2019,23650,23394.46,22950,912310,23700,22900,1426860,1295540,16.17,3048.29
35,12/07/2019,22900,22824.25,22850,747100,23000,22700,1022280,1002750,16.17,3048.29
36,11/07/2019,22900,22951.14,23000,872680,23250,22800,1254160,1299560,16.17,3048.29
37,10/07/2019,23000,22981.74,23000,795240,23200,22750,1181060,1181750,16.17,3048.29
38,09/07/2019,23000,22886.38,22600,1203030,23200,22550,1729710,1669090,16.17,3048.29
39,08/07/2019,22550,22385.71,22250,1167620,22700,22050,1759820,1476500,16.17,3048.29
40,05/07/2019,22250,21992.6,22050,1049080,22300,21700,1534390,1278960,16.17,3048.29
41,04/07/2019,22050,21970.11,21900,833860,22100,21750,1190430,1010950,16.17,3048.29
42,03/07/2019,21850,21598.49,21400,1010580,21900,21300,1457810,1194690,16.17,3048.29
43,02/07/2019,21400,21139.63,21100,718130,21450,20850,1121890,847560,16.17,3048.29
44,01/07/2019,21050,21021.85,20950,383030,21150,20950,556400,493400,16.17,3048.29
45,28/06/2019,20900,20761.17,20800,338950,20900,20650,488340,435880,16.17,3048.29
46,27/06/2019,20800,20830.51,20800,310170,21100,20700,427810,476500,16.17,3048.29
47,26/06/2019,20800,20763.77,20800,239600,21000,20700,329350,394160,16.17,3048.29
48,25/06/2019,20750,20984.37,21100,379330,21350,20750,523170,738770,16.17,3048.29
49,24/06/2019,21300,21368.01,21550,422220,21700,21200,536940,742670,16.17,3048.29
50,21/06/2019,21500,21187.38,21350,493690,21500,20950,808300,818010,16.17,3048.29
51,20/06/2019,21300,21102.25,20850,572830,21400,20850,837330,703020,16.17,3048.29
52,19/06/2019,20900,20894.45,20950,223600,21050,20650,393770,420820,16.17,3048.29
53,18/06/2019,20900,20753.1,20950,280440,20950,20600,392870,370570,16.17,3048.29
54,17/06/2019,21000,21052.13,21400,211380,21400,20850,283000,343180,16.17,3048.29
55,14/06/2019,21400,21338.42,21400,154510,21600,21200,213350,273430,16.17,3048.29
56,13/06/2019,21400,21478.82,21800,244520,21800,21300,348500,363240,16.17,3048.29
57,12/06/2019,21850,21676.61,21900,241320,21900,21500,376080,337100,16.17,3048.29
58,11/06/2019,21900,21875.52,22300,240680,22300,21700,335900,418640,16.17,3048.29
59,10/06/2019,22350,22213.37,22400,364150,22500,21800,518000,687950,16.17,3048.29
60,07/06/2019,22350,21874.53,21600,468810,22400,21500,852710,556380,16.17,3048.29
61,06/06/2019,21600,21563.55,21650,104250,21650,21450,181000,153220,16.17,3048.29
62,05/06/2019,21600,21684.03,21650,150710,21850,21550,213620,255810,16.17,3048.29
63,04/06/2019,21650,21663.98,21700,155050,22000,21550,208700,274340,16.17,3048.29
64,03/06/2019,21650,21814.98,22050,260830,22100,21600,365520,417370,16.17,3048.29
65,31/05/2019,22100,22426.0,22850,279720,22900,22100,487820,627500,16.17,3048.29
66,30/05/2019,22850,22780.85,22700,217200,22950,22600,367340,418660,16.17,3048.29
67,29/05/2019,22800,22954.97,22800,371510,23200,22650,568250,837840,16.17,3048.29
