,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,14350,14243.51,14300,1046020,14500,14050,0,0,8.29,854.48
1,29/08/2019,14300,14414.5,14350,871900,14600,14300,1664980,1818000,8.29,854.48
2,28/08/2019,14350,14517.39,14550,957610,14750,14350,1400930,1868000,8.29,854.48
3,27/08/2019,14550,14753.97,14700,2096860,14950,14450,2635890,3610030,8.29,854.48
4,26/08/2019,14400,14172.85,13700,2178250,14500,13650,3606150,3148950,8.29,854.48
5,23/08/2019,13900,13716.88,13550,1236870,13900,13450,2519720,1958980,8.29,854.48
6,22/08/2019,13550,13679.69,13450,679840,13850,13450,1335150,1666930,8.29,854.48
7,21/08/2019,13500,13737.56,13500,1411240,13900,13500,1916970,3110070,8.29,854.48
8,20/08/2019,13450,13294.21,12600,2533660,13450,12600,5362530,3105340,8.29,854.48
9,19/08/2019,12600,12520.84,12400,371940,12600,12400,761480,659630,8.29,854.48
10,16/08/2019,12550,12501.25,12550,498670,12600,12400,1028350,811840,8.29,854.48
11,15/08/2019,12550,12356.46,12400,422370,12550,12150,1075710,651980,8.29,854.48
12,14/08/2019,12400,12422.28,12800,302360,12800,12200,834050,686680,8.29,854.48
13,13/08/2019,12800,12779.39,12600,424590,12850,12600,1142420,670330,8.29,854.48
14,12/08/2019,12800,12711.65,12800,321280,12800,12600,1174540,759000,8.29,854.48
15,09/08/2019,12850,12838.24,12850,234300,12950,12700,743800,843370,8.29,854.48
16,08/08/2019,12850,12682.15,12500,603210,12900,12500,2010970,1316250,8.29,854.48
17,07/08/2019,12600,12608.67,12600,532570,12750,12500,928950,1323830,8.29,854.48
18,06/08/2019,12550,12616.81,12750,566070,12850,12500,922960,1341400,8.29,854.48
19,05/08/2019,12900,12958.41,13050,638890,13250,12900,907850,1171260,8.29,854.48
20,02/08/2019,13050,13053.79,13200,362730,13200,13000,903340,686530,8.29,854.48
21,01/08/2019,13250,13185.22,13050,386190,13350,13050,1321290,777560,8.29,854.48
22,31/07/2019,13150,13093.27,13000,1458230,13400,12950,2694370,2304070,8.29,854.48
23,30/07/2019,13400,13542.72,13700,832920,13700,13300,1550490,1850210,8.29,854.48
24,29/07/2019,13750,13712.01,13650,564250,13800,13650,1084950,1001380,8.29,854.48
25,26/07/2019,13700,13815.42,13750,248780,13950,13700,570550,924920,8.29,854.48
26,25/07/2019,13900,13891.8,13600,1181200,14100,13600,2363480,2348750,8.29,854.48
27,24/07/2019,13600,13711.03,13800,352490,13900,13600,1077340,1091670,8.29,854.48
28,23/07/2019,13800,13735.14,13900,502070,13900,13600,969710,1144950,8.29,854.48
29,22/07/2019,13800,13888.6,13900,853290,14100,13750,1361260,1677240,8.29,854.48
30,19/07/2019,13850,13954.39,13750,669180,14350,13700,1307150,1693910,8.29,854.48
31,18/07/2019,13750,13864.59,13900,788700,14100,13750,1218810,1549430,8.29,854.48
32,17/07/2019,14100,13633.13,13300,1927730,14100,13150,4127920,2637300,8.29,854.48
33,16/07/2019,13200,13218.3,13250,992790,13300,13150,1884820,1593420,8.29,854.48
34,15/07/2019,13200,13209.9,13100,883050,13300,13100,1443020,1517700,8.29,854.48
35,12/07/2019,13100,13245.34,13150,569710,13400,13100,980460,1509300,8.29,854.48
36,11/07/2019,13200,13210.86,13100,404970,13350,13050,1270560,915040,8.29,854.48
37,10/07/2019,13100,13050.2,13200,485280,13300,12950,999350,1061930,8.29,854.48
38,09/07/2019,13250,13047.35,13100,843160,13250,12950,1180710,1217120,8.29,854.48
39,08/07/2019,13100,13128.32,13350,300800,13350,13100,528960,810110,8.29,854.48
40,05/07/2019,13200,13203.43,13300,146780,13350,13150,323950,724030,8.29,854.48
41,04/07/2019,13300,13289.46,13050,498440,13400,13050,1344820,1266600,8.29,854.48
42,03/07/2019,13000,13034.98,13100,337630,13200,12950,673110,915110,8.29,854.48
43,02/07/2019,13150,13199.55,13350,141520,13350,13150,420580,646290,8.29,854.48
44,01/07/2019,13350,13366.8,13500,424260,13500,13000,1141940,1031150,8.29,854.48
45,28/06/2019,13500,13236.53,13100,1069540,13500,13000,1486550,1701680,8.29,854.48
46,27/06/2019,13150,13285.5,13500,393060,13500,13150,1539120,1449900,8.29,854.48
47,26/06/2019,13500,13529.87,13450,459280,13650,13450,1164770,1589590,8.29,854.48
48,25/06/2019,13650,13608.6,13600,504240,13650,13450,1012880,1289600,8.29,854.48
49,24/06/2019,13650,13672.07,13650,456990,13750,13600,688050,1090270,8.29,854.48
50,21/06/2019,13650,13610.12,13650,488460,13750,13550,1018910,1138620,8.29,854.48
51,20/06/2019,13650,13611.74,13600,468860,13700,13500,959640,1061040,8.29,854.48
52,19/06/2019,13600,13681.21,13700,228050,13800,13600,597460,930360,8.29,854.48
53,18/06/2019,13700,13683.79,13650,453310,13800,13600,718310,1031080,8.29,854.48
54,17/06/2019,13800,13756.45,13750,224840,13900,13650,713950,1024650,8.29,854.48
55,14/06/2019,13950,13739.34,13550,485540,13950,13550,1355060,1066260,8.29,854.48
56,13/06/2019,13650,13612.03,13700,304510,13700,13550,776650,877160,8.29,854.48
57,12/06/2019,13700,13679.6,13700,420480,13800,13600,1147190,1261070,8.29,854.48
58,11/06/2019,13800,13657.81,13500,775820,13800,13500,1690880,1386970,8.29,854.48
59,10/06/2019,13750,13801.05,13900,512280,14050,13750,1078770,2195960,8.29,854.48
60,07/06/2019,13950,13864.56,13900,324280,13950,13750,1049970,778460,8.29,854.48
61,06/06/2019,13850,13799.57,13650,800170,14100,13550,1180900,1569550,8.29,854.48
62,05/06/2019,13900,13914.25,14000,691090,14150,13800,1164930,1723540,8.29,854.48
63,04/06/2019,13900,14029.88,13900,865510,14250,13850,1157390,2490650,8.29,854.48
64,03/06/2019,13900,13937.88,14150,886290,14150,13850,1468670,3091930,8.29,854.48
65,31/05/2019,14250,14185.56,14350,469280,14350,14050,1047900,1072840,8.29,854.48
66,30/05/2019,14250,14115.32,13900,2030560,14250,13850,4005540,3318000,8.29,854.48
67,29/05/2019,13900,13909.08,14050,679700,14050,13850,1293710,2427110,8.29,854.48
68,28/05/2019,14000,13926.16,14000,636500,14000,13850,1322250,999610,8.29,854.48
69,27/05/2019,14000,13935.3,14100,810460,14150,13850,2406840,1295100,8.29,854.48
70,24/05/2019,14050,14138.81,14100,668090,14300,14000,1538030,1251370,8.29,854.48
71,23/05/2019,14100,14165.36,14250,556710,14350,14100,1073770,1910760,8.29,854.48
72,22/05/2019,14350,14367.64,14400,894580,14500,14250,2025380,2085360,8.29,854.48
73,21/05/2019,14400,14460.91,14300,836600,14550,14300,2294450,1520310,8.29,854.48
74,20/05/2019,14300,14345.8,14300,544480,14500,14300,993110,948590,8.29,854.48
75,17/05/2019,14400,14377.71,14350,204970,14500,14350,419340,579420,8.29,854.48
76,16/05/2019,14350,14426.38,14600,352410,14600,14350,646890,1488320,8.29,854.48
77,15/05/2019,14600,14411.06,14500,459300,14600,14200,1264520,1064210,8.29,854.48
78,14/05/2019,14300,14226.74,14100,399670,14500,14000,1608630,784770,8.29,854.48
79,13/05/2019,14250,14308.48,14400,740400,14600,14000,1275400,1394130,8.29,854.48
80,10/05/2019,14400,14522.52,14750,638250,14750,14400,801160,1273960,8.29,854.48
81,09/05/2019,14750,14722.76,14950,1361090,14950,14600,1837240,2164410,8.29,854.48
82,08/05/2019,14950,14886.69,14900,255060,14950,14800,771570,902100,8.29,854.48
83,07/05/2019,15000,14925.58,15000,433350,15000,14850,805650,1305940,8.29,854.48
84,06/05/2019,15000,15027.38,15000,768930,15300,14800,1242600,1675320,8.29,854.48
85,03/05/2019,15150,15072.11,15150,715560,15200,14800,1464700,1483950,8.29,854.48
86,02/05/2019,15200,15202.3,15300,550180,15300,15150,1292960,1287290,8.29,854.48
87,26/04/2019,15200,15178.04,15000,1040780,15300,15000,2182230,2281270,8.29,854.48
88,25/04/2019,15000,15037.27,15100,252240,15150,14950,549070,806880,8.29,854.48
89,24/04/2019,15100,15043.11,14800,460410,15250,14800,975420,1177530,8.29,854.48
90,23/04/2019,14850,14813.36,14800,406930,14900,14650,827650,918510,8.29,854.48
91,22/04/2019,14800,14771.43,14800,183530,14850,14700,457630,578040,8.29,854.48
