,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,44750,46113.05,48100,1033200,48600,44750,0,0,12.19,2418.55
1,29/08/2019,48100,49336.4,51000,938820,51400,47650,1335400,1289800,12.19,2418.55
2,28/08/2019,51200,52091.52,53500,407360,53500,50800,576450,786490,12.19,2418.55
3,27/08/2019,53400,53666.47,54300,310380,54300,52700,484710,543570,12.19,2418.55
4,26/08/2019,53300,53091.1,53200,390800,54000,52500,725850,636640,12.19,2418.55
5,23/08/2019,52900,52584.54,53000,508020,53500,51200,1044160,814000,12.19,2418.55
6,22/08/2019,53100,53359.37,52100,338010,54200,52100,654770,666140,12.19,2418.55
7,21/08/2019,52100,52923.62,52500,435590,54300,51900,657950,769190,12.19,2418.55
8,20/08/2019,52500,51671.34,50200,820300,52500,50000,1283940,1025800,12.19,2418.55
9,19/08/2019,49100,48995.72,48100,287270,49450,48100,496080,528970,12.19,2418.55
10,16/08/2019,48100,47813.06,47000,794490,49300,46900,1220210,1039500,12.19,2418.55
11,15/08/2019,47000,46871.17,46050,554520,47400,46050,842870,769330,12.19,2418.55
12,14/08/2019,47000,47635.76,48300,578410,49000,46500,959160,934790,12.19,2418.55
13,13/08/2019,48000,48067.58,48000,465220,49000,47500,702610,722460,12.19,2418.55
14,12/08/2019,48000,48110.42,48400,233650,49500,47500,554050,431530,12.19,2418.55
15,09/08/2019,48000,49627.43,50500,390530,50800,48000,565820,692460,12.19,2418.55
16,08/08/2019,48900,47917.75,46700,673070,49700,46700,1154560,1032900,12.19,2418.55
17,07/08/2019,46700,46891.11,47100,446140,48000,46300,832460,1001490,12.19,2418.55
18,06/08/2019,47200,47384.19,47000,420520,48000,46300,745700,793470,12.19,2418.55
19,05/08/2019,47000,47404.31,46000,457490,48200,46000,699320,852460,12.19,2418.55
20,02/08/2019,46000,45639.15,43850,475710,46500,43850,823440,762500,12.19,2418.55
21,01/08/2019,44000,44003.31,43400,193190,44300,43300,435720,483830,12.19,2418.55
22,31/07/2019,43850,43870.04,43000,415500,44400,43000,713830,698610,12.19,2418.55
23,30/07/2019,43000,43202.02,43400,333040,44300,42850,518700,637300,12.19,2418.55
24,29/07/2019,43400,42991.83,41600,293800,43500,41600,534750,486460,12.19,2418.55
25,26/07/2019,41500,41283.42,41500,157860,41700,41000,454780,409310,12.19,2418.55
26,25/07/2019,41200,40757.71,39900,478020,41500,39600,870280,853670,12.19,2418.55
27,24/07/2019,39900,40395.93,40100,219230,41300,39900,391600,559790,12.19,2418.55
28,23/07/2019,40100,40116.29,39700,381790,40700,39500,593010,714480,12.19,2418.55
29,22/07/2019,39400,37807.0,37400,350570,39400,36500,820160,505460,12.19,2418.55
30,19/07/2019,37700,37671.78,37600,176100,37950,37500,285890,392830,12.19,2418.55
31,18/07/2019,37700,37621.72,37600,121180,37850,37450,243850,348820,12.19,2418.55
32,17/07/2019,37900,38244.98,37800,300510,38500,37500,424640,603240,12.19,2418.55
33,16/07/2019,38000,38334.4,38000,124640,38800,37800,258060,443300,12.19,2418.55
34,15/07/2019,37950,37701.76,37300,254630,37950,37300,430420,505520,12.19,2418.55
35,12/07/2019,37000,37163.65,36850,167610,37450,36850,288610,369490,12.19,2418.55
36,11/07/2019,36850,36662.64,36300,41350,36850,36300,121930,100270,12.19,2418.55
37,10/07/2019,36700,36927.62,36700,40620,37000,36700,95150,149740,12.19,2418.55
38,09/07/2019,37000,36840.92,36500,44380,37100,36500,123200,117950,12.19,2418.55
39,08/07/2019,36850,36849.28,37100,80680,37200,36500,131040,157790,12.19,2418.55
40,05/07/2019,37300,37308.62,37300,74460,37600,37000,152950,164860,12.19,2418.55
41,04/07/2019,37350,37267.45,37200,67190,37600,37150,117900,162840,12.19,2418.55
42,03/07/2019,37200,37303.08,37000,69190,37500,37000,130540,179030,12.19,2418.55
43,02/07/2019,37300,37383.4,37600,42880,37700,37200,93780,139820,12.19,2418.55
44,01/07/2019,38000,37334.01,36600,157390,38000,36600,250190,205170,12.19,2418.55
45,28/06/2019,36600,36661.75,37150,94840,37150,36100,298390,138800,12.19,2418.55
46,27/06/2019,37200,37098.72,37000,82860,38300,36750,127230,157850,12.19,2418.55
47,26/06/2019,37150,37119.07,37100,60050,37300,37000,129430,98230,12.19,2418.55
48,25/06/2019,37200,36922.6,36150,129460,37800,36150,325900,202650,12.19,2418.55
49,24/06/2019,36550,36571.19,36250,48180,36750,36250,116990,100580,12.19,2418.55
50,21/06/2019,36800,36893.68,36600,61230,37100,36600,161950,114300,12.19,2418.55
