,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,15500,15320.54,15600,1097220,15600,15200,0,0,29.77,2532.91
1,29/08/2019,15400,15262.51,15100,2096510,15450,15050,5680730,3428210,29.77,2532.91
2,28/08/2019,15100,15119.41,14850,2051800,15300,14700,4713760,4177910,29.77,2532.91
3,27/08/2019,14850,14663.18,14350,3132130,14950,14300,6412000,5704630,29.77,2532.91
4,26/08/2019,14300,14108.06,13650,2782240,14500,13650,5154590,5067430,29.77,2532.91
5,23/08/2019,13750,13697.29,13650,819870,13900,13600,2450630,2160780,29.77,2532.91
6,22/08/2019,13650,13753.22,13950,1023760,14000,13600,2502350,2263120,29.77,2532.91
7,21/08/2019,14000,14009.69,14050,871040,14150,13900,2046520,2169270,29.77,2532.91
8,20/08/2019,14200,14028.42,14150,1046590,14300,13850,2088110,2215240,29.77,2532.91
9,19/08/2019,14200,14191.88,14050,1108380,14400,14000,2362170,2525870,29.77,2532.91
10,16/08/2019,14100,13940.94,13700,2000080,14300,13500,4202350,3552430,29.77,2532.91
11,15/08/2019,13800,13448.91,13000,1079790,13800,13000,3406520,2133930,29.77,2532.91
12,14/08/2019,13800,13818.33,13900,923990,14000,13650,2166620,1937930,29.77,2532.91
13,13/08/2019,13500,13240.79,13300,2267840,13500,13000,5410380,3408020,29.77,2532.91
14,12/08/2019,16050,16424.9,16500,3322820,17050,15900,5849610,6733500,29.77,2532.91
15,09/08/2019,16150,15861.89,15300,2833900,16150,14900,5577960,3233110,29.77,2532.91
16,08/08/2019,15100,14733.14,15200,2220980,15400,14350,3978310,3614800,29.77,2532.91
17,07/08/2019,15200,15732.18,16050,2354600,16500,15200,3542330,3481700,29.77,2532.91
18,06/08/2019,16050,16186.42,16500,2848560,16550,15800,4118370,4039330,29.77,2532.91
19,05/08/2019,16950,17256.24,17600,1413170,17700,16950,1731350,2185000,29.77,2532.91
20,02/08/2019,17600,17602.61,17650,643200,17850,17500,1039040,1206340,29.77,2532.91
21,01/08/2019,17650,17741.94,17400,661540,18000,17400,1309880,1251290,29.77,2532.91
22,31/07/2019,17350,17618.55,18000,1452390,18200,17350,1837440,2127240,29.77,2532.91
23,30/07/2019,18000,18108.92,18150,431500,18250,18000,673440,883400,29.77,2532.91
24,29/07/2019,18050,18095.52,18100,306540,18200,18050,757750,668140,29.77,2532.91
25,26/07/2019,18200,18185.56,18350,971870,18450,18000,1783040,1750210,29.77,2532.91
26,25/07/2019,18350,18389.1,18500,662240,18500,18350,1216230,1050960,29.77,2532.91
27,24/07/2019,18400,18737.57,19000,1075860,19100,18400,1406700,2163910,29.77,2532.91
28,23/07/2019,18950,18992.98,18900,471490,19200,18900,818160,1217710,29.77,2532.91
29,22/07/2019,18900,18948.51,18700,479510,19100,18700,951930,1190820,29.77,2532.91
30,19/07/2019,19150,19330.66,19200,896400,19450,19150,1308300,2117700,29.77,2532.91
31,18/07/2019,19200,19073.12,19000,599430,19200,18950,1178760,1323640,29.77,2532.91
32,17/07/2019,19100,18936.01,18400,1404150,19150,18400,2554420,2337440,29.77,2532.91
33,16/07/2019,18450,18647.34,18650,522380,18900,18450,832340,1373050,29.77,2532.91
34,15/07/2019,18700,18819.76,18800,611910,18900,18700,991700,1350650,29.77,2532.91
35,12/07/2019,18800,18808.29,18500,1310220,19000,18400,2389360,2687990,29.77,2532.91
36,11/07/2019,18500,18353.32,18350,512060,18500,18200,1043310,1096170,29.77,2532.91
37,10/07/2019,18200,18335.97,18600,744820,18650,18200,1119950,1747630,29.77,2532.91
38,09/07/2019,18500,18434.65,18200,572780,18550,18150,1174970,1025410,29.77,2532.91
39,08/07/2019,18200,18249.38,18300,435960,18300,18150,797660,836410,29.77,2532.91
40,05/07/2019,18300,18365.35,18350,715750,18500,18300,1080720,1144460,29.77,2532.91
41,04/07/2019,18350,18461.09,18250,652020,18550,18250,1225210,1327010,29.77,2532.91
42,03/07/2019,18250,18349.02,18400,654640,18450,18250,962100,989950,29.77,2532.91
43,02/07/2019,18500,18589.78,18750,708400,18800,18500,1069400,1486660,29.77,2532.91
44,01/07/2019,18750,18748.12,18950,632650,18950,18700,867630,1376760,29.77,2532.91
45,28/06/2019,18650,18714.26,18900,800940,18900,18600,1161820,1493050,29.77,2532.91
46,27/06/2019,18700,18673.77,18700,867420,18750,18600,1463780,1255920,29.77,2532.91
47,26/06/2019,18700,18736.07,18850,654940,18850,18650,1173240,1175320,29.77,2532.91
48,25/06/2019,18850,18898.76,18800,521410,19000,18800,906810,1067860,29.77,2532.91
49,24/06/2019,18900,18985.02,19200,884750,19200,18850,1765040,2036550,29.77,2532.91
50,21/06/2019,19100,19094.01,18550,1581700,19350,18550,2930520,3504200,29.77,2532.91
51,20/06/2019,18550,18454.71,18200,720900,18600,18200,1772080,1477880,29.77,2532.91
52,19/06/2019,18200,18281.37,18200,652030,18450,18150,2002910,1428780,29.77,2532.91
