,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,14880,14820.23,14800,82050,14880,14800,0,0,0,0
1,29/08/2019,14730,14708.91,14700,87430,14730,14680,25725690,11517220,0,0
2,28/08/2019,14700,14737.79,14820,22120,14820,14700,31124330,4220340,0,0
3,27/08/2019,14700,14889.01,14850,803210,14920,14700,30824190,13319470,0,0
4,26/08/2019,14850,14745.28,14800,215730,14850,13910,33430720,26981240,0,0
5,23/08/2019,14950,14929.05,14940,85270,14950,14920,26768020,23216190,0,0
6,22/08/2019,14970,14963.59,14940,523270,15000,14940,18149010,25127590,0,0
7,21/08/2019,14940,14882.59,14850,163950,14960,14810,26864790,30846700,0,0
8,20/08/2019,14850,14853.32,14820,454040,14890,14820,28919060,25027320,0,0
9,19/08/2019,14850,14857.44,14900,818580,14900,14830,30984820,2209030,0,0
10,16/08/2019,14860,14784.1,14700,1350370,15000,14700,31190430,27481560,0,0
11,15/08/2019,14720,14497.97,14400,266520,14720,14400,34780410,27803430,0,0
12,14/08/2019,14620,14655.66,14750,710920,14750,14620,20776370,27997390,0,0
13,13/08/2019,14580,14579.44,14620,780620,14700,14530,29510320,36710270,0,0
14,12/08/2019,14620,14582.45,14550,2156290,14660,14550,22339540,14401950,0,0
15,09/08/2019,14560,14560.53,14600,372720,14600,14490,52375690,1217350,0,0
16,08/08/2019,14500,14487.53,14500,974700,14510,14370,57952830,79245440,0,0
17,07/08/2019,14370,14405.47,14450,439000,14450,14320,30410800,35488320,0,0
18,06/08/2019,14300,14317.59,14250,663310,14370,14240,52134490,65144540,0,0
19,05/08/2019,14500,14580.66,14640,1169220,14670,14500,34701780,32908750,0,0
20,02/08/2019,14660,14604.73,14670,601860,14680,14550,55324080,57567200,0,0
21,01/08/2019,14680,14662.15,14610,354450,14700,14610,110568870,125049420,0,0
22,31/07/2019,14710,14539.2,14550,183160,14710,14520,106987320,110062950,0,0
23,30/07/2019,14640,14737.12,14730,458570,14790,14640,114636800,103295420,0,0
24,29/07/2019,14730,14655.64,14750,129370,14750,14630,142800570,129903570,0,0
25,26/07/2019,14750,14770.5,14780,152940,14790,14730,153698210,138562340,0,0
26,25/07/2019,14790,14732.61,14680,974980,14790,14670,82690100,126203850,0,0
27,24/07/2019,14730,14761.34,14700,629550,14800,14690,140115200,135933640,0,0
28,23/07/2019,14680,14600.92,14590,422850,14680,14590,98070430,113641580,0,0
29,22/07/2019,14590,14643.72,14590,224260,14650,14590,103050110,109631820,0,0
30,19/07/2019,14570,14575.52,14450,261260,14620,14450,158850230,144186470,0,0
31,18/07/2019,14490,14514.85,14580,101000,14580,14480,130507750,107494310,0,0
32,17/07/2019,14570,14607.75,14600,457360,14640,14570,140649310,147798790,0,0
33,16/07/2019,14560,14580.69,14560,31480,14620,14480,77284920,75256920,0,0
34,15/07/2019,14480,14500.86,14500,110890,14600,14480,99850960,101126750,0,0
35,12/07/2019,14550,14594.03,14700,85720,14700,14550,109901180,105296360,0,0
36,11/07/2019,14600,14599.83,14560,253770,14600,14560,151602580,134059440,0,0
37,10/07/2019,14560,14550.63,14540,1801640,14590,14540,145876910,144939730,0,0
38,09/07/2019,14420,14434.42,14500,260350,14500,14390,135084080,128204070,0,0
39,08/07/2019,14510,14480.59,14590,1078340,14590,14410,133618060,132778970,0,0
40,05/07/2019,14600,14588.98,14590,649600,14610,14560,105235290,99126290,0,0
41,04/07/2019,14590,14556.22,14500,1320260,14590,14480,101499670,124820890,0,0
42,03/07/2019,14350,14437.21,14650,1166500,14650,14350,148568540,143571890,0,0
43,02/07/2019,14550,14500.84,14520,1034630,14550,14450,133289490,125689900,0,0
44,01/07/2019,14550,14513.4,14450,1165130,14550,14410,137556000,142608370,0,0
45,28/06/2019,14210,14163.35,14200,2347750,14250,14000,134144920,118767840,0,0
46,27/06/2019,14220,14293.22,14300,761060,14400,14220,89381200,84724090,0,0
47,26/06/2019,14340,14440.53,14410,374640,14450,14340,103260900,101041040,0,0
48,25/06/2019,14420,14437.71,14490,1210580,14490,14410,109670350,106748540,0,0
49,24/06/2019,14450,14462.76,14450,1320080,14520,14410,87229900,58133040,0,0
50,21/06/2019,14410,14395.18,14400,232300,14450,14370,76036210,90097660,0,0
51,20/06/2019,14400,14307.38,14060,296770,14410,14060,134579500,106137390,0,0
52,19/06/2019,14200,14167.54,14400,614080,14400,14140,69847790,76774270,0,0
53,18/06/2019,14050,14058.43,14200,744180,14500,13720,99326880,83061490,0,0
54,17/06/2019,14190,14201.85,14290,459940,14320,14150,144313300,117996710,0,0
55,14/06/2019,14500,14329.0,14260,303650,14500,14260,82770660,78573800,0,0
56,13/06/2019,14300,14293.2,14300,209960,14360,14270,122369740,96029070,0,0
57,12/06/2019,14300,14410.77,14540,195340,14540,14300,104492490,78845920,0,0
58,11/06/2019,14490,14501.97,14600,457800,14600,14430,113608180,84628060,0,0
59,10/06/2019,14320,14508.41,14600,649830,14600,14320,76842170,87100090,0,0
60,07/06/2019,14380,14349.43,14490,486500,14490,14300,83366920,75172460,0,0
61,06/06/2019,14210,14253.0,14370,1227250,14370,14180,114820590,105575720,0,0
62,05/06/2019,14370,14447.99,14500,625900,14500,14360,104817010,65529230,0,0
63,04/06/2019,14390,14337.49,14400,2022320,14400,14270,178422440,166692870,0,0
64,03/06/2019,14100,14361.77,14550,482740,14550,14100,171947800,126260760,0,0
65,31/05/2019,14550,14587.41,14750,97070,14750,14550,100956030,75415060,0,0
66,30/05/2019,14780,14739.88,14650,10380,14780,14620,90069280,74570200,0,0
67,29/05/2019,14700,14687.85,14810,247960,14810,14640,110322230,93033520,0,0
68,28/05/2019,14810,14706.02,14750,430640,14810,14650,96280190,64526400,0,0
69,27/05/2019,14750,14730.28,14820,306240,14820,14670,96312680,73647210,0,0
70,24/05/2019,14790,14819.24,14840,1925740,14900,14690,140228540,115116170,0,0
71,23/05/2019,14840,14854.95,14840,668060,14900,14800,74050370,77046010,0,0
72,22/05/2019,14800,14980.38,14970,1177340,15010,14800,80178040,92771410,0,0
73,21/05/2019,14980,14982.47,14900,664510,15030,14900,49399400,59949270,0,0
74,20/05/2019,14940,14862.79,14750,821380,14940,14720,63346190,75519320,0,0
75,17/05/2019,14770,14766.96,14820,325050,14820,14750,73050470,44359520,0,0
76,16/05/2019,14820,14780.38,14770,1256260,14840,14760,92512570,96672660,0,0
77,15/05/2019,14770,14669.92,14580,1911940,14780,14580,84687950,116987910,0,0
78,14/05/2019,14560,14508.47,14460,1678330,14570,14460,80566580,109950720,0,0
79,13/05/2019,14500,14535.13,14560,512620,14700,14500,85698800,76254080,0,0
80,10/05/2019,14460,14506.35,14500,186470,14530,14460,101370990,79326690,0,0
81,09/05/2019,14460,14465.42,14700,495250,14700,14410,120500470,101249940,0,0
82,08/05/2019,14460,14423.27,14500,967950,14510,14380,158990920,62236060,0,0
83,07/05/2019,14500,14559.74,14520,302890,14660,14500,103276760,74499000,0,0
84,06/05/2019,14520,14609.61,14800,117320,14800,14510,112526720,97201160,0,0
85,03/05/2019,14900,14786.14,14900,842140,14900,14730,121618960,123592640,0,0
86,02/05/2019,14720,14745.55,14720,218710,14770,14710,91814100,78229280,0,0
87,26/04/2019,14720,14664.35,14630,413520,14720,14630,99127430,76186450,0,0
