,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,12500,12509.22,12600,81380,12600,12450,0,0,15.52,2492.77
1,29/08/2019,12500,12571.21,12750,205390,12750,12500,355480,666510,15.52,2492.77
2,28/08/2019,13000,12910.06,12950,273740,13000,12850,575570,757570,15.52,2492.77
3,27/08/2019,12900,12865.21,12700,260470,13000,12700,664900,551090,15.52,2492.77
4,26/08/2019,12650,12716.15,12750,140530,12800,12650,344140,386990,15.52,2492.77
5,23/08/2019,12850,12835.28,12850,166650,12950,12800,506300,445710,15.52,2492.77
6,22/08/2019,12900,12906.12,12900,133580,13000,12850,266590,436960,15.52,2492.77
7,21/08/2019,12950,12968.61,12950,275280,13050,12900,525240,651460,15.52,2492.77
8,20/08/2019,13100,13055.65,12950,264330,13150,12900,806850,757350,15.52,2492.77
9,19/08/2019,12850,12955.24,13100,213350,13100,12850,504980,578790,15.52,2492.77
10,16/08/2019,13000,13043.48,13100,364550,13200,13000,517480,797150,15.52,2492.77
11,15/08/2019,13100,13030.45,13000,397070,13150,12950,739800,717970,15.52,2492.77
12,14/08/2019,13300,13365.47,13500,182560,13500,13200,381440,919160,15.52,2492.77
13,13/08/2019,13350,13324.5,13200,309280,13550,13100,850140,861070,15.52,2492.77
14,12/08/2019,13250,13158.33,13050,244560,13250,13000,587890,550000,15.52,2492.77
15,09/08/2019,13000,13043.48,13200,156860,13200,12950,365720,459150,15.52,2492.77
16,08/08/2019,13000,13083.52,13150,297550,13200,12950,483030,665880,15.52,2492.77
17,07/08/2019,13150,13127.67,13200,538100,13400,12900,855470,1203760,15.52,2492.77
18,06/08/2019,13050,13032.2,12950,223600,13200,12850,498860,587540,15.52,2492.77
19,05/08/2019,13050,13230.11,13450,289340,13450,13000,457180,702930,15.52,2492.77
20,02/08/2019,13450,13480.63,13500,152070,13600,13400,383870,493350,15.52,2492.77
21,01/08/2019,13700,13676.58,13450,180820,13850,13350,473860,806340,15.52,2492.77
22,31/07/2019,13450,13385.34,13400,260210,13500,13350,420600,578120,15.52,2492.77
23,30/07/2019,13400,13512.55,13700,448250,13700,13350,627400,874740,15.52,2492.77
24,29/07/2019,13700,13718.83,13800,129530,13850,13650,227950,473450,15.52,2492.77
25,26/07/2019,13800,13834.98,13900,159740,13950,13800,295370,507130,15.52,2492.77
26,25/07/2019,13900,13828.92,13850,295540,13950,13700,466200,595420,15.52,2492.77
27,24/07/2019,13800,13959.55,14000,222500,14150,13800,309860,657650,15.52,2492.77
28,23/07/2019,14000,14066.01,14050,164510,14150,14000,340180,558180,15.52,2492.77
29,22/07/2019,14050,14084.72,14250,259430,14250,14000,357300,686320,15.52,2492.77
30,19/07/2019,14250,14145.82,14200,195040,14250,14100,314160,489680,15.52,2492.77
31,18/07/2019,14200,14195.51,14300,85520,14300,14150,260780,457540,15.52,2492.77
32,17/07/2019,14150,14167.61,14100,141520,14250,14100,356870,552810,15.52,2492.77
33,16/07/2019,14100,14223.31,14300,196860,14350,14100,324570,719970,15.52,2492.77
34,15/07/2019,14300,14350.24,14400,267870,14400,14300,489300,897100,15.52,2492.77
35,12/07/2019,14600,14596.78,14700,546970,14800,14550,873390,1338100,15.52,2492.77
36,11/07/2019,14600,14636.14,14700,478200,14700,14600,782550,1332480,15.52,2492.77
37,10/07/2019,14700,14764.24,14800,303910,14950,14650,506720,1402260,15.52,2492.77
38,09/07/2019,14800,14808.98,14850,488960,14850,14750,791200,2099910,15.52,2492.77
39,08/07/2019,14750,14864.54,14900,760400,15050,14750,1201380,3153060,15.52,2492.77
40,05/07/2019,14750,14857.36,14700,417840,15000,14700,931250,2728250,15.52,2492.77
41,04/07/2019,14700,14702.65,14650,263490,14800,14650,639830,1320910,15.52,2492.77
42,03/07/2019,14650,14814.17,14600,977510,15000,14600,1472040,2648220,15.52,2492.77
43,02/07/2019,14350,14424.0,14450,94010,14500,14350,194250,647220,15.52,2492.77
44,01/07/2019,14450,14502.53,14800,225340,14800,14400,378640,1486340,15.52,2492.77
45,28/06/2019,14450,14452.68,14550,114650,14550,14350,234700,721770,15.52,2492.77
46,27/06/2019,14400,14477.7,14600,154030,14700,14350,437530,1507030,15.52,2492.77
47,26/06/2019,14550,14880.23,15400,1262010,15400,14550,1686850,4118850,15.52,2492.77
48,25/06/2019,15500,15380.49,14500,1063490,15500,14250,1231000,1521220,15.52,2492.77
49,24/06/2019,14500,14308.26,14200,481540,14500,14000,682640,883380,15.52,2492.77
50,21/06/2019,14200,14132.77,14450,321310,14450,14000,500520,733390,15.52,2492.77
51,20/06/2019,14300,14309.66,14350,65620,14400,14250,147230,565500,15.52,2492.77
52,19/06/2019,14350,14349.64,14200,167600,14500,14200,406610,617300,15.52,2492.77
53,18/06/2019,14000,14006.24,14000,70540,14100,13900,216770,300040,15.52,2492.77
