,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,11450,11674.18,12000,219630,12300,11200,0,0,0,449.02
1,29/08/2019,12000,12647.2,12000,150310,13200,11900,234850,368610,0,449.02
2,28/08/2019,12750,12861.06,12500,160640,13450,12350,259280,436930,0,449.02
3,27/08/2019,12900,13564.93,13800,166090,14150,12800,256740,414070,0,449.02
4,26/08/2019,13300,13887.43,14100,114060,14700,13250,187990,328230,0,449.02
5,23/08/2019,14100,13454.0,13050,418240,14800,13000,662270,697480,0,449.02
6,22/08/2019,13950,14030.61,15600,246960,15600,13950,315430,555790,0,449.02
7,21/08/2019,15000,15082.43,16200,334230,16200,15000,843280,813530,0,449.02
8,20/08/2019,16100,15718.6,15250,145560,16850,15200,386890,602060,0,449.02
9,19/08/2019,16200,16752.26,16200,144100,17100,16100,241440,478950,0,449.02
10,16/08/2019,16100,15943.95,16100,475980,16100,14050,1306150,740690,0,449.02
11,15/08/2019,15050,14097.38,13150,489240,15050,13150,1885460,744360,0,449.02
12,14/08/2019,14100,15237.94,16200,746820,16200,14100,1065490,1566940,0,449.02
13,13/08/2019,15150,15150.0,15150,318490,15150,15150,844090,318490,0,449.02
14,12/08/2019,14200,14162.42,14200,141360,14200,13900,984380,165460,0,449.02
15,09/08/2019,13300,13300.0,13300,231980,13300,13300,826710,232080,0,449.02
16,08/08/2019,12450,12418.38,12400,339980,12450,11700,1201940,362670,0,449.02
17,07/08/2019,11650,11646.26,11650,110250,11650,11500,455540,118430,0,449.02
18,06/08/2019,10900,10786.71,10800,118850,10900,10300,402810,147710,0,449.02
19,05/08/2019,10200,10190.41,10200,255240,10200,9800,704440,264990,0,449.02
20,02/08/2019,9550,9991.41,10100,384230,10150,9400,783140,608150,0,449.02
21,01/08/2019,9490,9448.76,9280,253790,9490,9280,538140,267550,0,449.02
22,31/07/2019,8870,8650.43,8290,222070,8870,8290,885780,439970,0,449.02
23,30/07/2019,8290,8304.9,8290,671050,8860,8290,766620,1204610,0,449.02
24,29/07/2019,8910,8913.16,8920,183100,8940,8910,216110,811230,0,449.02
25,26/07/2019,9580,9620.5,9800,394470,9890,9580,521800,963810,0,449.02
26,25/07/2019,10300,9856.78,9610,338650,10300,9580,651700,670450,0,449.02
27,24/07/2019,10250,10599.95,11000,396700,11700,10250,503770,965610,0,449.02
28,23/07/2019,11000,10773.46,10750,1431110,11500,10750,1602260,2302460,0,449.02
29,22/07/2019,11550,11550.0,11550,180280,11550,11550,180280,2032090,0,449.02
30,19/07/2019,12400,12400.0,12400,42520,12400,12400,42520,2022090,0,449.02
31,18/07/2019,13300,13300.0,13300,8980,13300,13300,8980,2169240,0,449.02
32,17/07/2019,14250,14250.0,14250,29340,14250,14250,29340,1642610,0,449.02
33,16/07/2019,15300,15317.16,15350,504010,15800,15300,551540,1497220,0,449.02
34,15/07/2019,16450,16448.34,16450,1031350,16450,16400,1569250,1031350,0,449.02
35,12/07/2019,15400,15399.7,15400,1326000,15400,15350,2082750,1326000,0,449.02
36,11/07/2019,14400,14400.0,14400,1305500,14400,14400,2330110,1305500,0,449.02
