,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,20850,20849.17,20950,568320,20950,20750,0,0,14.79,1780.57
1,29/08/2019,20650,20457.04,20100,592070,20750,20100,1214310,1232710,14.79,1780.57
2,28/08/2019,20150,20066.12,19800,326670,20150,19800,639650,718190,14.79,1780.57
3,27/08/2019,20000,19793.99,19800,861120,20000,19500,1068440,1178830,14.79,1780.57
4,26/08/2019,19800,19593.77,19900,452950,19900,19250,659140,851770,14.79,1780.57
5,23/08/2019,19800,19819.75,20000,274070,20050,19700,403850,710280,14.79,1780.57
6,22/08/2019,20050,19946.48,20250,384880,20250,19800,644970,830270,14.79,1780.57
7,21/08/2019,20050,20049.67,20100,289930,20150,20000,543950,676460,14.79,1780.57
8,20/08/2019,20100,20088.56,20200,544240,20200,19950,729140,902080,14.79,1780.57
9,19/08/2019,20200,20168.46,20550,487940,20550,20050,817970,798020,14.79,1780.57
10,16/08/2019,20200,20357.95,20500,764910,20500,20200,986360,1182440,14.79,1780.57
11,15/08/2019,22950,22761.9,22700,610450,22950,22500,971280,1212370,14.79,1780.57
12,14/08/2019,23000,22995.05,23000,624830,23100,22900,920040,1366740,14.79,1780.57
13,13/08/2019,23000,23062.81,23600,605130,23600,22900,744380,1178630,14.79,1780.57
14,12/08/2019,23250,23281.71,23400,424840,23400,23200,613810,955990,14.79,1780.57
15,09/08/2019,23250,23194.66,23100,730470,23400,23100,1018680,1192860,14.79,1780.57
16,08/08/2019,23100,23023.84,23100,707180,23100,22900,955570,1335460,14.79,1780.57
17,07/08/2019,23100,23055.65,23150,593130,23150,23000,837310,1076630,14.79,1780.57
18,06/08/2019,23000,22968.59,23000,712190,23100,22800,1101790,1345480,14.79,1780.57
19,05/08/2019,23100,22997.7,22700,1335090,23200,22600,1948080,2038770,14.79,1780.57
20,02/08/2019,22700,22571.3,22600,614320,22700,22450,908910,1136680,14.79,1780.57
21,01/08/2019,22700,22570.31,22700,536590,22700,22500,824160,848890,14.79,1780.57
22,31/07/2019,22550,22479.14,22500,1131360,22600,22400,1427280,1530490,14.79,1780.57
23,30/07/2019,22400,22416.08,22400,1249460,22550,22350,1600580,1717750,14.79,1780.57
24,29/07/2019,22400,22407.55,22500,748230,22600,22300,1279100,1284910,14.79,1780.57
25,26/07/2019,22500,22498.56,22600,832320,22650,22350,1147370,1561910,14.79,1780.57
26,25/07/2019,22600,22410.44,22200,1461640,22600,22050,2286920,2125590,14.79,1780.57
27,24/07/2019,22200,21721.2,21600,1493840,22200,21500,2111330,1804380,14.79,1780.57
28,23/07/2019,21600,21448.54,21500,937080,21600,21300,1262410,1321590,14.79,1780.57
29,22/07/2019,21500,21429.46,21600,644020,21700,21300,921370,1153820,14.79,1780.57
30,19/07/2019,21650,21429.71,21350,812330,21650,21250,1200240,1071950,14.79,1780.57
31,18/07/2019,21550,21407.77,21500,806950,21550,21300,1300100,1053420,14.79,1780.57
32,17/07/2019,21500,21428.99,21550,344440,21550,21300,711000,594810,14.79,1780.57
33,16/07/2019,21550,21453.97,21600,284050,21600,21350,561810,608140,14.79,1780.57
34,15/07/2019,21600,21340.94,21300,469520,21600,21100,777770,1042850,14.79,1780.57
35,12/07/2019,21450,21393.55,21550,367120,21600,21300,659400,635410,14.79,1780.57
36,11/07/2019,21550,21467.23,21500,203240,21550,21350,883490,535760,14.79,1780.57
37,10/07/2019,21600,21409.6,21500,787030,21600,21150,1175890,1111370,14.79,1780.57
38,09/07/2019,21500,21349.25,21500,251250,21500,21200,500880,501080,14.79,1780.57
39,08/07/2019,21500,21238.59,21450,430490,21500,21000,655840,716290,14.79,1780.57
40,05/07/2019,21500,21506.59,21700,591400,21700,21350,1053800,991370,14.79,1780.57
41,04/07/2019,21700,21708.13,21900,260870,21900,21600,509560,611260,14.79,1780.57
42,03/07/2019,21700,21631.41,21600,289810,21750,21550,494600,654520,14.79,1780.57
43,02/07/2019,21600,21635.24,21950,259900,21950,21550,524550,594290,14.79,1780.57
44,01/07/2019,21700,21796.49,22000,436630,22100,21650,764840,808220,14.79,1780.57
45,28/06/2019,22000,21712.9,21700,407730,22000,21400,602820,674310,14.79,1780.57
46,27/06/2019,21500,21784.28,22200,404420,22200,21500,630970,739060,14.79,1780.57
47,26/06/2019,22100,21987.94,22000,872160,22200,21800,1144280,1164110,14.79,1780.57
48,25/06/2019,22000,21900.33,22000,393510,22100,21700,603300,756690,14.79,1780.57
49,24/06/2019,22100,21674.84,21800,405770,22100,21500,624240,560750,14.79,1780.57
50,21/06/2019,21500,21604.02,22400,1472920,22400,21500,2262730,1935290,14.79,1780.57
51,20/06/2019,22200,22134.59,22000,385460,22300,21950,713890,727530,14.79,1780.57
52,19/06/2019,22000,22018.7,22250,396890,22250,21900,535390,712590,14.79,1780.57
53,18/06/2019,22000,22114.81,22300,401360,22300,22000,575010,671540,14.79,1780.57
54,17/06/2019,22300,22251.04,22500,343130,22500,22100,581270,664740,14.79,1780.57
55,14/06/2019,22400,22437.08,22500,351650,22500,22350,695620,619510,14.79,1780.57
56,13/06/2019,22400,22424.76,22500,372490,22550,22350,617140,766290,14.79,1780.57
57,12/06/2019,22550,22524.52,22600,414970,22600,22450,624320,700750,14.79,1780.57
58,11/06/2019,22550,22534.04,22500,564790,22600,22400,1063420,961010,14.79,1780.57
59,10/06/2019,22500,22447.67,22500,795940,22550,22350,1197530,1143780,14.79,1780.57
60,07/06/2019,22200,22220.03,22350,304500,22350,22150,605220,728590,14.79,1780.57
61,06/06/2019,22300,22284.45,22400,466020,22400,22150,719620,881980,14.79,1780.57
62,05/06/2019,22450,22440.06,22550,192290,22550,22350,377180,559060,14.79,1780.57
63,04/06/2019,22450,22241.84,22200,396550,22450,22100,595060,686490,14.79,1780.57
64,03/06/2019,22300,22094.03,22350,624920,22350,21950,1345690,1016490,14.79,1780.57
65,31/05/2019,22350,22426.78,22550,880510,22550,22350,1258170,1310600,14.79,1780.57
66,30/05/2019,22550,22497.5,22500,630470,22700,22400,1080520,1067630,14.79,1780.57
67,29/05/2019,22500,22509.96,22700,1074280,22700,22350,1403590,1524290,14.79,1780.57
68,28/05/2019,22800,22196.81,22300,1657040,22800,21950,2037600,2351050,14.79,1780.57
69,27/05/2019,22300,22272.94,22400,501730,22400,22200,716950,891360,14.79,1780.57
70,24/05/2019,22500,22398.86,22600,778120,22600,22250,1091860,1154740,14.79,1780.57
71,23/05/2019,22650,22369.48,22500,983170,22650,22200,1366420,1508860,14.79,1780.57
72,22/05/2019,22600,22650.55,22900,646960,22900,22550,866220,1268260,14.79,1780.57
73,21/05/2019,22850,22812.14,23000,677490,23000,22650,998420,1445810,14.79,1780.57
74,20/05/2019,22900,22503.45,22400,1813900,22900,22200,2543270,2058060,14.79,1780.57
75,17/05/2019,22400,22228.6,22300,800860,22400,22100,1097100,1005270,14.79,1780.57
76,16/05/2019,22300,22333.44,22700,670340,22700,22200,950700,1145440,14.79,1780.57
77,15/05/2019,22400,22171.64,22150,1238790,22400,22000,1570530,1432180,14.79,1780.57
78,14/05/2019,22150,22022.58,22100,435780,22150,21900,653450,614490,14.79,1780.57
79,13/05/2019,22250,22006.33,22300,1008210,22300,21850,1318900,1284480,14.79,1780.57
80,10/05/2019,22300,22071.06,22250,289610,22300,21850,496080,520050,14.79,1780.57
81,09/05/2019,22250,22018.11,22200,574300,22250,21600,721670,820310,14.79,1780.57
82,08/05/2019,22300,22062.8,22200,443280,22300,21900,679730,613920,14.79,1780.57
83,07/05/2019,22500,22475.99,22800,495640,22900,22100,723530,1317850,14.79,1780.57
84,06/05/2019,22700,22787.64,22400,456300,23150,22300,785270,1056920,14.79,1780.57
85,03/05/2019,22500,22244.51,22200,757850,22500,22050,1354430,965280,14.79,1780.57
86,02/05/2019,22300,22201.9,22350,267860,22350,22100,516480,417300,14.79,1780.57
87,26/04/2019,22300,22224.64,22100,368150,22400,22100,607430,650930,14.79,1780.57
88,25/04/2019,22300,22266.84,22400,368530,22500,22200,706550,563200,14.79,1780.57
89,24/04/2019,22300,22221.25,22200,341160,22400,22150,724820,852740,14.79,1780.57
90,23/04/2019,22300,22111.89,22400,495480,22400,21950,884140,1384400,14.79,1780.57
91,22/04/2019,22300,22193.82,22300,312970,22400,22100,519370,666620,14.79,1780.57
92,19/04/2019,22300,22298.49,22300,243290,22400,22200,555660,730190,14.79,1780.57
93,18/04/2019,22000,21988.08,22200,778740,22300,21800,1129410,1047340,14.79,1780.57
94,17/04/2019,22200,22314.34,22500,1084370,22600,22200,1431220,1960600,14.79,1780.57
95,16/04/2019,22500,22371.36,22500,250320,22500,22200,694460,488870,14.79,1780.57
96,12/04/2019,22550,22465.14,22550,461070,22650,22300,812840,762730,14.79,1780.57
97,11/04/2019,22600,22685.6,22650,504990,22800,22500,855740,1048480,14.79,1780.57
98,10/04/2019,22700,22873.71,23300,1031490,23300,22700,2025630,1563670,14.79,1780.57
99,09/04/2019,23450,23391.37,23650,1106690,23650,23200,1620850,1756730,14.79,1780.57
100,08/04/2019,23700,23711.56,23800,1197180,23900,23600,1697290,2079890,14.79,1780.57
101,05/04/2019,23800,23535.89,23150,2223370,23800,23100,3154400,2908860,14.79,1780.57
102,04/04/2019,23150,23084.82,23100,1031890,23200,23000,1326910,1252770,14.79,1780.57
103,03/04/2019,23100,23011.36,23000,631210,23100,22900,891340,859530,14.79,1780.57
104,02/04/2019,23050,23047.6,23100,629610,23150,22950,3030530,978170,14.79,1780.57
105,01/04/2019,23000,23049.06,23200,576900,23200,22950,796520,898720,14.79,1780.57
106,29/03/2019,23100,23015.12,23100,515270,23100,22950,800090,778680,14.79,1780.57
107,28/03/2019,23000,22838.96,22900,589300,23000,22600,1012530,797810,14.79,1780.57
108,27/03/2019,22900,22779.37,22800,656120,23000,22600,1186870,878300,14.79,1780.57
109,26/03/2019,22650,22615.59,22600,685810,22800,22450,1165600,1025860,14.79,1780.57
110,25/03/2019,22500,22469.59,22400,642780,22650,22300,1176980,1107840,14.79,1780.57
111,22/03/2019,22800,22672.82,22800,881540,22900,22400,1521950,1299620,14.79,1780.57
112,21/03/2019,22800,22994.5,23300,573050,23350,22800,777420,1060050,14.79,1780.57
113,20/03/2019,23300,23138.11,23500,592140,23500,23000,1038980,976710,14.79,1780.57
114,19/03/2019,23300,23431.46,23500,633550,23550,23200,927620,1066620,14.79,1780.57
115,18/03/2019,23500,23537.99,23500,726570,23700,23450,1108490,1271470,14.79,1780.57
116,15/03/2019,23450,23552.09,23700,1050650,23750,23450,1687120,2027600,14.79,1780.57
117,14/03/2019,23700,23634.35,23500,903050,23850,23450,1495310,1353070,14.79,1780.57
118,13/03/2019,23450,23578.92,23650,929050,23700,23400,1342680,1643440,14.79,1780.57
119,12/03/2019,23550,23387.38,23200,999770,23650,23150,2018270,1503920,14.79,1780.57
120,11/03/2019,23100,23104.13,23450,1040290,23500,22950,1539530,1602140,14.79,1780.57
121,08/03/2019,23350,23533.87,23900,1439160,23900,23350,1901350,2180660,14.79,1780.57
122,07/03/2019,23900,24028.74,24200,1748240,24200,23850,2279460,2642430,14.79,1780.57
123,06/03/2019,24100,23955.55,24000,1743980,24100,23700,2637840,2393540,14.79,1780.57
124,05/03/2019,24000,24041.6,24350,2414190,24350,23800,2983600,3374530,14.79,1780.57
125,04/03/2019,24300,24187.08,24700,3283860,24700,23950,3988610,4272730,14.79,1780.57
126,01/03/2019,24700,24688.77,24650,2399350,24800,24600,2896590,3716150,14.79,1780.57
127,28/02/2019,24650,24798.5,25250,2568260,25250,24500,3260570,4254230,14.79,1780.57
128,27/02/2019,25200,25188.63,24800,3171550,25500,24750,4358410,4329440,14.79,1780.57
129,26/02/2019,24700,24358.95,23850,5313900,24750,23800,7384930,6366550,14.79,1780.57
130,25/02/2019,23850,23747.07,23700,2931140,23850,23650,3723400,3630960,14.79,1780.57
131,22/02/2019,23650,23613.21,23600,1150500,23700,23400,1633640,1628750,14.79,1780.57
132,21/02/2019,23600,23609.59,23600,1961830,23750,23500,2456690,2803890,14.79,1780.57
133,20/02/2019,23750,23665.15,23650,2415070,23750,23550,2984270,3166880,14.79,1780.57
134,19/02/2019,23650,23719.39,23850,2635270,23950,23400,3483880,4127030,14.79,1780.57
135,18/02/2019,23750,23477.65,23050,2669220,23850,23000,3583680,3509370,14.79,1780.57
136,15/02/2019,23000,22885.95,23000,1264400,23100,22600,1811020,1963130,14.79,1780.57
137,14/02/2019,23000,22990.37,22950,2624490,23200,22750,3198990,3530120,14.79,1780.57
138,13/02/2019,22950,22814.06,22600,1788020,23000,22550,2656230,2550660,14.79,1780.57
139,12/02/2019,22600,22384.13,22200,1693030,22800,22150,2412740,2271670,14.79,1780.57
140,11/02/2019,22150,22069.65,22100,983160,22300,21900,1289640,1492200,14.79,1780.57
141,01/02/2019,21900,21729.03,21800,869620,21900,21350,1319020,1225570,14.79,1780.57
142,31/01/2019,21600,21606.33,21700,510730,21750,21500,700440,860830,14.79,1780.57
143,30/01/2019,21500,21567.92,21700,663300,21700,21500,830800,956700,14.79,1780.57
144,29/01/2019,21750,21583.47,21850,602220,21850,21450,837170,963730,14.79,1780.57
145,28/01/2019,21750,21795.78,21950,411410,21950,21700,567820,724470,14.79,1780.57
146,25/01/2019,21850,21825.77,21950,714110,21950,21650,920610,1153480,14.79,1780.57
147,24/01/2019,21900,21833.31,21750,1309650,22000,21500,1621360,1768110,14.79,1780.57
148,23/01/2019,21500,21502.29,21500,414700,21600,21400,575870,653060,14.79,1780.57
149,22/01/2019,21500,21487.3,21700,696970,21700,21350,919940,1130650,14.79,1780.57
150,21/01/2019,21700,21666.35,21500,741380,21850,21450,947470,1343570,14.79,1780.57
151,18/01/2019,21600,21614.14,21750,592390,21750,21500,795740,1019240,14.79,1780.57
152,17/01/2019,21600,21652.68,21750,953600,21750,21550,1169140,1529160,14.79,1780.57
153,16/01/2019,21650,21728.79,21700,1130850,21900,21600,1292010,1654240,14.79,1780.57
154,15/01/2019,21700,21633.87,21600,1252850,21800,21400,1628450,1617770,14.79,1780.57
155,14/01/2019,21650,21660.12,21900,934390,21900,21500,1218900,1382490,14.79,1780.57
156,11/01/2019,21850,21771.95,21700,1441350,22000,21600,1917240,1906920,14.79,1780.57
157,10/01/2019,21600,21490.43,21300,1623560,21800,21250,2251970,2302580,14.79,1780.57
158,09/01/2019,21250,21183.54,21000,1190830,21450,20950,1526930,1754540,14.79,1780.57
159,08/01/2019,21000,21008.24,21100,925970,21200,20950,1170940,1310790,14.79,1780.57
160,07/01/2019,21100,21019.87,21300,1032880,21300,20850,1311690,1311820,14.79,1780.57
161,04/01/2019,20750,20585.79,20350,972370,20850,20300,1428500,1432690,14.79,1780.57
162,03/01/2019,20350,20762.97,21850,1757600,21850,20350,2079200,2886550,14.79,1780.57
163,02/01/2019,21850,21766.26,22150,988870,22300,21400,1288720,1768310,14.79,1780.57
164,28/12/2018,22150,22418.72,22750,493650,22750,22150,696610,2064600,14.79,1780.57
165,27/12/2018,22700,22668.51,22900,620420,22900,22250,932520,2113640,14.79,1780.57
166,26/12/2018,22700,22586.58,22200,636440,22800,22200,1070460,2791610,14.79,1780.57
167,25/12/2018,23500,21941.61,21900,1876480,23500,21200,2484430,2243270,14.79,1780.57
168,24/12/2018,22500,22678.56,23400,806180,23400,22500,1090660,1246710,14.79,1780.57
169,21/12/2018,23400,23167.91,23400,10166390,23400,22200,11681000,13092110,14.79,1780.57
170,20/12/2018,23400,22933.54,23500,1633110,23600,22350,2399300,2273520,14.79,1780.57
171,19/12/2018,23400,23828.83,24800,1719220,24900,23300,2185720,3407220,14.79,1780.57
172,18/12/2018,24700,24911.13,25200,2613490,25250,24600,3180240,3845660,14.79,1780.57
173,17/12/2018,25200,25485.66,25450,3550350,25750,25200,4616230,4718920,14.79,1780.57
174,14/12/2018,25150,25289.85,25450,1277390,25500,25100,1696980,2126420,14.79,1780.57
175,13/12/2018,25450,25454.39,25600,1402980,25700,25100,2291780,2612260,14.79,1780.57
