,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,28600,28569.0,28250,1529350,28800,28000,0,0,10.35,1986.53
1,29/08/2019,28200,28078.02,27900,445010,28350,27850,958250,1121970,10.35,1986.53
2,28/08/2019,27900,27800.85,28000,426210,28000,27650,941380,907920,10.35,1986.53
3,27/08/2019,27900,28244.54,28600,696170,28600,27600,994480,1718080,10.35,1986.53
4,26/08/2019,28300,28317.46,27900,974240,28700,27900,1647970,2152950,10.35,1986.53
5,23/08/2019,28200,28315.58,28150,751000,28650,28150,1313410,1643850,10.35,1986.53
6,22/08/2019,28150,28357.8,28650,688770,28650,28150,1166100,1517600,10.35,1986.53
7,21/08/2019,28650,28851.19,28800,1009040,29150,28600,1702610,2895820,10.35,1986.53
8,20/08/2019,29000,28488.46,28150,1083000,29000,28150,2039540,1907540,10.35,1986.53
9,19/08/2019,28500,28440.69,28500,828250,28800,28000,1562770,2171590,10.35,1986.53
10,16/08/2019,28500,28609.97,27950,2220100,28900,27700,3489620,4405440,10.35,1986.53
11,15/08/2019,27950,27515.05,26700,1637940,28000,26500,3098050,2704080,10.35,1986.53
12,14/08/2019,27000,27254.86,27300,422200,27500,27000,802940,1010390,10.35,1986.53
13,13/08/2019,27200,27324.98,27500,1320440,27700,27000,2180020,1999430,10.35,1986.53
14,12/08/2019,27650,27734.47,27800,627270,27950,27500,1295200,1441410,10.35,1986.53
15,09/08/2019,27700,27933.49,28200,721070,28200,27700,1120800,2002510,10.35,1986.53
16,08/08/2019,28000,27821.12,26250,3368880,28300,26250,5323810,5308040,10.35,1986.53
17,07/08/2019,26450,26469.69,26600,427130,26600,26300,1010510,1006250,10.35,1986.53
18,06/08/2019,26550,26272.47,25750,753260,26600,25750,1267270,1331880,10.35,1986.53
19,05/08/2019,26000,25923.07,25800,297920,26050,25750,658110,553190,10.35,1986.53
20,02/08/2019,26000,25661.64,25500,439060,26000,25300,881780,732980,10.35,1986.53
21,01/08/2019,25700,25768.69,26000,615980,26100,25600,1023880,907460,10.35,1986.53
