,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,10600,10502.62,10500,145000,10700,10300,0,0,14.14,2049.01
1,29/08/2019,10400,10508.32,10600,167000,10700,10300,241800,239000,14.14,2049.01
2,28/08/2019,10800,10825.14,11200,293600,11300,10500,382500,373400,14.14,2049.01
3,27/08/2019,11400,11873.81,12100,250100,12300,11400,301700,397200,14.14,2049.01
4,26/08/2019,12100,12256.44,12600,200200,12700,12100,257900,345800,14.14,2049.01
5,23/08/2019,12600,12437.16,12200,248100,12600,12200,455600,305900,14.14,2049.01
6,22/08/2019,12200,12189.55,12400,167500,12500,12000,255400,241200,14.14,2049.01
7,21/08/2019,12500,12407.52,12400,226000,12500,12300,320100,285700,14.14,2049.01
8,20/08/2019,12400,12359.47,12500,296600,12600,12200,364100,390300,14.14,2049.01
9,19/08/2019,12400,12475.94,12400,284700,12600,12300,385200,364800,14.14,2049.01
10,16/08/2019,12500,12470.38,12500,320400,12600,12300,389700,399600,14.14,2049.01
11,15/08/2019,12400,12423.25,12700,320800,12700,12200,412300,394800,14.14,2049.01
12,14/08/2019,12700,12599.54,12500,369400,12800,12400,490100,437000,14.14,2049.01
13,13/08/2019,12600,12585.22,12800,370200,12900,12500,453500,520500,14.14,2049.01
14,12/08/2019,12900,12988.49,12700,502000,13300,12700,574600,592000,14.14,2049.01
15,09/08/2019,12700,12813.51,12800,422800,13000,12600,524300,569600,14.14,2049.01
16,08/08/2019,12800,12740.42,12600,298100,12900,12600,363700,371700,14.14,2049.01
17,07/08/2019,12600,12614.49,12500,380200,12800,12400,486900,438400,14.14,2049.01
18,06/08/2019,12500,12457.17,12400,361900,12600,12200,448300,419900,14.14,2049.01
19,05/08/2019,12400,12403.78,12600,333500,12700,12300,395800,406100,14.14,2049.01
20,02/08/2019,12700,12697.93,12600,462800,12900,12600,549700,598300,14.14,2049.01
21,01/08/2019,12400,12422.53,12500,278300,12600,12300,345000,334200,14.14,2049.01
22,31/07/2019,12600,12605.59,12400,404200,12800,12400,501500,494700,14.14,2049.01
23,30/07/2019,12400,12443.15,12000,421800,12600,12000,548700,506200,14.14,2049.01
24,29/07/2019,12000,11925.97,11900,416700,12100,11800,489000,459900,14.14,2049.01
25,26/07/2019,11900,11871.64,11800,307800,12000,11700,382300,346900,14.14,2049.01
26,25/07/2019,11800,11982.7,11900,352600,12100,11800,446700,429800,14.14,2049.01
27,24/07/2019,11900,11934.39,12000,405300,12100,11800,478300,486000,14.14,2049.01
