,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,35100,34990.02,34400,455730,35500,34400,0,0,45.12,8022.44
1,29/08/2019,34400,34451.31,33900,581110,34650,33900,1501650,954140,45.12,8022.44
2,28/08/2019,34100,34546.29,35200,1152280,35200,34100,2448650,1875470,45.12,8022.44
3,27/08/2019,35100,35261.26,35300,451090,35800,35050,940750,944370,45.12,8022.44
4,26/08/2019,35250,35287.82,35500,504310,35500,34950,1005180,877300,45.12,8022.44
5,23/08/2019,35900,35876.8,36000,748060,36150,35600,1629870,1156220,45.12,8022.44
6,22/08/2019,36150,36097.08,36150,514640,36300,35900,1206120,760150,45.12,8022.44
7,21/08/2019,36000,36741.05,37000,1001550,37300,36000,1378310,1835170,45.12,8022.44
8,20/08/2019,36850,36787.3,36700,1557630,37050,36200,2564370,2401230,45.12,8022.44
9,19/08/2019,36350,36193.73,36000,504010,36550,35950,1017630,829450,45.12,8022.44
10,16/08/2019,36200,36029.51,36400,852690,36400,35600,1567480,1369330,45.12,8022.44
11,15/08/2019,36200,35333.74,35100,675530,36200,34900,1409640,860290,45.12,8022.44
12,14/08/2019,35650,35623.63,35300,542870,35800,35300,1506480,768910,45.12,8022.44
13,13/08/2019,35050,35574.22,35900,1427860,36400,35050,2111570,1988060,45.12,8022.44
14,12/08/2019,36300,36247.65,36600,634110,36900,35800,976870,1005550,45.12,8022.44
15,09/08/2019,36700,37301.02,37100,746950,37650,36700,1582100,1285660,45.12,8022.44
16,08/08/2019,37150,36969.12,36050,940650,37200,36050,1752190,1641730,45.12,8022.44
17,07/08/2019,36400,36277.62,36800,437570,36800,36000,722550,893460,45.12,8022.44
18,06/08/2019,36600,36151.47,36500,963640,36600,35550,1705250,1459390,45.12,8022.44
19,05/08/2019,36950,36964.82,37200,1008770,37350,36600,1491770,1620970,45.12,8022.44
20,02/08/2019,37300,37133.41,37100,719460,37600,36650,1599450,1370480,45.12,8022.44
21,01/08/2019,37250,37143.77,36600,1254450,37450,36400,2564020,1939730,45.12,8022.44
22,31/07/2019,36450,35635.0,35700,645040,36450,34850,1810920,1031190,45.12,8022.44
23,30/07/2019,35300,35937.4,36200,656280,36600,35200,948940,1168010,45.12,8022.44
24,29/07/2019,36200,36115.25,36400,766020,36600,35600,1374400,1285240,45.12,8022.44
25,26/07/2019,36400,36497.61,36800,458030,37000,36200,1046980,925140,45.12,8022.44
26,25/07/2019,36900,36513.91,36650,499700,36900,36200,1548560,734750,45.12,8022.44
27,24/07/2019,36550,36654.0,36300,873820,36950,36300,1653910,1555300,45.12,8022.44
28,23/07/2019,36300,35472.85,34400,1354980,36300,34400,3684970,1924780,45.12,8022.44
29,22/07/2019,34600,34679.08,35050,739120,35100,34400,1186600,1178450,45.12,8022.44
30,19/07/2019,35300,35468.19,35600,664370,36000,35200,1110260,1280990,45.12,8022.44
31,18/07/2019,35750,35566.78,35900,350580,36000,35100,896170,894980,45.12,8022.44
32,17/07/2019,35900,35824.31,35500,669350,36450,35000,1626620,1345880,45.12,8022.44
33,16/07/2019,35500,35166.36,34350,1347680,35800,34350,2918740,2110620,45.12,8022.44
34,15/07/2019,34350,34407.68,34400,316470,34600,34200,801350,539120,45.12,8022.44
35,12/07/2019,34350,34502.6,34100,519700,34850,34100,1449100,951080,45.12,8022.44
36,11/07/2019,34250,34431.17,35000,1155000,35400,33800,2013420,2004720,45.12,8022.44
37,10/07/2019,35000,34871.63,34900,403910,35000,34600,777550,623200,45.12,8022.44
38,09/07/2019,34900,34691.71,34500,291770,34950,34500,567440,602320,45.12,8022.44
39,08/07/2019,34850,34698.77,34700,868100,34900,34350,1596410,1488220,45.12,8022.44
40,05/07/2019,34400,34443.78,34000,315790,34700,34000,808250,624690,45.12,8022.44
41,04/07/2019,34200,34386.92,34650,377440,34650,34200,744640,1030600,45.12,8022.44
42,03/07/2019,34350,34206.18,33800,805030,34700,33600,1698580,1210840,45.12,8022.44
43,02/07/2019,34100,33995.21,34200,354550,34300,33800,787870,836130,45.12,8022.44
44,01/07/2019,34000,33870.11,33450,565100,34250,33450,977070,1196190,45.12,8022.44
45,28/06/2019,33350,33049.38,32300,1405170,33350,32300,2207800,1905620,45.12,8022.44
46,27/06/2019,32200,31961.74,32350,190290,32350,31700,330520,1066860,45.12,8022.44
47,26/06/2019,32100,32091.95,31750,164870,32300,31700,384300,798140,45.12,8022.44
48,25/06/2019,31800,31883.61,32250,160490,32250,31650,333230,504740,45.12,8022.44
49,24/06/2019,32250,32418.66,32400,310130,32650,32050,586000,716760,45.12,8022.44
50,21/06/2019,32250,32322.7,31900,399750,32650,31900,706300,820250,45.12,8022.44
51,20/06/2019,31900,31583.93,31600,189970,31950,31200,505320,381870,45.12,8022.44
52,19/06/2019,31300,31284.3,31200,171300,31500,31200,412390,455680,45.12,8022.44
53,18/06/2019,30900,31090.75,31600,219390,31600,30800,397710,708060,45.12,8022.44
54,17/06/2019,31600,31630.99,32000,165850,32000,31500,273230,289360,45.12,8022.44
55,14/06/2019,32000,32006.16,32000,84390,32300,31800,141920,455180,45.12,8022.44
56,13/06/2019,32000,31999.77,31900,170220,32500,31700,700130,369780,45.12,8022.44
57,12/06/2019,32250,32391.69,32750,195050,32750,32050,468810,520000,45.12,8022.44
58,11/06/2019,32700,32346.76,31800,528090,32900,31800,943290,898090,45.12,8022.44
59,10/06/2019,39150,39048.94,38400,353710,39250,38400,700240,715130,45.12,8022.44
60,07/06/2019,38300,38341.49,38250,140970,38600,38200,267610,323160,45.12,8022.44
61,06/06/2019,38300,38452.14,38650,409080,38800,38150,620420,815800,45.12,8022.44
62,05/06/2019,38650,38831.3,39200,109010,39200,38600,216140,304180,45.12,8022.44
63,04/06/2019,38550,38549.16,38750,190510,38800,38400,373590,322790,45.12,8022.44
64,03/06/2019,38550,38698.08,38400,333660,39300,38400,629960,486500,45.12,8022.44
65,31/05/2019,38750,39813.84,40600,464110,40650,38750,627440,828980,45.12,8022.44
66,30/05/2019,40600,40545.46,40550,203130,40800,40100,374890,458740,45.12,8022.44
