,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,11300,11167.54,11000,110300,11300,10900,0,0,10.23,666.09
1,29/08/2019,11000,11091.68,11300,101000,11500,11000,184700,226800,10.23,666.09
2,28/08/2019,11300,11660.15,11600,133000,11900,11300,199900,222100,10.23,666.09
3,27/08/2019,11600,11559.9,11500,98500,11700,11300,195100,191000,10.23,666.09
4,26/08/2019,11600,11339.19,11200,117900,11600,11100,233100,169200,10.23,666.09
5,23/08/2019,11400,11059.82,10900,227500,11400,10800,336300,314500,10.23,666.09
6,22/08/2019,10900,11224.45,11900,329700,11900,10900,420100,457900,10.23,666.09
7,21/08/2019,11700,11780.41,12100,274700,12100,11700,355000,402500,10.23,666.09
8,20/08/2019,12000,11961.2,11900,461600,12200,11800,552800,558800,10.23,666.09
9,19/08/2019,12000,11720.05,11700,438400,12000,11700,521500,484000,10.23,666.09
10,16/08/2019,11700,11699.93,11700,266900,11800,11600,321800,348000,10.23,666.09
11,15/08/2019,11600,11644.49,11700,176000,12000,11400,237500,261700,10.23,666.09
12,14/08/2019,11800,11727.81,11600,140600,11800,11600,222300,199100,10.23,666.09
13,13/08/2019,11600,11760.23,11600,86000,11900,11600,155200,167300,10.23,666.09
14,12/08/2019,11800,11600.73,12000,95600,12000,11500,176900,162100,10.23,666.09
15,09/08/2019,11700,11775.53,11800,104600,12100,11700,227500,190400,10.23,666.09
16,08/08/2019,11900,11778.87,11600,146700,12000,11600,246700,204000,10.23,666.09
17,07/08/2019,11500,11693.81,11500,211600,12000,11300,315900,334500,10.23,666.09
18,06/08/2019,13000,12624.63,12800,160800,13000,12400,256700,184100,10.23,666.09
19,05/08/2019,12700,12785.87,12600,359400,13100,12500,442000,436800,10.23,666.09
20,02/08/2019,12500,12607.05,12900,185900,12900,12500,272600,288700,10.23,666.09
21,01/08/2019,12900,12656.04,12800,202900,13100,12500,313300,294300,10.23,666.09
22,31/07/2019,12900,12824.56,13300,175100,13300,12600,262000,244800,10.23,666.09
23,30/07/2019,13300,13164.66,13500,297100,13700,12900,362600,374300,10.23,666.09
24,29/07/2019,13600,13351.59,13500,175600,13600,13000,291000,250200,10.23,666.09
25,26/07/2019,13300,13054.4,13000,228300,13500,12700,308000,307700,10.23,666.09
26,25/07/2019,12900,13062.2,13300,217700,13400,12600,287900,300700,10.23,666.09
27,24/07/2019,13100,13019.1,13000,207300,13200,12900,333300,310800,10.23,666.09
28,23/07/2019,13100,12866.89,13000,205400,13200,12700,283100,282700,10.23,666.09
29,22/07/2019,12800,12807.17,13200,142200,13500,12600,223700,236600,10.23,666.09
30,19/07/2019,13200,12790.82,13000,177500,13400,12500,256600,251400,10.23,666.09
31,18/07/2019,13400,13404.08,13500,137100,13700,13300,195500,213100,10.23,666.09
32,17/07/2019,13400,13114.16,12500,211900,13600,12500,306600,260300,10.23,666.09
33,16/07/2019,13000,12645.83,12500,819200,13200,12500,897400,895100,10.23,666.09
34,15/07/2019,13800,13800.1,13800,307600,13900,13800,307600,490000,10.23,666.09
35,12/07/2019,15300,15377.95,16800,589600,16900,15300,589600,793200,10.23,666.09
36,11/07/2019,17000,17110.11,17800,701300,18000,16800,761600,771300,10.23,666.09
37,10/07/2019,17800,18981.4,19000,827500,19800,17400,906600,974100,10.23,666.09
38,09/07/2019,19100,18281.65,17300,1296700,19100,17200,1731300,1296700,10.23,666.09
39,08/07/2019,17400,17317.85,17300,46500,17500,17100,148400,107900,10.23,666.09
40,05/07/2019,17300,17296.1,17300,105000,17400,17100,200700,179800,10.23,666.09
41,04/07/2019,17400,17372.09,17300,78100,17500,17200,172600,134000,10.23,666.09
42,03/07/2019,17400,17370.09,17200,43800,17500,17200,149800,108900,10.23,666.09
43,02/07/2019,17300,17269.82,17100,100400,17300,17100,196000,152900,10.23,666.09
44,01/07/2019,17200,17196.81,17100,72200,17300,17000,168400,133800,10.23,666.09
45,28/06/2019,17200,17258.86,17400,50800,17500,17000,132000,109100,10.23,666.09
46,27/06/2019,17200,17226.96,17400,63800,17400,17100,123000,165100,10.23,666.09
47,26/06/2019,17500,17432.87,17400,72700,17600,17300,160600,160400,10.23,666.09
48,25/06/2019,17500,17349.89,17100,91000,17500,17000,215600,153000,10.23,666.09
49,24/06/2019,17200,17114.96,16900,86900,17200,16900,152800,150900,10.23,666.09
50,21/06/2019,17000,16902.28,16900,78900,17000,16800,148800,153300,10.23,666.09
51,20/06/2019,16900,16965.21,17100,91700,17100,16800,158400,174500,10.23,666.09
