,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,36250,36327.4,36250,336220,36550,36000,0,0,14.03,1548.28
1,29/08/2019,36000,35841.79,35600,379250,36300,35600,632810,675440,14.03,1548.28
2,28/08/2019,35550,36098.51,36050,630220,36500,35550,874100,1107220,14.03,1548.28
3,27/08/2019,36050,36574.83,37600,1169520,38100,36050,1763910,1703460,14.03,1548.28
4,26/08/2019,37500,37743.81,38000,632660,38600,37350,890500,960630,14.03,1548.28
5,23/08/2019,38600,38575.09,39100,433570,39100,38300,780820,729450,14.03,1548.28
6,22/08/2019,39000,39152.52,39500,271630,39500,39000,362180,631010,14.03,1548.28
7,21/08/2019,39300,39230.64,39000,365760,39400,39000,526710,854780,14.03,1548.28
8,20/08/2019,39000,39237.58,39000,324230,39450,39000,572680,937570,14.03,1548.28
9,19/08/2019,39050,39015.18,39200,145610,39200,38950,235950,520080,14.03,1548.28
10,16/08/2019,38900,38806.84,38600,326360,39000,38600,656310,546680,14.03,1548.28
11,15/08/2019,38600,38568.34,38100,420630,39200,38100,893830,867140,14.03,1548.28
12,14/08/2019,39200,39310.22,39400,217170,39500,39200,463530,570810,14.03,1548.28
13,13/08/2019,39200,39236.94,39150,347810,39450,39050,655160,717800,14.03,1548.28
14,12/08/2019,39400,39473.96,39400,281730,39900,39300,649890,650320,14.03,1548.28
15,09/08/2019,39350,39454.53,39500,417620,40000,39300,845960,831970,14.03,1548.28
16,08/08/2019,39950,39494.57,39200,321310,39950,39000,792250,612660,14.03,1548.28
17,07/08/2019,39200,39248.49,39000,659210,39500,39000,1025630,1125930,14.03,1548.28
18,06/08/2019,38800,39174.2,39300,1086940,39900,38800,1597590,1619190,14.03,1548.28
19,05/08/2019,40050,40187.47,40000,424610,40500,39950,762560,772090,14.03,1548.28
20,02/08/2019,40000,40206.7,40800,949220,40800,39800,1746140,1657920,14.03,1548.28
21,01/08/2019,41200,41503.01,41500,487820,41700,41200,844250,1018670,14.03,1548.28
22,31/07/2019,41650,41559.69,41650,552290,41900,41400,917350,1033580,14.03,1548.28
23,30/07/2019,41900,42137.46,42000,477390,42400,41900,748260,914660,14.03,1548.28
24,29/07/2019,42500,42364.4,42600,325580,42600,42000,569870,681030,14.03,1548.28
25,26/07/2019,42750,42750.94,42900,421020,42900,42600,716450,1084290,14.03,1548.28
26,25/07/2019,42800,42751.43,42300,462160,42850,42300,876010,1189620,14.03,1548.28
27,24/07/2019,42500,42704.22,42800,605350,42900,42500,860850,1644490,14.03,1548.28
28,23/07/2019,42700,42591.74,42000,716430,43000,42000,1463220,1364210,14.03,1548.28
29,22/07/2019,42000,42151.76,42000,553500,42500,41950,1018980,1202240,14.03,1548.28
30,19/07/2019,42050,42122.55,42500,718570,42500,41950,1394680,1518260,14.03,1548.28
31,18/07/2019,42500,42401.55,42100,397910,42600,42100,782210,831370,14.03,1548.28
32,17/07/2019,42500,42283.01,42100,1039330,42650,41800,2435170,1918160,14.03,1548.28
33,16/07/2019,42100,42608.48,43850,3059790,44300,41800,4673210,5835450,14.03,1548.28
34,15/07/2019,43750,43754.49,43900,584740,43900,43650,937870,1427640,14.03,1548.28
35,12/07/2019,43900,44062.01,43650,1585470,44300,43550,2406920,3794990,14.03,1548.28
36,11/07/2019,43700,43463.79,43500,1048620,43800,43050,1730110,2553220,14.03,1548.28
37,10/07/2019,43250,43331.54,42750,1895640,43650,42750,2863600,4316380,14.03,1548.28
38,09/07/2019,42800,42806.93,42900,489360,43000,42600,920300,1569580,14.03,1548.28
39,08/07/2019,42900,42307.24,42050,850800,42900,41950,1495870,1542610,14.03,1548.28
40,05/07/2019,42200,42292.2,42400,466800,42450,42150,955770,1258260,14.03,1548.28
41,04/07/2019,42300,42222.36,42000,467430,42350,42000,936170,1136570,14.03,1548.28
42,03/07/2019,41800,41808.74,42000,225240,42000,41700,521280,635030,14.03,1548.28
43,02/07/2019,42000,41988.88,42300,296650,42300,41800,527640,905200,14.03,1548.28
44,01/07/2019,42000,42107.4,42350,296100,42400,41900,501750,1024550,14.03,1548.28
45,28/06/2019,42000,41471.8,41200,662860,42000,41200,1146960,1255070,14.03,1548.28
46,27/06/2019,41200,41620.66,41800,822260,41900,41200,1296720,1320730,14.03,1548.28
47,26/06/2019,41550,41824.96,42100,1139200,42200,41550,2018940,1981630,14.03,1548.28
48,25/06/2019,42200,42486.35,42900,1131940,42900,42200,1917390,1736590,14.03,1548.28
49,24/06/2019,42900,43047.03,43400,498780,43400,42850,953740,1283030,14.03,1548.28
50,21/06/2019,43200,43427.05,43900,757270,43900,42900,1179680,2221280,14.03,1548.28
51,20/06/2019,43600,43402.17,42850,1009120,43700,42850,1713090,2112940,14.03,1548.28
52,19/06/2019,42850,42981.22,43000,580300,43450,42700,975930,2004530,14.03,1548.28
53,18/06/2019,42500,42146.73,42400,309680,42500,41950,657680,655030,14.03,1548.28
54,17/06/2019,42200,42196.44,42600,513740,42950,41750,1011770,1012560,14.03,1548.28
55,14/06/2019,42750,42393.44,42150,519420,42800,41900,1083900,1068960,14.03,1548.28
56,13/06/2019,42150,42675.36,43250,725360,43400,42150,1289130,1486770,14.03,1548.28
57,12/06/2019,43400,43500.85,43300,846880,43800,43200,1481830,2165020,14.03,1548.28
58,11/06/2019,43300,43356.31,43250,769000,43700,43000,1408600,1690030,14.03,1548.28
59,10/06/2019,43250,43348.64,43600,690310,43600,43050,1178620,1713370,14.03,1548.28
60,07/06/2019,43200,42575.16,42000,1115580,43200,41700,2229210,1757210,14.03,1548.28
61,06/06/2019,41500,41624.37,41900,354600,41950,41250,845320,809280,14.03,1548.28
62,05/06/2019,42000,42046.95,42400,463030,42400,41600,1011380,1017540,14.03,1548.28
63,04/06/2019,41450,41448.56,41900,566630,41900,41100,1157230,1022360,14.03,1548.28
64,03/06/2019,41100,42092.73,43000,1032910,43000,41100,1460290,2108080,14.03,1548.28
65,31/05/2019,43450,43818.14,44000,1401520,44350,43450,1881290,2760730,14.03,1548.28
66,30/05/2019,44850,44775.82,44600,1309010,45300,44000,2032790,2929040,14.03,1548.28
67,29/05/2019,44400,44534.02,45000,1069250,45000,43900,1742880,2932150,14.03,1548.28
68,28/05/2019,45000,44203.1,43800,1946040,45000,43700,3337520,3927640,14.03,1548.28
69,27/05/2019,43400,43062.47,42850,785510,43400,42650,1420560,1693880,14.03,1548.28
70,24/05/2019,42850,42985.31,42800,1508050,43300,42400,2139510,2942960,14.03,1548.28
71,23/05/2019,42800,42611.88,42600,830590,42800,42400,1290750,1890690,14.03,1548.28
72,22/05/2019,42600,42821.81,42400,1690050,43250,42100,2653140,3842430,14.03,1548.28
73,21/05/2019,42300,42186.64,41400,2206220,42450,41400,3037800,4312820,14.03,1548.28
74,20/05/2019,41150,41018.49,40600,839280,41250,40600,1528500,1996870,14.03,1548.28
75,17/05/2019,40600,40833.25,40900,516050,41200,40550,867510,1830150,14.03,1548.28
76,16/05/2019,40600,40683.65,40800,271190,41000,40600,558610,1153060,14.03,1548.28
77,15/05/2019,40800,41101.31,41300,654310,41700,40800,999470,2453610,14.03,1548.28
