,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,16050,16143.65,16250,1527040,16400,16000,0,0,10.47,1846.28
1,29/08/2019,16200,16036.62,15650,4877960,16250,15550,8635200,8534430,10.47,1846.28
2,28/08/2019,15500,15562.04,15550,1027950,15700,15500,2075800,2705700,10.47,1846.28
3,27/08/2019,15550,15651.71,15700,1318770,15800,15550,2619890,3361280,10.47,1846.28
4,26/08/2019,15650,15744.57,15500,2993540,15950,15500,4883520,5113490,10.47,1846.28
5,23/08/2019,15500,15600.6,15600,1175660,15700,15500,2195000,2384080,10.47,1846.28
6,22/08/2019,15700,15617.16,15600,2233440,15700,15400,4986320,3944230,10.47,1846.28
7,21/08/2019,15450,15755.8,15700,2553980,15950,15450,7507820,4789480,10.47,1846.28
8,20/08/2019,15700,15720.28,15700,2183930,15850,15550,7365850,4454520,10.47,1846.28
9,19/08/2019,15650,15614.33,15450,1871550,15700,15400,4853350,3514860,10.47,1846.28
10,16/08/2019,15400,15592.79,15450,2372250,15850,15350,6136450,4290550,10.47,1846.28
11,15/08/2019,15300,15202.92,15100,2215890,15450,15000,4799960,3506910,10.47,1846.28
12,14/08/2019,15450,15644.97,15900,2929760,15950,15450,4830570,5036510,10.47,1846.28
13,13/08/2019,15750,15913.79,15900,2899120,16250,15700,5513860,5064280,10.47,1846.28
14,12/08/2019,16150,15987.48,15600,3040630,16200,15550,6399310,5073390,10.47,1846.28
15,09/08/2019,15550,15681.57,15600,3749560,15850,15550,6945510,6126150,10.47,1846.28
16,08/08/2019,15600,15702.31,15700,2961730,15850,15600,5237530,4587830,10.47,1846.28
17,07/08/2019,15750,16057.07,16150,3500390,16400,15700,4955020,6241060,10.47,1846.28
18,06/08/2019,16000,15682.58,14800,6426110,16050,14600,18249370,8007790,10.47,1846.28
19,05/08/2019,15000,15059.57,15200,1626740,15250,14950,2262700,2792010,10.47,1846.28
20,02/08/2019,15250,15184.08,14900,2643690,15300,14900,6273700,4014580,10.47,1846.28
21,01/08/2019,15100,14935.31,14750,1939230,15100,14700,3405050,3021820,10.47,1846.28
22,31/07/2019,14750,14778.2,14750,2323220,14900,14700,3220890,3988050,10.47,1846.28
23,30/07/2019,14800,14946.69,15300,2679590,15300,14800,3431730,4550750,10.47,1846.28
24,29/07/2019,15300,15314.73,15500,1415500,15500,15200,2170810,3147680,10.47,1846.28
25,26/07/2019,15400,15370.13,15300,1152040,15400,15300,1918390,2456480,10.47,1846.28
26,25/07/2019,15400,15392.52,15350,1703100,15450,15300,2437120,3019420,10.47,1846.28
27,24/07/2019,15450,15388.34,15450,1734170,15450,15300,2460530,3141730,10.47,1846.28
28,23/07/2019,15350,15411.01,15500,1908960,15600,15300,2867920,5202370,10.47,1846.28
29,22/07/2019,15600,15510.59,15400,3600250,15600,15350,6255980,6699450,10.47,1846.28
30,19/07/2019,15450,15433.87,15150,5538340,15600,15150,10950190,8582050,10.47,1846.28
31,18/07/2019,15100,15027.46,15000,1842760,15100,14950,3133650,4465560,10.47,1846.28
32,17/07/2019,15100,14955.13,14600,3699600,15100,14600,8244170,5462500,10.47,1846.28
