,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,21900,22884.08,23200,611910,24100,21900,0,0,2.74,361.41
1,29/08/2019,22850,22828.66,22750,464460,22850,22700,2501910,478560,2.74,361.41
2,28/08/2019,21400,21274.64,20800,305340,21400,20800,1142820,315250,2.74,361.41
3,27/08/2019,20000,19632.01,18600,638600,20000,18600,1275120,718340,2.74,361.41
4,26/08/2019,18700,18438.29,18300,74790,18700,18100,243190,140920,2.74,361.41
5,23/08/2019,18450,18403.93,18500,81450,18600,18300,172720,214070,2.74,361.41
6,22/08/2019,18550,18690.04,18800,90690,19050,18550,163940,284450,2.74,361.41
7,21/08/2019,18900,18889.82,18800,83590,19000,18750,128800,259530,2.74,361.41
8,20/08/2019,19000,18945.69,19000,62600,19200,18850,125470,180120,2.74,361.41
9,19/08/2019,19000,18997.13,19150,115070,19450,18800,222460,228320,2.74,361.41
10,16/08/2019,18850,18938.06,18300,159520,19050,18300,290450,407420,2.74,361.41
11,15/08/2019,18300,18118.28,18100,18600,18300,18050,127850,108390,2.74,361.41
12,14/08/2019,18400,18173.53,18200,65810,18500,18000,221280,193560,2.74,361.41
13,13/08/2019,18000,17932.52,18000,60170,18100,17750,137450,111610,2.74,361.41
14,12/08/2019,18000,17844.76,17800,37490,18000,17800,117170,105600,2.74,361.41
15,09/08/2019,17800,17810.28,17800,46490,18000,17750,107290,89410,2.74,361.41
16,08/08/2019,17800,17907.27,18300,23510,18300,17700,69910,62070,2.74,361.41
17,07/08/2019,18300,18030.13,18000,43150,18300,17900,117190,95700,2.74,361.41
18,06/08/2019,17900,17704.81,17600,62130,17900,17600,128380,126130,2.74,361.41
19,05/08/2019,18000,18092.75,18150,45930,18300,18000,95250,86490,2.74,361.41
20,02/08/2019,18300,18178.48,18500,81800,18500,18000,155520,185730,2.74,361.41
21,01/08/2019,18500,18536.76,18650,56860,18700,18500,65330,113780,2.74,361.41
22,31/07/2019,18650,18704.63,18800,53730,18800,18650,109640,123390,2.74,361.41
23,30/07/2019,18800,18771.13,18900,68030,18900,18700,140250,130760,2.74,361.41
24,29/07/2019,18800,18768.71,18750,76830,18900,18700,132940,171710,2.74,361.41
25,26/07/2019,18750,18793.17,19000,82530,19000,18700,195530,205640,2.74,361.41
26,25/07/2019,18950,18818.57,18850,90230,19050,18600,165060,189310,2.74,361.41
27,24/07/2019,19000,19034.09,19200,31680,19200,18950,83810,95850,2.74,361.41
28,23/07/2019,19000,19041.9,19400,58240,19400,18900,116340,139720,2.74,361.41
29,22/07/2019,19000,19277.8,19200,348380,19700,19000,590210,530440,2.74,361.41
30,19/07/2019,18750,18781.73,19000,29550,19000,18750,69430,68720,2.74,361.41
31,18/07/2019,19000,18875.29,18950,38410,19000,18800,92000,111030,2.74,361.41
