,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,24050,24026.38,24000,127360,24100,23950,0,0,11.89,1446.83
1,29/08/2019,24000,23967.86,23950,80900,24000,23900,210930,227620,11.89,1446.83
2,28/08/2019,24000,23977.62,24000,132290,24050,23950,275580,410220,11.89,1446.83
3,27/08/2019,24000,24053.48,24150,173530,24150,23950,277870,385190,11.89,1446.83
4,26/08/2019,24100,24028.37,24000,135340,24150,24000,399110,352840,11.89,1446.83
5,23/08/2019,24150,24165.71,24150,296660,24200,24100,478670,611830,11.89,1446.83
6,22/08/2019,24150,24121.61,24100,253590,24200,24100,413090,688030,11.89,1446.83
7,21/08/2019,24050,24035.53,23900,501050,24150,23800,896750,996430,11.89,1446.83
8,20/08/2019,23900,23885.17,23900,176260,24000,23800,322390,447360,11.89,1446.83
9,19/08/2019,24000,23923.11,24000,127450,24200,23700,241900,384400,11.89,1446.83
10,16/08/2019,24000,23977.68,23500,370970,24350,23500,796890,850930,11.89,1446.83
11,15/08/2019,23500,23396.12,23300,319070,23500,23300,476240,467560,11.89,1446.83
12,14/08/2019,23450,23399.24,23400,246290,23500,23300,380680,487060,11.89,1446.83
13,13/08/2019,23400,23340.24,23300,279860,23400,23300,401530,490560,11.89,1446.83
14,12/08/2019,23400,23380.55,23600,466670,23600,23100,602750,784510,11.89,1446.83
15,09/08/2019,23600,23481.02,23500,299050,23700,23400,572550,652270,11.89,1446.83
16,08/08/2019,23400,23345.2,22950,432680,23500,22950,730240,708760,11.89,1446.83
17,07/08/2019,22950,22769.28,22600,344060,22950,22550,713350,572540,11.89,1446.83
18,06/08/2019,22500,22391.37,22400,315300,22650,22200,498680,630130,11.89,1446.83
19,05/08/2019,22750,22692.56,22900,183320,22900,22600,303180,457020,11.89,1446.83
20,02/08/2019,22900,22794.6,22900,241680,22900,22600,493630,433600,11.89,1446.83
21,01/08/2019,22900,22617.51,22200,565270,23000,22200,1370710,882830,11.89,1446.83
22,31/07/2019,22200,22074.34,22000,206620,22200,21900,448560,318210,11.89,1446.83
23,30/07/2019,21850,21830.93,21900,516240,21950,21750,721280,671410,11.89,1446.83
24,29/07/2019,21850,21863.96,21950,291530,21950,21800,479780,469860,11.89,1446.83
25,26/07/2019,21800,21832.76,21700,254480,22000,21700,571540,463860,11.89,1446.83
26,25/07/2019,21600,21690.28,21900,416500,21900,21600,681000,857130,11.89,1446.83
27,24/07/2019,21900,21954.21,22100,334560,22100,21800,447220,509210,11.89,1446.83
28,23/07/2019,22100,22150.7,22200,290510,22250,22000,420260,760270,11.89,1446.83
29,22/07/2019,22300,22358.61,22550,170270,22550,22200,323530,462590,11.89,1446.83
30,19/07/2019,22400,22314.9,22200,378850,22500,22100,586480,621560,11.89,1446.83
31,18/07/2019,22100,22138.82,22150,470260,22550,21900,718240,751980,11.89,1446.83
32,17/07/2019,22100,21933.17,22100,419000,22100,21800,613550,647170,11.89,1446.83
33,16/07/2019,22100,22028.39,22250,445970,22400,21850,588270,721510,11.89,1446.83
34,15/07/2019,22400,22313.35,22700,504810,22750,22000,611320,893270,11.89,1446.83
35,12/07/2019,22800,22732.49,22800,278940,23000,22600,374080,482630,11.89,1446.83
