,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,23350,23458.73,23600,203890,23800,23350,0,0,33.05,6116.92
1,29/08/2019,23600,23530.32,23350,259580,23900,23300,564570,718360,33.05,6116.92
2,28/08/2019,23350,23683.77,24100,362020,24200,23350,576780,1122880,33.05,6116.92
3,27/08/2019,24050,24500.85,24900,422720,24900,24050,571360,1170010,33.05,6116.92
4,26/08/2019,24500,24287.16,24400,623910,24700,24100,876520,870400,33.05,6116.92
5,23/08/2019,24750,24719.89,24750,429290,24900,24500,722480,767920,33.05,6116.92
6,22/08/2019,24750,24841.2,24900,354210,25100,24700,871930,1169460,33.05,6116.92
7,21/08/2019,24700,25002.7,24950,925740,25350,24700,1488430,2043820,33.05,6116.92
8,20/08/2019,24700,24558.48,24100,732130,24850,24100,1410740,1464920,33.05,6116.92
9,19/08/2019,23900,23969.97,24350,273050,24350,23800,621980,1351130,33.05,6116.92
10,16/08/2019,23900,24017.98,23350,538430,24300,23350,942500,1017290,33.05,6116.92
11,15/08/2019,23350,23216.57,23200,546980,23500,23000,939430,828140,33.05,6116.92
12,14/08/2019,23600,23972.47,24400,557890,24400,23600,906410,1038110,33.05,6116.92
13,13/08/2019,24200,23985.48,24000,564800,24400,23600,962990,1605590,33.05,6116.92
14,12/08/2019,24050,24289.1,24200,341470,24600,24050,515930,1040690,33.05,6116.92
15,09/08/2019,24900,24823.16,24750,473590,25400,24600,880910,1074810,33.05,6116.92
16,08/08/2019,24650,24494.42,23900,1367250,25200,23500,2196340,2317150,33.05,6116.92
17,07/08/2019,23900,23540.35,24000,516050,24000,23200,928680,1363400,33.05,6116.92
18,06/08/2019,23700,23958.48,22850,1107040,24500,22850,2263770,2398450,33.05,6116.92
19,05/08/2019,23900,24089.38,23600,1242830,24550,23500,1871830,2265740,33.05,6116.92
20,02/08/2019,22950,22673.22,21800,691300,22950,21500,1598130,813280,33.05,6116.92
21,01/08/2019,21450,21228.56,20050,536400,21450,20000,1431190,656360,33.05,6116.92
22,31/07/2019,20050,20253.62,20300,223170,20800,20050,355430,412840,33.05,6116.92
23,30/07/2019,20400,20770.84,21150,162680,21150,20400,270700,423260,33.05,6116.92
24,29/07/2019,20950,21052.43,21350,260160,21450,20900,483690,446340,33.05,6116.92
