,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,10400,10538.52,10750,176780,10750,10400,0,0,18.94,2694.67
1,29/08/2019,10700,10750.92,10800,157940,11000,10500,216950,435910,18.94,2694.67
2,28/08/2019,10800,10818.3,10800,263350,10900,10800,322290,562820,18.94,2694.67
3,27/08/2019,10800,10835.3,10700,498740,11000,10550,719850,999800,18.94,2694.67
4,26/08/2019,10700,10474.65,10300,514480,10700,10300,707120,764270,18.94,2694.67
5,23/08/2019,10350,10377.52,10500,237340,10600,10200,298560,579480,18.94,2694.67
6,22/08/2019,10500,10456.75,10600,195950,10600,10300,271080,592420,18.94,2694.67
7,21/08/2019,10600,10284.75,10000,579110,10600,10000,817670,787470,18.94,2694.67
8,20/08/2019,10100,9854.6,9500,588050,10150,9500,726170,706740,18.94,2694.67
9,19/08/2019,9500,9574.47,9700,23500,9700,9500,51420,126730,18.94,2694.67
10,16/08/2019,9800,9831.13,9840,59810,9840,9700,78430,185260,18.94,2694.67
11,15/08/2019,9840,9839.04,9850,93810,9890,9650,118530,207090,18.94,2694.67
12,14/08/2019,9850,9799.66,9780,110310,9890,9750,132840,186720,18.94,2694.67
13,13/08/2019,9760,9783.7,9770,39760,9900,9760,70440,122170,18.94,2694.67
14,12/08/2019,9800,9888.2,9900,68870,9980,9710,99180,146460,18.94,2694.67
15,09/08/2019,9980,9697.77,9600,68160,10000,9600,130240,178480,18.94,2694.67
16,08/08/2019,10000,9986.15,9970,202180,10100,9750,234760,400050,18.94,2694.67
17,07/08/2019,9980,9853.78,9810,31460,9980,9810,75040,114430,18.94,2694.67
18,06/08/2019,9980,9943.78,10000,62250,10000,9760,162840,175830,18.94,2694.67
19,05/08/2019,9980,9925.02,9700,124030,10050,9700,169170,204780,18.94,2694.67
20,02/08/2019,10100,10064.05,9700,135830,10150,9700,178750,170690,18.94,2694.67
21,01/08/2019,9990,9889.92,9700,117190,10000,9700,177820,246290,18.94,2694.67
22,31/07/2019,10100,9786.32,10050,163800,10100,9600,228470,351350,18.94,2694.67
23,30/07/2019,10200,10191.73,10200,117350,10200,10000,156110,204130,18.94,2694.67
24,29/07/2019,10200,10134.93,10200,66700,10200,9950,112650,170770,18.94,2694.67
25,26/07/2019,10200,10170.54,10200,80920,10200,10000,124850,228930,18.94,2694.67
26,25/07/2019,10200,10073.34,10350,164990,10350,9950,258530,331750,18.94,2694.67
27,24/07/2019,10350,10305.96,10300,291870,10450,10000,337820,536080,18.94,2694.67
28,23/07/2019,10400,10274.69,10100,333830,10400,10000,376210,463050,18.94,2694.67
29,22/07/2019,10100,10121.79,10100,134660,10250,9950,155750,250370,18.94,2694.67
30,19/07/2019,10100,10125.6,10100,115450,10200,10100,141820,216100,18.94,2694.67
31,18/07/2019,10100,9980.24,10000,40480,10100,9900,64180,146630,18.94,2694.67
32,17/07/2019,10000,10068.01,10000,157330,10150,9900,289230,333950,18.94,2694.67
33,16/07/2019,10000,10005.01,10000,119840,10150,9900,186190,265270,18.94,2694.67
34,15/07/2019,9800,10078.11,10100,156180,10200,9800,184390,300380,18.94,2694.67
35,12/07/2019,10100,10084.76,9850,232430,10200,9850,273580,372880,18.94,2694.67
36,11/07/2019,9980,9800.67,9720,307530,9980,9720,371330,366190,18.94,2694.67
37,10/07/2019,9720,9805.19,9850,123200,9850,9700,177910,167570,18.94,2694.67
38,09/07/2019,9520,9712.5,9500,105740,9850,9500,157610,258460,18.94,2694.67
39,08/07/2019,9800,9741.95,9900,137960,9900,9660,177720,240920,18.94,2694.67
40,05/07/2019,9900,10026.57,10100,127960,10200,9800,179700,215980,18.94,2694.67
41,04/07/2019,10100,10053.86,10000,139250,10100,9800,239500,230760,18.94,2694.67
42,03/07/2019,10000,9965.87,9900,29300,10000,9900,84390,80120,18.94,2694.67
43,02/07/2019,10050,10013.7,10000,138710,10100,9950,223900,302160,18.94,2694.67
44,01/07/2019,10150,10079.67,9950,187010,10250,9900,220110,251970,18.94,2694.67
45,28/06/2019,9950,9872.68,9510,421770,10250,9500,527310,521150,18.94,2694.67
46,27/06/2019,9770,9958.89,10000,282160,10550,9770,327500,523660,18.94,2694.67
47,26/06/2019,10500,10488.73,10550,357050,10600,10350,391480,489450,18.94,2694.67
48,25/06/2019,10550,10608.75,10600,479510,10700,10400,508000,647330,18.94,2694.67
49,24/06/2019,10600,10708.73,10650,437120,10850,10600,507350,672720,18.94,2694.67
50,21/06/2019,10650,10588.84,10500,425920,10700,10500,602150,516400,18.94,2694.67
51,20/06/2019,10600,10654.82,10700,410800,10750,10300,525580,603570,18.94,2694.67
52,19/06/2019,10600,10420.61,10200,538260,10800,10150,778460,736120,18.94,2694.67
53,18/06/2019,10350,10347.82,10500,276870,10500,10100,376550,387980,18.94,2694.67
54,17/06/2019,10500,10561.34,10500,386220,10750,10500,555750,608570,18.94,2694.67
