,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,16950,16925.94,16850,466680,17000,16850,0,0,2.71,335.16
1,29/08/2019,16900,16823.56,16750,248580,16900,16750,384820,391710,2.71,335.16
2,28/08/2019,16750,16719.26,16650,209160,16800,16650,337330,281250,2.71,335.16
3,27/08/2019,16650,16652.03,16650,170850,16700,16600,245960,229820,2.71,335.16
4,26/08/2019,16700,16677.17,16650,190500,16750,16650,273500,252450,2.71,335.16
5,23/08/2019,16650,16651.3,16800,780900,16800,16600,848150,857830,2.71,335.16
6,22/08/2019,16850,16594.54,16600,408990,16850,16500,522820,470620,2.71,335.16
7,21/08/2019,16550,16228.52,16750,500970,16750,16000,690260,654890,2.71,335.16
8,20/08/2019,16750,16722.09,17000,297690,17000,16600,483820,462140,2.71,335.16
9,19/08/2019,17150,17477.43,17700,433130,17850,17150,562950,839180,2.71,335.16
10,16/08/2019,17850,17525.14,17050,842390,18000,17000,1346160,1073590,2.71,335.16
11,15/08/2019,17050,16826.85,16650,344390,17050,16650,691090,480690,2.71,335.16
12,14/08/2019,16700,16683.21,16650,141040,16750,16650,232030,246880,2.71,335.16
13,13/08/2019,16650,16676.37,16700,120290,16750,16600,198020,225020,2.71,335.16
14,12/08/2019,16700,16750.77,16850,221960,16900,16650,313100,402900,2.71,335.16
15,09/08/2019,16850,16899.36,17000,302970,17050,16800,394360,698450,2.71,335.16
16,08/08/2019,17000,17001.04,16850,287100,17100,16850,713720,407670,2.71,335.16
17,07/08/2019,16850,16868.58,16650,479590,17050,16650,822910,687040,2.71,335.16
18,06/08/2019,16650,16660.8,16650,312530,16750,16600,533060,392230,2.71,335.16
19,05/08/2019,16650,16492.57,16500,452810,16700,16350,644580,666920,2.71,335.16
20,02/08/2019,16500,16601.03,16600,129510,16700,16500,194490,231570,2.71,335.16
21,01/08/2019,16600,16617.79,16700,194370,16750,16500,307550,283800,2.71,335.16
22,31/07/2019,16750,16683.83,16500,417530,16800,16500,632880,529430,2.71,335.16
23,30/07/2019,16500,16305.01,16700,347010,16700,16150,592530,425350,2.71,335.16
24,29/07/2019,16700,16870.71,17350,189500,17350,16500,254630,305730,2.71,335.16
25,26/07/2019,17350,17518.52,18250,213260,18250,17200,283760,395080,2.71,335.16
26,25/07/2019,18250,17754.76,17100,1010940,18250,17100,2016160,1050500,2.71,335.16
27,24/07/2019,17100,17004.21,16650,717940,17300,16650,1214000,879990,2.71,335.16
28,23/07/2019,16650,16521.46,16300,556670,16700,16300,787570,643090,2.71,335.16
29,22/07/2019,16300,16175.45,16000,318260,16300,16000,522080,406550,2.71,335.16
