,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,116900,116306.28,115000,646070,117200,115000,0,0,38.58,7813.69
1,29/08/2019,115000,114022.27,113800,339460,115000,113100,908500,854140,38.58,7813.69
2,28/08/2019,113800,113062.16,114000,598140,114000,112300,1236980,1278460,38.58,7813.69
3,27/08/2019,114000,114401.09,117300,1894440,117500,111500,2667950,2983760,38.58,7813.69
4,26/08/2019,116400,116543.23,115200,1035590,117900,115200,2063130,1950710,38.58,7813.69
5,23/08/2019,116500,116382.72,117500,1033040,118000,115000,1821540,1739300,38.58,7813.69
6,22/08/2019,117500,118618.59,120500,1036330,120500,117500,1797860,2206930,38.58,7813.69
7,21/08/2019,120300,120495.85,120000,817580,121900,119300,1449790,1690980,38.58,7813.69
8,20/08/2019,120000,119104.64,118200,539450,120000,118000,1432940,947760,38.58,7813.69
9,19/08/2019,117900,117021.07,117800,1147930,118800,115300,2348510,2506750,38.58,7813.69
10,16/08/2019,117300,120075.01,120800,1469190,122400,117300,2368470,2520470,38.58,7813.69
11,15/08/2019,120000,118606.21,117800,926680,120000,116800,2023220,1593660,38.58,7813.69
12,14/08/2019,118900,118948.6,118600,726650,119500,118200,1417170,1391030,38.58,7813.69
13,13/08/2019,117800,116996.61,116500,911770,118400,115000,1526460,1610850,38.58,7813.69
14,12/08/2019,117000,116497.98,115900,714330,118000,114600,1436210,1404510,38.58,7813.69
15,09/08/2019,115900,114200.45,113400,673570,115900,112900,1407050,1121660,38.58,7813.69
16,08/08/2019,113000,113612.03,114500,862840,115000,112700,1658390,1622820,38.58,7813.69
17,07/08/2019,114000,112452.27,110000,1280730,114200,110000,2901720,1734790,38.58,7813.69
18,06/08/2019,110000,109228.47,106900,990630,110800,106900,2544950,1621900,38.58,7813.69
19,05/08/2019,109500,109581.28,108000,1309220,111400,107700,2281300,2248400,38.58,7813.69
20,02/08/2019,108000,107667.68,107500,799720,108500,107000,1569830,1346620,38.58,7813.69
21,01/08/2019,108500,107617.38,106300,875760,108500,105600,2020480,1401920,38.58,7813.69
22,31/07/2019,106800,104941.16,103200,684050,107000,103200,1862590,1149550,38.58,7813.69
23,30/07/2019,103700,104930.74,105500,1014250,107000,103700,1769590,1945320,38.58,7813.69
24,29/07/2019,106000,105300.84,107200,1919130,107200,103900,3350760,3064170,38.58,7813.69
25,26/07/2019,106700,106804.04,108000,1174450,108500,105800,2363710,2098770,38.58,7813.69
26,25/07/2019,107900,107379.17,107400,918260,108500,106500,2328590,1654580,38.58,7813.69
27,24/07/2019,107400,108343.08,109000,778010,109700,107400,1581520,1924790,38.58,7813.69
28,23/07/2019,108900,107908.25,106500,897670,108900,106300,1865000,1530120,38.58,7813.69
29,22/07/2019,106500,106425.61,106000,859840,107500,105200,2368650,1536120,38.58,7813.69
30,19/07/2019,105900,105224.51,104500,1097520,106000,104000,2262080,1655150,38.58,7813.69
31,18/07/2019,103900,102964.69,101500,1109730,103900,100900,2798400,1754640,38.58,7813.69
32,17/07/2019,101600,101856.03,102200,598590,102600,101500,1516680,1157870,38.58,7813.69
33,16/07/2019,102200,102253.54,101200,716650,102700,101000,2078070,1361430,38.58,7813.69
34,15/07/2019,101200,100457.61,98800,1558100,102000,98100,3868160,2475410,38.58,7813.69
35,12/07/2019,98100,98257.36,98000,708120,99200,97100,2206380,1437540,38.58,7813.69
36,11/07/2019,98000,98850.74,98500,703060,99300,98000,1289390,1455210,38.58,7813.69
37,10/07/2019,98400,98594.85,97300,1046150,99500,97300,2324390,2137480,38.58,7813.69
38,09/07/2019,97000,95358.11,94600,962970,97000,93900,2013460,1651640,38.58,7813.69
39,08/07/2019,94300,94687.26,95000,716580,95300,94100,1568430,1418870,38.58,7813.69
40,05/07/2019,95400,95213.09,95200,618980,95700,94900,1549270,1373040,38.58,7813.69
41,04/07/2019,95500,96101.35,96000,648430,96600,95400,1083720,1305420,38.58,7813.69
42,03/07/2019,95600,95383.7,95100,855880,96000,95000,1950280,2091480,38.58,7813.69
43,02/07/2019,95500,95186.05,94900,1129010,95800,94400,2390350,1878400,38.58,7813.69
44,01/07/2019,94700,94470.97,93500,938140,94800,93300,1608710,1573760,38.58,7813.69
45,28/06/2019,92800,91571.08,91200,714920,92800,90800,1799520,1083880,38.58,7813.69
46,27/06/2019,91000,91591.89,92100,761170,92800,90800,1368200,1187100,38.58,7813.69
47,26/06/2019,92800,92531.45,91800,761460,93300,91200,1512380,1125480,38.58,7813.69
48,25/06/2019,91800,91213.76,91400,489060,91800,90600,1104830,906070,38.58,7813.69
49,24/06/2019,91400,91853.34,91900,774060,92500,90700,1265550,1455750,38.58,7813.69
50,21/06/2019,91000,91071.43,90800,516880,91900,90800,932050,1097460,38.58,7813.69
51,20/06/2019,90700,90429.15,89000,1146920,91600,88800,1907190,1811610,38.58,7813.69
52,19/06/2019,88600,88829.89,89000,378510,89500,88400,663500,850780,38.58,7813.69
53,18/06/2019,88300,88026.45,87900,409820,88400,87700,924570,730320,38.58,7813.69
54,17/06/2019,87800,88468.21,89000,767010,89200,87500,1118470,1365810,38.58,7813.69
55,14/06/2019,89100,89133.5,89800,645930,89800,88900,1040400,1066310,38.58,7813.69
56,13/06/2019,89400,89982.43,90800,762860,90800,89200,1213420,1590780,38.58,7813.69
57,12/06/2019,90700,90414.9,90000,948660,91000,89500,1543860,1618340,38.58,7813.69
58,11/06/2019,89600,89707.59,89000,1050580,90500,88900,1571170,1953020,38.58,7813.69
59,10/06/2019,88600,88896.85,88400,726010,89500,88300,976190,1859740,38.58,7813.69
60,07/06/2019,88300,87586.29,86700,656210,88300,86700,1041950,887180,38.58,7813.69
61,06/06/2019,86500,86401.69,87000,383430,87000,86000,719720,686450,38.58,7813.69
62,05/06/2019,86600,86759.09,86600,290690,87300,86500,593940,601530,38.58,7813.69
63,04/06/2019,86000,85371.3,85400,224080,86000,84600,575060,381040,38.58,7813.69
64,03/06/2019,85000,85122.1,86000,549540,86000,84100,882160,822820,38.58,7813.69
65,31/05/2019,86100,86734.12,87600,626570,87700,86000,783960,972020,38.58,7813.69
66,30/05/2019,87600,87560.86,87500,394320,88000,87100,850050,735030,38.58,7813.69
67,29/05/2019,87500,87868.14,88200,910660,88500,87400,1292750,1412930,38.58,7813.69
68,28/05/2019,88200,87907.09,87500,511870,88400,87500,1133670,852750,38.58,7813.69
69,27/05/2019,87700,87853.4,88500,539410,88800,87300,1049540,1308540,38.58,7813.69
70,24/05/2019,88700,88572.57,87200,1173580,89300,86900,1853500,2401760,38.58,7813.69
71,23/05/2019,87600,87554.49,88000,575790,88000,87000,931120,1236370,38.58,7813.69
72,22/05/2019,88500,88861.16,88500,673140,89500,88200,1138510,1546250,38.58,7813.69
73,21/05/2019,88200,88737.68,88400,943500,89100,87900,1209660,2261730,38.58,7813.69
74,20/05/2019,88300,87933.39,86700,899010,88600,86700,1637460,1829570,38.58,7813.69
75,17/05/2019,86500,86456.97,86000,298530,87000,86000,969540,714380,38.58,7813.69
76,16/05/2019,86000,86660.61,87000,341020,87400,86000,712110,1204580,38.58,7813.69
77,15/05/2019,87000,86556.92,85900,772070,87300,85800,1478800,1534460,38.58,7813.69
78,14/05/2019,85500,85222.56,85000,511320,85700,84600,820630,954330,38.58,7813.69
79,13/05/2019,85200,85015.41,84900,266140,85400,84000,487760,665280,38.58,7813.69
80,10/05/2019,85000,84620.31,84100,343700,85100,84000,756620,849950,38.58,7813.69
81,09/05/2019,84100,83726.06,83400,381100,84500,83300,677750,625970,38.58,7813.69
82,08/05/2019,83500,83484.51,83000,339560,83900,82500,584110,570360,38.58,7813.69
83,07/05/2019,83900,83757.82,84100,292510,84500,83500,461620,635040,38.58,7813.69
84,06/05/2019,83800,84044.81,85000,406200,85000,83500,736280,794830,38.58,7813.69
85,03/05/2019,85900,85628.63,86000,383610,86000,85100,573940,998070,38.58,7813.69
86,02/05/2019,86000,85849.14,85300,558270,86400,85300,943150,1304910,38.58,7813.69
87,26/04/2019,84900,84136.01,83500,729640,85000,83300,1308900,1260840,38.58,7813.69
88,25/04/2019,83500,83451.16,83300,273010,84000,83000,524360,743780,38.58,7813.69
89,24/04/2019,83000,82997.24,82800,318360,83400,82700,482660,704310,38.58,7813.69
90,23/04/2019,82800,82844.62,83000,205300,83200,82400,327250,493430,38.58,7813.69
91,22/04/2019,83000,82972.81,82600,359660,83400,82500,787050,698250,38.58,7813.69
92,19/04/2019,82200,81862.0,81500,242750,82300,81400,446700,391430,38.58,7813.69
93,18/04/2019,81400,81447.22,81800,378380,82000,80600,545710,617410,38.58,7813.69
94,17/04/2019,81800,81775.55,81700,343330,82100,81400,477920,699110,38.58,7813.69
95,16/04/2019,81700,81711.45,81800,454000,82200,81400,632510,809990,38.58,7813.69
96,12/04/2019,82500,82271.53,82500,349720,82800,81900,588150,716410,38.58,7813.69
97,11/04/2019,82500,82577.05,82500,222580,83100,82200,387400,489050,38.58,7813.69
98,10/04/2019,82800,82767.63,83400,401860,83600,82200,622550,948590,38.58,7813.69
99,09/04/2019,83700,83603.29,84000,275970,84100,83200,401700,584530,38.58,7813.69
100,08/04/2019,84000,83851.43,84500,186580,84500,83500,309030,489130,38.58,7813.69
101,05/04/2019,84100,83596.57,82600,354560,84300,82600,1293920,662620,38.58,7813.69
102,04/04/2019,83500,83656.69,83800,317500,84300,83400,508580,767240,38.58,7813.69
103,03/04/2019,83800,83939.03,84500,235540,84500,83700,535560,631330,38.58,7813.69
104,02/04/2019,84100,84575.54,84900,287660,85100,84100,629970,975560,38.58,7813.69
105,01/04/2019,84100,84495.71,84800,484640,85100,84000,787070,1024000,38.58,7813.69
106,29/03/2019,84800,84853.79,84600,285550,85200,84500,651280,735060,38.58,7813.69
107,28/03/2019,84400,84426.37,84500,352840,84700,84100,1044030,664190,38.58,7813.69
108,27/03/2019,84400,84548.39,84500,207810,84900,84400,483170,498890,38.58,7813.69
109,26/03/2019,84100,84250.32,85000,588520,85200,83900,1097200,964940,38.58,7813.69
110,25/03/2019,83800,84607.19,86500,1163400,86500,83800,1770260,1875060,38.58,7813.69
111,22/03/2019,87200,87519.54,87900,671770,88100,87000,1121340,1546930,38.58,7813.69
112,21/03/2019,87900,88365.77,88500,706020,89100,87900,1405910,1367050,38.58,7813.69
113,20/03/2019,88500,88463.86,88500,431600,89300,88000,1090540,1200590,38.58,7813.69
