,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,62300,62644.69,61900,515750,64000,61900,0,0,16.77,3576.52
1,29/08/2019,61900,61808.72,61500,688220,62000,60700,836060,776230,16.77,3576.52
2,28/08/2019,61900,61860.58,61700,776100,62100,60700,994710,937080,16.77,3576.52
3,27/08/2019,60700,61814.77,62100,841870,62200,60700,1149680,969790,16.77,3576.52
4,26/08/2019,62000,61751.46,61900,699530,62100,61200,898820,916800,16.77,3576.52
5,23/08/2019,62000,62074.02,62200,456890,62700,61900,645200,712090,16.77,3576.52
6,22/08/2019,62800,62720.7,62700,287720,63100,62300,395800,462660,16.77,3576.52
7,21/08/2019,63000,62951.58,62600,439290,63300,62500,580300,667270,16.77,3576.52
8,20/08/2019,63000,62828.35,62000,394010,65100,61800,552220,638360,16.77,3576.52
9,19/08/2019,62100,61912.66,61600,403730,62300,61600,585290,513550,16.77,3576.52
10,16/08/2019,61800,61745.43,62000,408840,62000,61500,586120,644930,16.77,3576.52
11,15/08/2019,61900,60794.49,60000,614480,61900,59500,948700,757890,16.77,3576.52
12,14/08/2019,60200,60221.45,59800,529230,60700,59700,735970,711150,16.77,3576.52
13,13/08/2019,59700,59714.21,59800,704020,60000,59100,849700,907540,16.77,3576.52
14,12/08/2019,59900,59909.87,60000,386130,60200,59700,476510,564230,16.77,3576.52
15,09/08/2019,60000,59552.3,58700,664290,60100,58700,936490,822120,16.77,3576.52
16,08/08/2019,58900,59097.5,59500,496840,59800,58600,743740,695110,16.77,3576.52
17,07/08/2019,59600,59147.3,58700,419140,59700,58400,741520,553130,16.77,3576.52
18,06/08/2019,58900,58554.94,59100,487730,59500,57800,643640,612000,16.77,3576.52
19,05/08/2019,59500,59950.81,59700,430970,60200,59500,610650,630250,16.77,3576.52
20,02/08/2019,60100,59287.58,59200,566240,60100,58100,746030,890080,16.77,3576.52
21,01/08/2019,59200,58254.0,57700,463230,59500,57700,700180,619980,16.77,3576.52
22,31/07/2019,57700,58072.6,58400,494760,59300,57600,708390,914480,16.77,3576.52
23,30/07/2019,58400,58360.23,58500,331510,58600,58100,423780,490630,16.77,3576.52
24,29/07/2019,58500,58222.38,58300,361270,58900,57800,613060,565430,16.77,3576.52
25,26/07/2019,58300,58322.41,58500,350980,58600,58100,487190,513270,16.77,3576.52
26,25/07/2019,58500,58826.05,58900,349760,59100,58500,434160,594410,16.77,3576.52
27,24/07/2019,58900,58704.9,59100,326770,59100,58300,465510,450000,16.77,3576.52
28,23/07/2019,58300,57885.92,57600,376050,58300,57500,599720,479640,16.77,3576.52
29,22/07/2019,57600,58011.48,58200,334520,58500,57500,503420,559730,16.77,3576.52
30,19/07/2019,58200,58335.32,58000,461110,58700,57800,668970,631090,16.77,3576.52
31,18/07/2019,57800,58395.37,60500,548040,60500,57800,613550,1014090,16.77,3576.52
32,17/07/2019,59500,59643.45,60400,423500,60400,59300,543200,944300,16.77,3576.52
33,16/07/2019,60400,60282.49,60200,842500,60500,59800,1233950,1665800,16.77,3576.52
34,15/07/2019,60200,60378.74,61200,421920,61300,60000,618650,1279550,16.77,3576.52
35,12/07/2019,61000,61323.55,61500,415550,61700,61000,549550,721530,16.77,3576.52
36,11/07/2019,61500,61152.63,60900,674460,61500,60800,905270,770910,16.77,3576.52
37,10/07/2019,60800,60690.68,60200,596220,61000,60100,831490,812450,16.77,3576.52
38,09/07/2019,60100,59680.06,60200,507590,60200,59000,607420,1273600,16.77,3576.52
39,08/07/2019,60200,60086.88,60200,591610,60300,59800,795510,792600,16.77,3576.52
40,05/07/2019,60300,59955.42,59800,699870,60500,58700,1081540,1286060,16.77,3576.52
41,04/07/2019,59800,59628.42,58700,599060,60000,58700,800990,768940,16.77,3576.52
42,03/07/2019,58700,59063.33,60200,561990,60200,58500,1066470,1705640,16.77,3576.52
43,02/07/2019,60200,60497.19,60700,436450,60900,60000,647030,790130,16.77,3576.52
44,01/07/2019,60700,60691.34,59700,606940,61500,59700,731290,802600,16.77,3576.52
