,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,26450,26246.92,26300,1082070,26450,26050,0,0,18.84,1967.04
1,29/08/2019,26300,26140.85,26200,609850,26300,26000,804620,745870,18.84,1967.04
2,28/08/2019,26200,26139.62,26100,439180,26300,26050,573540,635200,18.84,1967.04
3,27/08/2019,26100,26276.49,26200,851750,26450,26100,1107400,1065340,18.84,1967.04
4,26/08/2019,26100,26168.9,26250,906190,26300,25950,1049990,1189800,18.84,1967.04
5,23/08/2019,26250,26394.91,26400,731770,26500,26250,860390,882670,18.84,1967.04
6,22/08/2019,26400,26496.96,26400,818660,26650,26300,1044820,994330,18.84,1967.04
7,21/08/2019,26400,26368.84,26250,850170,26500,26150,1030550,1016420,18.84,1967.04
8,20/08/2019,26250,26371.47,26400,869690,26500,26250,1028710,993350,18.84,1967.04
9,19/08/2019,26400,25935.25,26000,846030,26400,25800,1107080,1052030,18.84,1967.04
10,16/08/2019,26050,26044.2,26100,649780,26200,25900,799660,901660,18.84,1967.04
11,15/08/2019,26100,25907.87,26200,1105340,26300,25550,1363690,1490280,18.84,1967.04
12,14/08/2019,26400,26598.89,26600,723940,26850,26400,1001740,994800,18.84,1967.04
13,13/08/2019,26550,26598.15,26800,641210,26800,26400,860100,885640,18.84,1967.04
14,12/08/2019,26800,26810.75,26800,770400,26950,26700,1015360,921600,18.84,1967.04
15,09/08/2019,26800,26826.0,26800,925930,27000,26700,1288180,1187990,18.84,1967.04
16,08/08/2019,26800,26691.05,26500,1082760,26850,26400,1377100,1255470,18.84,1967.04
17,07/08/2019,26500,26510.09,26500,603770,26700,26350,962170,737740,18.84,1967.04
18,06/08/2019,26500,26397.98,26500,847830,26600,26200,1287230,1134230,18.84,1967.04
19,05/08/2019,26750,26917.6,27200,947930,27300,26750,1170530,1194750,18.84,1967.04
20,02/08/2019,27200,27148.5,27300,850360,27300,27050,1208090,1075300,18.84,1967.04
21,01/08/2019,27300,26921.49,26600,2735770,27350,26600,3728190,3037640,18.84,1967.04
22,31/07/2019,26600,26492.81,26500,653800,26600,26350,945070,775960,18.84,1967.04
23,30/07/2019,26500,26683.1,26600,957310,26850,26500,1172530,1184760,18.84,1967.04
24,29/07/2019,26600,26521.62,26450,1278240,26650,26400,1724040,1537350,18.84,1967.04
25,26/07/2019,26450,26457.55,26450,500840,26550,26400,649090,786480,18.84,1967.04
26,25/07/2019,26450,26444.44,26300,2905980,26550,26200,3174380,3266850,18.84,1967.04
27,24/07/2019,26300,26332.54,26300,493420,26500,26200,653120,804840,18.84,1967.04
28,23/07/2019,26300,26167.51,26000,937040,26300,26000,1232110,1093050,18.84,1967.04
29,22/07/2019,26000,26151.8,26250,600150,26350,26000,769070,868470,18.84,1967.04
30,19/07/2019,26250,26179.42,26000,1046700,26400,26000,1318730,1259600,18.84,1967.04
31,18/07/2019,26000,26020.02,26100,467640,26200,25750,914010,724110,18.84,1967.04
32,17/07/2019,26100,26143.47,26100,782490,26300,26000,1028900,1004310,18.84,1967.04
33,16/07/2019,26000,26256.67,26300,772680,26500,26000,1075510,1049010,18.84,1967.04
34,15/07/2019,26300,26230.88,26350,1206250,26500,26000,1714830,1601290,18.84,1967.04
35,12/07/2019,26350,26657.33,26800,735520,26900,26350,943350,911000,18.84,1967.04
36,11/07/2019,26800,26751.63,26600,1363020,27000,26500,1819350,1747570,18.84,1967.04
37,10/07/2019,26600,26483.99,26400,844850,26650,26350,1213310,1060910,18.84,1967.04
38,09/07/2019,26400,26308.09,26300,710770,26450,26150,978000,858630,18.84,1967.04
39,08/07/2019,26300,26344.78,26550,655310,26550,26200,960480,908140,18.84,1967.04
40,05/07/2019,26550,26464.09,26150,2055200,26700,26150,2688670,2362130,18.84,1967.04
41,04/07/2019,26150,26127.01,26150,635090,26300,26000,844340,868270,18.84,1967.04
42,03/07/2019,26150,26043.01,26100,595630,26200,25950,803850,782820,18.84,1967.04
43,02/07/2019,26100,26068.09,26150,659120,26200,25950,897960,873650,18.84,1967.04
44,01/07/2019,26150,26117.98,26150,597060,26200,26000,891840,822750,18.84,1967.04
45,28/06/2019,26100,25797.67,25750,1164330,26100,25550,1679270,1299230,18.84,1967.04
46,27/06/2019,25750,25703.99,25550,846600,25800,25550,1678970,1002270,18.84,1967.04
47,26/06/2019,25550,25641.42,25750,646610,25800,25550,964470,918220,18.84,1967.04
48,25/06/2019,25750,25710.88,25850,722340,26000,25600,1137930,1144430,18.84,1967.04
49,24/06/2019,25850,25885.9,25600,1091830,26100,25600,1464830,1450560,18.84,1967.04
50,21/06/2019,25550,25884.51,26100,632270,26150,25550,1240750,1175950,18.84,1967.04
51,20/06/2019,26100,25656.92,25200,2303940,26100,25200,2871810,2700430,18.84,1967.04
52,19/06/2019,25200,25035.68,24900,735630,25200,24900,1038170,1063950,18.84,1967.04
53,18/06/2019,24900,24825.41,24700,1063950,25000,24600,1306240,1368620,18.84,1967.04
54,17/06/2019,24700,24639.65,24700,560560,24800,24500,680080,731150,18.84,1967.04
55,14/06/2019,24700,24838.41,24700,826140,25000,24700,1004500,1119170,18.84,1967.04
56,13/06/2019,24700,24562.69,24700,832360,24700,24350,1099190,965890,18.84,1967.04
57,12/06/2019,24800,25093.21,25100,662490,25300,24800,866490,888030,18.84,1967.04
58,11/06/2019,25200,25212.54,25300,718690,25500,25000,937660,1070890,18.84,1967.04
59,10/06/2019,25300,25110.56,24800,1662010,25500,24650,2284640,1993470,18.84,1967.04
