,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,82200,82077.16,82000,345760,82600,81500,0,0,27.92,4676.77
1,29/08/2019,81900,81440.97,81000,554070,82400,80500,1447980,1282120,27.92,4676.77
2,28/08/2019,81400,82162.22,83400,813610,83400,81400,1160970,1730080,27.92,4676.77
3,27/08/2019,83200,83626.6,83800,601280,84800,82800,964140,1436830,27.92,4676.77
4,26/08/2019,83800,84449.69,84800,961910,85700,83500,1781640,2441360,27.92,4676.77
5,23/08/2019,82800,82873.7,83300,974700,83600,82400,1927450,1688950,27.92,4676.77
6,22/08/2019,83500,84369.46,85600,1206420,85600,83500,1719360,2145060,27.92,4676.77
7,21/08/2019,85600,86198.8,86400,881880,87200,85500,1350620,1913150,27.92,4676.77
8,20/08/2019,85800,84508.23,85000,856390,85900,83900,1981280,1445090,27.92,4676.77
9,19/08/2019,84900,85172.73,86100,974960,86900,84000,1789510,1882770,27.92,4676.77
10,16/08/2019,86000,88019.04,87300,1428350,89300,86000,1963750,2655640,27.92,4676.77
11,15/08/2019,86600,86494.72,85100,883210,87400,84900,1541440,1753030,27.92,4676.77
12,14/08/2019,85700,85864.36,86500,758650,86900,84800,1454820,1660160,27.92,4676.77
13,13/08/2019,87000,87008.89,86200,992910,87900,85900,1602360,1845410,27.92,4676.77
14,12/08/2019,85700,85600.55,84400,818920,86300,84400,1554680,1417800,27.92,4676.77
15,09/08/2019,84200,84813.75,84700,855050,85900,83800,1500900,1464240,27.92,4676.77
16,08/08/2019,84800,86413.06,87400,1177160,87700,84800,1891090,2271060,27.92,4676.77
17,07/08/2019,86600,84585.89,83800,1045730,86600,83500,2170440,1688490,27.92,4676.77
18,06/08/2019,83800,82032.95,79500,1433680,84400,79500,2838830,2718070,27.92,4676.77
19,05/08/2019,80700,80858.76,80500,790440,81500,80000,1400600,1703010,27.92,4676.77
20,02/08/2019,80400,79187.6,77500,1206300,80400,77200,2267310,2055310,27.92,4676.77
21,01/08/2019,78200,77530.49,76500,707670,78800,76000,1178580,1310030,27.92,4676.77
22,31/07/2019,76800,76673.4,76300,297000,77000,76200,596890,759050,27.92,4676.77
