,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,12900,12949.92,12950,309500,13000,12850,0,0,0,854.44
1,29/08/2019,12800,12859.81,13000,744490,13000,12800,1298990,1781450,0,854.44
2,28/08/2019,12900,13021.69,13150,730320,13200,12900,1294840,2155180,0,854.44
3,27/08/2019,13150,13028.19,12950,1379470,13150,12900,2924170,2526580,0,854.44
4,26/08/2019,12900,12948.77,13000,1082960,13200,12900,1719300,2081420,0,854.44
5,23/08/2019,13200,13259.07,13300,924650,13300,13200,2030250,2601070,0,854.44
6,22/08/2019,13250,13335.76,13400,1289090,13450,13250,2102970,3301800,0,854.44
7,21/08/2019,13300,13198.86,13000,2333080,13300,12950,5009660,3769080,0,854.44
8,20/08/2019,12950,12979.26,12950,821310,13050,12900,1852890,1982240,0,854.44
9,19/08/2019,12950,12943.05,13150,937260,13150,12800,1434730,2404950,0,854.44
10,16/08/2019,12900,12915.8,12800,1054600,13000,12800,1921710,2018280,0,854.44
11,15/08/2019,12800,12735.68,12650,900070,12900,12600,2007520,1736100,0,854.44
12,14/08/2019,12900,13037.01,13100,1316790,13200,12900,3041700,3060350,0,854.44
13,13/08/2019,12900,12978.17,13300,2625640,13350,12750,4317950,4843830,0,854.44
14,12/08/2019,13300,13413.98,13500,1058150,13550,13300,3018590,2772590,0,854.44
15,09/08/2019,13450,13474.41,13550,1188030,13600,13400,5461820,2580280,0,854.44
16,08/08/2019,13350,13363.54,13450,1407860,13550,13250,4347800,3271960,0,854.44
17,07/08/2019,13400,13474.42,13500,2120610,13800,13350,4962070,4004520,0,854.44
18,06/08/2019,13450,13579.2,13400,1577560,13850,13400,3508270,3134990,0,854.44
19,05/08/2019,13900,14097.27,14050,1529800,14350,13900,4589650,3957710,0,854.44
20,02/08/2019,14000,14102.0,13950,2041200,14250,13800,5929930,4564100,0,854.44
21,01/08/2019,13900,13970.58,14200,1116990,14250,13800,2394170,2613150,0,854.44
22,31/07/2019,14100,13881.82,13800,981860,14100,13700,2084850,2402560,0,854.44
23,30/07/2019,13800,13932.99,14050,1393240,14100,13800,1781530,2799750,0,854.44
24,29/07/2019,14050,14054.25,14250,785670,14300,13950,1651650,2213410,0,854.44
25,26/07/2019,14150,14218.52,14300,948270,14400,14150,1982710,2205180,0,854.44
26,25/07/2019,14150,14223.86,14300,1064760,14300,14100,1987690,2509870,0,854.44
27,24/07/2019,14050,14189.37,14400,698410,14400,14050,1554820,1738210,0,854.44
28,23/07/2019,14100,14022.39,14000,668930,14150,13950,1981980,1453720,0,854.44
29,22/07/2019,14000,14036.31,14100,1507590,14400,13900,2497440,2808850,0,854.44
30,19/07/2019,14050,14220.82,14400,1377980,14500,14000,2197620,2601460,0,854.44
31,18/07/2019,14350,14413.85,14550,886370,14550,14300,1531380,1758110,0,854.44
32,17/07/2019,14550,14516.08,14600,640600,14600,14450,1393510,1379460,0,854.44
33,16/07/2019,14600,14668.94,14700,1042270,14800,14600,1716140,2124430,0,854.44
34,15/07/2019,14700,14734.02,14750,410750,14900,14700,775750,1407930,0,854.44
35,12/07/2019,14900,14878.46,14900,1071280,15000,14700,1958520,2661360,0,854.44
36,11/07/2019,14800,14758.14,14800,588150,14850,14650,1204530,2055750,0,854.44
37,10/07/2019,14700,14784.26,14600,990310,14850,14600,1890450,2245320,0,854.44
38,09/07/2019,14500,14609.64,14600,461750,14700,14500,1212260,1038790,0,854.44
39,08/07/2019,14650,14653.12,14700,563020,14800,14600,1173500,1646320,0,854.44
40,05/07/2019,14700,14685.51,14850,563140,14850,14650,1741300,2229060,0,854.44
41,04/07/2019,14800,14791.83,14850,541380,14950,14700,1575710,2029710,0,854.44
42,03/07/2019,14750,14749.82,14700,494650,14850,14600,1864210,1489360,0,854.44
43,02/07/2019,14800,14804.38,15000,355030,15000,14500,1643820,2225790,0,854.44
44,01/07/2019,15000,14979.15,15000,935300,15100,14900,1647860,3095600,0,854.44
45,28/06/2019,15200,14790.38,14450,2710410,15200,14350,5137470,3088460,0,854.44
46,27/06/2019,14450,14563.58,14800,1137220,14850,14400,2070690,2403750,0,854.44
47,26/06/2019,14800,14886.4,14850,882080,15000,14800,1793770,2063500,0,854.44
48,25/06/2019,14850,14899.9,14850,2049410,15200,14750,3702810,3558380,0,854.44
49,24/06/2019,14850,15031.21,15400,2920390,15400,14800,5014710,4977520,0,854.44
50,21/06/2019,15400,15403.7,15600,33346330,15700,15300,34225270,60379000,0,854.44
51,20/06/2019,15500,15518.37,15600,1217460,15650,15450,10287400,4467570,0,854.44
52,19/06/2019,15650,15709.13,15900,1797490,15900,15650,2328650,7287330,0,854.44
53,18/06/2019,15800,15864.98,16000,3147750,16050,15750,14851550,9514970,0,854.44
54,17/06/2019,15950,15885.12,15950,3637680,16000,15700,7385580,7706310,0,854.44
55,14/06/2019,15600,15547.78,15400,520010,15750,15400,1250780,1569910,0,854.44
56,13/06/2019,15600,15585.72,15750,1315050,15750,15450,2361380,2615640,0,854.44
57,12/06/2019,15750,15734.89,15850,1922670,15850,15650,3891120,3976150,0,854.44
58,11/06/2019,15850,15892.72,16100,1320290,16150,15800,2872320,4809330,0,854.44
59,10/06/2019,16100,16197.57,16300,2921550,16400,16050,6278590,7800350,0,854.44
60,07/06/2019,16050,15947.69,15850,3216140,16100,15850,7868720,7057210,0,854.44
61,06/06/2019,15750,15620.17,15600,1463300,15750,15500,4078770,6862660,0,854.44
62,05/06/2019,15600,15569.85,15600,1431870,15650,15500,3678230,3365040,0,854.44
63,04/06/2019,15500,15461.33,15200,857300,15600,15200,1958570,2010930,0,854.44
64,03/06/2019,15200,15091.13,15150,1182880,15400,14900,2507050,2168540,0,854.44
65,31/05/2019,15250,15426.19,15700,1733870,15700,15250,2618360,4498200,0,854.44
66,30/05/2019,15700,15720.93,15800,1021950,15800,15650,1819410,3823530,0,854.44
67,29/05/2019,15700,15755.28,15800,1945380,15900,15700,2957190,5285320,0,854.44
68,28/05/2019,16000,16010.68,16000,5215080,16200,15800,8641860,10740020,0,854.44
69,27/05/2019,15800,15838.61,15800,2310430,15950,15700,4774340,5105960,0,854.44
70,24/05/2019,15700,15635.98,15500,2890960,15800,15300,4995050,6606860,0,854.44
71,23/05/2019,15500,15396.36,15350,1087530,15500,15300,1939520,3020540,0,854.44
72,22/05/2019,15450,15558.79,15450,2668910,15750,15400,4095060,6499180,0,854.44
73,21/05/2019,15400,15437.56,15500,2095150,15600,15350,2968770,4802800,0,854.44
74,20/05/2019,15500,15489.51,15500,2200780,15600,15400,3639300,5365720,0,854.44
75,17/05/2019,15450,15451.06,15300,3015910,15650,15250,6375700,7173630,0,854.44
76,16/05/2019,15200,15381.26,15400,2155740,15600,15200,4548810,5763770,0,854.44
77,15/05/2019,15500,15667.09,15750,4049060,15950,15450,6258110,9766640,0,854.44
78,14/05/2019,15200,14980.32,14400,5562230,15200,14400,15077100,6399460,0,854.44
79,13/05/2019,14250,14104.7,13800,2065340,14300,13800,5914340,3901270,0,854.44
80,10/05/2019,13600,13486.74,13650,1510150,13650,13350,2755460,2516890,0,854.44
81,09/05/2019,13500,13542.78,13850,2839890,13900,13300,4076180,5226170,0,854.44
82,08/05/2019,13700,13798.13,13900,1830900,14000,13650,2814290,3542120,0,854.44
83,07/05/2019,13900,14027.68,14250,1733430,14350,13900,2563500,2817970,0,854.44
84,06/05/2019,14250,14238.86,14200,719510,14400,14100,1801770,1558790,0,854.44
85,03/05/2019,14600,14604.98,14650,548580,14700,14550,1157710,1401650,0,854.44
86,02/05/2019,14650,14691.77,14800,741980,14850,14600,1391580,1675030,0,854.44
87,26/04/2019,14800,14564.37,14200,1125830,14800,14150,3426200,2183620,0,854.44
88,25/04/2019,14350,14359.14,14500,507830,14500,14250,1353730,1602900,0,854.44
89,24/04/2019,14500,14333.69,14200,1116670,14500,14100,3199570,2711090,0,854.44
90,23/04/2019,14150,14145.97,14200,1585540,14500,14000,2895850,2409620,0,854.44
91,22/04/2019,14250,14152.19,14100,644070,14350,14000,2033940,1123780,0,854.44
92,19/04/2019,14100,14142.45,14400,2911730,14600,13950,4476940,4711510,0,854.44
93,18/04/2019,14400,14499.53,14650,1797300,14950,14300,3201080,3774760,0,854.44
94,17/04/2019,14650,14855.41,15100,1109360,15100,14650,1886520,2809970,0,854.44
95,16/04/2019,15000,14978.35,15050,671970,15050,14900,1225460,1531950,0,854.44
96,12/04/2019,15150,15048.59,15000,600920,15150,14950,1433000,1326580,0,854.44
97,11/04/2019,15050,15067.02,15100,681090,15150,15000,1209870,1471620,0,854.44
98,10/04/2019,15050,15106.07,15250,1394870,15250,15000,1966320,2453970,0,854.44
99,09/04/2019,15250,15383.92,15650,999160,15650,15250,1704360,3593090,0,854.44
