,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,25000,24892.74,25350,403210,25350,24750,0,0,17.78,3193.19
1,29/08/2019,24900,24955.89,24850,442060,25250,24800,701170,661210,17.78,3193.19
2,28/08/2019,25000,25484.14,25950,378510,25950,25000,539810,809290,17.78,3193.19
3,27/08/2019,25650,25849.33,26300,167780,26300,25650,232930,373990,17.78,3193.19
4,26/08/2019,26000,26073.84,26150,344790,26450,25800,594440,596820,17.78,3193.19
5,23/08/2019,26550,26415.53,26700,305010,26700,26200,517770,696020,17.78,3193.19
6,22/08/2019,26700,26430.95,26800,207030,26800,26100,503350,440280,17.78,3193.19
7,21/08/2019,26800,26789.78,27000,351440,27050,26400,690190,743580,17.78,3193.19
8,20/08/2019,26800,26356.58,25600,954790,26900,25600,1786890,2117270,17.78,3193.19
9,19/08/2019,25450,25296.81,25000,362180,25600,25000,558090,667460,17.78,3193.19
10,16/08/2019,25100,24837.11,24950,233280,25200,24400,547680,557950,17.78,3193.19
11,15/08/2019,24600,24625.61,24600,326530,24800,24500,622490,660680,17.78,3193.19
12,14/08/2019,24900,24991.04,25500,278900,25500,24750,505630,734740,17.78,3193.19
13,13/08/2019,25300,25335.58,25600,315130,25600,25100,474550,946840,17.78,3193.19
14,12/08/2019,25200,25404.81,25300,198860,25650,25200,325450,589580,17.78,3193.19
15,09/08/2019,25350,25291.27,25200,555330,25700,24800,902710,963750,17.78,3193.19
16,08/08/2019,24800,24339.8,24450,511590,24850,24000,793780,897410,17.78,3193.19
17,07/08/2019,24450,24642.78,25000,361120,25000,24300,594350,729140,17.78,3193.19
18,06/08/2019,24800,24876.02,24900,235930,25100,24650,561760,546370,17.78,3193.19
19,05/08/2019,25300,25319.08,25450,443460,25700,24900,801640,875560,17.78,3193.19
20,02/08/2019,25150,24899.37,24000,549050,25500,24000,1306920,920790,17.78,3193.19
21,01/08/2019,24300,24674.48,25500,721150,25500,24200,1363260,1494300,17.78,3193.19
22,31/07/2019,25200,25206.01,25450,265770,25450,25000,735970,537300,17.78,3193.19
23,30/07/2019,25100,25623.5,26500,777060,26800,25100,1390650,1668820,17.78,3193.19
24,29/07/2019,26500,26849.3,27300,562510,27700,26500,729220,1216860,17.78,3193.19
25,26/07/2019,27450,27596.96,27800,423380,27800,27450,564380,1013390,17.78,3193.19
26,25/07/2019,27550,27648.23,27500,406970,27900,27400,666980,1325470,17.78,3193.19
27,24/07/2019,27250,27349.7,27450,212580,27500,27050,489990,585280,17.78,3193.19
28,23/07/2019,27200,27353.4,27700,632170,27700,27000,1262480,1170210,17.78,3193.19
29,22/07/2019,27500,27734.64,28000,611690,28200,27100,1441680,1518220,17.78,3193.19
30,19/07/2019,28500,27732.76,27750,1373430,28600,27400,2551260,1991540,17.78,3193.19
31,18/07/2019,27400,27304.06,27200,855880,27800,26700,1672510,1276280,17.78,3193.19
32,17/07/2019,27200,27596.17,28300,2474800,28900,27100,3942640,3664310,17.78,3193.19
33,16/07/2019,29100,30468.24,31500,1763410,32200,29100,2229010,4274360,17.78,3193.19
34,15/07/2019,31250,31181.94,30800,265410,31400,30800,607750,506160,17.78,3193.19
35,12/07/2019,30800,30896.26,31100,354250,31100,30700,600170,694670,17.78,3193.19
36,11/07/2019,31100,31283.19,31500,442570,31600,31100,706650,876810,17.78,3193.19
37,10/07/2019,31500,31502.52,31700,420760,31900,31250,692860,916350,17.78,3193.19
38,09/07/2019,31300,31197.45,31300,325860,31500,30900,575130,541960,17.78,3193.19
39,08/07/2019,31350,31228.69,31000,469280,31600,30800,968900,861460,17.78,3193.19
40,05/07/2019,31000,30925.64,31000,488850,31200,30600,919380,903590,17.78,3193.19
41,04/07/2019,31000,30938.5,30600,589880,31300,30500,1032070,1105740,17.78,3193.19
42,03/07/2019,30350,30170.03,30300,361120,30350,29900,817850,797550,17.78,3193.19
43,02/07/2019,30300,29743.65,29200,967030,30350,28900,1638530,1576670,17.78,3193.19
44,01/07/2019,29300,29266.68,29250,317050,29500,29000,521740,652070,17.78,3193.19
45,28/06/2019,28850,28691.09,28550,373670,29000,28500,654430,678580,17.78,3193.19
46,27/06/2019,28550,29053.3,29800,953420,29900,28400,1463200,1447690,17.78,3193.19
