,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,20200,20175.16,20300,161000,20400,20000,0,0,0,-1576.48
1,29/08/2019,20300,20360.76,20500,94300,20500,20200,273600,203000,0,-1576.48
2,28/08/2019,20500,20449.41,20900,219400,20900,20200,528000,322800,0,-1576.48
3,27/08/2019,20200,20542.0,20600,292400,20900,20200,438400,440200,0,-1576.48
4,26/08/2019,20600,20706.26,21200,396100,21200,20300,635500,508500,0,-1576.48
5,23/08/2019,21400,21339.03,21300,157300,21500,21000,259900,358800,0,-1576.48
6,22/08/2019,21300,21329.96,21500,235000,21500,21200,504100,425600,0,-1576.48
7,21/08/2019,21500,21545.54,20800,374800,22000,20000,707200,526500,0,-1576.48
8,20/08/2019,21300,21357.93,21400,189700,21500,21300,389900,311500,0,-1576.48
9,19/08/2019,21500,21502.15,21600,97900,21600,21400,284900,259900,0,-1576.48
10,16/08/2019,21500,21398.3,21400,258700,21800,21100,513200,401400,0,-1576.48
11,15/08/2019,21400,21393.83,21700,116600,21700,21300,341700,271500,0,-1576.48
12,14/08/2019,21800,21751.36,21800,81000,22000,21600,180800,282800,0,-1576.48
13,13/08/2019,21700,21775.8,22000,153700,22000,21500,357900,459200,0,-1576.48
14,12/08/2019,22200,22592.07,22200,293800,24000,21900,564600,494500,0,-1576.48
15,09/08/2019,21900,22116.26,22100,211000,22300,21900,442100,412700,0,-1576.48
16,08/08/2019,21900,21935.55,21700,338700,22100,21700,684800,555600,0,-1576.48
17,07/08/2019,21700,21481.13,21400,214600,21900,21300,537200,425200,0,-1576.48
18,06/08/2019,21400,21300.1,21300,294000,21700,20900,565900,399100,0,-1576.48
19,05/08/2019,21300,21339.46,21000,441200,21900,20800,653600,603900,0,-1576.48
20,02/08/2019,21000,20654.89,20700,213900,21000,20400,460500,290200,0,-1576.48
21,01/08/2019,20800,20700.94,20800,127200,20800,20600,318900,263900,0,-1576.48
22,31/07/2019,20600,20398.13,20800,187100,20800,20000,348500,343800,0,-1576.48
23,30/07/2019,20900,20706.12,20900,153700,21500,20000,343400,383200,0,-1576.48
24,29/07/2019,20900,20596.53,20700,242000,20900,20400,430600,396900,0,-1576.48
25,26/07/2019,20700,21047.97,20700,268500,22500,20700,610000,544400,0,-1576.48
26,25/07/2019,20500,20430.01,20500,185300,20700,20300,484000,315800,0,-1576.48
27,24/07/2019,20400,20497.68,20400,233000,20900,20300,523400,394400,0,-1576.48
28,23/07/2019,20500,20216.29,20000,499700,20600,19000,989800,698800,0,-1576.48
29,22/07/2019,20000,20435.47,19900,145200,21000,19800,338200,387600,0,-1576.48
30,19/07/2019,19900,20041.77,20400,246100,20400,19800,550000,491000,0,-1576.48
31,18/07/2019,20200,20005.26,19300,718400,20400,19200,1280100,967400,0,-1576.48
32,17/07/2019,19300,19097.83,19100,313500,19300,18700,712700,475700,0,-1576.48
33,16/07/2019,19200,19113.28,19200,566300,19300,18800,782800,780400,0,-1576.48
34,15/07/2019,19200,19163.72,19300,97300,19300,19000,316400,260200,0,-1576.48
35,12/07/2019,19300,19209.93,19300,134900,19300,19100,387400,289500,0,-1576.48
36,11/07/2019,19200,19194.63,19200,141500,19400,19100,402400,443000,0,-1576.48
37,10/07/2019,19100,18945.98,18700,264000,19100,18700,603400,348300,0,-1576.48
38,09/07/2019,18700,18634.55,18800,82200,18800,18500,272100,226400,0,-1576.48
39,08/07/2019,18600,18582.32,18800,135200,18800,18500,305700,405700,0,-1576.48
40,05/07/2019,18800,18825.74,18700,104100,19000,18600,330200,208500,0,-1576.48
41,04/07/2019,18800,18811.03,18800,169600,19200,18700,397300,281300,0,-1576.48
42,03/07/2019,18800,18904.79,19200,73000,19200,18800,255900,161600,0,-1576.48
43,02/07/2019,19000,19030.27,18800,118600,19300,18800,270000,293300,0,-1576.48
44,01/07/2019,19200,19235.06,19300,131500,19500,19100,223100,369400,0,-1576.48
45,28/06/2019,19100,19038.56,19100,137700,19200,18800,209800,202500,0,-1576.48
46,27/06/2019,19100,19190.87,19400,159900,19400,19000,238300,310300,0,-1576.48
47,26/06/2019,19400,19502.64,19300,158900,19600,19200,317500,394700,0,-1576.48
48,25/06/2019,19300,19460.13,19500,90300,19600,19300,140600,269800,0,-1576.48
49,24/06/2019,19600,19541.02,19800,150400,19800,19500,281200,393700,0,-1576.48
50,21/06/2019,19600,19571.78,19500,185300,19800,19300,292500,539800,0,-1576.48
51,20/06/2019,19300,19167.69,18800,182600,19400,18800,323000,442800,0,-1576.48
52,19/06/2019,18800,18845.63,19000,62900,19000,18800,172900,430800,0,-1576.48
53,18/06/2019,18800,18625.89,18500,36700,18800,18500,122000,263400,0,-1576.48
54,17/06/2019,18500,18716.47,19000,60100,19000,18500,129000,153400,0,-1576.48
55,14/06/2019,18900,18860.0,18900,23000,19000,18800,96500,169500,0,-1576.48
56,13/06/2019,18900,18769.83,18700,86500,19100,18500,151100,214600,0,-1576.48
57,12/06/2019,18800,18735.3,18800,96600,19000,18600,154900,199100,0,-1576.48
58,11/06/2019,18800,18936.35,19000,71800,19200,18800,169800,196400,0,-1576.48
59,10/06/2019,19000,18959.44,19000,64100,19100,18900,170400,181800,0,-1576.48
60,07/06/2019,18800,18768.64,18700,152400,18900,18600,274400,268600,0,-1576.48
61,06/06/2019,18500,18375.83,18500,48400,18500,18300,171200,129200,0,-1576.48
62,05/06/2019,18500,18439.12,18600,142900,18700,18300,202600,275600,0,-1576.48
63,04/06/2019,18300,18336.11,18400,99700,18600,18100,262600,192200,0,-1576.48
64,03/06/2019,18300,18394.66,18800,292000,18800,18300,398100,363800,0,-1576.48
65,31/05/2019,18800,19046.26,19300,231500,19400,18800,313400,450700,0,-1576.48
66,30/05/2019,19400,19406.67,19400,95900,19800,19200,278500,302800,0,-1576.48
67,29/05/2019,19200,19288.83,19400,72500,19500,19200,201100,271400,0,-1576.48
68,28/05/2019,19400,19339.44,19300,68200,19500,19200,178400,248600,0,-1576.48
69,27/05/2019,19200,19327.59,19400,157300,19500,19200,291600,349700,0,-1576.48
70,24/05/2019,19400,19541.19,19600,276300,19900,19300,393000,403500,0,-1576.48
71,23/05/2019,20000,19502.44,19500,258000,20000,19300,385100,309800,0,-1576.48
72,22/05/2019,19600,19735.23,20100,346900,20100,19500,432400,525400,0,-1576.48
73,21/05/2019,20000,20112.28,20300,212500,20300,19900,301800,438800,0,-1576.48
74,20/05/2019,20300,20237.7,20300,265000,20400,20000,350000,684700,0,-1576.48
75,17/05/2019,20100,20076.98,19900,410900,20300,19800,569300,878200,0,-1576.48
76,16/05/2019,19800,19900.36,20000,167700,20100,19700,270900,694500,0,-1576.48
77,15/05/2019,19800,20010.29,19700,327600,20400,19700,410300,838000,0,-1576.48
78,14/05/2019,20000,19564.17,18900,503700,20000,18800,737900,753500,0,-1576.48
79,13/05/2019,19000,19084.52,18800,177700,19200,18800,272700,300500,0,-1576.48
