,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,18650,18675.02,18600,3141470,18950,18450,0,0,0,1241.14
1,29/08/2019,18550,18618.16,18700,3194140,18800,18500,5345670,6705020,0,1241.14
2,28/08/2019,18500,18555.58,18600,3853180,18800,18350,6733540,8255030,0,1241.14
3,27/08/2019,18400,18410.69,18100,5857900,18850,17950,8462190,11610900,0,1241.14
4,26/08/2019,17950,17770.83,17700,4244090,17950,17600,6967380,6824840,0,1241.14
5,23/08/2019,18100,18003.87,17700,3042180,18300,17700,5637000,7646700,0,1241.14
6,22/08/2019,17900,18063.04,18300,6366150,18350,17800,9667160,16202810,0,1241.14
7,21/08/2019,17450,17199.51,16700,6991130,17450,16700,14750580,9171760,0,1241.14
8,20/08/2019,16350,16276.2,16000,1998440,16400,16000,3698260,3727320,0,1241.14
9,19/08/2019,16000,16104.63,16250,1111730,16300,16000,1825580,2989220,0,1241.14
10,16/08/2019,16050,15927.95,15700,2603160,16200,15500,4581540,4865090,0,1241.14
11,15/08/2019,15650,15448.82,15250,1120150,15650,15250,2631710,2277490,0,1241.14
12,14/08/2019,15700,15892.9,16150,882910,16200,15700,1433320,2750360,0,1241.14
13,13/08/2019,15750,15807.2,15900,1487930,15950,15750,2699450,2693450,0,1241.14
14,12/08/2019,16100,16122.23,16150,1328600,16250,16000,1842740,2825740,0,1241.14
15,09/08/2019,16100,16193.06,16200,1238370,16300,16100,1918970,2739480,0,1241.14
16,08/08/2019,16200,15863.75,15550,2385880,16300,15400,4389080,3900910,0,1241.14
17,07/08/2019,15450,15529.86,15500,1904010,15700,15450,2840250,2985980,0,1241.14
18,06/08/2019,15500,15600.38,15700,2872430,15850,15500,4506220,4969470,0,1241.14
19,05/08/2019,16100,16177.4,16200,1922930,16350,16100,3429970,3326800,0,1241.14
20,02/08/2019,16200,16160.29,16200,3307180,16300,16050,5756390,4986360,0,1241.14
21,01/08/2019,16600,16675.56,16850,1217710,16900,16550,2098690,3009830,0,1241.14
22,31/07/2019,16850,16881.87,17100,1633350,17100,16750,2436300,3749990,0,1241.14
23,30/07/2019,16850,16947.48,17000,1971030,17100,16850,2749710,3727780,0,1241.14
24,29/07/2019,16900,17027.68,17200,2840140,17200,16850,4224440,5409260,0,1241.14
25,26/07/2019,18450,18547.7,18500,3992140,18700,18400,5613350,7979210,0,1241.14
26,25/07/2019,18200,18183.46,18400,1995330,18400,18100,3230300,3869150,0,1241.14
27,24/07/2019,18350,18224.91,18150,2788710,18400,18100,4354430,3705050,0,1241.14
28,23/07/2019,18050,18224.1,18300,2315560,18450,18050,3132430,3927800,0,1241.14
29,22/07/2019,18300,18388.63,18400,2003140,18550,18200,3086310,4386980,0,1241.14
30,19/07/2019,18500,18521.97,18700,2256240,18750,18350,3503040,4382540,0,1241.14
31,18/07/2019,18650,18706.44,18700,1915330,18900,18550,3130520,4181850,0,1241.14
32,17/07/2019,18750,18712.92,18550,2366760,18950,18450,5099510,4861120,0,1241.14
33,16/07/2019,18650,18640.36,18800,2414760,18800,18550,4180580,4388100,0,1241.14
34,15/07/2019,18800,18801.69,18800,2010670,18900,18700,3671460,3965200,0,1241.14
35,12/07/2019,18850,18977.84,19000,2505080,19150,18800,4076400,6317490,0,1241.14
36,11/07/2019,19000,19065.03,19000,3283970,19150,18950,5050830,7478750,0,1241.14
37,10/07/2019,18800,18703.82,18700,2302310,18800,18600,4098010,8101440,0,1241.14
38,09/07/2019,18450,18385.07,18500,2349570,18550,18200,4791420,23231480,0,1241.14
39,08/07/2019,18500,18689.33,18800,3162500,18900,18500,5357940,6269360,0,1241.14
40,05/07/2019,18650,18763.43,18650,1679490,18900,18650,4555030,3723600,0,1241.14
41,04/07/2019,18650,18735.63,18750,2135930,18850,18650,3475260,4415000,0,1241.14
42,03/07/2019,18600,18650.01,18700,2900160,18750,18600,5084360,25119990,0,1241.14
43,02/07/2019,18900,18934.87,19000,1547040,19000,18800,2801670,3687690,0,1241.14
44,01/07/2019,19000,19020.93,19050,2012310,19150,18900,3349680,6913480,0,1241.14
45,28/06/2019,18650,18590.05,18750,3226350,18800,18250,5590610,6326600,0,1241.14
46,27/06/2019,18600,18922.89,19200,3884290,19300,18600,5479170,7696590,0,1241.14
47,26/06/2019,19200,19181.46,18850,3709050,19400,18850,7866220,8117620,0,1241.14
48,25/06/2019,18850,18949.66,18800,2581840,19050,18800,6806120,5808390,0,1241.14
49,24/06/2019,18950,18902.3,18900,3074600,19100,18700,8403960,8015820,0,1241.14
50,21/06/2019,18800,18894.84,19100,3047710,19100,18750,4817420,8144890,0,1241.14
51,20/06/2019,18650,18480.41,18300,3465940,18700,18150,6624750,5501220,0,1241.14
52,19/06/2019,18150,18187.31,18200,3142410,18400,18050,6886570,5778600,0,1241.14
53,18/06/2019,17700,17810.9,18000,2898730,18100,17650,4830400,4775370,0,1241.14
54,17/06/2019,18000,18110.57,18100,1741580,18350,17900,2889910,2876640,0,1241.14
55,14/06/2019,18100,18295.73,18500,1363870,18500,18050,2549070,3527010,0,1241.14
56,13/06/2019,18300,18182.59,17900,2126320,18500,17900,5318120,3704280,0,1241.14
57,12/06/2019,18200,18335.76,18650,2673900,18650,18150,4620330,5551600,0,1241.14
58,11/06/2019,18750,18787.07,18750,1269490,18950,18600,2845050,3149210,0,1241.14
59,10/06/2019,18850,18947.09,19200,1821810,19200,18800,2814110,4962150,0,1241.14
60,07/06/2019,18850,18717.76,18650,3066500,18850,18600,5042790,6347730,0,1241.14
61,06/06/2019,18400,18138.32,18000,3101390,18400,17900,5827710,4406680,0,1241.14
62,05/06/2019,18200,18406.9,18450,3179460,18600,18200,5036220,5610480,0,1241.14
63,04/06/2019,18150,18110.04,18000,2672550,18300,17900,6380690,4517260,0,1241.14
64,03/06/2019,17750,18035.68,18000,6551290,18400,17650,12501560,11179510,0,1241.14
65,31/05/2019,18700,18997.5,19250,7582050,19400,18550,11867650,12104930,0,1241.14
66,30/05/2019,19700,19859.74,19850,2287190,20100,19600,6263120,5556280,0,1241.14
67,29/05/2019,19700,19879.81,20150,2502740,20250,19700,3740630,5727490,0,1241.14
68,28/05/2019,20300,19943.6,19700,3290680,20300,19700,5983210,4757150,0,1241.14
69,27/05/2019,19550,19578.77,19650,3194430,19750,19450,7015720,5823480,0,1241.14
70,24/05/2019,19650,20013.98,20100,6721800,20550,19600,11644910,11277440,0,1241.14
71,23/05/2019,20600,20366.91,20600,10717190,20750,19900,16988130,22066000,0,1241.14
72,22/05/2019,20800,20994.01,21200,5292890,21350,20700,8228270,8537380,0,1241.14
73,21/05/2019,21200,21232.64,21400,2580650,21400,21050,4057190,4898380,0,1241.14
74,20/05/2019,21400,21302.16,21200,6456480,21600,20950,10076200,8705560,0,1241.14
75,17/05/2019,20850,20821.75,20950,6112600,21050,20600,10942260,9187960,0,1241.14
76,16/05/2019,20650,20861.59,20950,3542970,21100,20650,6647950,7213820,0,1241.14
77,15/05/2019,20700,21037.83,21200,5577380,21400,20700,8300060,11250570,0,1241.14
78,14/05/2019,21200,20548.1,20000,6336840,21200,20000,11420170,8316090,0,1241.14
79,13/05/2019,20100,20308.91,20200,3584830,20600,20100,8000280,6254670,0,1241.14
80,10/05/2019,20250,20064.2,19950,6464550,20500,19700,10948780,10619130,0,1241.14
81,09/05/2019,19800,19877.71,19900,4265430,20100,19700,8187640,9287370,0,1241.14
82,08/05/2019,19850,19601.58,18900,6918830,20150,18850,12472700,10965760,0,1241.14
83,07/05/2019,19250,18736.57,18750,3505550,19250,18500,6106940,4921680,0,1241.14
84,06/05/2019,18550,18595.57,18700,2703870,18800,18400,4610840,4723070,0,1241.14
85,03/05/2019,19200,19300.48,19250,2124300,19500,19100,4472270,5299470,0,1241.14
86,02/05/2019,19500,19234.14,19100,4904560,19550,18800,8490740,7441350,0,1241.14
87,26/04/2019,18950,18890.12,18800,2231960,19050,18800,4699070,5053920,0,1241.14
