,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,35000,35306.97,35500,398600,36000,35000,0,0,11.95,3319.5
1,29/08/2019,35800,35705.7,35400,265100,36400,35300,547100,426200,11.95,3319.5
2,28/08/2019,35400,35713.32,36100,395000,36500,35300,828800,495800,11.95,3319.5
3,27/08/2019,36100,36522.39,37100,666400,37300,35900,769500,764600,11.95,3319.5
4,26/08/2019,37100,37500.23,38000,487600,38000,37100,607500,594300,11.95,3319.5
5,23/08/2019,38400,38114.89,38300,390800,38800,37800,493800,487000,11.95,3319.5
6,22/08/2019,38400,38977.94,39200,520800,39500,38400,812900,738500,11.95,3319.5
7,21/08/2019,39400,39327.27,39500,409900,39700,39100,817600,711800,11.95,3319.5
8,20/08/2019,39500,39403.98,39100,397000,39600,39100,779300,604500,11.95,3319.5
9,19/08/2019,39100,39543.82,39400,721200,40300,39100,897000,956200,11.95,3319.5
10,16/08/2019,39000,40147.54,39800,1159200,40500,39000,1404900,1399500,11.95,3319.5
11,15/08/2019,39800,39387.59,39000,610900,39800,38300,1514200,762800,11.95,3319.5
12,14/08/2019,39400,39231.86,38000,1111900,39500,38000,1343000,1291900,11.95,3319.5
13,13/08/2019,38000,37750.48,37500,227000,38000,37300,449300,334300,11.95,3319.5
14,12/08/2019,37700,38075.23,38100,375000,38500,37700,964300,678700,11.95,3319.5
15,09/08/2019,38100,37933.36,37000,816600,38500,37000,945600,1068300,11.95,3319.5
16,08/08/2019,36800,36862.98,36200,356600,37400,35900,448900,621500,11.95,3319.5
17,07/08/2019,36200,36152.99,36300,70200,36400,35900,208000,186400,11.95,3319.5
18,06/08/2019,36300,36068.24,36300,80300,36300,35900,222100,150700,11.95,3319.5
19,05/08/2019,36500,36187.25,36400,223500,36600,36000,376400,350100,11.95,3319.5
20,02/08/2019,36400,35694.73,36000,83500,36400,35500,193000,187400,11.95,3319.5
21,01/08/2019,36400,36209.13,36000,72300,36500,35700,151900,183100,11.95,3319.5
22,31/07/2019,36000,35554.9,35600,131700,36000,35100,272300,175600,11.95,3319.5
23,30/07/2019,35800,36053.28,37000,232000,37000,35800,389800,525700,11.95,3319.5
24,29/07/2019,36400,36350.45,37000,201200,37000,36000,408400,317500,11.95,3319.5
25,26/07/2019,37100,37033.45,37400,85200,37900,36800,234000,213900,11.95,3319.5
26,25/07/2019,37400,37342.11,37900,180000,38100,37000,313200,426400,11.95,3319.5
27,24/07/2019,37400,37661.74,37500,483000,38100,37100,650100,755000,11.95,3319.5
28,23/07/2019,36900,36192.33,36100,207400,37000,35600,384700,303000,11.95,3319.5
29,22/07/2019,36000,36167.89,36500,182200,36500,36000,334800,249800,11.95,3319.5
30,19/07/2019,36500,36642.09,37100,84100,37100,36500,284300,199500,11.95,3319.5
31,18/07/2019,37000,37229.79,37600,63100,37600,37000,247800,168800,11.95,3319.5
32,17/07/2019,37500,37516.52,37600,91400,37700,37300,322700,258200,11.95,3319.5
