,Date,Close,VWAP,Open,Volume,High,Low,BuyQuantity,SellQuantity,ROE,EPS
0,30/08/2019,20800,20922.13,20600,3387900,21200,20600,0,0,0,2345.01
1,29/08/2019,20500,20592.63,20700,1768400,20800,20400,2296400,3019600,0,2345.01
2,28/08/2019,20600,20585.69,20800,1363100,20800,20500,2058300,2697000,0,2345.01
3,27/08/2019,20500,20703.94,20800,2747000,21000,20500,4352500,3954300,0,2345.01
4,26/08/2019,20600,20628.09,20800,2941600,20900,20400,4694400,3900200,0,2345.01
5,23/08/2019,21000,21156.87,21300,1885800,21400,21000,2605400,3245300,0,2345.01
6,22/08/2019,21200,21455.25,21800,2392500,21800,21200,3484600,4409100,0,2345.01
7,21/08/2019,21600,21509.01,21000,5030900,21900,20900,6120900,6615500,0,2345.01
8,20/08/2019,21000,20844.23,20500,2469600,21100,20500,3947800,3746400,0,2345.01
9,19/08/2019,20600,20658.88,20700,1259100,20900,20500,2801100,2295800,0,2345.01
10,16/08/2019,20400,20550.53,20300,2343100,20900,20200,3185100,3487400,0,2345.01
11,15/08/2019,20300,20132.47,20200,2372100,20300,19800,4133000,3098600,0,2345.01
12,14/08/2019,20400,20673.21,20800,2272100,21000,20400,3136600,3686000,0,2345.01
13,13/08/2019,20500,20489.78,20800,2499400,20800,20300,3866100,3614100,0,2345.01
14,12/08/2019,20800,20840.25,20800,1847900,21100,20200,3271800,2874300,0,2345.01
15,09/08/2019,20800,20967.26,21100,2185500,21300,20800,2878000,3393800,0,2345.01
16,08/08/2019,21000,20703.79,20300,3319200,21400,20000,4465200,3892800,0,2345.01
17,07/08/2019,20400,20448.05,20200,2578600,20700,20100,3396600,3304700,0,2345.01
18,06/08/2019,20200,20442.71,21000,6830600,21000,20100,7879400,7781700,0,2345.01
19,05/08/2019,21300,21512.6,21800,4000400,22000,21300,4890500,4837400,0,2345.01
20,02/08/2019,21900,21832.11,22000,3611600,22000,20000,5306000,4629400,0,2345.01
21,01/08/2019,22200,22298.41,22300,1523000,22400,22200,2453900,2445200,0,2345.01
22,31/07/2019,22400,22225.13,22200,2196600,22400,22100,2828100,2941900,0,2345.01
23,30/07/2019,22100,22365.07,22200,2256300,22600,22000,3521200,3416200,0,2345.01
24,29/07/2019,22200,22321.97,22700,4104000,22900,22000,5319000,4899100,0,2345.01
25,26/07/2019,22700,22895.32,22800,1521300,23100,22700,2801300,2875300,0,2345.01
26,25/07/2019,22800,22837.66,23000,2465000,23000,22700,3079900,3743100,0,2345.01
27,24/07/2019,23000,23008.22,22900,1960900,23200,22800,2402800,3166100,0,2345.01
28,23/07/2019,22900,22847.1,22800,2696400,23100,22700,3762600,3588400,0,2345.01
29,22/07/2019,22800,22768.78,22600,2560300,23100,22600,4254000,4469100,0,2345.01
30,19/07/2019,22900,23039.39,23300,5060700,23500,22800,5771700,6225400,0,2345.01
31,18/07/2019,23300,23346.41,23700,6306300,23700,23000,7837600,7649300,0,2345.01
32,17/07/2019,23700,23866.73,24000,3789300,24100,23700,4232200,4932700,0,2345.01
33,16/07/2019,24100,23856.82,23800,2226600,24100,23700,4144800,2650300,0,2345.01
34,15/07/2019,23800,23842.92,23800,2225200,24000,23700,2901800,3162300,0,2345.01
35,12/07/2019,23800,23993.75,24100,3698500,24300,23800,4275200,5330300,0,2345.01
36,11/07/2019,24100,24345.65,24400,3476100,24500,24100,4950600,6137900,0,2345.01
37,10/07/2019,24200,23958.91,23600,5682600,24200,23600,6662200,6641700,0,2345.01
38,09/07/2019,23600,23384.02,22800,2158700,23600,22800,3889400,2980400,0,2345.01
39,08/07/2019,23300,23378.08,23400,2707800,23600,23200,3168400,3892700,0,2345.01
40,05/07/2019,23400,23422.5,23300,1564500,23600,23300,2437300,2856500,0,2345.01
41,04/07/2019,23500,23382.2,23100,2708000,23500,23100,3770200,3713100,0,2345.01
42,03/07/2019,23000,23103.94,23100,2510600,23300,23000,4772800,3404400,0,2345.01
43,02/07/2019,23300,23333.48,23500,2040900,23500,23200,3624000,3623200,0,2345.01
44,01/07/2019,23500,23387.79,23200,2615500,23600,23200,4148800,4501700,0,2345.01
45,28/06/2019,23000,22895.11,23000,2620900,23200,22600,5061500,3553400,0,2345.01
46,27/06/2019,22800,23110.03,23500,3420100,23600,22800,3778700,5004400,0,2345.01
47,26/06/2019,23400,23480.05,23200,2940700,23700,23200,4035300,4538100,0,2345.01
48,25/06/2019,23200,23214.91,23200,2771300,23400,23000,4397100,3756800,0,2345.01
49,24/06/2019,23200,23271.34,23200,2613300,23500,23100,4171500,3902800,0,2345.01
50,21/06/2019,23200,23319.29,23300,4139400,23600,23100,5645000,6901600,0,2345.01
51,20/06/2019,23000,22862.13,22600,3838300,23100,22400,6610300,5307200,0,2345.01
52,19/06/2019,22600,22624.28,22400,2837000,22800,22400,5214700,4606600,0,2345.01
53,18/06/2019,22200,22127.85,22000,1321300,22400,21900,2287100,2385800,0,2345.01
54,17/06/2019,22000,21996.53,21900,1598500,22400,21800,3059300,2302900,0,2345.01
55,14/06/2019,21800,22174.63,22400,2131400,22500,21800,3093400,3203700,0,2345.01
56,13/06/2019,22200,22092.43,22000,2466200,22600,21700,4237800,3110700,0,2345.01
57,12/06/2019,22100,22326.46,22600,2273900,22600,22100,3904100,3313900,0,2345.01
58,11/06/2019,22700,22683.25,22700,1998400,22900,22500,3828400,2958700,0,2345.01
59,10/06/2019,22700,22816.7,22700,2742200,23000,22600,4564900,4364200,0,2345.01
60,07/06/2019,22600,22255.97,21900,3765000,22600,21800,5704200,4312700,0,2345.01
61,06/06/2019,21700,21423.93,21600,2197900,21700,21200,4033400,2729500,0,2345.01
62,05/06/2019,21600,21844.63,21700,2430500,22100,21500,3209300,3717900,0,2345.01
63,04/06/2019,21500,21589.95,21300,2186700,21900,21100,3384800,3388300,0,2345.01
64,03/06/2019,21400,21761.29,22500,5503200,22500,21200,6808400,6575900,0,2345.01
65,31/05/2019,22600,22914.79,23600,5735800,23600,22400,6863600,7077200,0,2345.01
66,30/05/2019,23700,23962.86,23900,2039900,24300,23700,3761600,3129500,0,2345.01
67,29/05/2019,23900,24062.77,24300,1682300,24300,23900,2264400,2884200,0,2345.01
68,28/05/2019,24400,24151.42,24000,2502700,24400,23900,4112000,3198700,0,2345.01
69,27/05/2019,24100,23919.83,23800,1834500,24100,23600,2940500,2523200,0,2345.01
70,24/05/2019,23800,24108.72,25000,5542900,25000,23800,6536500,6881600,0,2345.01
71,23/05/2019,24600,24189.95,24400,7791100,24600,23900,8983300,8462600,0,2345.01
72,22/05/2019,24400,24640.37,24800,4510800,25000,24400,5921300,5515900,0,2345.01
73,21/05/2019,24900,24932.05,25200,2796300,25300,24700,3616400,4034500,0,2345.01
74,20/05/2019,25200,24933.88,24500,4557300,25200,24400,5528300,5749600,0,2345.01
